,Unnamed: 0,Text,new_text,languages,translated,new_languages,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun,subjectivity,text_type
1,1,"#pickids : about 20,000 children perlis eligible covid-19 vaccination","#pickids : about 20,000 children perlis eligible covid-19 vaccination",ENGLISH,"#pickids : about 20,000 children perlis eligible covid-19 vaccination",ENGLISH,"[('pickins', 'NNS'), ('about', 'IN'), ('twenty', 'NN'), ('zero', 'CD'), ('children', 'NNS'), ('perils', 'VBZ'), ('eligible', 'JJ'), ('couid', 'NN'), ('nineteen', 'JJ'), ('vaccination', 'NN')]","['pickins', 'twenty', 'zero', 'child', 'peril', 'eligible', 'couid', 'nineteen', 'vaccination']","['child', 'peril', 'eligible', 'couid', 'vaccination']","['child', 'peril', 'couid', 'vaccination']",0.0,objective
2,2,previous covid-19 infection – but not vaccination – improves performance antibodies -,previous covid-19 infection – but not vaccination – improves performance antibodies -,ENGLISH,previous covid-19 infection – but not vaccination – improves performance antibodies -,ENGLISH,"[('previous', 'JJ'), ('couid', 'NN'), ('nineteen', 'JJ'), ('infection', 'NN'), ('i', 'NN'), ('but', 'CC'), ('not', 'RB'), ('vaccination', 'NN'), ('i', 'JJ'), ('improves', 'NNS'), ('performance', 'NN'), ('antibodies', 'NNS')]","['previous', 'couid', 'nineteen', 'infection', 'not', 'vaccination', 'improves', 'performance', 'antibody']","['previous', 'couid', 'infection', 'vaccination', 'improve', 'performance', 'antibody']","['couid', 'infection', 'vaccination', 'performance', 'antibody']",0.16666666666666666,objective
3,3,india’s covid-19 vaccination coverage crosses 171.73 cr mark,india’s covid-19 vaccination coverage crosses 171.73 cr mark,ENGLISH,india’s covid-19 vaccination coverage crosses 171.73 cr mark,ENGLISH,"[('india', 'NN'), ('i', 'NN'), ('i', 'VBP'), ('couid', 'VBP'), ('nineteen', 'JJ'), ('vaccination', 'NN'), ('coverage', 'NN'), ('crosses', 'VBZ'), ('or', 'CC'), ('mark', 'NN')]","['india', 'couid', 'nineteen', 'vaccination', 'coverage_crosses', 'mark']","['vaccination', 'mark']",['vaccination'],0.0,objective
4,4,"i got call office principal commissioner cgst lucknow,it ascertained status covid vaccination doses by me,all doses booster is taken by me,thanks regards pr commissioner cgst lucknow,","i got call office principal commissioner cgst lucknow,it ascertained status covid vaccination doses by me,all doses booster is taken by me,thanks regards pr commissioner cgst lucknow,",ENGLISH,"i got call office principal commissioner cgst lucknow,it ascertained status covid vaccination doses by me,all doses booster is taken by me,thanks regards pr commissioner cgst lucknow",ENGLISH,"[('i', 'NN'), ('got', 'VBD'), ('call', 'JJ'), ('office', 'NN'), ('principal', 'NN'), ('commissioner', 'NN'), ('cost', 'NN'), ('lucknow', 'VBP'), ('it', 'PRP'), ('ascertained', 'VBD'), ('status', 'NN'), ('couid', 'NN'), ('vaccination', 'NN'), ('doses', 'NNS'), ('by', 'IN'), ('me', 'PRP'), ('all', 'DT'), ('doses', 'NNS'), ('booster', 'NN'), ('is', 'VBZ'), ('taken', 'VBN'), ('by', 'IN'), ('me', 'PRP'), ('thanks', 'NNS'), ('regards', 'NNS'), ('or', 'CC'), ('commissioner', 'NN'), ('cost', 'NN'), ('lucknow', 'NN')]","['got', 'call', 'office', 'principal', 'commissioner', 'cost', 'lucknow', 'ascertained', 'status', 'couid', 'vaccination', 'dos', 'dos', 'booster', 'taken', 'thanks', 'regard', 'commissioner', 'cost', 'lucknow']","['get', 'call', 'office', 'ascertain', 'status', 'couid', 'vaccination', 'dose', 'dose', 'take', 'thank', 'regard', 'commissioner', 'cost']","['office', 'status', 'couid', 'vaccination', 'thank', 'commissioner', 'cost']",0.0,objective
5,5,"i have booked flight 13 feb, 2022 toronto new delhi departure time 1155 est please do let me know that as per new guidelines that have come today, is covid-19 test still necessary or i can upload my vaccination certificate only travel","i have booked flight 13 feb, 2022 toronto new delhi departure time 1155 est please do let me know that as per new guidelines that have come today, is covid-19 test still necessary or i can upload my vaccination certificate only travel",ENGLISH,"i have booked flight 13 feb, 2022 toronto new delhi departure time 1155 est please do let me know that as per new guidelines that have come today, is covid-19 test still necessary or i can upload my vaccination certificate only travel",ENGLISH,"[('i', 'NNS'), ('have', 'VBP'), ('booked', 'VBN'), ('flight', 'NN'), ('thirteen', 'NN'), ('feb', 'NN'), ('toronto', 'IN'), ('new', 'JJ'), ('delhi', 'JJ'), ('departure', 'NN'), ('time', 'NN'), ('est', 'JJS'), ('please', 'NN'), ('do', 'VB'), ('let', 'VB'), ('me', 'PRP'), ('know', 'VB'), ('that', 'IN'), ('as', 'IN'), ('per', 'IN'), ('new', 'JJ'), ('guidelines', 'NNS'), ('that', 'WDT'), ('have', 'VBP'), ('come', 'VBN'), ('today', 'NN'), ('is', 'VBZ'), ('couid', 'JJ'), ('nineteen', 'JJ'), ('test', 'NN'), ('still', 'RB'), ('necessary', 'JJ'), ('or', 'CC'), ('i', 'JJ'), ('can', 'MD'), ('upload', 'VB'), ('my', 'PRP$'), ('vaccination', 'NN'), ('certificate', 'NN'), ('only', 'RB'), ('travel', 'NN')]","['booked', 'flight', 'thirteen', 'feb', 'toronto', 'new', 'delhi', 'departure', 'time', 'est', 'please', 'let', 'know', 'per', 'new', 'guideline', 'come', 'today', 'couid', 'nineteen', 'test', 'still', 'necessary', 'upload', 'vaccination', 'certificate', 'travel']","['book', 'departure', 'time', 'let', 'know', 'new', 'guideline', 'come', 'today', 'couid', 'test', 'still', 'necessary', 'upload', 'vaccination', 'certificate', 'travel']","['departure', 'time', 'guideline', 'today', 'couid', 'test', 'vaccination', 'certificate', 'travel']",0.7272727272727273,objective
6,6,"covid-19 vaccination drive: around 172 crore covid vaccine doses administered india, says govt","covid-19 vaccination drive: around 172 crore covid vaccine doses administered india, says govt",ENGLISH,"covid-19 vaccination drive: around 172 crore covid vaccine doses administered india, says govt",ENGLISH,"[('couid', 'NN'), ('nineteen', 'JJ'), ('vaccination', 'NN'), ('drive', 'NN'), ('around', 'IN'), ('crore', 'JJR'), ('couid', 'NN'), ('vaccine', 'NN'), ('doses', 'NNS'), ('administered', 'VBN'), ('india', 'VBP'), ('says', 'VBZ'), ('govt', 'NN')]","['couid', 'nineteen', 'vaccination', 'drive', 'around', 'crore', 'couid', 'vaccine', 'dos', 'administered', 'india', 'say', 'govt']","['couid', 'vaccination', 'drive', 'around', 'couid', 'vaccine', 'dose', 'administer', 'say']","['couid', 'vaccination', 'drive', 'couid', 'vaccine', 'dose']",0.0,objective
7,7,oscars 2022: attendees not required provide covid-19 vaccination proof oscars will reportedly return its traditional setting dolby theatre hollywood boulevard its upcoming ceremony march 27 #latest news by #businessstandard,oscars 2022: attendees not required provide covid-19 vaccination proof oscars will reportedly return its traditional setting dolby theatre hollywood boulevard its upcoming ceremony march 27 #latest news by #businessstandard,ENGLISH,oscars 2022: attendees not required provide covid-19 vaccination proof oscars will reportedly return it is traditional setting dolby theatre hollywood boulevard it is upcoming ceremony march 27 #latest news by #businessstandard,ENGLISH,"[('oscars', 'NNS'), ('attendees', 'VBZ'), ('not', 'RB'), ('required', 'VBN'), ('provide', 'RB'), ('couid', 'JJ'), ('nineteen', 'JJ'), ('vaccination', 'NN'), ('proof', 'NN'), ('oscars', 'NNS'), ('will', 'MD'), ('reportedly', 'RB'), ('return', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('traditional', 'JJ'), ('setting', 'VBG'), ('dolby', 'NN'), ('theatre', 'NNS'), ('hollywood', 'VBD'), ('boulevard', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('upcoming', 'VBG'), ('ceremony', 'JJ'), ('march', 'NN'), ('latest', 'JJS'), ('news', 'NN'), ('by', 'IN'), ('businessstandard', 'NN')]","['oscar', 'attendee', 'not', 'required', 'provide', 'couid', 'nineteen', 'vaccination', 'proof', 'oscar', 'reportedly', 'return', 'traditional', 'setting', 'dolby', 'theatre', 'hollywood', 'boulevard', 'upcoming', 'ceremony', 'march', 'latest', 'news_businessstandard']","['oscar', 'attendee', 'require', 'provide', 'couid', 'vaccination', 'proof', 'oscar', 'reportedly', 'return', 'traditional', 'set', 'ceremony', 'late']","['oscar', 'attendee', 'couid', 'vaccination', 'proof', 'oscar', 'ceremony']",0.825,objective
8,8,"covid-19 vaccination at cvc govt. boys senior secondary school, loni road, north east district #largestvaccinedrive #fightagainstcovid19 #united2fightcorona","covid-19 vaccination at cvc govt. boys senior secondary school, loni road, north east district #largestvaccinedrive #fightagainstcovid19 #united2fightcorona",ENGLISH,"covid-19 vaccination at cvc govt. boys senior secondary school, loni road, north east district #largestvaccinedrive #fightagainstcovid19 #united2fightcorona",ENGLISH,"[('couid', 'NN'), ('nineteen', 'JJ'), ('vaccination', 'NN'), ('at', 'IN'), ('cac', 'NN'), ('govt', 'NN'), ('boys', 'VBZ'), ('senior', 'JJ'), ('secondary', 'JJ'), ('school', 'NN'), ('loni', 'VBP'), ('road', 'NN'), ('north', 'JJ'), ('east', 'JJ'), ('district', 'NN'), ('largestvaccinedrive', 'NN')]","['couid', 'nineteen', 'vaccination', 'cac', 'govt', 'boy', 'senior', 'secondary', 'school', 'loni', 'road', 'north', 'east', 'district', 'largestvaccinedrive']","['couid', 'vaccination', 'senior', 'secondary', 'school']","['couid', 'vaccination', 'school']",0.3,objective
15,15,"pl advise precaution covid vaccination dose those who have already taken two pfizer doses usa feb 20,this is very essential sr citizen 70+","pl advise precaution covid vaccination dose those who have already taken two pfizer doses usa feb 20,this is very essential sr citizen 70+",ENGLISH,"pl advise precaution covid vaccination dose those who have already taken two pfizer doses usa feb 20,this is very essential sr citizen 70+",ENGLISH,"[('pal', 'JJ'), ('advise', 'NN'), ('precaution', 'NN'), ('couid', 'NN'), ('vaccination', 'NN'), ('dose', 'VBP'), ('those', 'DT'), ('who', 'WP'), ('have', 'VBP'), ('already', 'RB'), ('taken', 'VBN'), ('two', 'CD'), ('pfizer', 'JJ'), ('doses', 'NNS'), ('usa', 'JJ'), ('feb', 'JJ'), ('twenty', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('very', 'RB'), ('essential', 'JJ'), ('so', 'RB'), ('citizen', 'JJ'), ('seventy', 'NN')]","['pal', 'advise', 'precaution', 'couid', 'vaccination', 'dose', 'already', 'taken', 'two', 'pfizer', 'dos', 'usa', 'feb', 'twenty', 'essential', 'citizen', 'seventy']","['vaccination', 'dose', 'already', 'take', 'dose', 'essential', 'citizen']","['vaccination', 'citizen']",0.39,objective
17,17,"total number active covid-19 cases haryana as feb 10: 7,866 total vaccination haryana as feb 10 first dose 70,337 second dose 5,431 total cumulative figure 4,01,32,879 as date#hry , , ,","total number active covid-19 cases haryana as feb 10: 7,866 total vaccination haryana as feb 10 first dose 70,337 second dose 5,431 total cumulative figure 4,01,32,879 as date#hry , , ,",ENGLISH,"total number active covid-19 cases haryana as feb 10: 7,866 total vaccination haryana as feb 10 first dose 70,337 second dose 5,431 total cumulative figure 4,01,32,879 as date#hry , , ",ENGLISH,"[('total', 'JJ'), ('number', 'NN'), ('active', 'JJ'), ('couid', 'NN'), ('nineteen', 'JJ'), ('cases', 'NNS'), ('aryans', 'NNS'), ('as', 'IN'), ('feb', 'JJ'), ('ten', 'CD'), ('seven', 'CD'), ('total', 'JJ'), ('vaccination', 'NN'), ('aryans', 'NNS'), ('as', 'IN'), ('feb', 'NN'), ('ten', 'IN'), ('first', 'JJ'), ('dose', 'JJ'), ('seventy', 'JJ'), ('second', 'NN'), ('dose', 'NN'), ('five', 'CD'), ('total', 'JJ'), ('cumulative', 'JJ'), ('figure', 'NN'), ('four', 'CD'), ('one', 'NN'), ('as', 'IN'), ('date', 'NN'), ('try', 'NN')]","['total', 'number', 'active', 'couid', 'nineteen', 'case', 'aryan', 'feb', 'ten', 'seven', 'total', 'vaccination', 'aryan', 'feb', 'ten', 'first', 'dose', 'seventy', 'second', 'dose', 'five', 'total', 'cumulative', 'figure', 'four', 'one', 'date', 'try']","['total', 'number', 'active', 'couid', 'case', 'total', 'first', 'dose', 'second', 'dose', 'total', 'cumulative', 'figure', 'date', 'try']","['number', 'couid', 'case', 'second', 'figure', 'date']",0.5305555555555556,objective
