,Text,new_text,languages,new_text_after_translation,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun,subjectivity,text_type
0,want find way end racism try force people inject themselves. that’s what i see bunch people all races standing up against forced vaccination. not against vaxx.some people need these vaxx &amp; i support those people getting their shot. i draw line at force,want find way end racism try force people inject themselves. that’s what i see bunch people all races standing up against forced vaccination. not against vaxx.some people need these vaxx &amp; i support those people getting their shot. i draw line at force,ENGLISH,want find way end racism try force people inject themselves. that’s what i see bunch people all races standing up against forced vaccination. not against vaxx.some people need these vaxx &amp; i support those people getting their shot. i draw line at force,"[('want', 'JJ'), ('find', 'VB'), ('way', 'NN'), ('end', 'NN'), ('racism', 'NN'), ('try', 'VB'), ('force', 'NN'), ('people', 'NNS'), ('inject', 'VBP'), ('themselves', 'PRP'), ('that', 'IN'), ('i', 'NN'), ('i', 'VBP'), ('what', 'WP'), ('i', 'VBP'), ('see', 'VBP'), ('bunch', 'JJ'), ('people', 'NNS'), ('all', 'DT'), ('races', 'NNS'), ('standing', 'VBG'), ('up', 'RP'), ('against', 'IN'), ('forced', 'VBN'), ('vaccination', 'NN'), ('not', 'RB'), ('against', 'IN'), ('maxx', 'VB'), ('some', 'DT'), ('people', 'NNS'), ('need', 'VBP'), ('these', 'DT'), ('maxx', 'FW'), ('amp', 'NN'), ('i', 'JJ'), ('support', 'VBP'), ('those', 'DT'), ('people', 'NNS'), ('getting', 'VBG'), ('their', 'PRP$'), ('shot', 'NN'), ('i', 'NN'), ('draw', 'VBP'), ('line', 'NN'), ('at', 'IN'), ('force', 'NN')]","['want', 'find', 'way', 'end', 'racism', 'try', 'force', 'people', 'inject', 'see', 'bunch', 'people', 'race', 'standing', 'forced', 'vaccination', 'not', 'people', 'need', 'amp', 'support', 'people', 'getting', 'shot', 'draw_line', 'force']","['want', 'find', 'way', 'end', 'racism', 'try', 'force', 'people', 'inject', 'see', 'bunch', 'people', 'race', 'stand', 'force', 'vaccination', 'people', 'need', 'amp', 'support', 'people', 'get', 'shoot', 'force']","['way', 'end', 'racism', 'force', 'people', 'bunch', 'people', 'race', 'vaccination', 'people', 'amp', 'support', 'people', 'force']",0.2,subjective
1,"this child almost died tetanus, spent months hospital at cost around $1m, his parents still refused vaccination after. this was pre-pandemic.","this child almost died tetanus, spent months hospital at cost around $1m, his parents still refused vaccination after. this was pre-pandemic.",ENGLISH,"this child almost died tetanus, spent months hospital at cost around $1m, his parents still refused vaccination after. this was pre-pandemic.","[('this', 'DT'), ('child', 'NN'), ('almost', 'RB'), ('died', 'VBD'), ('tetanus', 'JJ'), ('spent', 'JJ'), ('months', 'NNS'), ('hospital', 'NN'), ('at', 'IN'), ('cost', 'NN'), ('around', 'IN'), ('am', 'VBP'), ('his', 'PRP$'), ('parents', 'NNS'), ('still', 'RB'), ('refused', 'VBD'), ('vaccination', 'NN'), ('after', 'IN'), ('this', 'DT'), ('was', 'VBD'), ('pre', 'JJ'), ('pandemic', 'JJ')]","['child', 'almost', 'died', 'tetanus', 'spent', 'month', 'hospital', 'cost', 'around', 'parent', 'still', 'refused', 'vaccination', 'pre', 'pandemic']","['child', 'almost', 'die', 'tetanus', 'spend', 'month', 'hospital', 'cost', 'parent', 'still', 'refuse', 'vaccination', 'pre', 'pandemic']","['child', 'tetanus', 'month', 'hospital', 'cost', 'parent', 'vaccination', 'pandemic']",0.1,subjective
2,"juste se rappeler m. leblanc la pression que les pm provinciaux et le monde d’affaires le demandait pour pouvoir ré-ouvrir les frontières 😉 le trafic aérien. +les gouv provinciaux, qc inclus vont-ils bloqués les touristes qui n’auront pas de pass-vaccination à l’hôtel au resto","juste se rappeler m. leblanc la pression que les pm provinciaux et le monde d’affaires le demandait pour pouvoir ré-ouvrir les frontières winking_face le trafic aérien. +les gouv provinciaux, qc inclus vont-ils bloqués les touristes qui n’auront pas de pass-vaccination à l’hôtel au resto",ENGLISH,"just remember mr. leblanc the pressure that the provincial pm and the business world asked for it to be able to re-open the borders winking_face air traffic. + will the provincial govt, qc included, block tourists who will not have a pass-vaccination at the hotel at the restaurant","[('just', 'RB'), ('remember', 'VB'), ('my', 'PRP$'), ('leblanc', 'NN'), ('the', 'DT'), ('pressure', 'NN'), ('that', 'IN'), ('the', 'DT'), ('provincial', 'JJ'), ('am', 'VBP'), ('and', 'CC'), ('the', 'DT'), ('business', 'NN'), ('world', 'NN'), ('asked', 'VBD'), ('for', 'IN'), ('it', 'PRP'), ('to', 'TO'), ('be', 'VB'), ('able', 'JJ'), ('to', 'TO'), ('re', 'VB'), ('open', 'VB'), ('the', 'DT'), ('borders', 'NNS'), ('air', 'NN'), ('traffic', 'NN'), ('will', 'MD'), ('the', 'DT'), ('provincial', 'JJ'), ('govt', 'NN'), ('ac', 'NN'), ('included', 'VBD'), ('block', 'NN'), ('tourists', 'NNS'), ('who', 'WP'), ('will', 'MD'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('pass', 'NN'), ('vaccination', 'NN'), ('at', 'IN'), ('the', 'DT'), ('hotel', 'NN'), ('at', 'IN'), ('the', 'DT'), ('restaurant', 'NN')]","['remember', 'leblanc', 'pressure', 'provincial', 'business', 'world', 'asked', 'able', 'open', 'border', 'air', 'traffic', 'provincial', 'govt', 'ac', 'included', 'block', 'tourist', 'not', 'pas', 'vaccination', 'hotel', 'restaurant']","['remember', 'leblanc', 'pressure', 'provincial', 'business', 'world', 'ask', 'able', 'open', 'border', 'air', 'traffic', 'provincial', 'include', 'block', 'tourist', 'pass', 'vaccination', 'hotel', 'restaurant']","['leblanc', 'pressure', 'business', 'world', 'border', 'air', 'traffic', 'block', 'tourist', 'vaccination', 'hotel', 'restaurant']",0.625,subjective
3,"you would expect cases rise significantly, course, vaccination rates come into play as does space. we as adults are not usually confined single space with as many people as school age students. data states that have lifted vs those that have not bears this out.","you would expect cases rise significantly, course, vaccination rates come into play as does space. we as adults are not usually confined single space with as many people as school age students. data states that have lifted vs those that have not bears this out.",ENGLISH,"you would expect cases rise significantly, course, vaccination rates come into play as does space. we as adults are not usually confined single space with as many people as school age students. data states that have lifted vs those that have not bears this out.","[('you', 'PRP'), ('would', 'MD'), ('expect', 'VB'), ('cases', 'NNS'), ('rise', 'VBP'), ('significantly', 'RB'), ('course', 'NN'), ('vaccination', 'NN'), ('rates', 'NNS'), ('come', 'VBP'), ('into', 'IN'), ('play', 'NN'), ('as', 'IN'), ('does', 'VBZ'), ('space', 'NN'), ('we', 'PRP'), ('as', 'IN'), ('adults', 'NNS'), ('are', 'VBP'), ('not', 'RB'), ('usually', 'RB'), ('confined', 'VBN'), ('single', 'JJ'), ('space', 'NN'), ('with', 'IN'), ('as', 'IN'), ('many', 'JJ'), ('people', 'NNS'), ('as', 'IN'), ('school', 'NN'), ('age', 'NN'), ('students', 'NNS'), ('data', 'VBP'), ('states', 'NNS'), ('that', 'WDT'), ('have', 'VBP'), ('lifted', 'VBN'), ('is', 'VBZ'), ('those', 'DT'), ('that', 'WDT'), ('have', 'VBP'), ('not', 'RB'), ('bears', 'VB'), ('this', 'DT'), ('out', 'RP')]","['would', 'expect', 'case', 'rise', 'significantly', 'course', 'vaccination', 'rate', 'come', 'play', 'space', 'adult', 'not', 'usually', 'confined', 'single', 'space', 'many', 'people', 'school', 'age', 'student', 'data', 'state', 'lifted', 'not', 'bear']","['would', 'expect', 'case', 'rise', 'significantly', 'course', 'vaccination', 'rate', 'come', 'play', 'space', 'adult', 'usually', 'confine', 'single', 'space', 'many', 'people', 'school', 'age', 'student', 'datum', 'state', 'lift', 'bear']","['case', 'vaccination', 'rate', 'play', 'space', 'adult', 'space', 'people', 'school', 'age', 'student', 'datum', 'state', 'bear']",0.459821429,subjective
4,"depends whether vaccination status is embedded qr code itself, or if code is just link that connects back end. i read about it when it was released but can't remember. will see it i can find it again.","depends whether vaccination status is embedded qr code itself, or if code is just link that connects back end. i read about it when it was released but can't remember. will see it i can find it again.",ENGLISH,"depends whether vaccination status is embedded qr code itself, or if code is just link that connects back end. i read about it when it was released but can't remember. will see it i can find it again.","[('depends', 'VBZ'), ('whether', 'IN'), ('vaccination', 'NN'), ('status', 'NN'), ('is', 'VBZ'), ('embedded', 'VBN'), ('or', 'CC'), ('code', 'VB'), ('itself', 'PRP'), ('or', 'CC'), ('if', 'IN'), ('code', 'VBN'), ('is', 'VBZ'), ('just', 'RB'), ('link', 'NN'), ('that', 'IN'), ('connects', 'VBZ'), ('back', 'RB'), ('end', 'JJ'), ('i', 'NN'), ('read', 'VBP'), ('about', 'IN'), ('it', 'PRP'), ('when', 'WRB'), ('it', 'PRP'), ('was', 'VBD'), ('released', 'VBN'), ('but', 'CC'), ('can', 'MD'), ('i', 'VB'), ('remember', 'VB'), ('will', 'MD'), ('see', 'VB'), ('it', 'PRP'), ('i', 'VB'), ('can', 'MD'), ('find', 'VB'), ('it', 'PRP'), ('again', 'RB')]","['depends', 'whether', 'vaccination', 'status', 'embedded', 'code', 'code', 'link', 'connects', 'back', 'end', 'read', 'released', 'remember', 'see', 'find']","['depend', 'vaccination', 'status', 'embed', 'code', 'link', 'connect', 'back', 'end', 'read', 'release', 'remember', 'find']","['vaccination', 'status', 'code', 'link', 'connect', 'end', 'read']",0.0,subjective
5,"it could have ripped… harder or do you think masking, isolation, etc ultimately had no impact honest question, i look at those spikes think maybe they would have looked same no matter what, with vaccination only thing that definitively ‘worked’","it could have ripped… harder or do you think masking, isolation, etc ultimately had no impact honest question, i look at those spikes think maybe they would have looked same no matter what, with vaccination only thing that definitively ‘worked’",ENGLISH,"it could have ripped… harder or do you think masking, isolation, etc ultimately had no impact honest question, i look at those spikes think maybe they would have looked same no matter what, with vaccination only thing that definitively ‘worked’","[('it', 'PRP'), ('could', 'MD'), ('have', 'VB'), ('ripped', 'VBN'), ('i', 'JJ'), ('harder', 'NN'), ('or', 'CC'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('masking', 'VBG'), ('isolation', 'NN'), ('etc', 'FW'), ('ultimately', 'RB'), ('had', 'VBD'), ('no', 'DT'), ('impact', 'NN'), ('honest', 'JJS'), ('question', 'NN'), ('i', 'NN'), ('look', 'VBP'), ('at', 'IN'), ('those', 'DT'), ('spikes', 'NNS'), ('think', 'VBP'), ('maybe', 'RB'), ('they', 'PRP'), ('would', 'MD'), ('have', 'VB'), ('looked', 'VBN'), ('same', 'JJ'), ('no', 'DT'), ('matter', 'NN'), ('what', 'WP'), ('with', 'IN'), ('vaccination', 'NN'), ('only', 'RB'), ('thing', 'NN'), ('that', 'IN'), ('definitively', 'RB'), ('i', 'JJ'), ('worked', 'VBD'), ('i', 'NN')]","['could', 'ripped', 'harder', 'think', 'masking', 'isolation', 'etc', 'ultimately', 'impact', 'honest', 'question', 'look', 'spike', 'think', 'maybe', 'would', 'looked', 'matter', 'vaccination', 'thing', 'definitively', 'worked']","['could', 'rip', 'hard', 'think', 'mask', 'isolation', 'ultimately', 'impact', 'honest', 'question', 'look', 'spike', 'think', 'maybe', 'would', 'look', 'matter', 'vaccination', 'thing', 'definitively', 'work']","['isolation', 'question', 'look', 'spike', 'matter', 'vaccination', 'thing']",0.605,subjective
6,they do this at vaccination centres as well. they refused let me &amp; my elderly parent wear it over our n95 masks. lady was very rude &amp; said i could i have covid-19 &amp; it could be mask. i refused &amp; did not take no answer. she said ok begrudgingly. it was absurd.,they do this at vaccination centres as well. they refused let me &amp; my elderly parent wear it over our n95 masks. lady was very rude &amp; said i could i have covid-19 &amp; it could be mask. i refused &amp; did not take no answer. she said ok begrudgingly. it was absurd.,ENGLISH,they do this at vaccination centres as well. they refused let me &amp; my elderly parent wear it over our n95 masks. lady was very rude &amp; said i could i have covid-19 &amp; it could be mask. i refused &amp; did not take no answer. she said ok begrudgingly. it was absurd.,"[('they', 'PRP'), ('do', 'VBP'), ('this', 'DT'), ('at', 'IN'), ('vaccination', 'NN'), ('centers', 'NNS'), ('as', 'RB'), ('well', 'RB'), ('they', 'PRP'), ('refused', 'VBD'), ('let', 'VB'), ('me', 'PRP'), ('amp', 'VB'), ('my', 'PRP$'), ('elderly', 'JJ'), ('parent', 'NN'), ('wear', 'IN'), ('it', 'PRP'), ('over', 'IN'), ('our', 'PRP$'), ('not', 'RB'), ('masks', 'VB'), ('lady', 'NN'), ('was', 'VBD'), ('very', 'RB'), ('rude', 'JJ'), ('amp', 'NN'), ('said', 'VBD'), ('i', 'NN'), ('could', 'MD'), ('i', 'VB'), ('have', 'VBP'), ('couid', 'VBN'), ('nineteen', 'JJ'), ('amp', 'NN'), ('it', 'PRP'), ('could', 'MD'), ('be', 'VB'), ('mask', 'VBN'), ('i', 'JJ'), ('refused', 'VBD'), ('amp', 'RB'), ('did', 'VBD'), ('not', 'RB'), ('take', 'VB'), ('no', 'DT'), ('answer', 'NN'), ('she', 'PRP'), ('said', 'VBD'), ('ok', 'JJ'), ('begrudgingly', 'RB'), ('it', 'PRP'), ('was', 'VBD'), ('absurd', 'JJ')]","['vaccination', 'center', 'well', 'refused', 'let', 'amp', 'elderly', 'parent', 'wear', 'not', 'mask', 'lady', 'rude', 'amp', 'said', 'could', 'couid', 'nineteen', 'amp', 'could', 'mask', 'refused', 'amp', 'not', 'take', 'answer', 'said', 'begrudgingly', 'absurd']","['vaccination', 'center', 'well', 'refuse', 'let', 'amp', 'elderly', 'parent', 'wear', 'mask', 'say', 'could', 'couid', 'amp', 'could', 'mask', 'refuse', 'amp', 'take', 'answer', 'say', 'begrudgingly', 'absurd']","['vaccination', 'center', 'parent', 'mask', 'amp', 'amp', 'answer']",0.76,subjective
7,"part vanguard vaccination awareness project - series free tools help c-suite leaders combat vaccine hesitancy resistance - podcasts, videos articles - available at #covidvaccineconfidence #vanguardvaccinationproject","part vanguard vaccination awareness project - series free tools help c-suite leaders combat vaccine hesitancy resistance - podcasts, videos articles - available at #covidvaccineconfidence #vanguardvaccinationproject",ENGLISH,"part vanguard vaccination awareness project - series free tools help c-suite leaders combat vaccine hesitancy resistance - podcasts, videos articles - available at #covidvaccineconfidence #vanguardvaccinationproject","[('part', 'NN'), ('vanguard', 'NN'), ('vaccination', 'NN'), ('awareness', 'NN'), ('project', 'NN'), ('series', 'NN'), ('free', 'JJ'), ('tools', 'NNS'), ('help', 'VBP'), ('i', 'VB'), ('suite', 'JJ'), ('leaders', 'NNS'), ('combat', 'VBP'), ('vaccine', 'JJ'), ('hesitancy', 'NN'), ('resistance', 'NN'), ('podcasts', 'NNS'), ('videos', 'VBP'), ('articles', 'NNS'), ('available', 'JJ'), ('at', 'IN'), ('covidvaccineconfidence', 'NN'), ('vanguardvaccinationproject', 'NN')]","['part', 'vanguard', 'vaccination', 'awareness', 'project', 'series', 'free', 'tool', 'help', 'suite', 'leader', 'combat', 'vaccine', 'hesitancy', 'resistance', 'podcasts', 'video', 'article', 'available', 'covidvaccineconfidence', 'vanguardvaccinationproject']","['free', 'tool', 'help', 'suite', 'leader', 'combat', 'vaccine', 'hesitancy', 'resistance', 'podcast', 'video', 'article', 'available', 'vanguardvaccinationproject']","['tool', 'suite', 'leader', 'combat', 'vaccine', 'hesitancy', 'resistance', 'video', 'article']",0.6,subjective
8,correct. it’s not about vaccines. nor is their stated goal about vaccination. breaking: cnn blogger reports factual news accident . this is not about vaccines. at least we know she can read; positive steps towards competence,correct. it’s not about vaccines. nor is their stated goal about vaccination. breaking: cnn blogger reports factual news accident . this is not about vaccines. at least we know she can read; positive steps towards competence,ENGLISH,correct. it’s not about vaccines. nor is their stated goal about vaccination. breaking: cnn blogger reports factual news accident . this is not about vaccines. at least we know she can read; positive steps towards competence,"[('correct', 'VB'), ('it', 'PRP'), ('i', 'VB'), ('i', 'MD'), ('not', 'RB'), ('about', 'IN'), ('vaccines', 'NNS'), ('nor', 'CC'), ('is', 'VBZ'), ('their', 'PRP$'), ('stated', 'JJ'), ('goal', 'NN'), ('about', 'IN'), ('vaccination', 'NN'), ('breaking', 'NN'), ('can', 'MD'), ('blogger', 'VB'), ('reports', 'NNS'), ('factual', 'JJ'), ('news', 'NN'), ('accident', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('not', 'RB'), ('about', 'IN'), ('vaccines', 'NNS'), ('at', 'IN'), ('least', 'JJS'), ('we', 'PRP'), ('know', 'VBP'), ('she', 'PRP'), ('can', 'MD'), ('read', 'VB'), ('positive', 'JJ'), ('steps', 'NNS'), ('towards', 'NNS'), ('competence', 'NN')]","['correct', 'not', 'vaccine', 'stated', 'goal', 'vaccination', 'breaking', 'blogger', 'report', 'factual', 'news', 'accident', 'not', 'vaccine', 'least', 'know', 'read', 'positive', 'step', 'towards', 'competence']","['correct', 'vaccine', 'state', 'goal', 'vaccination', 'break', 'blogger', 'report', 'factual', 'news', 'accident', 'vaccine', 'least', 'know', 'read', 'positive', 'step', 'competence']","['vaccine', 'goal', 'vaccination', 'blogger', 'news', 'accident', 'vaccine', 'step', 'competence']",0.472727273,subjective
9,does it hurt your head actually use your brain you seem be incredibly brainwashed. places with highest vaccination rates world have some highest case counts. everyone that disagrees with your compliance totaltiarin dictatorships must be called names,does it hurt your head actually use your brain you seem be incredibly brainwashed. places with highest vaccination rates world have some highest case counts. everyone that disagrees with your compliance totaltiarin dictatorships must be called names,ENGLISH,does it hurt your head actually use your brain you seem be incredibly brainwashed. places with highest vaccination rates world have some highest case counts. everyone that disagrees with your compliance totaltiarin dictatorships must be called names,"[('does', 'VBZ'), ('it', 'PRP'), ('hurt', 'VB'), ('your', 'PRP$'), ('head', 'NN'), ('actually', 'RB'), ('use', 'VB'), ('your', 'PRP$'), ('brain', 'NN'), ('you', 'PRP'), ('seem', 'VBP'), ('be', 'VB'), ('incredibly', 'RB'), ('brainwashed', 'JJ'), ('places', 'NNS'), ('with', 'IN'), ('highest', 'JJS'), ('vaccination', 'NN'), ('rates', 'NNS'), ('world', 'NN'), ('have', 'VBP'), ('some', 'DT'), ('highest', 'JJS'), ('case', 'NN'), ('counts', 'VBZ'), ('everyone', 'NN'), ('that', 'WDT'), ('disagrees', 'VBZ'), ('with', 'IN'), ('your', 'PRP$'), ('compliance', 'NN'), ('totalitarian', 'JJ'), ('dictatorships', 'NNS'), ('must', 'MD'), ('be', 'VB'), ('called', 'VBN'), ('names', 'NNS')]","['hurt', 'head', 'actually', 'use', 'brain', 'seem', 'incredibly', 'brainwashed', 'place', 'highest', 'vaccination', 'rate', 'world', 'highest', 'case_counts', 'everyone', 'disagrees', 'compliance', 'totalitarian', 'dictatorship', 'must', 'called', 'name']","['head', 'actually', 'use', 'brain', 'seem', 'incredibly', 'brainwash', 'place', 'high', 'vaccination', 'rate', 'world', 'high', 'case_count', 'disagree', 'compliance', 'totalitarian', 'dictatorship', 'must', 'call', 'name']","['head', 'brain', 'place', 'vaccination', 'rate', 'case_count', 'dictatorship', 'name']",0.5,subjective
