Text,Label
"['want', 'find', 'way', 'end', 'racism', 'try', 'force', 'people', 'inject', 'see', 'bunch', 'people', 'race', 'standing', 'forced', 'vaccination', 'not', 'people', 'need', 'amp', 'support', 'people', 'getting', 'shot', 'draw_line', 'force']",0
"['child', 'almost', 'died', 'tetanus', 'spent', 'month', 'hospital', 'cost', 'around', 'parent', 'still', 'refused', 'vaccination', 'pre', 'pandemic']",1
"['remember', 'leblanc', 'pressure', 'provincial', 'business', 'world', 'asked', 'able', 'open', 'border', 'air', 'traffic', 'provincial', 'govt', 'ac', 'included', 'block', 'tourist', 'not', 'pas', 'vaccination', 'hotel', 'restaurant']",0
"['would', 'expect', 'case', 'rise', 'significantly', 'course', 'vaccination', 'rate', 'come', 'play', 'space', 'adult', 'not', 'usually', 'confined', 'single', 'space', 'many', 'people', 'school', 'age', 'student', 'data', 'state', 'lifted', 'not', 'bear']",0
"['depends', 'whether', 'vaccination', 'status', 'embedded', 'code', 'code', 'link', 'connects', 'back', 'end', 'read', 'released', 'remember', 'see', 'find']",0
"['could', 'ripped', 'harder', 'think', 'masking', 'isolation', 'etc', 'ultimately', 'impact', 'honest', 'question', 'look', 'spike', 'think', 'maybe', 'would', 'looked', 'matter', 'vaccination', 'thing', 'definitively', 'worked']",0
"['vaccination', 'center', 'well', 'refused', 'let', 'amp', 'elderly', 'parent', 'wear', 'not', 'mask', 'lady', 'rude', 'amp', 'said', 'could', 'couid', 'nineteen', 'amp', 'could', 'mask', 'refused', 'amp', 'not', 'take', 'answer', 'said', 'begrudgingly', 'absurd']",0
"['part', 'vanguard', 'vaccination', 'awareness', 'project', 'series', 'free', 'tool', 'help', 'suite', 'leader', 'combat', 'vaccine', 'hesitancy', 'resistance', 'podcasts', 'video', 'article', 'available', 'covidvaccineconfidence', 'vanguardvaccinationproject']",0
"['correct', 'not', 'vaccine', 'stated', 'goal', 'vaccination', 'breaking', 'blogger', 'report', 'factual', 'news', 'accident', 'not', 'vaccine', 'least', 'know', 'read', 'positive', 'step', 'towards', 'competence']",0
"['hurt', 'head', 'actually', 'use', 'brain', 'seem', 'incredibly', 'brainwashed', 'place', 'highest', 'vaccination', 'rate', 'world', 'highest', 'case_counts', 'everyone', 'disagrees', 'compliance', 'totalitarian', 'dictatorship', 'must', 'called', 'name']",0
"['world', 'wide', 'mass', 'vaccination', 'leading', 'world', 'wide', 'digital', 'passport', 'goal', 'populationcontrol']",0
"['vaccination', 'still', 'need', 'proof', 'vaccination', 'restaurant', 'movie_theater', 'museum', 'large', 'arena', 'fitness', 'center', 'bow', 'vaccination', 'rate', 'three', 'three']",1
"['following', 'tweet', 'even', 'age', 'twelve', 'hour', 'prince', 'charles', 'announced', 'infection', 'even', 'vaccination', 'amp', 'booster', 'yes', 'clearly', 'previous', 'infection', 'protects', 'point', 'boris', 'johnson', 'exude', 'sort', 'hypnotoad', 'like', 'pheromone', 'something']",1
['vaccination'],1
"['private', 'business', 'enforce', 'vaccination', 'mandate', 'choose']",1
"['one', 'understand', 'exactly', 'need', 'understood', 'lame', 'link', 'two', 'even', 'remains', 'lame', 'vaccination', 'compulsory', 'come', 'back', 'bawl', 'bye']",0
"['story', 'martha', 'mccall', 'lac', 'senior', 'medical', 'advisor', 'robert', 'redfield', 'comment', 'confusing', 'messaging', 'spread', 'omicron', 'importance', 'maintaining', 'vaccination', 'status', 'watch', 'full', 'interview']",1
"['world', 'top', 'virologist', 'luc_montagnier', 'winner', 'nobel_prize', 'discovery', 'hiv', 'died', 'today', 'warned', 'u', 'beginning', 'couid', 'nineteen', 'lab', 'made', 'mass', 'vaccination', 'leaky', 'vaccine', 'would', 'generate', 'endless', 'new', 'variant', 'right', 'count', 'rip']",1
"['obvious', 'common_sense', 'solution', 'always', 'take', 'free', 'safe', 'vaccination', 'deadly', 'virus', 'carry', 'business', 'like', 'non', 'lunatic']",0
"['sure', 'tooting', 'remember', 'grew', 'jackson', 'mi', 'least', 'place', 'long', 'associated', 'republican_party', 'familiar', 'conservative', 'mien', 'mindset', 'amp', 'speak', 'think', 'plain', 'language', 'think', 'couid', 'mandatory', 'vaccination']",0
"['variant', 'involved', 'vaccination', 'masking', 'ventilation', 'around', 'kid', 'time', 'meaningless', 'say', 'kid', 'danger', 'unless', 'mean', 'say', 'kid', 'not', 'not', 'ever', 'danger', 'matter']",0
"['last', 'looked', 'actually', 'hit', 'county', 'vaccination', 'threshold', 'difference', 'mah', 'cac', 'data', 'bet', 'secondary', 'school', 'though']",0
"['see', 'saying', 'alberta', 'business', 'required', 'ask', 'proof', 'vaccination', 'rely', 'alberta', 'government', 'rely', 'province']",0
"['vision', 'public', 'health', 'decision', 'tied', 'local', 'condition', 'spread', 'vaccination', 'amp', 'vulnerability', 'also', 'sound', 'reasonable', 'however', 'two', 'year', 'acting', 'happening', 'naive', 'best', 'partisan', 'politics', 'even', 'local', 'level', 'often', 'big', 'factor']",1
"['mean', 'someone', 'told', 'kill', 'get', 'vaccinated', 'understand', 'thought', 'said', 'vaccination', 'lose', 'bodily_autonomy']",0
"['concern', 'real', 'even', 'unfounded', 'addressing', 'empathy', 'genuine', 'good', 'persuade', 'canada', 'similar', 'level', 'adult', 'vaccination', 'usa']",0
