index,Text,pos_tagged_words,new_languages,words_list,new_text,scores,compound,sentiment_vader
57000,kalau aku jadi anti vaccine ni salahkan kerajaan malaysia sebab aku dah penat tunggu nak vaccine. kena tunggu sampai abang jamil mampos keeeee,"[('if', 'IN'), ('i', 'JJ'), ('become', 'VBP'), ('anti', 'JJ'), ('vaccine', 'NN'), ('blame', 'VBP'), ('the', 'DT'), ('malaysian', 'JJ'), ('government', 'NN'), ('because', 'IN'), ('i', 'NN'), ('am', 'VBP'), ('tired', 'VBN'), ('of', 'IN'), ('waiting', 'VBG'), ('for', 'IN'), ('the', 'DT'), ('vaccine', 'NN'), ('have', 'VBP'), ('to', 'TO'), ('wait', 'VB'), ('until', 'IN'), ('brother', 'NN'), ('jamil', 'NN'), ('campos', 'NN'), ('keeper', 'NN')]",ENGLISH,"['become', 'anti', 'vaccine', 'blame', 'malaysian', 'government', 'tire', 'wait', 'vaccine', 'wait', 'brother', 'jamil', 'campos', 'keeper']",become anti vaccine blame malaysian government tire wait vaccine wait brother jamil campos keeper,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.3182}",-0.3182,negative
57003,"""no vax passports"": anti-vaccine protesters gather at 'springsteen broadway' reopening","[('no', 'DT'), ('van', 'NN'), ('passports', 'VBZ'), ('i', 'JJ'), ('anti', 'VBP'), ('vaccine', 'NN'), ('protesters', 'NNS'), ('gather', 'VBP'), ('at', 'IN'), ('springsteen', 'JJ'), ('broadway', 'NN'), ('reopening', 'VBG')]",ENGLISH,"['van', 'passports', 'anti', 'vaccine', 'protester', 'gather', 'springsteen', 'broadway', 'reopen']",van passports anti vaccine protester gather springsteen broadway reopen,"{'neg': 0.339, 'neu': 0.661, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
57010,"good, sir also make sure that other persons your fraternity part left liberal anti india brigade don't take vaccine. nation be indebted you.","[('good', 'JJ'), ('sir', 'NN'), ('also', 'RB'), ('make', 'VBP'), ('sure', 'JJ'), ('that', 'IN'), ('other', 'JJ'), ('persons', 'NNS'), ('your', 'PRP$'), ('fraternity', 'NN'), ('part', 'NN'), ('left', 'VBD'), ('liberal', 'JJ'), ('anti', 'IN'), ('india', 'NN'), ('brigade', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('take', 'VB'), ('vaccine', 'NN'), ('nation', 'NN'), ('be', 'VB'), ('indebted', 'VBN'), ('you', 'PRP')]",ENGLISH,"['good', 'sir', 'also', 'make_sure', 'person', 'fraternity', 'part', 'leave', 'liberal', 'anti', 'india', 'brigade', 'not', 'take', 'vaccine', 'nation', 'indebte']",good sir also make_sure person fraternity part leave liberal anti india brigade not take vaccine nation indebte,"{'neg': 0.084, 'neu': 0.727, 'pos': 0.189, 'compound': 0.4404}",0.4404,positive
57014,some anti-vaxers my circle influence believe that second wave india was caused by vaccines because it overlapped with vaccination roll out.,"[('some', 'DT'), ('anti', 'JJ'), ('cars', 'NNS'), ('my', 'PRP$'), ('circle', 'NN'), ('influence', 'NN'), ('believe', 'VBP'), ('that', 'IN'), ('second', 'JJ'), ('wave', 'VBP'), ('india', 'NN'), ('was', 'VBD'), ('caused', 'VBN'), ('by', 'IN'), ('vaccines', 'NNS'), ('because', 'IN'), ('it', 'PRP'), ('overlapped', 'VBD'), ('with', 'IN'), ('vaccination', 'NN'), ('roll', 'NN'), ('out', 'RP')]",ENGLISH,"['anti', 'cars', 'circle', 'influence', 'believe', 'second', 'wave', 'india', 'cause', 'vaccine', 'overlap', 'vaccination', 'roll']",anti cars circle influence believe second wave india cause vaccine overlap vaccination roll,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
57044,"myself, my lovely wife &amp; respectful parents have completed taking 2 doses ur esteemed vaccine #covaxin. we feel safe &amp; hope we get good no anti-bodies fight #covid19.all best get who approval &amp; also success children clinical trails thank you","[('myself', 'PRP'), ('my', 'PRP$'), ('lovely', 'JJ'), ('wife', 'NN'), ('amp', 'NN'), ('respectful', 'JJ'), ('parents', 'NNS'), ('have', 'VBP'), ('completed', 'VBN'), ('taking', 'VBG'), ('two', 'CD'), ('doses', 'NNS'), ('ur', 'JJ'), ('esteemed', 'VBD'), ('vaccine', 'JJ'), ('coaxing', 'NN'), ('we', 'PRP'), ('feel', 'VBP'), ('safe', 'JJ'), ('amp', 'IN'), ('hope', 'NN'), ('we', 'PRP'), ('get', 'VBP'), ('good', 'JJ'), ('no', 'DT'), ('anti', 'JJ'), ('bodies', 'NNS'), ('fight', 'VBD'), ('all', 'DT'), ('best', 'JJS'), ('get', 'NN'), ('who', 'WP'), ('approval', 'NN'), ('amp', 'NN'), ('also', 'RB'), ('success', 'NN'), ('children', 'NNS'), ('clinical', 'JJ'), ('trails', 'NNS'), ('thank', 'IN'), ('you', 'PRP')]",ENGLISH,"['lovely', 'wife', 'amp', 'respectful', 'parent', 'complete', 'take', 'two', 'dose', 'ur', 'esteemed', 'vaccine', 'feel', 'safe', 'amp', 'hope', 'get', 'good', 'anti_bodie', 'fight', 'best', 'get', 'approval', 'amp', 'also', 'success', 'child', 'clinical', 'trail', 'thank']",lovely wife amp respectful parent complete take two dose ur esteemed vaccine feel safe amp hope get good anti_bodie fight best get approval amp also success child clinical trail thank,"{'neg': 0.075, 'neu': 0.424, 'pos': 0.501, 'compound': 0.9801}",0.9801,positive
57046,finally india is getting out second wave these morons started spreading anti vaccine venom so india enters third wave... so much hatred modi... i hope such people get life,"[('finally', 'RB'), ('india', 'NN'), ('is', 'VBZ'), ('getting', 'VBG'), ('out', 'RP'), ('second', 'JJ'), ('wave', 'NN'), ('these', 'DT'), ('morons', 'NNS'), ('started', 'VBD'), ('spreading', 'VBG'), ('anti', 'NN'), ('vaccine', 'NN'), ('venom', 'NN'), ('so', 'IN'), ('india', 'JJ'), ('enters', 'NNS'), ('third', 'JJ'), ('wave', 'VBP'), ('so', 'RB'), ('much', 'RB'), ('hatred', 'VBN'), ('modi', 'NN'), ('i', 'NN'), ('hope', 'VBP'), ('such', 'JJ'), ('people', 'NNS'), ('get', 'VBP'), ('life', 'NN')]",ENGLISH,"['finally', 'india', 'get', 'second', 'wave', 'moron', 'start', 'spread', 'anti', 'vaccine', 'venom', 'india', 'enter', 'third_wave', 'much', 'hatred', 'modi', 'hope', 'people', 'get', 'life']",finally india get second wave moron start spread anti vaccine venom india enter third_wave much hatred modi hope people get life,"{'neg': 0.252, 'neu': 0.667, 'pos': 0.081, 'compound': -0.7334}",-0.7334,negative
57047,"i am muslim, i stand with palestine. i support equal rights believe democracy, but world needs end racism &amp; stop being anti-vaccine. monarchy is 🇲🇾 way ruling but our pm needs step down &amp; new government should take over help save rakyat.🥰♥️","[('i', 'NN'), ('am', 'VBP'), ('muslim', 'NN'), ('i', 'NN'), ('stand', 'VBP'), ('with', 'IN'), ('palestine', 'NN'), ('i', 'JJ'), ('support', 'NN'), ('equal', 'JJ'), ('rights', 'NNS'), ('believe', 'VBP'), ('democracy', 'NN'), ('but', 'CC'), ('world', 'NN'), ('needs', 'VBZ'), ('end', 'JJ'), ('racism', 'NN'), ('amp', 'VBZ'), ('stop', 'JJ'), ('being', 'VBG'), ('anti', 'JJ'), ('vaccine', 'NN'), ('monarchy', 'NN'), ('is', 'VBZ'), ('malaysia', 'JJ'), ('way', 'NN'), ('ruling', 'NN'), ('but', 'CC'), ('our', 'PRP$'), ('am', 'VBP'), ('needs', 'JJ'), ('step', 'NN'), ('down', 'RB'), ('amp', 'RB'), ('new', 'JJ'), ('government', 'NN'), ('should', 'MD'), ('take', 'VB'), ('over', 'RP'), ('help', 'NN'), ('save', 'VB'), ('rayyan', 'NN'), ('i', 'NN')]",ENGLISH,"['muslim', 'stand', 'palestine', 'support', 'equal', 'right', 'believe', 'democracy', 'world', 'need', 'end', 'racism', 'amp', 'stop', 'anti', 'vaccine', 'monarchy', 'malaysia', 'way', 'rule', 'need', 'step', 'amp', 'new', 'government', 'take', 'help', 'save', 'rayyan']",muslim stand palestine support equal right believe democracy world need end racism amp stop anti vaccine monarchy malaysia way rule need step amp new government take help save rayyan,"{'neg': 0.162, 'neu': 0.652, 'pos': 0.186, 'compound': 0.0644}",0.0644,positive
57049,sc: politicians who run politics as business r engaged anti-national activities. vaccines/orygen supplied them hv been wasted. they provide false propaganda defame d country. our constitution doesn't provide freedom 4 such activities. hon'ble sc may take suitableaction,"[('so', 'RB'), ('politicians', 'NNS'), ('who', 'WP'), ('run', 'VBP'), ('politics', 'NNS'), ('as', 'IN'), ('business', 'NN'), ('i', 'NN'), ('engaged', 'VBD'), ('anti', 'JJ'), ('national', 'JJ'), ('activities', 'NNS'), ('vaccines', 'NNS'), ('oxygen', 'RB'), ('supplied', 'VBD'), ('them', 'PRP'), ('he', 'PRP'), ('been', 'VBN'), ('wasted', 'VBD'), ('they', 'PRP'), ('provide', 'VBP'), ('false', 'JJ'), ('propaganda', 'NN'), ('defame', 'NN'), ('i', 'JJ'), ('country', 'NN'), ('our', 'PRP$'), ('constitution', 'NN'), ('does', 'VBZ'), ('not', 'RB'), ('provide', 'VB'), ('freedom', 'RB'), ('four', 'CD'), ('such', 'JJ'), ('activities', 'NNS'), ('hon', 'VBP'), ('ble', 'JJ'), ('so', 'RB'), ('may', 'MD'), ('take', 'VB'), ('suitableaction', 'NN')]",ENGLISH,"['politician', 'run', 'politic', 'business', 'engage', 'anti', 'national', 'activity', 'vaccine', 'supply', 'waste', 'provide', 'false', 'propaganda', 'defame', 'country', 'constitution', 'not', 'provide', 'freedom', 'four', 'activity', 'hon_ble', 'may', 'take', 'suitableaction']",politician run politic business engage anti national activity vaccine supply waste provide false propaganda defame country constitution not provide freedom four activity hon_ble may take suitableaction,"{'neg': 0.208, 'neu': 0.727, 'pos': 0.065, 'compound': -0.7067}",-0.7067,negative
57057,good news. bharat biotech ney pura virus mar kar vaccine banayaa hey. receptor protein sey nahin. ab virus kartaa rahey mutation. virus kee body wahi hai naa. anti body purey virus key against hai.,"[('good', 'JJ'), ('news', 'NN'), ('bharat', 'NN'), ('biotech', 'NN'), ('ney', 'NN'), ('pura', 'NN'), ('virus', 'NN'), ('mar', 'NN'), ('kar', 'FW'), ('vaccine', 'NN'), ('banana', 'NN'), ('hey', 'NN'), ('receptor', 'NN'), ('protein', 'NN'), ('sey', 'NN'), ('pain', 'NN'), ('ab', 'JJ'), ('virus', 'NN'), ('karate', 'NN'), ('rapey', 'NN'), ('mutation', 'NN'), ('virus', 'NN'), ('kee', 'NN'), ('body', 'NN'), ('wah', 'JJ'), ('hai', 'NN'), ('naa', 'JJ'), ('anti', 'NN'), ('body', 'NN'), ('pure', 'JJ'), ('virus', 'NN'), ('key', 'NN'), ('against', 'IN'), ('hai', 'NN')]",Unknown,"['good', 'news', 'bharat_biotech', 'ney', 'pura', 'virus', 'mar', 'kar', 'vaccine', 'banana', 'hey', 'receptor', 'protein', 'sey', 'pain', 'ab', 'virus', 'karate', 'rapey', 'mutation', 'virus', 'kee', 'body', 'wah', 'hai', 'anti', 'body', 'pure', 'virus', 'key', 'hai']",good news bharat_biotech ney pura virus mar kar vaccine banana hey receptor protein sey pain ab virus karate rapey mutation virus kee body wah hai anti body pure virus key hai,"{'neg': 0.062, 'neu': 0.86, 'pos': 0.078, 'compound': 0.1531}",0.1531,positive
57065,"no jobs no vaccines mantra is push more people poverty through anti people policy , crumbling health infrastructure lead millions death.lack talent callousness lead chaos wake up before it's too late.","[('no', 'DT'), ('jobs', 'NNS'), ('no', 'DT'), ('vaccines', 'NNS'), ('mantra', 'FW'), ('is', 'VBZ'), ('push', 'VBN'), ('more', 'JJR'), ('people', 'NNS'), ('poverty', 'VBP'), ('through', 'IN'), ('anti', 'JJ'), ('people', 'NNS'), ('policy', 'NN'), ('crumbling', 'VBG'), ('health', 'NN'), ('infrastructure', 'NN'), ('lead', 'JJ'), ('millions', 'NNS'), ('death', 'NN'), ('lack', 'NN'), ('talent', 'NN'), ('callousness', 'NN'), ('lead', 'JJ'), ('chaos', 'NN'), ('wake', 'VBP'), ('up', 'RP'), ('before', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('too', 'RB'), ('late', 'JJ')]",ENGLISH,"['job', 'vaccines', 'mantra', 'push', 'people', 'poverty', 'anti', 'people', 'policy', 'crumble', 'health', 'infrastructure', 'lead', 'million', 'death', 'lack', 'talent', 'callousness', 'lead', 'chaos', 'wake', 'late']",job vaccines mantra push people poverty anti people policy crumble health infrastructure lead million death lack talent callousness lead chaos wake late,"{'neg': 0.343, 'neu': 0.589, 'pos': 0.069, 'compound': -0.8801}",-0.8801,negative
