Text,pos_tagged_words,words_list,new_text,scores,compound,sentiment_vader
"this was response post praising pfizer vaccine april. this gop party organizer texas regularly posted evangelical christian memes when he wasn't routinely telling people ""eat dick."" he just widowed his wife orphaned his son by dying covid.","[('this', 'DT'), ('was', 'VBD'), ('response', 'NN'), ('post', 'NN'), ('praising', 'VBG'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('april', 'IN'), ('this', 'DT'), ('gop', 'JJ'), ('party', 'NN'), ('organizer', 'NN'), ('texas', 'VBZ'), ('regularly', 'RB'), ('posted', 'VBN'), ('evangelical', 'JJ'), ('christian', 'JJ'), ('memes', 'NNS'), ('when', 'WRB'), ('he', 'PRP'), ('wasn', 'VBD'), ('i', 'JJ'), ('routinely', 'RB'), ('telling', 'VBG'), ('people', 'NNS'), ('eat', 'VBP'), ('dick', 'JJ'), ('i', 'NN'), ('he', 'PRP'), ('just', 'RB'), ('widowed', 'VBD'), ('his', 'PRP$'), ('wife', 'NN'), ('orphaned', 'VBD'), ('his', 'PRP$'), ('son', 'NN'), ('by', 'IN'), ('dying', 'VBG'), ('covid', 'NN')]","['response', 'post', 'praise', 'pfizer', 'vaccine', 'april', 'gop', 'party', 'organizer', 'texas', 'regularly', 'post', 'evangelical', 'christian', 'meme', 'routinely', 'tell', 'people', 'eat', 'dick', 'widow', 'wife', 'orphan', 'son', 'die', 'covid']",response post praise pfizer vaccine april gop party organizer texas regularly post evangelical christian meme routinely tell people eat dick widow wife orphan son die covid,"{'neg': 0.072, 'neu': 0.785, 'pos': 0.143, 'compound': 0.4767}",0.4767,negative
les van poner pfizer pinches morrillos cagasones suertudos. vayanse vacunar,"[('they', 'PRP'), ('re', 'VBP'), ('going', 'VBG'), ('to', 'TO'), ('put', 'VB'), ('pfizer', 'NN'), ('on', 'IN'), ('you', 'PRP'), ('fucking', 'VBG'), ('lucky', 'JJ'), ('shitheads', 'NNS'), ('go', 'VBP'), ('get', 'VB'), ('vaccinated', 'VBN')]","['go', 'put', 'pfizer', 'fuck', 'lucky', 'shithead', 'go', 'get', 'vaccinate']",go put pfizer fuck lucky shithead go get vaccinate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,negative
after may 2nd pfizer vax 6 days id be glad go over help work them i am have no problem doing what i can its only 50 miles my place.,"[('after', 'IN'), ('may', 'MD'), ('and', 'CC'), ('pfizer', 'VB'), ('van', 'JJ'), ('six', 'CD'), ('days', 'NNS'), ('id', 'RB'), ('be', 'VB'), ('glad', 'JJ'), ('go', 'VB'), ('over', 'IN'), ('help', 'NN'), ('work', 'VB'), ('them', 'PRP'), ('i', 'VB'), ('am', 'VBP'), ('have', 'VBP'), ('no', 'DT'), ('problem', 'NN'), ('doing', 'VBG'), ('what', 'WP'), ('i', 'NN'), ('can', 'MD'), ('its', 'PRP$'), ('only', 'JJ'), ('fifty', 'NN'), ('miles', 'NNS'), ('my', 'PRP$'), ('place', 'NN')]","['may', 'pfizer', 'van', 'day', 'I', 'd', 'glad', 'go', 'help', 'work', 'problem', 'fifty', 'mile', 'place']",may pfizer van day I d glad go help work problem fifty mile place,"{'neg': 0.146, 'neu': 0.685, 'pos': 0.17, 'compound': 0.2023}",0.2023,positive
cher i got my second pfizer vaccine shot may 1st. i'm fully vaccinated cher. i still wear mask everywhere i go. even at work. i guess target mandated that all target employees wear masks. that's what i saw at work today. will when i work this weekend to. masks,"[('cher', 'NN'), ('i', 'NN'), ('got', 'VBD'), ('my', 'PRP$'), ('second', 'JJ'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('shot', 'NN'), ('may', 'MD'), ('est', 'VB'), ('i', 'NN'), ('i', 'VBP'), ('fully', 'RB'), ('vaccinated', 'VBN'), ('cher', 'NN'), ('i', 'NN'), ('still', 'RB'), ('wear', 'JJ'), ('mask', 'NN'), ('everywhere', 'RB'), ('i', 'JJ'), ('go', 'VBP'), ('even', 'RB'), ('at', 'IN'), ('work', 'NN'), ('i', 'NN'), ('guess', 'NN'), ('target', 'NN'), ('mandated', 'VBD'), ('that', 'IN'), ('all', 'DT'), ('target', 'NN'), ('employees', 'NNS'), ('wear', 'VBP'), ('masks', 'NNS'), ('that', 'IN'), ('i', 'VBP'), ('what', 'WP'), ('i', 'NN'), ('saw', 'VBD'), ('at', 'IN'), ('work', 'NN'), ('today', 'NN'), ('will', 'MD'), ('when', 'WRB'), ('i', 'VB'), ('work', 'VBP'), ('this', 'DT'), ('weekend', 'NN'), ('to', 'TO'), ('masks', 'VB')]","['cher', 'get', 'second', 'pfizer', 'vaccine', 'shoot', 'may', 'est', 'fully', 'vaccinated', 'cher', 'still', 'wear_mask', 'everywhere', 'go', 'even', 'work', 'guess', 'target', 'mandate', 'target', 'employee', 'wear_mask', 'see', 'work', 'today', 'work', 'weekend', 'mask']",cher get second pfizer vaccine shoot may est fully vaccinated cher still wear_mask everywhere go even work guess target mandate target employee wear_mask see work today work weekend mask,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
eso es con pfizer,"[('that', 'IN'), ('i', 'NN'), ('with', 'IN'), ('pfizer', 'NN')]",['pfizer'],pfizer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
💉dp'ed by pfizer april 😌,"[('syringe', 'NN'), ('ed', 'NN'), ('by', 'IN'), ('pfizer', 'NN'), ('april', 'NN')]","['syringe', 'ed', 'pfizer', 'april']",syringe ed pfizer april,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
✋✋✋✋💉double dose pfizer,"[('dose', 'JJ'), ('pfizer', 'NN')]","['dose', 'pfizer']",dose pfizer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
👍🏼 double shot pfizer,"[('double', 'RB'), ('shot', 'JJ'), ('pfizer', 'NN')]","['double', 'shot', 'pfizer']",double shot pfizer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"yo no, pero sí en un r4 renault. ya dos pfizer","[('i', 'JJ'), ('don', 'VBP'), ('i', 'JJ'), ('but', 'CC'), ('i', 'JJ'), ('do', 'VBP'), ('in', 'IN'), ('a', 'DT'), ('renault', 'NN'), ('re', 'NN'), ('already', 'RB'), ('two', 'CD'), ('pfizer', 'NN')]","['renault', 'already', 'two', 'pfizer']",renault already two pfizer,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}",-0.296,neutral
"couple things. my wife has ra. takes plaquenil plus other rx. never once had problem getting it refilled during 2020. also, she had pfizer jabs was tested antibodies 2 months later has no negligible antibodies. meds counteract vax.","[('couple', 'NN'), ('things', 'NNS'), ('my', 'PRP$'), ('wife', 'NN'), ('has', 'VBZ'), ('ra', 'VBN'), ('takes', 'VBZ'), ('plaquenil', 'JJ'), ('plus', 'CC'), ('other', 'JJ'), ('re', 'NN'), ('never', 'RB'), ('once', 'RB'), ('had', 'VBD'), ('problem', 'NN'), ('getting', 'VBG'), ('it', 'PRP'), ('refilled', 'VBD'), ('during', 'IN'), ('also', 'RB'), ('she', 'PRP'), ('had', 'VBD'), ('pfizer', 'NN'), ('jabs', 'NN'), ('was', 'VBD'), ('tested', 'VBN'), ('antibodies', 'NNS'), ('two', 'CD'), ('months', 'NNS'), ('later', 'RB'), ('has', 'VBZ'), ('no', 'DT'), ('negligible', 'JJ'), ('antibodies', 'NNS'), ('meds', 'NNS'), ('counteract', 'VBP'), ('van', 'NN')]","['couple', 'thing', 'wife', 'ra', 'take', 'plaquenil', 'plus', 'never', 'problem', 'get', 'refill', 'also', 'pfizer', 'jab', 'test', 'antibodie', 'two', 'month', 'later', 'negligible', 'antibody', 'med', 'counteract', 'van']",couple thing wife ra take plaquenil plus never problem get refill also pfizer jab test antibodie two month later negligible antibody med counteract van,"{'neg': 0.056, 'neu': 0.887, 'pos': 0.057, 'compound': 0.015}",0.015,neutral
