index,Text,pos_tagged_words,new_languages,words_list,new_text,scores,compound,sentiment_vader,,,,,,
57000,kalau aku jadi anti vaccine ni salahkan kerajaan malaysia sebab aku dah penat tunggu nak vaccine. kena tunggu sampai abang jamil mampos keeeee,"[('if', 'IN'), ('i', 'JJ'), ('become', 'VBP'), ('anti', 'JJ'), ('vaccine', 'NN'), ('blame', 'VBP'), ('the', 'DT'), ('malaysian', 'JJ'), ('government', 'NN'), ('because', 'IN'), ('i', 'NN'), ('am', 'VBP'), ('tired', 'VBN'), ('of', 'IN'), ('waiting', 'VBG'), ('for', 'IN'), ('the', 'DT'), ('vaccine', 'NN'), ('have', 'VBP'), ('to', 'TO'), ('wait', 'VB'), ('until', 'IN'), ('brother', 'NN'), ('jamil', 'NN'), ('campos', 'NN'), ('keeper', 'NN')]",ENGLISH,"['become', 'anti', 'vaccine', 'blame', 'malaysian', 'government', 'tire', 'wait', 'vaccine', 'wait', 'brother', 'jamil', 'campos', 'keeper']",become anti vaccine blame malaysian government tire wait vaccine wait brother jamil campos keeper,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.3182}",-0.3182,negative,,,,,,
57003,"""no vax passports"": anti-vaccine protesters gather at 'springsteen broadway' reopening","[('no', 'DT'), ('van', 'NN'), ('passports', 'VBZ'), ('i', 'JJ'), ('anti', 'VBP'), ('vaccine', 'NN'), ('protesters', 'NNS'), ('gather', 'VBP'), ('at', 'IN'), ('springsteen', 'JJ'), ('broadway', 'NN'), ('reopening', 'VBG')]",ENGLISH,"['van', 'passports', 'anti', 'vaccine', 'protester', 'gather', 'springsteen', 'broadway', 'reopen']",van passports anti vaccine protester gather springsteen broadway reopen,"{'neg': 0.339, 'neu': 0.661, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative,,,,,,
57044,"myself, my lovely wife &amp; respectful parents have completed taking 2 doses ur esteemed vaccine #covaxin. we feel safe &amp; hope we get good no anti-bodies fight #covid19.all best get who approval &amp; also success children clinical trails thank you","[('myself', 'PRP'), ('my', 'PRP$'), ('lovely', 'JJ'), ('wife', 'NN'), ('amp', 'NN'), ('respectful', 'JJ'), ('parents', 'NNS'), ('have', 'VBP'), ('completed', 'VBN'), ('taking', 'VBG'), ('two', 'CD'), ('doses', 'NNS'), ('ur', 'JJ'), ('esteemed', 'VBD'), ('vaccine', 'JJ'), ('coaxing', 'NN'), ('we', 'PRP'), ('feel', 'VBP'), ('safe', 'JJ'), ('amp', 'IN'), ('hope', 'NN'), ('we', 'PRP'), ('get', 'VBP'), ('good', 'JJ'), ('no', 'DT'), ('anti', 'JJ'), ('bodies', 'NNS'), ('fight', 'VBD'), ('all', 'DT'), ('best', 'JJS'), ('get', 'NN'), ('who', 'WP'), ('approval', 'NN'), ('amp', 'NN'), ('also', 'RB'), ('success', 'NN'), ('children', 'NNS'), ('clinical', 'JJ'), ('trails', 'NNS'), ('thank', 'IN'), ('you', 'PRP')]",ENGLISH,"['lovely', 'wife', 'amp', 'respectful', 'parent', 'complete', 'take', 'two', 'dose', 'ur', 'esteemed', 'vaccine', 'feel', 'safe', 'amp', 'hope', 'get', 'good', 'anti_bodie', 'fight', 'best', 'get', 'approval', 'amp', 'also', 'success', 'child', 'clinical', 'trail', 'thank']",lovely wife amp respectful parent complete take two dose ur esteemed vaccine feel safe amp hope get good anti_bodie fight best get approval amp also success child clinical trail thank,"{'neg': 0.075, 'neu': 0.424, 'pos': 0.501, 'compound': 0.9801}",0.9801,positive,,,,,,
57046,finally india is getting out second wave these morons started spreading anti vaccine venom so india enters third wave... so much hatred modi... i hope such people get life,"[('finally', 'RB'), ('india', 'NN'), ('is', 'VBZ'), ('getting', 'VBG'), ('out', 'RP'), ('second', 'JJ'), ('wave', 'NN'), ('these', 'DT'), ('morons', 'NNS'), ('started', 'VBD'), ('spreading', 'VBG'), ('anti', 'NN'), ('vaccine', 'NN'), ('venom', 'NN'), ('so', 'IN'), ('india', 'JJ'), ('enters', 'NNS'), ('third', 'JJ'), ('wave', 'VBP'), ('so', 'RB'), ('much', 'RB'), ('hatred', 'VBN'), ('modi', 'NN'), ('i', 'NN'), ('hope', 'VBP'), ('such', 'JJ'), ('people', 'NNS'), ('get', 'VBP'), ('life', 'NN')]",ENGLISH,"['finally', 'india', 'get', 'second', 'wave', 'moron', 'start', 'spread', 'anti', 'vaccine', 'venom', 'india', 'enter', 'third_wave', 'much', 'hatred', 'modi', 'hope', 'people', 'get', 'life']",finally india get second wave moron start spread anti vaccine venom india enter third_wave much hatred modi hope people get life,"{'neg': 0.252, 'neu': 0.667, 'pos': 0.081, 'compound': -0.7334}",-0.7334,negative,,,,,,
57049,sc: politicians who run politics as business r engaged anti-national activities. vaccines/orygen supplied them hv been wasted. they provide false propaganda defame d country. our constitution doesn't provide freedom 4 such activities. hon'ble sc may take suitableaction,"[('so', 'RB'), ('politicians', 'NNS'), ('who', 'WP'), ('run', 'VBP'), ('politics', 'NNS'), ('as', 'IN'), ('business', 'NN'), ('i', 'NN'), ('engaged', 'VBD'), ('anti', 'JJ'), ('national', 'JJ'), ('activities', 'NNS'), ('vaccines', 'NNS'), ('oxygen', 'RB'), ('supplied', 'VBD'), ('them', 'PRP'), ('he', 'PRP'), ('been', 'VBN'), ('wasted', 'VBD'), ('they', 'PRP'), ('provide', 'VBP'), ('false', 'JJ'), ('propaganda', 'NN'), ('defame', 'NN'), ('i', 'JJ'), ('country', 'NN'), ('our', 'PRP$'), ('constitution', 'NN'), ('does', 'VBZ'), ('not', 'RB'), ('provide', 'VB'), ('freedom', 'RB'), ('four', 'CD'), ('such', 'JJ'), ('activities', 'NNS'), ('hon', 'VBP'), ('ble', 'JJ'), ('so', 'RB'), ('may', 'MD'), ('take', 'VB'), ('suitableaction', 'NN')]",ENGLISH,"['politician', 'run', 'politic', 'business', 'engage', 'anti', 'national', 'activity', 'vaccine', 'supply', 'waste', 'provide', 'false', 'propaganda', 'defame', 'country', 'constitution', 'not', 'provide', 'freedom', 'four', 'activity', 'hon_ble', 'may', 'take', 'suitableaction']",politician run politic business engage anti national activity vaccine supply waste provide false propaganda defame country constitution not provide freedom four activity hon_ble may take suitableaction,"{'neg': 0.208, 'neu': 0.727, 'pos': 0.065, 'compound': -0.7067}",-0.7067,negative,,,,,,
57065,"no jobs no vaccines mantra is push more people poverty through anti people policy , crumbling health infrastructure lead millions death.lack talent callousness lead chaos wake up before it's too late.","[('no', 'DT'), ('jobs', 'NNS'), ('no', 'DT'), ('vaccines', 'NNS'), ('mantra', 'FW'), ('is', 'VBZ'), ('push', 'VBN'), ('more', 'JJR'), ('people', 'NNS'), ('poverty', 'VBP'), ('through', 'IN'), ('anti', 'JJ'), ('people', 'NNS'), ('policy', 'NN'), ('crumbling', 'VBG'), ('health', 'NN'), ('infrastructure', 'NN'), ('lead', 'JJ'), ('millions', 'NNS'), ('death', 'NN'), ('lack', 'NN'), ('talent', 'NN'), ('callousness', 'NN'), ('lead', 'JJ'), ('chaos', 'NN'), ('wake', 'VBP'), ('up', 'RP'), ('before', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('too', 'RB'), ('late', 'JJ')]",ENGLISH,"['job', 'vaccines', 'mantra', 'push', 'people', 'poverty', 'anti', 'people', 'policy', 'crumble', 'health', 'infrastructure', 'lead', 'million', 'death', 'lack', 'talent', 'callousness', 'lead', 'chaos', 'wake', 'late']",job vaccines mantra push people poverty anti people policy crumble health infrastructure lead million death lack talent callousness lead chaos wake late,"{'neg': 0.343, 'neu': 0.589, 'pos': 0.069, 'compound': -0.8801}",-0.8801,negative,,,,,,
57076,this is why i hate anti-vaxxers vaccine cautious assholes. their shit advice can actually do real harm.,"[('this', 'DT'), ('is', 'VBZ'), ('why', 'WRB'), ('i', 'JJ'), ('hate', 'NN'), ('anti', 'NN'), ('baxters', 'NNS'), ('vaccine', 'VBP'), ('cautious', 'JJ'), ('assholes', 'NNS'), ('their', 'PRP$'), ('shit', 'JJ'), ('advice', 'NN'), ('can', 'MD'), ('actually', 'RB'), ('do', 'VB'), ('real', 'JJ'), ('harm', 'NN')]",ENGLISH,"['hate', 'anti_baxter', 'vaccine', 'cautious', 'asshole', 'shit', 'advice', 'actually', 'real', 'harm']",hate anti_baxter vaccine cautious asshole shit advice actually real harm,"{'neg': 0.593, 'neu': 0.407, 'pos': 0.0, 'compound': -0.9432}",-0.9432,negative,,,,,,
68319,"only 5 out 158 fully vaccinated citizens who got covid-19 aug 2021, 90 days after their 2nd dose required hospitalisation, reveals analysis by . however, all patients recovered- indicating vaccine works. #getvaccinated","[('only', 'RB'), ('five', 'CD'), ('out', 'RP'), ('fully', 'RB'), ('vaccinated', 'JJ'), ('citizens', 'NNS'), ('who', 'WP'), ('got', 'VBD'), ('couid', 'JJ'), ('nineteen', 'JJ'), ('aug', 'JJ'), ('ninety', 'NN'), ('days', 'NNS'), ('after', 'IN'), ('their', 'PRP$'), ('and', 'CC'), ('dose', 'VB'), ('required', 'VBN'), ('hospitalization', 'NN'), ('reveals', 'NNS'), ('analysis', 'NN'), ('by', 'IN'), ('however', 'RB'), ('all', 'DT'), ('patients', 'NNS'), ('recovered', 'VBD'), ('indicating', 'VBG'), ('vaccine', 'NN'), ('works', 'NNS'), ('getvaccinated', 'VBD')]",ENGLISH,"['five', 'fully', 'vaccinate', 'citizen', 'get', 'couid', 'nineteen', 'aug', 'ninety', 'day', 'dose', 'require', 'hospitalization', 'reveal', 'analysis', 'however', 'patient', 'recover', 'indicate', 'vaccine', 'work', 'getvaccinate']",five fully vaccinate citizen get couid nineteen aug ninety day dose require hospitalization reveal analysis however patient recover indicate vaccine work getvaccinate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,,,,
57095,waste vaccine waste ventilators waste oxygen this is anti nationalist activity carried out by opposition &amp; depriving needy citizens,"[('waste', 'NN'), ('vaccine', 'NN'), ('waste', 'NN'), ('ventilators', 'NNS'), ('waste', 'VBP'), ('oxygen', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('anti', 'JJ'), ('nationalist', 'JJ'), ('activity', 'NN'), ('carried', 'VBD'), ('out', 'RP'), ('by', 'IN'), ('opposition', 'NN'), ('amp', 'NN'), ('depriving', 'VBG'), ('needy', 'JJ'), ('citizens', 'NNS')]",ENGLISH,"['waste', 'vaccine', 'waste', 'ventilator', 'waste', 'anti', 'nationalist', 'activity', 'carry', 'opposition', 'amp', 'deprive', 'needy', 'citizen']",waste vaccine waste ventilator waste anti nationalist activity carry opposition amp deprive needy citizen,"{'neg': 0.553, 'neu': 0.447, 'pos': 0.0, 'compound': -0.9337}",-0.9337,negative,,,,,,
57177,"bjp leaders are hoarding vaccines, life saving drugs &amp; ambulances. bjp is creating crisis market. this is against country, they are anti-national. 😡😡","[('bop', 'NN'), ('leaders', 'NNS'), ('are', 'VBP'), ('hoarding', 'VBG'), ('vaccines', 'NNS'), ('life', 'NN'), ('saving', 'VBG'), ('drugs', 'NNS'), ('amp', 'JJ'), ('ambulances', 'NNS'), ('bop', 'NN'), ('is', 'VBZ'), ('creating', 'VBG'), ('crisis', 'NN'), ('market', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('against', 'IN'), ('country', 'NN'), ('they', 'PRP'), ('are', 'VBP'), ('anti', 'JJ'), ('national', 'JJ')]",ENGLISH,"['bop', 'leader', 'hoard', 'vaccine', 'life_save', 'drug', 'amp', 'ambulance', 'bop', 'create', 'crisis', 'market', 'country', 'anti', 'national']",bop leader hoard vaccine life_save drug amp ambulance bop create crisis market country anti national,"{'neg': 0.15, 'neu': 0.769, 'pos': 0.081, 'compound': -0.4404}",-0.4404,negative,,,,,,
