Text,new_text,languages,new_text_after_translation,pos_tagged_words,words_processed_all,words_processed_noun_adj_verb_adv,words_processed_noun,scores,compound,sentiment
cher i got my second pfizer vaccine shot may 1st. i'm fully vaccinated cher. i still wear mask everywhere i go. even at work. i guess target mandated that all target employees wear masks. that's what i saw at work today. will when i work this weekend to. masks,cher i got my second pfizer vaccine shot may 1st. i'm fully vaccinated cher. i still wear mask everywhere i go. even at work. i guess target mandated that all target employees wear masks. that's what i saw at work today. will when i work this weekend to. masks,ENGLISH,cher i got my second pfizer vaccine shot may 1st. i'm fully vaccinated cher. i still wear mask everywhere i go. even at work. i guess target mandated that all target employees wear masks. that's what i saw at work today. will when i work this weekend to. masks,"[('cher', 'NN'), ('i', 'NN'), ('got', 'VBD'), ('my', 'PRP$'), ('second', 'JJ'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('shot', 'NN'), ('may', 'MD'), ('est', 'VB'), ('i', 'NN'), ('i', 'VBP'), ('fully', 'RB'), ('vaccinated', 'VBN'), ('cher', 'NN'), ('i', 'NN'), ('still', 'RB'), ('wear', 'JJ'), ('mask', 'NN'), ('everywhere', 'RB'), ('i', 'JJ'), ('go', 'VBP'), ('even', 'RB'), ('at', 'IN'), ('work', 'NN'), ('i', 'NN'), ('guess', 'NN'), ('target', 'NN'), ('mandated', 'VBD'), ('that', 'IN'), ('all', 'DT'), ('target', 'NN'), ('employees', 'NNS'), ('wear', 'VBP'), ('masks', 'NNS'), ('that', 'IN'), ('i', 'VBP'), ('what', 'WP'), ('i', 'NN'), ('saw', 'VBD'), ('at', 'IN'), ('work', 'NN'), ('today', 'NN'), ('will', 'MD'), ('when', 'WRB'), ('i', 'VB'), ('work', 'VBP'), ('this', 'DT'), ('weekend', 'NN'), ('to', 'TO'), ('masks', 'VB')]","['cher', 'get', 'second', 'pfizer', 'vaccine', 'shoot', 'may', 'est', 'fully', 'vaccinated', 'cher', 'still', 'wear_mask', 'everywhere', 'go', 'even', 'work', 'guess', 'target', 'mandate', 'target', 'employee', 'wear_mask', 'see', 'work', 'today', 'work', 'weekend', 'mask']","['cher', 'get', 'second', 'pfizer', 'vaccine', 'shoot', 'est', 'fully', 'vaccinated', 'cher', 'still', 'wear_mask', 'everywhere', 'go', 'even', 'work', 'guess', 'target', 'mandate', 'target', 'employee', 'wear_mask', 'see', 'work', 'today', 'work', 'weekend', 'mask']","['cher', 'pfizer', 'vaccine', 'cher', 'guess', 'target', 'target', 'employee', 'wear_mask', 'work', 'today', 'work', 'weekend', 'mask']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
üíâdp'ed by pfizer april üòå,syringedp'ed by pfizer april relieved_face,ENGLISH,syringedp'ed by pfizer april relieved_face,"[('syringe', 'NN'), ('ed', 'NN'), ('by', 'IN'), ('pfizer', 'NN'), ('april', 'NN')]","['syringe', 'ed', 'pfizer', 'april']",['syringe'],['syringe'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
üëçüèº double shot pfizer,thumbs_upmedium-light_skin_tone double shot pfizer,ENGLISH,thumbs_upmedium-light_skin_tone double shot pfizer,"[('double', 'RB'), ('shot', 'JJ'), ('pfizer', 'NN')]","['double', 'shot', 'pfizer']","['double', 'shot', 'pfizer']","['shot', 'pfizer']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral
"couple things. my wife has ra. takes plaquenil plus other rx. never once had problem getting it refilled during 2020. also, she had pfizer jabs was tested antibodies 2 months later has no negligible antibodies. meds counteract vax.","couple things. my wife has ra. takes plaquenil plus other rx. never once had problem getting it refilled during 2020. also, she had pfizer jabs was tested antibodies 2 months later has no negligible antibodies. meds counteract vax.",ENGLISH,"couple things. my wife has ra. takes plaquenil plus other rx. never once had problem getting it refilled during 2020. also, she had pfizer jabs was tested antibodies 2 months later has no negligible antibodies. meds counteract vax.","[('couple', 'NN'), ('things', 'NNS'), ('my', 'PRP$'), ('wife', 'NN'), ('has', 'VBZ'), ('ra', 'VBN'), ('takes', 'VBZ'), ('plaquenil', 'JJ'), ('plus', 'CC'), ('other', 'JJ'), ('re', 'NN'), ('never', 'RB'), ('once', 'RB'), ('had', 'VBD'), ('problem', 'NN'), ('getting', 'VBG'), ('it', 'PRP'), ('refilled', 'VBD'), ('during', 'IN'), ('also', 'RB'), ('she', 'PRP'), ('had', 'VBD'), ('pfizer', 'NN'), ('jabs', 'NN'), ('was', 'VBD'), ('tested', 'VBN'), ('antibodies', 'NNS'), ('two', 'CD'), ('months', 'NNS'), ('later', 'RB'), ('has', 'VBZ'), ('no', 'DT'), ('negligible', 'JJ'), ('antibodies', 'NNS'), ('meds', 'NNS'), ('counteract', 'VBP'), ('van', 'NN')]","['couple', 'thing', 'wife', 'ra', 'take', 'plaquenil', 'plus', 'never', 'problem', 'get', 'refill', 'also', 'pfizer', 'jab', 'test', 'antibodie', 'two', 'month', 'later', 'negligible', 'antibody', 'med', 'counteract', 'van']","['couple', 'thing', 'wife', 'take', 'plaquenil', 'never', 'problem', 'get', 'refill', 'also', 'jab', 'test', 'antibodie', 'month', 'later', 'negligible', 'antibody', 'med', 'counteract', 'van']","['couple', 'thing', 'wife', 'plaquenil', 'problem', 'jab', 'month', 'antibody', 'van']","{'neg': 0.056, 'neu': 0.887, 'pos': 0.057, 'compound': 0.015}",0.015,neutral
"great, me too back april. pfizer 2 shots","great, me too back april. pfizer 2 shots",ENGLISH,"great, me too back april. pfizer 2 shots","[('great', 'JJ'), ('me', 'PRP'), ('too', 'RB'), ('back', 'RB'), ('april', 'JJ'), ('pfizer', 'NN'), ('two', 'CD'), ('shots', 'NNS')]","['great', 'back', 'april', 'pfizer', 'two', 'shot']","['great', 'pfizer', 'shot']","['pfizer', 'shot']","{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.6249}",0.6249,positive
no side effects pfizer 2x it just felt like somebody punched me my right arm,no side effects pfizer 2x it just felt like somebody punched me my right arm,ENGLISH,no side effects pfizer 2x it just felt like somebody punched me my right arm,"[('no', 'DT'), ('side', 'NN'), ('effects', 'NNS'), ('pfizer', 'VBP'), ('ex', 'VB'), ('it', 'PRP'), ('just', 'RB'), ('felt', 'VBD'), ('like', 'IN'), ('somebody', 'NN'), ('punched', 'VBD'), ('me', 'PRP'), ('my', 'PRP$'), ('right', 'JJ'), ('arm', 'NN')]","['side_effect', 'pfizer', 'feel', 'like', 'somebody', 'punch', 'right', 'arm']","['side_effect', 'pfizer', 'feel', 'punch', 'right', 'arm']","['side_effect', 'pfizer', 'arm']","{'neg': 0.124, 'neu': 0.734, 'pos': 0.141, 'compound': 0.0772}",0.0772,negative
"i had 2 doses pfizer also, sore arm day was all i had","i had 2 doses pfizer also, sore arm day was all i had",ENGLISH,"i had 2 doses pfizer also, sore arm day was all i had","[('i', 'NN'), ('had', 'VBD'), ('two', 'CD'), ('doses', 'NNS'), ('pfizer', 'NN'), ('also', 'RB'), ('sore', 'VBD'), ('arm', 'JJ'), ('day', 'NN'), ('was', 'VBD'), ('all', 'DT'), ('i', 'NN'), ('had', 'VBD')]","['two', 'dose', 'pfizer', 'also', 'sore', 'arm', 'day']","['dose', 'pfizer', 'also', 'sore', 'arm', 'day']","['dose', 'pfizer', 'arm', 'day']","{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.3612}",-0.3612,neutral
my entire family had pfizer ‚Äî all have severe health conditions ‚Äî no one had anything more serious than brief headache.,my entire family had pfizer ‚Äî all have severe health conditions ‚Äî no one had anything more serious than brief headache.,ENGLISH,my entire family had pfizer ‚Äî all have severe health conditions ‚Äî no one had anything more serious than brief headache.,"[('my', 'PRP$'), ('entire', 'JJ'), ('family', 'NN'), ('had', 'VBD'), ('pfizer', 'VBN'), ('i', 'RB'), ('all', 'DT'), ('have', 'VBP'), ('severe', 'JJ'), ('health', 'NN'), ('conditions', 'NNS'), ('i', 'VBP'), ('no', 'DT'), ('one', 'NN'), ('had', 'VBD'), ('anything', 'NN'), ('more', 'RBR'), ('serious', 'JJ'), ('than', 'IN'), ('brief', 'NN'), ('headache', 'NN')]","['entire', 'family', 'pfizer', 'severe', 'health', 'condition', 'one', 'anything', 'serious', 'brief', 'headache']","['entire', 'family', 'pfizer', 'severe', 'health', 'condition', 'serious', 'brief', 'headache']","['family', 'pfizer', 'health', 'condition', 'headache']","{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.659}",-0.659,positive
"our partners at are hosting community vaccination clinic this saturday 1-4pm at yemassee heights, 21 castle hall rd, yemassee. pfizer vaccine will be available anyone ages 12+. get your safe effective vaccine now","our partners at are hosting community vaccination clinic this saturday 1-4pm at yemassee heights, 21 castle hall rd, yemassee. pfizer vaccine will be available anyone ages 12+. get your safe effective vaccine now",ENGLISH,"our partners at are hosting community vaccination clinic this saturday 1-4pm at yemassee heights, 21 castle hall rd, yemassee. pfizer vaccine will be available anyone ages 12+. get your safe effective vaccine now","[('our', 'PRP$'), ('partners', 'NNS'), ('at', 'IN'), ('are', 'VBP'), ('hosting', 'VBG'), ('community', 'NN'), ('vaccination', 'NN'), ('clinic', 'NN'), ('this', 'DT'), ('saturday', 'NN'), ('one', 'CD'), ('up', 'NN'), ('at', 'IN'), ('yemassee', 'NNP'), ('heights', 'NNS'), ('twentynine', 'VBP'), ('castle', 'JJ'), ('hall', 'NN'), ('red', 'VBD'), ('yemassee', 'JJ'), ('pfizer', 'NN'), ('vaccine', 'NN'), ('will', 'MD'), ('be', 'VB'), ('available', 'JJ'), ('anyone', 'NN'), ('ages', 'VBZ'), ('twelve', 'VBP'), ('i', 'JJ'), ('get', 'VBP'), ('your', 'PRP$'), ('safe', 'JJ'), ('effective', 'JJ'), ('vaccine', 'NN'), ('now', 'RB')]","['partner', 'host', 'community', 'vaccination', 'clinic', 'saturday', 'one', 'yemassee', 'heights', 'twentynine', 'castle', 'hall', 'red', 'yemassee', 'pfizer', 'vaccine', 'available', 'anyone', 'ages_twelve', 'get', 'safe', 'effective', 'vaccine']","['partner', 'host', 'community', 'vaccination', 'clinic', 'pfizer', 'vaccine', 'available', 'ages_twelve', 'get', 'safe', 'effective', 'vaccine']","['partner', 'community', 'vaccination', 'clinic', 'pfizer', 'vaccine', 'ages_twelve', 'vaccine']","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.7184}",0.7184,positive
"after doing some research today, i discovered pfizer is still recruiting their pediatric #covid19 vaccine studies. if you‚Äôre parent or know parent who would be interested enrolling their child:","after doing some research today, i discovered pfizer is still recruiting their pediatric #covid19 vaccine studies. if you‚Äôre parent or know parent who would be interested enrolling their chilTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry",ENGLISH,"after doing some research today, i discovered pfizer is still recruiting their pediatric #covid19 vaccine studies. if you‚Äôre parent or know parent who would be interested enrolling their chilTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry","[('after', 'IN'), ('doing', 'VBG'), ('some', 'DT'), ('research', 'NN'), ('today', 'NN'), ('i', 'VBP'), ('discovered', 'VBN'), ('pfizer', 'NN'), ('is', 'VBZ'), ('still', 'RB'), ('recruiting', 'VBG'), ('their', 'PRP$'), ('pediatric', 'JJ'), ('vaccine', 'NN'), ('studies', 'NNS'), ('if', 'IN'), ('you', 'PRP'), ('i', 'VBP'), ('re', 'JJ'), ('parent', 'NN'), ('or', 'CC'), ('know', 'VB'), ('parent', 'NN'), ('who', 'WP'), ('would', 'MD'), ('be', 'VB'), ('interested', 'JJ'), ('enrolling', 'VBG'), ('their', 'PRP$')]","['research', 'today', 'discover', 'pfizer', 'still', 'recruit', 'pediatric', 'vaccine', 'study', 'parent', 'know', 'parent', 'would', 'interested', 'enrolling']","['research', 'today', 'discover', 'pfizer', 'still', 'recruit', 'pediatric', 'vaccine', 'study', 'parent', 'know', 'parent', 'interested', 'enrolling']","['research', 'today', 'pfizer', 'vaccine', 'study', 'parent', 'parent', 'enrolling']","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4019}",0.4019,positive
