,Datetime,Tweet Id,Text,Username
0,2022-02-10 20:22:49+00:00,1491870288316755968,@UpYogiVikas Curfew lga h 11 to 5 😐 subah khulenge ab,ThePerilousGirl
1,2022-02-10 19:49:03+00:00,1491861791617523715,Covid-19: Tripura government imposes night curfew from February 11 The state government has introduced fresh guidelines which said that people (up to 50 percent capacity) are allowed in closed spaces #Latest News by #BusinessStandard https://t.co/1XK8bepgV7,MarketsCafe
2,2022-02-10 18:37:52+00:00,1491843879808962560,"Night Curfew no crowd
In night so night curfew
Hope the newspapers and
milk salers get curfew pass
How corona spread in
uncrowd. #Gujrat https://t.co/EAvNuPU0eN",shah2virat1
3,2022-02-10 18:36:19+00:00,1491843490564784128,"Gujarat: Night Curfew Shortened in Eight Cities, Lifted in Other Towns https://t.co/QPy9fOip1H",Bestnews_24x7
4,2022-02-10 18:28:57+00:00,1491841633843027968,"Gujarat Covid-19 update: Night curfew reduced in 8 cities, lifted in others https://t.co/rQ0woGsKnr",newsdeal0
5,2022-02-10 18:12:03+00:00,1491837383624380416,"Night curfew reduced in 8 cities, lifted in others https://t.co/RaLT1aDNfK : @TheNileshDesai #TheHinduPatrika #News",thehindupatrika
6,2022-02-10 17:33:01+00:00,1491827557259481093,"Gujarat: Night Curfew Shortened In Ahmedabad, Surat &amp; Six More Cities, Lifted In Other Towns https://t.co/6NZZl9cIgw",newsdeal0
7,2022-02-10 17:21:07+00:00,1491824562924757016,"@Vinayreddy5531 @BheeshmaTalks Undadu mawa, Feb 14 th or 15 th untadi.because movie aapindi rate issue valla Kadu,they already prepared for that and anounce the date of as Feb 25 th but eppudu problem enti ante night curfew remove cheyali ,4 th show allow undali ap lo,Feb14 th night curfew gurinchi telisiddi.",ineligibleGopi
8,2022-02-10 17:18:43+00:00,1491823962002968576,#ShameOnYou #Zomato @Zomato.  Partial delivery.  That too delayed by an hr. God knows when the full order will arrive. 18 kids hungry and waiting. And facing the night curfew deadline.  #Pathetic,SidOnMoon
9,2022-02-10 17:12:49+00:00,1491822475659067393,Night Curfew timing relaxed from 12 pm to 5 am of next morning in #Gujarat https://t.co/6COWYwknHY #Ahmedabad,GujaratHeadline
10,2022-02-10 17:10:00+00:00,1491821765496119309,"#Gujarat relaxes night curfew timing 

https://t.co/x08AiqMwM6",ZeeNewsEnglish
11,2022-02-10 17:07:57+00:00,1491821250724843520,"Hotels association rejoice over night curfew extended timings in #Gujarat
#Ahmedabad #Tv9News https://t.co/1ROLTE3ATG",tv9gujarati
12,2022-02-10 17:05:03+00:00,1491820519758381059,"Coronavirus Omicron India LIVE Updates | Gujarat Govt to relax Covid-induced night curfew in 8 major cities from 12 midnight to 5 am till February 18 Coronavirus Omicron India LIVE Updates | More than 1.60 crore (1,60,95,... #Global by #MoneyControl https://t.co/dMG8RkWKgk",MarketsCafe
13,2022-02-10 17:01:03+00:00,1491819512404099077,"Coronavirus Omicron India LIVE Updates | HP Govt lifts night curfew; allows social, religious, cultural, political gathering with 50% capacity Coronavirus Omicron India LIVE Updates | More than 1.60 crore (1,60,95,273) pr... #Global by #MoneyControl https://t.co/MMKkA16v8x",MarketsCafe
