Datetime,Tweet Id,Text,Username
2020-07-10 22:35:16+00:00,1281718662085238784,"""PM cares"" को यह समझाना है कि वह किस तरह से फंड इकट्ठा कर रहा है, किससे वह फंड इकट्ठा कर रहा है और किस पर वह अपना फंड खर्च कर रहा है।
#PMCaresFund #imjktomar https://t.co/jtemwQiNZv",imjktomar
2020-07-10 17:30:00+00:00,1281641836839235584,Very beautiful&amp;meaningful cartoon by THE PRINT on home ministry's probe in2Gandhi family’s trusts even as PMCARES fund continues2be shrouded in mystery.Digging in2past without disclosing details of presnt PMCARES Trust .Really paradox.@RahulGandhi @INCIndia @ShashiTharoor https://t.co/8BHCnaUIMi,JYeggoni
2020-07-10 11:28:39+00:00,1281550901929377793,"5 BIGGEST LIES of the last few months

❌There was no incursion by China
❌No community transmission in India
❌20L Cr Package helped people
❌Vikas tried to flee &amp; was encountered 
❌PM CARES used to buy Ventilators",YashNagrare
2020-07-10 10:49:07+00:00,1281540953254187014,"The Prime Minister’s Citizen Assistance and Relief in Emergency Situations Fund, better known as PM CARES, will allocate ₹3,100 crores to COVID-19 relief, including funds for ventilators, migrant workers and vaccine development.
 #TelanganaJansamvadrally",BalakrishnaBJP
2020-07-10 06:17:46+00:00,1281472664155025410,"@srivatsayb @vivekagnihotri Twist hai sir kya kare budget TUV ka hi tha 
PM cares didn't produce the movie so the budget went on to be a TUV 🕯️",BeingsyedLateef
2020-07-09 13:28:59+00:00,1281218795370016768,"https://t.co/oErZdUyMma
Check this awesome video on precautions during the #Unlock2 
#PMCares #WHO #ICMRFIGHTSCOVID19 #wardhainone @narendramodi @PMOIndia  @ashchanchlani  @abpmajhatv @ABPNews @ZeeNews @RubikaLiyaquat @sudhirchaudhary @WardhaPolice @wardhainone",NYL32538848
2020-07-09 12:27:46+00:00,1281203388676358145,"प्रत्येका ने होईल ती मदत केली,ही काही छोटी मदत नाही! आपल्या खारी च्या वाट्या ने एक मानवाचा जीव वाचवणारा एस्सेट बनला आहे.धन्यवाद @narendramodi साहेब आणि खा.@DrPritamMunde ताई.
#PMCares #beed https://t.co/vFhncpSUBD",Drxgittesham
2020-07-09 11:21:45+00:00,1281186774543298561,"@sambitswaraj #modiloopgate  भी बहुत बेश कीमती था ?? 
#PMCares भी बहुत बेस कीमती है !!#नोटबंदी  भी बेस कीमती है
#राफेल और डिफाल्टर अनिल अंबानी भी वेश कीमती है !
यहां से जो माल बनाया वो सब बेस कीमती और माला माल बनाने वाला है !!",mks2011957
2020-07-09 09:49:23+00:00,1281163532482908160,".@narendramodi ಸರ್ಕಾರ #PMCares ಲೆಕ್ಕ ಕೊಡಲು ತಯಾರಿಲ್ಲ,

.@BSYBJP ಸರ್ಕಾರ ವೈದ್ಯಕೀಯ ಉಪಕರಣಗಳ ಖರೀದಿಯ ಲೆಕ್ಕ ಕೊಡಲು ತಯಾರಿಲ್ಲ,

ಸತ್ಯ, ಪಾರದರ್ಶಕತೆ, ಪ್ರಾಮಾಣಿಕತೆ, ನೈತಿಕತೆ ಎಂಬ ಪದಗಳಿಗೆ @BJP4Indiaಯಲ್ಲಿ ಜಾಗವೇ ಇಲ್ಲದಂತಾಗಿದೆ !",GulabBalekundr2
2020-07-09 07:29:12+00:00,1281128253634121728,@ITC_Cares 9 am to 9 pm,krish_shahi
