Datetime,Tweet Id,Text,Username
2020-07-02 06:46:23+00:00,1278580761356988416,"The link for the SOHARD webinar https://t.co/Rh5NioGlHC
Meeting ID: 847 4203 1128
Password: 260316
Please join at 11:00 AM
Topic: Deconstructing the Economic Stimulus Package for Panchayats
Time: Jul 4, 2020 11:00 AM
Join Zoom Meeting
Social Action For Human Resource Development",ProfVibhuti
2020-06-25 15:21:37+00:00,1276173710118883328,"#IndiaFightsCorona
Aatmanirbhar stimulus package
via NaMo App https://t.co/vuWUxzORYa",ManishJamadar1
2020-06-25 13:02:44+00:00,1276138759285698562,Negative growth is being projected for our economy this year. The stimulus package announced by the BJP Govt completely failed to build any confidence among businesses &amp; agencies. #imjktomar https://t.co/Bfw1D5wXCI,imjktomar
2020-06-25 02:26:13+00:00,1275978573107486720,@narendramodi All stimulus package are well in order but execution will be on ground by human resources.I urge that all involved stake holder must know the schemes and eligibility must be declared with clear https://t.co/iyEpzMZBlx will help to catter productive growth in time.,jhagautamin
2020-06-24 14:48:04+00:00,1275802881338142720,"#IndiaFightsCorona
Aatmanirbhar stimulus package
via NaMo App https://t.co/pYePRQrh5D",JithenderkBjym
2020-06-23 15:37:37+00:00,1275452962618277889,"#IndiaFightsCorona
Aatmanirbhar stimulus package
via NaMo App https://t.co/4uuGDCNao6",im_praneeth19
2020-06-23 06:48:19+00:00,1275319757525225472,"Prices up for Petrol by ₹8.5 &amp; ₹10.01 for diesel in last 17 days! Central Government earning additional ₹630Cr/day with this raise only!!

Seems to be the Central government is busy in collecting those 20 lakh crores, which it announced earlier as stimulus package!! #doubt",APfactzone
2020-06-21 01:51:25+00:00,1274520267855781888,"#IndiaFightsCorona
Aatmanirbhar stimulus package
via NaMo App https://t.co/jZzVsEncUh",santoshgajjelli
2020-06-18 18:27:48+00:00,1273683852049842177,"@nstomar @VinodumishraYou
@AnandSi67976478
Overall Aatmanirbhar Bharat stimulus package
https://t.co/VKbvvsQKWb
via NaMo App https://t.co/8JAa2xXxUL",RaviSin25854307
2020-06-18 05:32:56+00:00,1273488847129714689,"#IndiaFightsCorona
Aatmanirbhar stimulus package 
via NaMo App https://t.co/c5YLkELmfZ",ommsharravana
2020-06-17 03:55:05+00:00,1273101837806288899,"#IndiaFightsCorona
Aatmanirbhar stimulus package
via NaMo App https://t.co/coSU2Dwa7P",JOmnamasiva
2020-06-16 06:05:28+00:00,1272772261812953088,Modiji phele batana tha ki Stimulus package humse se hi lena hai petrol ke naam par. Abhi #Atmanirbhar samja.,devanshv13
2020-06-16 05:18:10+00:00,1272760355702243328,#COVID19India  Banking is essential service. But for commuting to work in Mumbai local trains it is not 'essential'. @PiyushGoyal @PiyushGoyalOffc  please ask local trains to allow  bank officials to use train. Banks have to implement stimulus package and bankers  need to move.,hariharamishra
2020-06-16 02:30:19+00:00,1272718117639057414,"#IndiaFightsCorona
Aatmanirbhar stimulus package
via NaMo App https://t.co/dgUD2aesVT",harsh_kumarvhn
2020-06-15 12:38:57+00:00,1272508897048264706,"Overall Aatmanirbhar Bharat stimulus package

via NaMo App https://t.co/Sd9ySNNL7S",ArikGandhi
2020-06-14 12:45:01+00:00,1272148036098183168,"@majorgauravarya @Republic_Bharat @ImranKhanPTI The show was great. Just one thing you missed out is that the report that Imran shared was of 11th May, one day before the stimulus package PM Modi announced and we have already passed 1 month and we are healthy and wealthy
https://t.co/2QYrvlgjTX",monishparekh2
2020-06-14 04:07:27+00:00,1272017785229434883,"Scope to finetune stimulus package, says EAC-PM member Ashima Goyal https://t.co/4UOQU90yqZ",siddarthpaim
2020-06-13 12:37:57+00:00,1271783867565760513,"Liquidity related measures do not amount to fiscal measures of support and nowhere in the world are they included or counted in a fiscal stimulus package.
- P. Chidambaram

#NirmalaTaiMandiLai https://t.co/fdYMOCF0Uc",GulabBalekundr2
2020-06-13 11:08:15+00:00,1271761296090976258,"Liquidity related measures do not amount to fiscal measures of support and nowhere in the world are they included or counted in a fiscal stimulus package.
- P. Chidambaram

#NirmalaTaiMandiLai https://t.co/560kEKw3Fq",INCBangaloreSo1
2020-06-13 07:24:12+00:00,1271704909545500672,2013 vs 2020. The center government has Zero intent to help its people in these times. Stimulus package announcements are just a political PR management. #Petrolprice https://t.co/IEG9BlH9XF,Deepz999
2020-06-12 19:21:02+00:00,1271522921211727872,"and check diseases in the country.
The Minister pointed out that the government also gave a mega stimulus package of 1200 billion rupees after the breakout of COVID-19.
#TaxFreeBudgetByPTI",PTIPeshawar
2020-06-12 18:24:09+00:00,1271508606295379968,"The Minister pointed out that the government also gave a mega stimulus package of 1200 billion rupees after the breakout of COVID-19. He said the purpose was to protect different segments from the impact of the virus.
#TaxFreeBudgetByPTI",PTIPeshawar
2020-06-12 03:21:09+00:00,1271281355544915972,"@CNNnews18 @Runjhunsharmas WHY don't Govt's be it Central or State do DBT of salary to these health workers etc ? immediately.
If ₹20 Lakhs Cr stimulus package done, why not few Lac Crs on this
 @narendramodi @PMOIndia @NITIAayog 
@nsitharaman 
@FinMinIndia 
@LtGovDelhi @ArvindKejriwal 
@AmitShah",rejimonck
2020-06-12 01:45:46+00:00,1271257354718363648,@ImranKhanPTI Beggars should behave like beggars. India's stimulus package is as big as Pakistan's budget. You tell your army to stop printing fake Indian currency.,krmanja123
2020-06-11 17:33:55+00:00,1271133577195880449,"Watch: India reminds Pakistan size of its economy after Pak PM offers to do cash transfers amidst #COVID; MEA says, ""India has a stimulus package, which is as large as Pakistan's annual GDP"", reminds the country of its debt problem., https://t.co/fYOWownjWI",Capt_ArjunArya
2020-06-11 17:22:08+00:00,1271130611160240131,"Our stimulus package is bigger than GDP of Pakistan, MEA reminds Pakistan PM after he says he would like to assist in cash tranfer amidst #COVID crisis",Capt_ArjunArya
2020-06-11 17:21:44+00:00,1271130509066682370,"India reacts to Imran Khan's tweet; Says our ""stimulus package is as large as GDP of Pakistan"". Pakistan PM should get a better set of advisory says MEA, reminding Islamabad of its debt problems. https://t.co/ZrMOXvHsFM",Capt_ArjunArya
2020-06-11 14:33:25+00:00,1271088151294021632,"Our stimulus package is bigger than GDP of Pakistan, MEA reminds Pakistan PM after he says he would like to assist in cash tranfer amidst #COVID crisis",Capt_ArjunArya
2020-06-11 12:59:03+00:00,1271064403434233862,#PMIKLeadingTheWorld Mr. Khan highlighted that his Government had provided $8 billion stimulus package to help the most vulnerable people in Pakistan.,gupshupwithhamz
2020-06-10 01:11:38+00:00,1270523986116403201,Apa kena mengena sidang parlimen dgn org hilang kerja ni? Economic stimulus package tu function utk jump start the economy thus creating jobs. What use of parliamentary meeting for that to come out?,harithazizi91
2020-06-09 07:53:50+00:00,1270262815618719744,@sambitswaraj @AmitShah @JPNadda @narendramodi You have raise the atf prices Airlines will die there death in this situation where you are not helping them to come of the this pandemic Why there is no stimulus package for aviation and tourism industry... So better work on those type of sectors instead of this bull shit rally,akhilgupta7
2020-06-08 09:10:24+00:00,1269919699560611840,German Chancellor Angela Merkel's cabinet plans a special meeting on Friday to start implementing large parts of its 130 billion-euro stimulus package #EURUSD #Europe #forexsignals https://t.co/kZfiEHoVLl,giriraj_shete
2020-06-07 12:17:03+00:00,1269604280257744899,Muhyiddin unveiled RM 250 billion stimulus package to fight Covid-19. Where did this huge sum of money come from? Intrigued! https://t.co/oBsHOfcRsJ,ceekaygan
2020-06-07 08:28:05+00:00,1269546660893528065,"The Rs 20-lakh-crore Economic Stimulus Package was Mr Modi’s brainchild. No economist would have put her signature to a khichdi of more liquidity, grand five-year plans and little actual money, and called it a Stimulus Package.  https://t.co/tTbqS6J0ZC",cyborgbob
2020-06-07 08:24:04+00:00,1269545650598920193,"Watch live In discussion with GSTV on #atmanirbhargujarat stimulus package announced by Government of Gujarat.

આત્મનિર્ભર ગુજરાત @vijayrupanibjp 

View on https://t.co/bmhiTS1hB1 https://t.co/fMXPLmg0UA",iAnkeetPatel
2020-06-07 00:18:28+00:00,1269423442723401728,"What can make singles 'bujang' excited in the stimulus package?

Incentive to Nikah dan Walimah!

Imagine the multiplier effect, from Nikah, Sanding to First House and sooner later Baby &amp; Babies.

I hope lah @MuhyiddinYassin @tzafrul_aziz @MOFmalaysia hahaha. #FingersCrossed https://t.co/GZSs2E0VKv",_AzwanOmar
2020-06-06 16:34:35+00:00,1269306703239053314,@PMOIndia @nsitharaman @ianuragthakur why sbi is charging high interest rate on cash credit help extended by govt under the stimulus package? R u just fulfilling ur formality in the name of helping MSME. 1.8% higher interest. Why wud an MSME take?I know u won't read this.still,neerajagr1
2020-06-06 16:27:06+00:00,1269304821007265792,"@ianuragthakur why sbi is charging high interest rate on cash credit help extended by govt under the stimulus package? R u just fulfilling ur formality in the name of helping MSME. 1.8% higher interest. Why wud an MSME take?I know u won't read this,but still I am writing. Let's c",neerajagr1
2020-06-06 08:09:10+00:00,1269179512673038336,OCM @ocm_mom chief Norza @NorzaZakaria welcomes stimulus package initiative for the sports industry - Twentytwo13 https://t.co/foMU8D0BOm,AtletMalaysia
2020-06-06 01:35:25+00:00,1269080421427367937,"Restaurants &amp; bars added more than half of the jobs. I despair after contrasting this with the way our Bureaucracy has planned opening up. The best stimulus package  is letting a person make a buck or many. 

U.S. Unemployment Rate Fell to 13.3% in May https://t.co/OqtAI6QkYm",MandarKagade
