Datetime,Tweet Id,Text,Username
2022-02-09 05:36:56+00:00,1491284961126764547,"Only 15% of Africa has received at least one dose of the Covid vaccine. Despite all anti-vaccination protests, U.S. and Canada together stand at 77%. #VaccineInequality",SudeepSudhakrn
2022-02-09 04:05:29+00:00,1491261947798781957,"@washingtonpost Anti-Mandate is not Anti-Vaccination.

This tweet is misleading. #Reported",McResistanceD
2022-02-07 17:40:17+00:00,1490742225843589121,"@LOCAKD @operskapevacica @pmouratoglou Aussie government confirmed Novak had valid exemption.They deported him for anti-vaccination sentiment. 
I didn’t expect Rafa to boycott AO. But
Rafa could say something kind like Nick Kyrgios did, or not say anything. After all Novak donated Rafa's fundraising on covid crisis.",NoorSiddiki1
2022-02-07 09:48:01+00:00,1490623372706803713,"Meet RLD HATE MONGERS squad member Kulwant Singh :

Pro Election Violence
Hates Hindu customs &amp; traditions
Hates Science
Hates Lata Mangeshkar
Anti Vaccination
Pro Casteist Separation

And other typical leftist &amp; separatist mindset views.

Many like him are brainwashing youth! https://t.co/wsRHX2amJh https://t.co/Ws0GP63Tph",sunnysingh695
2022-02-07 08:06:06+00:00,1490597726878199809,"I’m pro vaccination, but anti vaccination mandate
#ElonMusk https://t.co/NcVTP7nAEd",TEJASSH17721670
2022-02-07 05:20:22+00:00,1490556018362707970,"I’m pro vaccination, but anti vaccination mandate – #ElonMusk Latest
 @TheTechOutlook https://t.co/VJGRVU5uNS",TheTechOutlook
2022-02-07 04:44:02+00:00,1490546873496903680,"I’m pro vaccination, but anti vaccination mandate",sashashirazi
2022-02-07 01:54:11+00:00,1490504130187902977,"@joshuafarn99 @tiotheo01 @ian_woodhall @MYFreedomMove @KelvinS09449962 If the antivaccination argument proves itself credible, I'll switch sides.
But it hasn't, so I can't.",HamzahNazari
2022-01-19 04:10:06+00:00,1483652965898788867,"anti vaccination camp 
Please note https://t.co/QF0fwGKl8R",vu3ksp
2022-01-17 04:11:57+00:00,1482928655290757125,@BBCWorld But the fact is that it is who Novak Djokovic is making mockery of the Australian Covid protocal taking them for a ride supporting anti- vaccination encouraging the people at a time Omicron is surging high in the island?,KAJAMAMOHAMEDA1
2022-01-15 01:59:28+00:00,1482170538902622211,Valid point as the authorities don’t want to support anti-vaccination protesters. https://t.co/7yVT31ia5P,erangatennakoon
2022-01-11 05:11:09+00:00,1480769226386333698,"Great look supporting an antivaxxer who either lied about getting Covid or attended a public event Covid positive. Also, saying that you recommend vaccination for all players when some ATP players have been going on and on with antivaccination rants. What have you done about it? https://t.co/UZE2Xs2Lpg",sabassheikh
2021-12-20 03:42:21+00:00,1472774346502402049,@LisaMarieBoothe Sane people know Biden is human and Bible is full of the non-real as gradually scientifically proven. Insane people ask Biden to be God with 100% utterances of forever accuracy. I wonder how anti-vaccination could make you so seriously insane...,HoangHuuPhuoc
2021-12-14 10:21:19+00:00,1470700422385922048,@PRSundar64 Australian police probe viral video of cop VIOLENTLY throwing man on floor reportedly leaving him ‘unconscious’ amid Melbourne anti-vaccination protests (WARNING DISTRESSING) https://t.co/kgUhGT84zc,singhastralpoly
2021-12-14 10:20:18+00:00,1470700167166771209,Australian police probe viral video of cop VIOLENTLY throwing man on floor reportedly leaving him ‘unconscious’ amid Melbourne anti-vaccination protests (WARNING DISTRESSING) https://t.co/kgUhGT84zc,singhastralpoly
2021-11-27 14:50:28+00:00,1464607560346996736,@writewing11 @sweetspottrader There is no logic in anti vaccination .. I am sure you know what vaccination is and means .. what I don't get it the logic that you were quoting of vacinated people getting covid.  They will and will continue to get it .. it's the severity that matters.,nutssabharwal
2021-11-23 16:07:35+00:00,1463177415673405449,"All anti-vaccination movements were No Skin In The Game for adults as brunt was felt by kids. To shift that stance is impossible &amp; now it is up, close &amp; personal for most adults
Pivot to other issues that we talk about and one should realize how much of a privileged life we live. https://t.co/XLDcuAqGR9",ProfSomashekhar
2021-10-26 10:12:17+00:00,1452941141033299972,"@farrajk خسارة كبيرة تغريداتك،،
تستحق التوثيق 
أظن أن الاختراق له علاقة 
بقناعاتك (كطبيب)
 anti-vaccination",mayaltaha
2021-08-18 08:54:00+00:00,1427916677665091586,"@ndtvfeed @ndtv https://t.co/zTyAIUqeRa

This shud b primary concern of @rautsanjay61 for Mumbaikars. But wait, he's secular, this is anti vaccination drive for Mumbai.!",DhrutimanJoshi
2021-08-11 09:04:39+00:00,1425382645832196101,"@ShivAroor These people hate to wear mask, go for anti vaccination drive and regularly jump traffic signal!

Free speech, so let it be. 
Sad part their wisdom freeze when when select representative got killed, worker set on fire  by terrorist , From National minority but belong to BJP😢",jha_vj
2021-07-31 22:11:47+00:00,1421594468268986369,"BTW, he's also anti-vaccination. 
How likely is he to vote for Vikas if he had a vote in India? https://t.co/jreP1c2ViE",aarishc
2021-07-30 13:54:04+00:00,1421106822774022148,Anti-vaccination propaganda in developed countries that have been hoarding vaccines is not only unjust to their citizens — but every person in a developing country still waiting in line.,saumyakedia1
2021-07-13 02:48:38+00:00,1414778770699952134,@indika27 ඕකුන්ගෙ හරියට Anti-Vaccination කට්ටිය නෙහ්?,Lovely_Paba
2021-07-01 10:51:58+00:00,1410551750205997058,"Anti-vaccination propaganda is a big reason for that reluctance, which has further slowed takeup in countries already struggling with limited supplies. Less than 10% of the population in Thailand and the Philippines have received even one shot … https://t.co/XFBHgS6WNV",studio2702
2021-06-29 01:07:02+00:00,1409679770116255749,"@hppcybercell https://t.co/AGwDmX8H51 sir this person is running a anti vaccination campaign among people in Rohru.Forcing people to not taking vaccination of covid19.And spreading false information among people.इसको पकड़ के इस पर कड़ी करवाई की जाए।
और माफी का एकvido bhi upld kre",DjDeepakMehta
2021-06-01 03:46:16+00:00,1399572983358713858,"रफाल उपकरणों की मूल्य गणना करने में सक्षम माता के मेधावी पुत्र,
भारत माता को 2 अरब से अधिक वैक्सीन चाहिए।इसके उत्पादन/आयात संरक्षण, वितरण हेतु महीनों की गणना भी कर लेते हैं तो समझ जाते।
Anti-vaccination विपक्ष का प्रथम प्रचार था।All-vaccination @narendramodi जी का प्रथम संकल्प है https://t.co/B6fjkuZvNA",Himanshujainbjp
2021-05-29 07:29:43+00:00,1398542051235577856,"@DrBSBhati4 Dear Indians who are trending #WeSupportBabaRamdev 

-So you Agree that Dr are killing patients &amp; killed Rohit sardana 

-1200 Dr who lost their life are the waste? 

-You support Anti Vaccination programme?

-kiski ka baap mujhe nhi Pakad skta really represents you?",KalyanR47165958
2021-05-29 06:23:04+00:00,1398525280633835526,"Congies and leftists r responsible for anti vaccination. Some news channels r also responsible. Some web channel's like Wire, Print, Scroll and Ashutosh,ravish and Rajdeep these all r responsible. All of them should get together behinds the bar as early as possible. JAI BHARAT. https://t.co/NBCj1eZ6Cc",c_honrao
2021-05-27 01:52:01+00:00,1397732292756316160,"The report also says that Luc is known for being anti-vaccination, pro-homoeopathy, and believes that “water has memory”.
In 2017, he had opposed the French government’s decision to make certain vaccinations mandatory, accusing the policy of “poisoning the next generation 2/3",jasghar
2021-05-22 09:25:31+00:00,1396034478015860738,"@drshamamohd Why was @INCIndia on a anti vaccination drive in Jan &amp; Feb,  @RahulGandhi advocated #VaccineHesitancy in our country,  he's a liability to our nation,  CONgressis are route cause to this bad mouthing #ToolKitGang",nareshkallya
2021-05-22 06:43:19+00:00,1395993659116441602,@AMUNetwork No body ask reason for anti vaccination drive. Ask them proof for  their claims,Profasadukhan1
2021-05-20 05:54:01+00:00,1395256479024750598,@mkstalin @masubramani due to ur anti vaccination sloganeering during #aiadmk regime people r boycotting #VaccinationDrive in several places in Tamilnadu. U reap what u sow. https://t.co/cxaQgIRilv,SriVaishnavaSri
2021-05-15 09:03:38+00:00,1393492255021752320,"@Charvaka7 @dilliwaalli @pbhushan1 Did u read what he advising parents-""So this anti-vaccination campaign is gaining momentum, particularly in California. Whole lot of parents come and ask me about this, and I tell them, “Don't be a fool.” Becoz what if you find your child is crippled with polio or something else""",Dark_KKKKnight
2021-05-15 07:21:58+00:00,1393466671084363781,@Charvaka7 @dilliwaalli @pbhushan1 Where did he promote anti vaccination? Do u ppp have any ethics or it such pure slander due to personal vendetta,Dark_KKKKnight
