Datetime,Tweet Id,Text,Username
2022-02-07 04:33:57+00:00,1490544335388962816,When will the earlier DCGI emergency-use approved #Covovax and #Corbevax be made available? @MoHFW @PMOIndia @SerumInstIndia @BiologicalELtd @ICMRDELHI #Vaccines https://t.co/ii1QdSAYKO,chipskamath
2022-02-06 16:59:56+00:00,1490369679755399169,"@surnell Thanks...missed this news totally or maybe mixed this and Covovax up. What is the underlying tech? Spike, mRNA or traditional inactivated virus or something else ?",curiosweetie
2022-01-12 03:54:23+00:00,1481112295128199168,"Better2b decided by covin app&amp;it's centres giving d vaccines
TOI Edit Page : Which is the better booster? India must evaluate Covovax and Corbevax as third-doses as soon as possible https://t.co/e2T3F6OVCF",Rameshbirla1
2022-01-10 07:08:30+00:00,1480436369050595333,@ndtv @PurvezGrant Confused ! Is precautionary dose being given is Covovax?,d_pashupati
2022-01-06 06:29:34+00:00,1478977022521004032,@grrrvita No need for booster .. only for comorphid please that too if needed .. i suggest covovax cocktail booster .. trial will start soon .. it's the best vaccine that developed currently ..,BombaykiAwaaz
2021-12-29 13:29:53+00:00,1476183694855446531,"Covovax, a nanoparticle protein-based vaccine, Corbevax, India's 1st indigenously developed RBD protein sub-unit vaccine &amp; Molnupiravir, an anti-viral drug have been approved by the Modi Govt. This will further strengthen India's fight against the pandemic.
@BJP4Jharkhand https://t.co/Iwho3UYPn4",KumarVi41658497
2021-12-29 05:45:29+00:00,1476066824626212868,Two more new Covid vaccines Covovax and Corbevax has been approved in India. @DHFWKA @BBMPCOMM @BBMPSplHealth @BBMP_Covid19 @CPBlr @Namma_Bengaluru @MoHFW_INDIA @WHO @mygovindia @COVIDNewsByMIB @PIBBengaluru https://t.co/REiRxMXvJR,Namma_Bengaluru
2021-12-29 05:32:54+00:00,1476063655477198854,"💉 કોરોના સામેના જંગમાં CORBEVAX, COVOVAX વેક્સિન અને એન્ટિવાયરલ દવા  Molnupiravirના ઈમર્જન્સી ઉપયોગની અપાઈ મંજૂરી.. https://t.co/m6Iqk6i9PE",aezazmakrani
2021-12-29 04:51:14+00:00,1476053169612345349,"Congratulations India 🇮🇳

Further strengthening the fight against COVID-19, CDSCO, @MoHFW_INDIA has given 3 approvals in a single day for:

- CORBEVAX vaccine
- COVOVAX vaccine 
- Anti-viral drug Molnupiravir

For restricted use in emergency situation. @mansukhmandviya https://t.co/oMiIaOX4b7",Yuvi_1212
2021-12-29 02:57:01+00:00,1476024429876449283,"देश ने हासिल की एक और ऐतिहासिक उपलब्धि

एक ही दिन में दो वैक्सीन CORBEVAX, COVOVAX वैक्सीन और एक वायरस विरोधी दवा Molnupiravir को मंजूरी मिली

प्रधानमंत्री श्री @narendramodi जी के उचित मार्गदर्शन वैज्ञानिकों के अनवरत परिश्रम के लिए आभार

#IndiaFightsCorona #LargestVaccineDrive https://t.co/yt29z1t8zc",RajuKushwahaBJP
2021-12-29 02:49:44+00:00,1476022593303969797,"Covovax, Corbevax and Covid Pill( Molnupiravir) - 3 C against Covid. 
Arsenal getting better 
#COVID3.0 # @RahulDoc2 @summwadhwa @jyoti_archana @drsdip @docvjg @DrChhaviGupta4 @drsdip @KaminiWalia @Vikasdu76438601 @KAli @jeevanpsharma",DrNeha90356702
2021-12-29 01:40:28+00:00,1476005162745356290,"Corbevax - Vaccine 

Covovax - Vaccine 

Molnupiravir - Antiviral Drug 

#India #CovidTesting #vaccine
#Covaxin #Corbevax #Covovax #MansukhMandaviya #health",madhavsawale
2021-12-28 16:11:19+00:00,1475861932439601152,"India has cleared the use of two new vaccines - Corbevax and Covovax.
Corbevax is a protein subunit vaccine made by Hyderabad-based company biological-E.
Covovax is a nanoparticle vaccine being manufactured by Pune-based Serum Institute which is also manufacturing Covishield.",gyanendraji2001
2021-12-28 11:53:01+00:00,1475796927451070466,"💉 કોરોના સામેના જંગમાં CORBEVAX, COVOVAX વેક્સિન અને એન્ટિવાયરલ દવા  Molnupiravirના ઈમર્જન્સી ઉપયોગની અપાઈ મંજૂરી..

🇮🇳 India With BJP 🇮🇳 https://t.co/23XIu1Ty1P",ghanshyam33781
