Datetime,Tweet Id,Text,Username
2022-02-10 17:32:39+00:00,1491827466804944912,"@EFFFalcon A) what about immunocompromised people? Because I've got friends who can't leave their homes STILL bc they will die if they get it

B) some people can't get vaccinated? Or vaccines don't work with their immune systems?

How did we get to the point where eugenics is just blase",space_hag
2022-02-10 12:34:14+00:00,1491752368752394242,"So many students have been immunocompromised, so what if some falls sick, who's to be held accountable? The university? College? Administration? Students don't have expendable resources to just find accommodation for one and a half months!
Only way forward is hybrid mode.",guniya_sharma
2022-02-10 06:19:36+00:00,1491658087471939584,"@HeerJeet The same way doctors have managed the immunocompromised living in places with other endemic diseases.

We have vaccines. We have other preventive strategies. It's not the impossible task you make it out to be.",q_professor
2022-02-10 02:33:14+00:00,1491601122515365888,"#CNBCNews - Immunocompromised, disabled and elderly people feel abandoned as states lift mask mandates

https://t.co/K760rb92rS",NirbhaySRathore
2022-02-09 20:49:14+00:00,1491514551988330497,"COVID prognosis for India: Immunocompromised will face virus aftermath, regular follow-up is key - News9 LIVE https://t.co/lUpFVBDhBO #diabetes #vingscommunity #news",HealthVings
2022-02-09 20:11:53+00:00,1491505151386947586,"What's ""reasonable accommodation"" when it comes to the immunocompromised? What ought society do to make their lives longer and healthier?",pranesh
2022-02-09 12:35:14+00:00,1491390230091673605,@getserious1234 Unvaxxed + elderly = vaxxed + immunocompromised .  Both groups have same course.,DrNitinShinde5
2022-02-09 03:40:38+00:00,1491255695031017472,"Op-Ed: Lifting Mask Mandates Endangers Vulnerable People Like Me 
""But moving through the world is safer for myself and other immunocompromised people if everyone continues to wear masks when necessary. ""- @JuliaMetraux  
https://t.co/WdE9quTIMz via @verywell",snagesh2
2022-02-08 22:11:50+00:00,1491172949373878273,"@Weaziller you can get it earlier if you are immunocompromised, which i am bc of a medication i take; but the weirdest part is that i wasn't on any similar medication when i was 30, and was overall just like 10 times healthier then?? i dunno!",khealywu
2022-02-08 17:27:20+00:00,1491101353380564992,"Unvaccinated Dad Loses #Custody of Kids, Including Immunocompromised Child + More

If this FATHER lost it and took matters into his own hands, would you SUPPORT HIM ??

Just asking? https://t.co/BgDwsVZK0v",samike88
2022-02-08 15:48:45+00:00,1491076543812091909,"COVID prognosis for India: Immunocompromised will face virus aftermath, regular follow-up is key - News9 LIVE https://t.co/XZgNg2GQM3 #diabetes #vingscommunity #news",HealthVings
2022-02-08 04:35:37+00:00,1490907142110715909,"I went to a GP appointment and was offered my 4th covid vaccine. I didn't even know that was happening or possible but I'm grateful for good healthcare that's looking to protect people, especially those that are immunocompromised. Hopefully no side effects!",Lagshiga
2022-02-08 00:33:02+00:00,1490846096431669249,CDC recommends immunocompromised people receive FOURTH Covid jab three months after receiving third https://t.co/CbKB7Y1aYd,nazmulmarketer1
2022-02-07 23:25:54+00:00,1490829199698972675,CDC recommends immunocompromised people receive FOURTH Covid jab three months after receiving third https://t.co/3IiTnx9VYd,PophaleSamarth
2022-02-06 21:51:50+00:00,1490443141614342153,"Unvaccinated dad loses custody of kids, including immunocompromised child https://t.co/sMh8Eh70iW",sindadog11
2022-02-06 20:42:17+00:00,1490425638230138886,"Unvaccinated dad loses custody of kids, including immunocompromised child https://t.co/DU3j6CUtr9",thegoogle93
2022-02-06 19:58:16+00:00,1490414562742525958,"Unvaccinated dad loses custody of kids, including immunocompromised child

An unvaccinated father in New Brunswick, Canada, lost custody of his three children, one of which is a 10-year-old immunocompromised child. https://t.co/k1T97fgUAN",Hafizul_Islam_M
2022-02-06 19:39:00+00:00,1490409711899971586,"Unvaccinated dad loses custody of kids, including immunocompromised child https://t.co/8KRoeo1ovb",ub24news
2022-02-06 18:04:22+00:00,1490385898856677378,"@Mysterions13 @michaelmollerdk @ImmunoPrecise it depends on the situation, vaccine is good if you haven encounter the virus+ normal immunity. Antibodies is more for vaccine breakthrough variants+ immunocompromised patients+severe symptoms of covid. Its a direct way of revealing SARS-cov2 virus to your immunity",KoonKit6
2022-02-06 13:54:09+00:00,1490322926276546561,"All I hear is “let’s forget about disabled people and those who are immunocompromised because us able bodied people should be able to do things!”

Disabled lives / chronically ill lives &gt; your social in person activities! https://t.co/acmT1kDNRZ",insanelyshane
2022-01-24 16:20:15+00:00,1485648651771060225,@news18dotcom @CNNnews18 Year 2030 : India approves 27th dose of Covid vaccine to be given to elderly and immunocompromised,apm_kidsdoc
2022-01-21 10:59:00+00:00,1484480645665488909,@KOINNews I am glad someone is doing something to protect those who are vulnerable and immunocompromised and those unable to vaccinate due to medical reasons.  Masking has kept my nephew protected while everyone in the family had COVID.,sapphiresush
2022-01-20 09:40:40+00:00,1484098543052808194,"Less evidences are published about using #NIV with immunocompromised, pneumonia/ARDS and COVID-19. The concern with such pt's is the source of respiratory failure is not stable and difficult to be treated quickly. Failure rate of NIV with those pt's higher than the first group. https://t.co/Bku5nm37ku",AlShehri_MK
2022-01-18 03:58:12+00:00,1483287582280908801,"*Ketentuan Pelaksanaan Vaksin Booster*
*Januari 2022*

*Syarat Untuk Penerima Vaksin Booster*

•Berusia 18 tahun ke atas
•Diprioritaskan untuk lansia dan penderita immunocompromised/masalah kekebalan tubuh
#WajibPatuhiProkes
Dukung Percepatan Vaksinasi https://t.co/oXrblsj1lL",BabarPolres
2022-01-17 10:07:28+00:00,1483018125465747458,@DrKatedeBruin Sorry to hear that Kate. Me too. I am immunocompromised and living with COVID.,Wolftone57
2022-01-11 09:14:18+00:00,1480830415342505984,I haven’t officially had COVID but I think I had it last year but I was asymptotic but that is kinda impossible as I am immunocompromised. 😄 https://t.co/3wq4tIXDyN,LalaLoyalist
2022-01-10 10:12:12+00:00,1480482600661622785,"Every doctor wishes a quality life for a patient
https://t.co/r25KnbdsrV

My liver transplant and being immunocompromised I can't visit you",Payelbha
2022-01-08 15:40:26+00:00,1479840427800883201,"@SKYHIGH28203398 @verona_verdasco @__wa8 Sorry that happened to your brother, if so. Anecdotal situations aren’t evidence, and correlation doesn’t equal causation. Feel for your family, but personally my mother is immunocompromised and terminally ill and I’m glad she is vaccinated.",michaelread1
2022-01-05 18:00:05+00:00,1478788405253312512,@ThisIzCJ That’s true but we don’t know the full story with immunocompromised and older people yet,Micha_Alvez
2021-12-30 10:32:44+00:00,1476501500654325764,"If one has co-morbidities like obesity , diabetes , BP , immunocompromised - please reach the hospital and let doctors take the call . https://t.co/GVOFTBnMAZ",hrnext
2021-12-27 07:31:28+00:00,1475368721078112257,"This is good news! Let’s protect those who are vulnerable/immunocompromised and hopefully this will be a third wave of infections, and not severe disease. https://t.co/lNkdsfa0Y2",lancelot_pinto
2021-12-26 12:07:48+00:00,1475075873535447044,@dryeohjc @askpocus @pocusmeded Consolidated lung with villi maybe immunocompromised or Tb less likely malignant ?,dextrocardia2
2021-12-25 03:47:38+00:00,1474587614229385217,"@DeepakNModi Take home lessons- 
1. Vaccines work
2. Kids except for immunocompromised or with some health conditions should not be vaccinated.
3. #Omicron is a blessing in disguise.",neelbs
2021-12-24 06:25:27+00:00,1474264944136785921,"Today:
“Immunocompromised people who have received three primary doses of a COVID-19 vaccine will be able to receive a booster dose in line with the timing for the general population.”

Let’s do this 🇦🇺 @AusRheum @earlyARA @ArthritisAust @CreakyJointsAus

https://t.co/pXMw4qapL1 https://t.co/iPa6CZ6iwe",drdavidliew
2021-12-16 13:34:55+00:00,1471473916749230084,@FaheemYounus Fully vaccinated (pfizer) but immunocompromised. Currently on DMARD. should I get a booster shot?,aqua_ask
2021-12-14 19:02:22+00:00,1470831549260214283,"@Khingila1 @dcislamabad For citizens 50 years of age or above, or for immunocompromised ppl.",HB_Gfx1
2021-12-14 04:04:39+00:00,1470605630545088519,"@MoHFW_INDIA @PMOIndia @CDSCO_INDIA_INF @NITIAayog @ICMRDELHI
Prioritise first &amp; second #Covid19 #vaccination of eligible population, tackle religious #hesitancy, #Vaccinate children, #Booster for #frontlineworkers, addl dose for severely #immunocompromised before booster for all https://t.co/pfs5qeBxTD",drgilada
2021-12-12 15:06:51+00:00,1470047502258819079,"@Aaaarijj The following categories of individuals are eligible for a single, additional / booster Covid-19 vaccine dose. 

1.Immunocompromised persons of all eligible age groups 
2.Citizens, 50 years of age and above 
https://t.co/dsM6W1dvD2 workers",HB_Gfx1
2021-12-08 05:57:15+00:00,1468459640069394432,"Why is the government not ordering booster shots for healthcare workers and 40+ immunocompromised  despite the INSACOG panel recommendations? 
#CovidVaccine #Omicron #COVID19 https://t.co/GLzWYcUKrz",rishika625
2021-12-06 13:58:09+00:00,1467855885242298380,"A ""third dose"" for the immunocompromised and what's the purpose.

https://t.co/RDNqJDCBLW
@IndianExpress

#COVID19",kritlal_
2021-12-06 03:45:10+00:00,1467701624244039689,"@PMOIndia @MoHFW_INDIA @ICMRDELHI  should ensure gap reduced in two #Covishield doses,addl dose for severely #immunocompromised, #Booster for frontliners as confidence building. HIV pts on ART aren't immunocompromised. New batches of #vaccines will need to incorporate new strains https://t.co/yVCXsXnCdx",drgilada
2021-12-04 03:42:26+00:00,1466976159283830784,WHO India: India should consider #CovidVaccine booster shots for immunocompromised patients. #OmicronInIndia https://t.co/uvj8wiD6cR,rishika625
2021-12-01 16:40:56+00:00,1466084912335765504,"Breakthrough COVID-19 infections more severe, likely in immunocompromised individuals: Pfizer study https://t.co/l2elnRoAm2 via @CTVNews",_rodahidup
2021-11-30 13:57:13+00:00,1465681323637411842,"Update on #Omicron:
*Infection increasing
*Only Mild illness reported so far. 
*#vaccines will be effective, #Efficacy may be reduced
* #Immunocompromised
and patients on #immunosuppressants be careful
* Don't believe ""overnight experts"" Those are active again for misinformation",DrSunitKSingh
2021-11-28 03:20:47+00:00,1464796384855400448,"Don’t hype mutations and new variants of virus! It natural phenomenon. But since last 2 days, global panic is mounting due to #Omicron found in a immunocompromised patient. It’s the scientists who test it virulence n vaccine efficacy n we all should give them time for assessment. https://t.co/pIEFQkFcHY",DrVNMishraa
2021-11-27 13:46:05+00:00,1464591359961026561,"अभी तक के उपलब्ध डेटा के आधार पर यह समझ में आ रहा है कि, ऑमिक्रान (Omicron) स्ट्रेन मई 2020 में ही पैदा हो गया था! शायद किसी immunocompromised person के अंदर म्यूटेशन जुटा रहा था! जैसे ही खा पी के तंद्रुस्त (after accumulating mutations) हुवा है, क़हर बनके टूट पड़ा है! #Omicron https://t.co/e9GO2H9lYU",gyanc7
2021-11-27 10:16:42+00:00,1464538664222871552,"My money’s on the latter. Immunocompromised (eg untreated HIV) individual(s) with chronic infection, allowing sustained rapid evolution. https://t.co/qDTv4ANddU",sobri
2021-11-27 02:55:26+00:00,1464427619785449473,It has to be said - the completely amoral and self serving vaccine distribution has directly contributed to this. We allowed the virus to spread unchecked in populations that are vulnerable. Immunocompromised people  ( TB HIV) can carry the virus longer allowing it to mutate more https://t.co/oGQpfD1byE,sonalasthana
