Datetime,Tweet Id,Text,Username
2022-02-10 23:13:04+00:00,1491913136760262663,"New York City Set to Fire Up to 3,000 Unvaccinated Workers on Friday https://t.co/ZwigGqHS4C",sameepshastri
2022-02-10 23:10:28+00:00,1491912482662846464,"@RickSantini2 @KayleeDMcGhee https://t.co/ZZVsbrfTQO  ""People who had received three doses of a COVID-19 vaccine or a booster were 93.4% less likely to die of the infection compared to the unvaccinated, according to a new U.K. study published on Friday.""",drhpa33
2022-02-10 22:36:20+00:00,1491903892422115332,"New York Set to Fire Up to 3,000 Unvaccinated City Workers https://t.co/1y1ZhODOA9",PophaleSamarth
2022-02-10 22:20:22+00:00,1491899873121165319,@kathymi71147962 @cwmacko @vintage831 I also am unvaccinated against covid and have had covid(verified with 2 test) with heart conditions and it was nothing more than a mild cold.,MogZGG
2022-02-10 21:27:29+00:00,1491886562883289089,@POTUS I’m moving to china if u don’t tax the unvaccinated,yonaxhaky
2022-02-10 20:51:22+00:00,1491877475046998028,@nytimes Casinos going to be packed for Superbowl.  This should be particularly fun for the unvaccinated,GabeInReality
2022-02-10 19:28:43+00:00,1491856675111903232,"Seems the Unvaccinated Topic hit home, 50/50 in response https://t.co/K4LAVPCn7o https://t.co/Iyr2SOKvHg",ASEANNOWTH
2022-02-10 19:20:44+00:00,1491854664979009548,@IsaiahLCarter Hospitals are beyond full and there is a complete bottleneck in the system. The sickest UNVACCINATED covid patients can be hospitalized for MONTHS. Which takes beds from people who are urgently sick and need them. Don’t speak on shit you clearly know nothing about.,justbeingbeans
2022-02-10 19:16:01+00:00,1491853480667013125,"People ""respecting"" others' choice to stay unvaccinated is EXACTLY the same as them respecting others' choice to drive drunk.",makesomesensei
2022-02-10 19:06:28+00:00,1491851075074277378,"@RickSantini2 @KayleeDMcGhee If natural immunity is better, why are unvaccinated dying at a rate 16x fully vaccinated?  Also, the long term effects of Covid are unknown.",drhpa33
2022-02-10 18:59:44+00:00,1491849383054385165,@ndiaz09 Who wants an unvaccinated Irving lol,Henroc33
