Datetime,Tweet Id,Text,Username
2022-02-08 14:09:29+00:00,1491051563456286724,"After First and Second lockdown, Weekend lockdown came during third wave.. Yet, We have sustained.

Finally had some relief, now due to this Hijab issue, 144 section imposed in Shivamogga. Police made all shops to shut for a day until their next order.

&lt;1/2&gt;",rshenoy87
2022-02-07 13:26:31+00:00,1490678361618022402,Covid: No weekend lockdown in J&amp;K; night curfew relaxed by an hour https://t.co/v0k0XobZmz,aajtakorgin
2022-02-07 08:32:27+00:00,1490604355979984897,"New Tumblr post: ""Jammu and Kashmir Covid-19 guidelines: No weekend lockdown, night curfew relaxed by one hour, check here"" https://t.co/LCjDZyp1lo News, Topnews",N_E_E_L_S_H_A_H
2022-02-07 07:35:41+00:00,1490590072529297409,"#VeeramaeVaagaiSoodum ends it domestic opening weekend with a disastrous ₹7.45 Crore. Sunday lockdown in Kerala added salt to the wound.

Tamil Nadu : ₹4.05 Crore 
AP/Nizam : ₹2.60 Crore 
Kerala : ₹0.10 Crore 
Karnataka : ₹0.55 Crore 
North India : 0.15 Crore https://t.co/lSrybEMAi1",Cinetrak
2022-02-07 06:13:08+00:00,1490569298821083142,"JK Govt Lifts Weekend Lockdown, Coaching Centres To Resume Offline Teaching With 50% Capacity https://t.co/r0VhqyOuAS",TheNewsCaravan
2022-02-07 05:02:31+00:00,1490551526330355714,Omicron variant LIVE Updates: No weekend lockdown in J&amp;K; night curfew relaxed by an hour https://t.co/sXOhTxUkqb #indilivenews #Indianews #India #News #Live #World,Indilivenews
2022-02-07 04:54:24+00:00,1490549484765560832,"JK Govt Lifts Weekend Lockdown, Coaching Centres To Resume Offline Teaching With 50% Capacity https://t.co/fat3N6ZdJX",TheNewsCaravan
2022-02-07 04:54:03+00:00,1490549394978250752,"#COVID19: Jammu &amp; Kashmir State Executive Committee (SEC) ends the weekend lockdown &amp; gives one-hour relaxation in night curfew timings.

https://t.co/RlY6DZgnxG",business_today
2022-02-07 03:25:19+00:00,1490527064436637698,"COVID-19: J&amp;K govt relaxes night curfew timings, ends weekend lockdown as cases decrease https://t.co/HuwQQxHPki",republic
2022-02-07 02:11:03+00:00,1490508373137268739,"Covid-19: No Weekend Lockdown in J&amp;K; Night Curfew Relaxed by an Hour Jammu and Kashmir on Sunday recorded 1,151 new cases of coronavirus, the lowest in the past week, taking the infection tally. #India by #News18 https://t.co/7GtPQwyubw",MarketsCafe
2022-02-07 01:51:03+00:00,1490503340823883782,"Covid: No weekend lockdown in J&amp;K; night curfew relaxed by an hour The weekend lockdown on non-essential activities was initially announced on January 15. The next week, restrictions were imposed from Friday 2 pm for 64 h... #News by #EconomicTimes https://t.co/Wv3AElPki7",MarketsCafe
2022-02-07 01:12:58+00:00,1490493757455671298,Omicron variant LIVE Updates: No weekend lockdown in J&amp;K; night curfew relaxed by an hour https://t.co/jX0pmU2qEI,wwwcurrentnews1
2022-02-07 01:02:15+00:00,1490491061336223748,Omicron variant LIVE Updates: No weekend lockdown in J&amp;K; night curfew relaxed by an hour https://t.co/RIZTsTbYrJ,Bestnews_24x7
2022-02-06 20:48:03+00:00,1490427087911538691,"Jammu and Kashmir Covid-19 guidelines: No weekend lockdown, night curfew relaxed by one hour, check here https://t.co/xdG7pdrZsX",WNews0789
2022-02-06 19:21:49+00:00,1490405389481005056,"As Covid cases decline, govt lifts weekend lockdown in J&amp;K https://t.co/K1Ff6NXSjz",vision_kashmir
2022-02-06 19:10:00+00:00,1490402412816863232,#JammuKashmir State Executive Committee ends  weekend #lockdown and gave one-hour relaxation in night curfew timings https://t.co/lrCREcxoBH,ZeeNewsEnglish
