,Text
0,나는 백신 접종 필요없걸랑요~ (by 화이자 CEO) | 카카오 뷰 https://t.co/ADfYiPchtQ
1,"화이자 3차 맞은지 2일차...

시발 롤파크 갈 수 있냐 팔이 작살났다...
하 천안도 가야해서 짐짝 들고가야하는데..."
2,@ColeNae_ 곧 화이자-바이오엔텤에서 새 백신이 나올것..다른 변이가 나온다 해도 지금 오미크론 감염재생산지수가 10~12 사인데 이거 끝이 14 정도인 수치라 이 이상의 변이도 어려운게 사실임ㅋㅋ 이번에는 인류가 운이 좋아 따라잡았읍니다.
3,"아 토할거 같아.
약 바꿀때마다 이렇게 힘들면 어쩌지? 
화이자 부작용으로 의사쌤도 빈맥을 겪고 있다고 추가 접종은 미루라는 권고를 받음."
4,"화이자 백신 3차접종 하고 죽어가는중....ㅠ
진짜 갑자기 너무 아파서 죽겠어요....ㅠㅠㅠㅠㅠ https://t.co/jsqzGxVW9D"
5,"화이자 이놈자식이  내 덕질을 방해하기 시작했다....
 팔이 욱신거리고 너무 아픈데 타이레놀 650mg짜리
8시간마다 한알씩만 먹으라고 했는데 8시간 아직 안됐는데 왜 벌써 아프냐고....!!!
진짜 코로나 너무 짜증나...ㅠㅠ"
6,"미국 시장 주가 동향) 분골쇄신_펠로톤(PTON) 25.2% 급등! GM의 하락은 구조적 문제! 2.4%하락, 백신주 노바백스(NVAX)와 화이자(PFE) 매출이 높아도 하락하는 이유!_22년2월9일 https://t.co/lwdtfLFqul"
7,14일부터 노바백스 접종 시작···화이자·모더나 교차 가능 https://t.co/1WwiGp7Z2t
8,@BBODUNG_HYUN 내기운 팍팍 드리리당♥ 나 3차 팔만 좀 뻐근 무통증ㅎㅎ 화이자☺ 아프지마시옹♥
9,"백신 매출만 44조원…＂화이자, 바가지 상술로 돈방석＂ 비판 (출처 : 연합뉴스 | 네이버 뉴스) https://t.co/kWYaHCVTqM"
10,순혈 화이자 인간이 되었습니다!&gt;♡&lt;
11,"""지난달 26일 화이자 백신으로 2차 접종을 받은 지 13일이 지난 20대 병사 A 씨가 지난 8일 오전 4시 반쯤 경기도 연천 육군 부대 생활관에서 호흡 곤란 등의 증상을 보여 인근 병원으로 긴급 후송됐으나 끝내 숨졌습니다.""

기저질환도 없다는 건강한 병사가 백신으로 생명을 앚아가는 참혹한 현실 https://t.co/mnatZgVSjg"
12,3차 맞았다 순혈 화이자 각성!
13,화이자 3차 맞았다... 네 그렇습니다
14,"모더나가 심근염💔 백신도 개발하겠단다

지금 얘들은 우리 갖고 노는거야

순수악이지

(화이자는 ""백혈병""치료제 회사 사들이고, 모더나는 ""에이즈"" 백신 개발하겠단다 참고들 해라.. 어디서 암백신 소리도 나오던데;) https://t.co/AaThRJELnG"
15,화이자2차ㆍㆍㆍㅠㆍㅠ https://t.co/yuXQlek0Qb
16,화이자 3차 접중.. https://t.co/c4upatZJNE
17,"실내 배드민턴장에서1,2차 코로나 백신 접종 소감 공유하고 싶어요
https://t.co/vuyssQyOus

#천안시생활체육공원 #실내배드민턴장 #코로나예방접종 #화이자 #모더나 #천안시종합사회복지회관"
18,"이제 백신접종후 면역저하-면역결핍 이야기가 슬슬 주류언론에서도 나오기 시작한다

오늘 보니까 모더나가 mRNA 에이즈 백신 만든다더라

화이자가 백혈병치료제 제조사 사들인거랑 같은 이유겠지😑

#VAIDS https://t.co/2RnGGSAfUZ"
19,"화이자백신 접종 사망사고가 전세계로 퍼지면서 접종 중단,,,

백신 공포 현실화,,,

백신 맞고 급사하면,,, 으 으
https://t.co/tg9toaIkIt"
20,나 유튜버 아닌데 누가 나보고 유투버냐고 물어봤엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21,"1,2차는 화이자를 맞았으니,
3차는 모더나를 맞아야 하나?..."
22,"#화이자, 바가지 상술로 돈방석＂ 백신 판매로만 44조 원 (출처 : MBC | 네이버 뉴스) https://t.co/NvCcvVr2HE"
