,Text
0,"""음압격리병상에서 7일 동안 병상 배정을 기다리는 확진자가 한 명 생기면 열나는 (비코로나19) 환자 28명이 쓸 자리가 없어지는 셈""
https://t.co/ijCkPXJKzN"
1,"자가격리NO! 베트남 푸꾸옥 빈펄리조트 올인클루시브 999,000원~
https://t.co/DWcVWvcmm5"
2,"이른바 대장동게이트 협력자들,50억 클럽의 당사자들이 검찰에 소환되 조살 받았는데,여기서도 系派가 갈리는거냐,곽상도는 구속영장을 청구하고 권순일은 기소한다니,그밥 그나물이고 한통속인데 法적용이 다른것이 말이되나,私益을 편취하는데 사용한 이런 法꾸라지들 사회에서 영원히 격리되야한다. https://t.co/Ukvzer2GyF"
3,"격리해제 기념으로 주말엔 노꼬메가서
신나게 놀고왔다. https://t.co/jtUTrTJ34e"
4,"나리타 공항에 도착해서 그 누구도 감시하지 않고 자유롭게 빠져나갈 수 있는 환경과, 14일 동안 격리를 한다고 해도 호텔마다 천차만별인 격리 대책부터 어떻게 하고 난 뒤에 외국인 신규 입국을 막아야 하지 않을까? https://t.co/F9PilqGObn"
5,"https://t.co/XLCMoqrnsw
이런 새끼들은 사회의 적 이다!!
영원히 사회와 격리조치 시켜라!!!👹
국민당은 21세기 용팔이사건 식으로 대선운동를 하고 있구먼~~~
완전 폭력배들만 우글거리네!"
6,"자가격리 끝나고 부산 합숙 가기전 회식
with SBXG boys https://t.co/3tFsfnU3AZ"
7,"1. 뭔가 리얼한 백신 후기를 보는 듯한 이 너낌..💉
2. ‘지금 이 순간’이 생각보다 엄청 빨리 나오는군🤭
3. 꼭 약물이 아니어도 한 일주일 자가격리하면 나도 하이드가 될 수 있을것 같아..🤔
(2막을 마저 봐볼까..? 👀)"
8,계장님 자녀 두분 확진이라 열흘간 자가격리 ㅠ_ㅠ 이럴 때 힘이 되어드려야지!
9,"해외입국자 자가격리 면제기준, 보건소 PCR검사 후기 (출처 : Hello , .. | 블로그) https://t.co/jn5hvHGwvR"
10,"호주여행, 워킹홀리데이 등 무격리 호주입국 드디어 열렸다, 조건은? (출처 : 너구리 가.. | 블로그) https://t.co/0aOtt7rnnu"
11,자가격리 없이 해외여행 가고 싶다면?🛫 [해외 입출국 팁 &amp; 프랑스 미식 여행 Q&amp;A] https://t.co/NXAverU49I - @YouTube
12,"미접종자는 자가격리 필수구나,,
ㅠㅠㅠㅠ후…"
13,와.. 자가격리 10일 하고 나니까 등교하기가 싫음.... 그냥 갑자기 오라고 하니까 가슴이 쿵쿵뜀... (왕따아님) 그냥 그 교실에서 다시 8시간 넘게 썩을 생각하니까 눈앞이 캄캄하다... https://t.co/4WB7YjJYL2
14,"자가격리 낮 12시까진거 왠만하면 다 아냐...? 담임한테 구라까고 싶었는데 들킬까봐 못깜 5,6,7교시 하라는데 이거 맞냐...."
15,@dal0627 네^^ 격리 기간 끝나면 꼭 ㅎㅎ 챙기겠습니다^^
16,"결국 자가 격리 ㅋㅋ

화이자 2차 기말고사 바로 뒷날에 
맞을 수 있도록 
신경써서 날짜 짰는데 

학교 확진자 발생으로
기말고사 1주일 연기 됨.

기말고사 준비 기간 때 
2차 맞아야 된다고 ㅋ
우리 딸 
영혼이 나가 있음 ㅋㅋ https://t.co/h4QMCRfVMg"
17,자가격리 물품 도착; 아이고~~ https://t.co/MXztc03cZ8
18,@hi_love_aya 학교에 확진자 3명인가? 나오고 자가격리자 100명 넘어서..ㅓ
19,@HoneyLemonSpoon 네네 받고들어왔어요 결국은 내일아침까지 하루 격리해야되네요 ㅎㅎ 그래도좋네요!!!
20,하와이 자가격리 면제! 가격대별 호텔 추천 LIST (출처 : 호텔스컴바인 | 네이버 포스트) https://t.co/SeZz5nLJAB
21,@Wandava 생태교란종이니 그냥 세계시장에서 격리시켜야(
22,몰디브는 테마가 격리ㅋㅋㅋ
23,"격리없이 떠나는 여행19, 침 흘리며 본방사수 하고 있다"
24,"성남시 재난안전대책본부에서 알려드립니다.
 
11월 14일 0시 기준 신규 확진자는 42명이 확인되어 총 누적 확진자는 9,415명입니다. 현재까지 총 8,204명(완치율 87.14%)이 격리해제되어, 현재 격리중인 환자는 1,137명이며, 사망자는 74명(치명률 0.79%)입니다.

https://t.co/u13ic3AZov"
25,"삐쩍말라 공격으로 상처났던 첫째 설이를 시작으로 둘째 링고는 아이낳을 시기가 20일이 지나 태반과 탯줄이 썩어가고있다고
구조해 제왕절개로 수술하고 6중 셋은 첫숨쉬지도 못하고 떠났고
셋은 직접 분유먹이는 중 하나가 또 별..
링고가 젖도 안나왔고 귀진드기가 심해서 격리 치료를 해야했기에.. https://t.co/OG0uPbH7iK"
26,사회와 격리된다 내비치고서 긴 말 없이 15년의 후원을 중단하다. 서로 암묵적인 이해의 싸늘한 정적만이 수화기 너머로 전달된다.
27,코로나검사1주일사이3번(허술한스위스덕분에불필요했던키트검사까지넣으면4번;) 격리면제를위한몸부림=.=
28,"아 ㅋㅋ 뭔 줄이야 
PCR? 못 참지~
격리. https://t.co/x1EHvavwp3"
29,"@jinmadang @kin46241 그놈들,
빨리 격리시켜야죠!
그런데 개검들이 문제군요!
특검은 국개들이 문제고!"
30,대학선배가 코로나 확진. 백신 2번 다 맞았음에도 돌파감염. 목이 계속 아프고 콧물이 나서 동네 이비인후과 병원에 갔었다는데...선배님 남편은 음성. 다행스럽게도 상태가 나쁘지않아 집에서 자가격리하며 치료 허락받음. 백신도 100% 안심 못하니 마스크 꼭 쓰세요.
31,"자가격리 끝!
처음도 음성! 지금도 음성!
정오12시부로 자유다^^💜 https://t.co/TMpgEkqZbD"
32,"코로나 증상때문에 집가는중

학교에서 6시간 격리중 심심해서 그린 컨볼들 https://t.co/5mGtsyBiuj"
33,"@Sj861117sj 
안녕하십니까☔️
격리 생활… 수고하셨습니다😊🙏
나는 당신을 생각해서 열심히 합니다✊😉✊
당신을 만날 수 있으므로 두근거려 왔습니다💚💚💚 
몸상태에 조심하세요😷🙏
어떤 당신도 아주 좋아합니다💕💕💕 https://t.co/KzbHgZRfUA"
34,"@Aaliyah24397063 40대 대다수가 민주당을 지지하지만 저는 그분들의 생각과 언행에서 민주와 진보성을 느낀적은 없었던것 같네요. 쩝 ㅠ
요즘들어 우리는 타 집단을 이해하는 능력을 상실해간다는 생각이 들어요. 집단과 집단이 서로를 욕하고 귀를 막아버리는 자가격리의 상태인데, 이를 어떻게 극복할수 있을지. 😭"
35,"#방탄업기단_오늘의운동
#갓댓라잇바디앤댓라잇마인드 
격리 끗!!!!!!!!!!!!!!!!!?
오늘 간만에 하는거라 무게 약하게 했는데.... 어으 힘드렁
그리고 트레이너와 대표님한테 관심받은 헬린잌ㅋㅋㅋㅋㅋㅋ
#BTSARMY
#체력은_방력 #방업단은_천천히_꾸준히
#방탄은아미를건강하게해 https://t.co/Rs7vICRgEY"
36,@ZeetwoZ2 자가격리 안해도 되죠?
37,"따님 학교 동급생 확진 소식으로 분주했던 토요일 오후. 
검사 후 어제밤 대화. 
“확진되면 자가격리 할 지도 몰라. 그러면 생필품 박스를 보내 준다던데”
“그 박스에 들어가 자가격리 하는거야?”
ㅋㅋㅋㅋ 
고양이 사랑하는 만 7세 11개월의 기발한. 당연한 의식의 흐름"
38,@BertVanmeir 코토부키양은 격리중인가 보군요
39,@mkchoi007 돌아는 왔는데 격리중이래요.
40,"이런 개같은 경우도 있나?
초등학교 1학년 손녀반에 확진자가 1명이 감염 되었다 하여 전교생이 학교 수업 중지에 감염 검사를 받았다 검사 확인 기다리고 있지만 열도없고 컨디션으로 보아
괜찮을것으로 본다 그런데 보건소 에서 식구 모두 격리 하라한다 확인도 없이 학생들 가족 모두 가두면 되나?"
41,"설훈 의원 2주 출장 마치고 귀국하면 2주간
자가격리할 거란 어느 트친님 글 보고 빵빵
터졌다."
42,"접종완료잔데여......
나 왜 자가격리중이지...?
#방탄업기단 #휴식중
#자가격리중 https://t.co/tDOjNDwPf1"
43,@nyukoku_itsu 신규 입국의 방도가 생겨서 정말 다행입니다. 어차피 유학생은 장기체류자인데 격리기간도 줄여주면 좀 좋을까요😂 무사히 건너오시길 바랍니다!
44,@Heera6974 격리 풀리자마자 케이티엑스 타고 상경하기
45,"[글로벌K] 싱가포르, ‘무격리 입국’ 2개국 추가…한국 등 13개국으로 확대 / KBS  2021.10.28. https://t.co/ll9Euk9nvs - @YouTube"
46,"예,,, 해는 서쪽으로 지는데 노을찍겠다면서 동쪽으로 카메라 세운 제가 밥오멍청이입미다,,,, 낼 다시 도전‼️자가격리호텔 뷰가 아주 미쉐린 맛집임 뇸뇸 https://t.co/EVUyTuO1Ez"
47,코로나 확진자나오고 인원자가격리들어가서 많이빠지면서 백신접종으로 인원빠진상태에서 메꾸는인원으로 해본적도없은 업무투입됬는데 제대로안알려줬으면서 실수몇개한거 지적받았다고 경위서 쓰란다 뭔가하고보니 반장직위재량으로 충분히 커버칠수있는건데 그냥 떠넘긴듯 이거맞아?
48,킴 격리 끝날때까지 우리도 다 같이 격리 중.. https://t.co/eyqFnQ4F1a
49,중국 격리 중 코로나 검사당하기 https://t.co/WUUH3Q10X8 - @YouTube
50,@akaik3134 대만은 격리 면제 국가 같은데 뭔가 사정이 있으실지도요. 쪼꼬미 데리러 서울 갈 때 시간 되심 같이 차라도 드시면 어떠신지요.
51,@akaik3134 네 ㅠㅠ. 완성된지 2년만에 드디어 쪼꼬미 군사를 만날 수 있네요.ㅠㅠ 사장님 친구분 자가격리 기간 동안 기다리려면 11월 중순은 되어야 하지만 보름이야 기다리는 것도 아니죠!
52,"격리 풀리는 태국여행 Q &amp; A, 뭘 준비하고 어떻게 가야하나? (출처 : 행복한 나.. | 블로그) https://t.co/XpWNdA72l2"
53,"마지막 격리(?)일이라 pcr검사 한번 더해야해서 호텔 로비에서 대기중
그동안 조신하게 살아서 pcr구경할 일도 없었는데 근 1주일 사이에 코가 세번 뚫리네 ㅠㅠ 그래도 덕분에 해외여행도 할 수 있었으니 만족합니다👍 https://t.co/KrCDRJj0n4"
54,"격리&amp;백신 후 13일만의 술자리

#북경오리 #연태고량주 #마장면 #절주 @덕후선생ㅣ德厚先生 https://t.co/6jofJteiTp"
55,"@unikore 두쪽다 있는걸로 알아요
백신 맞아도 양국에서 격리해야함다…"
56,"방 격리가 풀렸다고 했지 사육이 끝난다곤 안했다 이제는 3식이 뷔페라 오히려 사육이 업그레이드 됨 ㅋㅋ
그리고 점심뷔페는 샐러드 뷔페라며? 이건 그냥 K-분식 체험 뷔페 아니냐? ㅎㅎ https://t.co/RoAOBfajiU"
