Text,Translated
"백신 접종 후 14일이 경과 되었습니다
에욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
(백화점 안전팀 QR 코드 안내 직원) https://t.co/QYvn7lzo9D","14 days after vaccination has been elapsed
ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
(Department Store Safety Team QR Code Guide) https://t.co/QYVN7LZO9D"
백신 3차 좀 아프네 ㅠㅠㅠㅠ,I am sick of the vaccine.
"RoughSketch씨의 신보..
진짜 사고싶은데 백신이 아직이라 코미케 예약도 못한 내가 너무너무 밉다","Roughsketch's Shinbo ...
I want to buy a real, but I still have a vaccine yet."
"@hellcat_370 정말... 백신 맞고 항체 만들어지는 과정 모르는 모지리들 많으며 기레기들 언플에 휘둘리기까지 하는 모습에 한숨밖에 안나오네요ㄷㄷ
실질적으로 코로나 백신보다 부작용률 보다 더 심한 부작용률이 높은 약들도 많건만 왜 이리도 항체만들어지는 과정을 부작용이라며 그 난리인건지...","@ Hellcat_370 I really ... I have a lot of money that I do not know, and I do not know the process of being made of antibody,
I actually have a lot of drugs with a lot of weaker side effects than a side effect than a corona vaccine."
"질병청 니들은 그 죄 값을
어찌 다 갚을꼬?

16세 백신 접종 후 첫 사망···청소년 방역패스 연기되나 (출처 : 서울경제 | 네이버 뉴스) https://t.co/rlA0gwsclf","The disease
How are you paying back?

The first death after the 16-year-old vaccination · · · Youth defense passes (Source: Seoul Economy | Naver News) https://t.co/RLA0GWSCLF"
@yrr_yrr_yrr 그죠...백신안맞은걸 후회하고있어요...,@ yrr_yrrr_yrr ... I am regretting to be a vaccine ...
"미 CDC “백신 미접종자, 감염위험 10배…사망 확률 20배” https://t.co/qsVKj758eX","US CDC ""vaccine union, infected risk 10 times ... The probability of death is 20 times ""https://t.co/qsvkj758ex"
우리나라도 곧 이렇게 할 수도....  백신 미접종자를 이미 코로나 확진자 취급하고 있는데... https://t.co/z8Kh5gnYRG,Korea can also do this soon .... Https://t.co/z8kh5GNYRG
"백신거부 하면
죄인이 되는 세상...","If you are vaccination
The world that is a sinner ..."
"오늘은 3차백신 맞는날
들어오면서 뜨끈한
불짬뽕한그릇 사먹을 생각에 가슴이 콩당거린다
시골에 살으니
짬뽕한 그릇에도
기대감이 충만일쎄ㅡㅋㆍㅋ","Today is the third round day
As a
I think that my chest is thought to have a bowl of fireballer.
Living in the countryside
Even in a champon bowl
I am full of expectations ㅡ ㅋ ㆍ"
"물방울 사이를 지나갈 수는 없다”며 “바이러스가 너무나 빠르게 퍼지고 있고, 이 바이러스가 감염될 가능성이 가장 높은 사람은 백신을 맞지 않은 사람”이라고 경고했다.

https://t.co/eqxVRKMNxt","""The virus was so fast,"" the virus was so fast, and the person who is likely to infect this virus was not a vaccine. ""

https://t.co/EQXVRKMNXT"
"코로나에 대응 하는, 특히 백신 관련한 온갖 이상한 얘기들을 보다 보니 혜성이 돌진해온들 반응이 비슷할것 같다는.","In response to Corona, especially the humorous stories related to the vaccine, the response of the comet is done."
"국민들은 백신 맞으라더니... 본인들 가족들은!?!?!

https://t.co/uNAhRQ0IQJ","The people are in vaccination ... your family!?!?!

https://t.co/unahrq0iqj"
나라에서 백신 맞으라고 하는데... 백신 맞고 문제 생기면 아몰랑 태도... 백신은 선택이라면서 백신 안 맞은 사람은 아무도 못 만나고 아무데도 못 간다.... 이게 정상이야???,"I'm saying vaccine in the country ... If you are a vaccine and the problem occurs, the attitude of the armor ... The vaccine is a choice, and the person who is not a vaccine is not nobody .... This is normal ???"
"방역과 백신은 종교가 아니고 과학이여 하는데
어느덧 백신이 종교가 되어
버린 세상에는 통곡의 열차
만 달리고 있다","The protrusions and vaccines are not religious and science.
Which vaccine is religious
In the world,
Run"
"2차 맞았습니다.

드디어 14일 뒤 (2022.01.14) 에는 저도 백신 패스가 생기네요. https://t.co/HHtPZZviSL","It was secondary.

Finally, after 14 days (2022.01.14), I also have a vaccine pass. https://t.co/HHTPZZVISL"
@BTS_7_9_ 나 방금 백신 3차 까지 맞았어 무서워ㅓㅠㅅㅠ,@ Bts_7_9_ I just hit the 3rd vaccine. I'm scared.
백신 미접종자는 바이러스 보균자가 아닙니다. 라는 말은 틀린말이여...확진될 가능성도 접종자보다는 높으니 찝찝한건 사실이여. 보균자가 아닌 사람이 과연 몇이나 될까. 한순간이라도 보균을 안한사람이 과연있을까? 못이겨내는 순간 확진일꺼라 생각한다,"The vaccine unrealist is not a virus agon. The word says, is wrong ... The possibility of confirmed is that it is higher than inoculum. How many people are not a non-collector? Is there a person who does not have a gulm in a moment? I think it's confirmed when I could not get it."
"어쨋든 백신을 믿고 안믿고는 자유고 책임질건 지면되는건데, 남한테 피해는 주지말자. 제발. 5년만 참읍시다. 인플루엔자 처럼 될거니까.","Anyway, I believe in the vaccine, and I do not believe in the free and responsible quality. please. Let's go for five years. It'll be like influenza."
"백신을 맞고 안맞고는 자유, 그에따른 책임은 꼭 지면되는거고. 근데 직종상 강제로 백산을 맞게하는 회사들이 있는데 문제 발생시, 그건 정부반 회사반 해서 보상해줘야한다고 생각함. 좀 디테일하게 해가지고 법안좀 내봐라. 대텅룡후보보면 한국 뜨고싶은데, 홍쌤이 대통령되면 잘해줄것같은데,ㅈㄸ","The vaccine is not right, free, and the responsibility for him is floating. But if you have companies that make up your job forces, you have to compensate for the government, and you have to compensate for the government. Let me make a little detail and give me a bill. I want to be Korean, but I think Hong Soon will be good when Hong Soon is president,"
"정부 입장에선 백신권유안하다가 헬게이트 열리면 끝장이니 어쩔수 없겠지. 중증병상 모자르면 개인이 책임질건 아니자네. 코로나로만 병원가는것도아니고. 그러니 일단 백신 맞게하고 찔끔찔끔 줄여나가자는 거지. 근데 또 경제는 돌려야되니까, 백신패스라도 만들어서 돌리는거지.","In the Government, I was a refinement of vaccine, and if I opened Hellgate, I can not help it. If you have a severe disease, the individual is not responsible. I do not know how to go to Corona. So let's get the vaccine and reduce it stuck. But the economy must turn it, and the vaccine pass is created and turned."
"백신을 맞는 이유는 확진되었을 때 중증으로 발병되지 않기 위해서다. 안걸리는게 아니다. 
면역이 약해지면, 항체가 제 기능을 못해서  바이러스가 살게되면 확진되는거지.. 그리고 백신맞아도 입안이랑 코속에 바이러스가 붙어있을 수있다. 그래서 마스크를 잘 써야한다","The reason for the vaccine is not severely onset when it was confirmed. It is not not to be.
If the immunity is weak, the antibody is confirmed when the virus lives, and it may be confirmed. So you have to write a mask well."
"현재 백신은 완벽하지 않고, 급하게 만들었으 므로, 부작용 무조건 있다. 사람에 따라 그 데미지는 천차만별. 기저질환으로 무서우면 일주일에 한번씩 PCR검사 받으면된다. 자신의 선택이므로 부단히 방역생활에 노력해야한다.","Currently, the vaccine is not perfect, and it has made it urgent, so there is no side effect unconditionally. Depending on the person, the damage is only a star. If you are afraid of a basis disease, you will receive PCR inspection once a week. Because it is your own choice, we must work out as well as a disaster."
백신패스 말이 많네. 백신 안맞는 사람은 커피공짜인 까페도있고... 충격과 공포구먼..,"There are a lot of vaccines. The vaccine is not a coffee free café, and ... Shock and horror .."
"어제 3차 백신접종 화이자 
맞고 오는길에 꽃집에 들려
나에게 선물이네요 힐링^^
아침산책 사진도 요즘에는
찍을게 없어요 나에 유일한 
취미 꽃 풍경 사진찍기📸
함박눈이 내리면 찍어야지 
#기분전환 #나에게선물
#아미의일상 #함께해요 
#JIMIN #BTSARMY https://t.co/smVIkwN5AO","Yesterday's 3rd vaccination
I can hear flowers on the way to come right.
I'm a gift to me Healing ^^
Morning walking photos are nowadays
I do not have to take it.
Hobby flower scenery photo
You have to take a picture when you get off.
# Feeling Switching # Gifts to me
# Ami's everyday # together
#Jimin #BTSARMY https://t.co/smvikwn5ao"
"지금 백신(부스터)맞은지 3일째..첫날엔 어깨가 아팠고
어제는 전체가 몸살처럼 쑤시고 아프더니 오늘은 좀 괜찮아졌다..","Now I am vaccine (booster). On the third day.
Yesterday, the whole is picking up like a body and hurting, and today is a little okay."
백신 맞아서 샤워 안했다. 옆에 오지마라!,I did not take a shower in vaccination. Do not come next!
"백신 부스터샷 접종 8시간 경과!
원래 하나도 안 아팠는데, 애 새끼들 땜에 소리를 질렀더니 팔에 주사맞은 느낌이 좀 난다. 따뜻한 물로 샤워하고 자겠다.","Vaccine Booster Shot inoculation 8 hours lapse!
I was not alone, but I did not feel the sound of the kids, and I feel like I was shot in my arm. I'll take a shower with warm water."
"백신 맞고 안정을 취해야되는데, 이 쌍놈의 새끼들~~~ 아놔~~","I have to take a vaccine and stabilize, this couple's cubs ~~~"
