,Text
0,"Price

Cost within reach for most investors

• Price per unit often &lt; single family home
• Less costs with purchase
• Qualify for residential mortgage
• Often lower down-payment and lower interest rate
• Easier to resell than large building"
1,@CollieYimby I could probably get an unsecured personal loan of $100k at a lower interest rate than that. I don't understand how it would even be possible to take out an 11% student loan at any percent since the GFC.
2,@CBlaine72 @SeanMcCoyPhotog Can you refinance your loan on that house for a lower interest rate? Yes. Can he? No.
3,"@akin_gbe_leo When people do not think or speak highly of a person enough, they tend to see the person of a lower standard. That is what I mean by ""underrated"" and it should be a great advantage because people most times are least interest in those they do not rate high."
4,"@BofA_News Me: Can you lower my CC interest rate. 
BofA: 🤣😂🤣
Me: Paid off my loan, never doing business with BofA again…"
5,#Gold prices edged lower on Tuesday as the USD rebounded in the run-up to the latest #US inflation numbers with investors anticipating the U.S. Federal Reserve would signal aggressive interest rate hikes this year. See more in https://t.co/Vnx5pT1s6z
6,"Have you always dreamt of getting a loan for a brand new car or house at a lower interest rate?

All that can be possible if you manage to keep your credit score low 🤩📝

https://t.co/lsPhyXQeSl

#credit #creditscore #interestrate #lowinterest #creditfix #creditrepair #finance https://t.co/u7Fc4l0YuN"
7,"Investors are thus willing to accept a lower rate of interest in exchange for the embedded option to convert into common shares. Convertible Debentures, therefore, allow investors to participate in share price appreciation."
8,"A Convertible Debenture will usually return a lower interest rate since the Debt Holder has the option to convert the loan to stock, which is to the investors' benefit."
9,"Putin’s Financial Fortress Blunts Impact of Threatened Sanctions. ""The likely sanctions would knock the ruble as much as 20% lower against the dollar, fuel already-high inflation and thus require more interest-rate increases by the Bank of Russia."" https://t.co/Nd92opCSey https://t.co/k50wOjCDRf"
10,"@dennisgjones @ricardodallen That is a good point, the FIs also have to be compensated for the investments in digital technology as well as the reduced earnings from net interest income due to the much lower interest rate (which everyone loves) environment that we have today."
11,"Do you need capital to get back on your feet? Take advantage of a lower interest rate today! 

Visit https://t.co/MTCG88bcGy or call +234 814 994 0247 for free consultation. 

#WeAreTapol #personalloan @ Warri, Nigeria https://t.co/AzENMJKypG"
12,@Pouchon504 @peanutbunnicos @ayytokayy I'm yet to do the insurance one because I need to wait 2 more years but this one I've done. You can put that 30k into an investment company or hedge fund and use it for collateral on a loan for a lower interest rate than a bank would do and run your investments crazy.
13,"Most young people can actually afford it by themself. Everyone has access to the 6.5M, but based on salary &amp; age, your loan limit actually increases. But they’ll never give you the house cause your interest rate will be lower plus you’ll have more time to pay and they like money. https://t.co/bOWAx7smuE"
14,@guruintraining_ I took a loan to clear mine. Lower interest rate plus a shorter pay back period. It made perfect sense.
15,"Medals for health care workers, what a sad joke? What about better working conditions, the lower interest rate for student loans, to purchase houses and vehicles, and paying them better? The government take people for fools. Revolution now."
16,@caf_goodness Good work! Consolidating the debt at a lower interest rate is a great idea. The trick is to *not* fill them back up like I did after my first consol :) #doh
17,@julio_dasilva1 Would love to hear a follow up on this. I have good credit score for my age but credit card companies refuse to lower our rate even with over 18+ months of on time payments. Considering a SoFi just to zero them all out and have a lower interest loan instead paid off earlier
18,Walked in like check this out I got this check &amp; I want that truck so what you going give it to me for? He tried to finesse me talking about see if he can get me a lower interest rate than Navy Federal’s 2.4% nah I’m good
19,"@wiener_express Do you have any other outstanding debts? If so you can potential do a debt consolidation which can help, lower interest rate and payments, only thing is it might take longer to pay off debt"
20,@ewarren Love shooting for the stars but I’d settle for an interest rate lower than 7.00% honestly. Seems like that should be doable.
21,@60Minutes Interest rate futures by 2H09 and 2010 forecasted hikes in short-term policy rates just over the horizon. The first hike occurred in Dec 15; 2nd occurred in Dec 16. Intermediate and long-term US Treasury rates trended lower from mid-2009 when the 10Y was ~4%.
22,"@CapitalOne just paid off both my credit cards, hopefully y'all's greedy ass will lower my interest rate since they were paid off early."
23,Nice of Navient to let me know I earned a lower interest rate...a week after I paid off my loan in full.
24,"@BaerTucker @strassa2 One of the key assumptions in valuing future cash flows is the risk-free interest rate. The higher this is, the lower the value of the future cash flows. The idea is that $100 today is worth more than $100 in ten years. You can get risk free interest on the $100 today."
25,YAY!  We did it....we’re home owners....well.....same home....just a lower interest rate for fewer years....bu YAY!
26,"The City of Springfield Saves Money by Refinancing to Lower Interest Rate

Read the full news release at: https://t.co/6tqeg1KLk5"
27,staying at a job that’s not a good fit because you get a lower interest rate on a loan product? toxic. brave. selfless.
28,@HollyBear92 Took out a personal loan and paid off the cards with it. So basically just transferred the debt from across several high interest cards to a single loan with a much lower rate and a 36 month payoff.
29,In tech the problem is the rise in interest rates even though they remain historically low. That 30% growth rate discounted back at a higher rate makes for a much lower valuation. I have said biggest concern for 2021 was rate rise and that’s still true. Watch that 10-year!
30,"Elizabeth Warren tried to push the Obama admin to lower student loan interest rates to the same rate as the Wall St crash buyout of 2009.

Those fucks said NO WAY. Average people can kiss our asses."
31,"@yongecity @jonnyrubin10 Lower interest rate yes, but higher purchase price too?"
