,Text
0,@hayesy316 The zero covid grifters dead cat bounce.
1,"So Australia has done an exhaustive search of all the available wisdom &amp; is implementing the Israel covid management model.
Vax status to change the from ""fully vaxxed"" to ""up to date"".

3 jabs &amp; counting.

Further down the rabbit hole."
2,@calvinrobinson Reading comprehension isn’t your strong suit is it? The mRNA platform is being used to develop treatments for a wide variety of conditions. This particular treatment has zero to do with Covid vaccines and has been in development since 2014.
3,Thank you Dan.  DAN WOOTTON on Prime Minister Jacinda Ardern's crazy Covid-zero policy https://t.co/C7vUFhm6QB via @MailOnline
4,"@LesserMegadeath @southernscoop @NZStuff It is like saying ""how bad it is in Denmark when they have had over 3,000 deaths with Covid-19"", but that is just real scaremongering, because their excess mortality is virtually zero: https://t.co/jBRfWVmPrM"
5,"I don’t like human rights abuse except when they achieve Covid Zero, then they are cool. I am very smart. https://t.co/kmzkW5LfKC"
6,"@goodfoodgal It's laughable how we were sold on the idea that we would have full protection given the vaccine, yet they want to believe after catching Covid they are still better off having had multiple boosters! No evidence. So much for science!"
7,"@rontkim 
all you are is a useless loudmouth.  Until you mention what Trump did to hurt NY during Covid; I have zero respect for you"
8,Bloomberg; China needs to keep going with its hardline Covid-zero policy to stamp out the disease because it is keeping the world’s supply chains flowing. https://t.co/x35BfCKDI6
9,"The thing that is surprising to me about the thread (subtweets are v compelling) is it suggests the Twitter folk supporting zero covid have been failing to represent Danish situation. Because I’ve been a fan of elimination, it’s a caution to check my own biases before retweeting."
10,"Two years into covid.

Why is there still no way to find the risk profile of 
@Pfizer?

We know it's not zero. https://t.co/MZA9icTXo3"
11,"@garycp70 China had ZERO SAY on how the US should/could have responded to COVID. 

...that responsibility lies solely with the Government of the day, and that was Trump. 

Now Vaccines have been so politicised, a concerning number of ppl are choosing to not get vaccinated for POLITICS."
12,"@garycp70 Yeah, I am sorry but Republicans have ZERO MORAL HIGH GROUND. 

...they chose to do nothing to stop COVID because it started in ""blue states"" and the Trump Admin thought it would help them electorally. 

Had Trump acted on COVID, he would in his second term, right now."
