,Text
0,"Kingdom hearts has a story where at a base level, things are REALLY hard to keep track of, but when you get to the themes behind it, it's actually pretty simple.

Xenoblade is incredibly newcomer friendly on the surface and can be enjoyed with no prior knowledge, but go deeper"
1,@AndreAlessi So when you have CAPS LOCK DOWN you have been pepper sprayed?
2,"@cheomitII @zzrwood @Thoracicus Just like in Japan, South Korea etc. Netherlands even with a lock down still saw exp rise. Omi moves so quick this measures on a pop level don’t work well"
3,Because it is bigger than politics. This is respect for other humans at the basic level. https://t.co/frhQt0PuWr
4,"@Moonlightsiesta @drajm Christmas in August? 

Lockdown was more effective in NSW than in Vic, consistently achieving a lower R_eff at a given vaccination level throughout the outbreak. That's why NSW peaked earlier and ended lockdown with fewer cases.

https://t.co/tMkKiaIdtA"
5,"And yet by holding  line on such rules, they have lost only one dead in two years, with just 12 days of lockdown. Do you think, overall, the net level of unhappiness in WA might be easily  lowest in country, because they have held the line? 88% popularity for McG mean anything? https://t.co/15mXyjYTDH"
6,Charlie hit with Kyrgios everyday during the initial Covid lockdown at the Canberra Tennis Centre. Now starting to win matches on those same courts at ITF level. And still just 15…exciting prospect https://t.co/McnM4cloYr
7,Zoom lessons have started again but only at Level 3. I finished level 3 in lockdown but we couldn’t get enough people for Level 4. I’m hoping later this year I can start back. My teacher said for me to not let it go. She likes my accent 💁🏻‍♀️😂
8,"@caffeine_addict To be clear: the downturn isn’t because of the vaccine mandates, it’s because Level Red has created a faux lockdown and so there are less people in the city. It’s misleading to use my Tweet to claim that it’s due to the mandates."
9,@SamuelHillNZ My Dad died during Level 4 lockdown after being unable to see his specialist. Ended up in Auckland Hospital for five weeks with only one family member allowed to visit. I had to pretend to be my sister so I could sneak in to see him the day before he died. Fucking cruel.
10,@viewspotnz I hope someone has made him retract his false claims about current red level in NZ its not a lockdown in fact I went out again to a restaurant for a meal today just have to sign in with vaccine pass that took 30mins to get online suggest you shouldn't comment on what you don't kn
11,"I’ve been in a low level lockdown since covid first hit our shores. I did everything right. Wore my mask, got vaccinated as soon as I could. Did the same for all family members. Why would I send my kids to school not fully protected with a vaccine at least?"
12,@puansongket basically nz dah takde level 1-4 dah. Skrg main sistem trafic light. Red paling dangerous la. Ada 9 kes omicron harini spread katanya potensi ke whole negara. So satu negara red la. Takde lockdown tapi diperketatkan sosial .
13,"Are we upset about going into the red light tonight? Of course we are. 
But imagine if it was the good old Level 4 lockdown instead, huh? Naahh mate 😂 
Thank you for keeping our businesses open 👏"
14,"Tripple red and level 5 lockdown after the royal wedding. 

https://t.co/xyFFg1Ja2k"
15,"Tonight, 🇦🇺 in self imposed lockdown. 

@ANZ_NZ data shows weekly spending to 5 January was lowest level since DELTA lockdowns. 

Going to be a acutely difficult period for businesses and households.

Failure of public policy &amp; entirely avoidable. 

#Auspol #EconomicData #COVID19 https://t.co/Gyta0ljqsr"
16,"@nyactor Context:shopper for 3 kaumātua in lockdown 1. Tested fortnightly, just in case. Continued till end of level 3.
Have asthma and hayfever... tested when sniffly.
March lockdown, tested again.
Aug '21. Shopper again for kaumātua. Tested weekly when school started. All tests -ve"
17,"@wonk_arama When our lad came over from Melbourne, just prior to the March 2020 initial lockdown, the advice was to isolate in a separate section of the house. Like we had wings or servant’s quarters.
I thought THAT advice was dumb.
This 👆 is next level privileged."
18,The people who spent October and November calling for a longer lockdown for Auckland and a return to Level 4 popping back in to say that self-isolation is BAD and people CAN'T BE TRUSTED! https://t.co/xlQicygpXB
19,"@fb1974 @ianbfarquhar I don't think it's tweeters turning it into an 'East thing again'. Especially when the treatment of outbreaks in the two areas are treated remarkably differently. Particularly in the previous lockdown - two LGAs same restrictions, different level of enforcement. #TaleofTwoCities"
20,"@EpiEllie Lockdown (or Alert Level 4) in NZ was stay at home unless doing essential business (basically food or medical) - while fully masked, hands sanitised, distanced &amp; scanning in. And essential services had occupancy limits"
21,"@joedamage92 @cjsbishop NB research in NZ showed no increase in suicides during the lockdown. If we hadn't had lockdowns we would have had thousands of deaths, so lockdowns pass the utility test. Plus they gave us 18 months at Level 1."
22,"It's the last day of lockdown in Auckland, as NZ moves away from alert levels and into the 'traffic light' 🚦 system as of tomorrow. 

This time Auckland was in lockdown (Alert level 3 or 4) for 107 consecutive days."
23,About a thousand people turned up to the #Auckland domain to protest. Under alert level 3 rules events are banned. @1news #lockdown #Covid_19 #NewZealand https://t.co/RIqkwMhQKE
