,Text
0,Would be fascinating to know what % are actually impacted by a vaccine mandate vs inconvenienced by it not having a vaccine pass.
1,@Farq_Doff I bet the thing they're really worried about is that you're more infectious and have more serious implications than Omicron. And once we pass on this dangerous disease of questioning the narrative Jacinda and Co will realise there's no vaccine available...
2,@ArendtRead Yeah. Around 2000 people the first day in Wellington (probably another thousand or so in the South Island because they didn't realise you can't get on the ferry without ID and a Vaccine pass or negative Covid test). Numbers now dwindled to a couple of hundred people?
3,"Wha wha wha, Jacinda said you don’t have to scan, just sight. MF this is my roof, my policy for entry. Considering I’ve already had ppl try to pass off fake vaccines and i ran the largest risk of infection, not you as a customer. I’m gunna scan it"
4,"MFs worried that scanning the vaccine pass shows me their name and birthdate. If twinks have to show me their government issued ID to verify their age, I can scan ur vaccine pass."
5,"@MatthewHootonNZ In fairness, Seymour suggested on television this morning that the time for mandates may be over and that ACT always advocated a recent test or a vaccine pass to begin with."
6,"@BR3NDA Getting good uptake from the ""My Little Vaccine Pass"" background, in Comic Sans yet."
7,"@publicaddress I mean, given antivaxxers thought there couldn't possibly be only three complaints to council about still having to pay rates despite vaccine pass mandates, this sounds like the level of individual we're dealing with."
8,Vaccine clinic at Kelburn campus going hard. The staff there are so lovely too! And every pharmacy I’ve passed in town that does walk in vaccinations is chocka. Makes me so happy 😍😍😍
9,"@AAragurn @BeentjesCarl @continu_um @thelastmalakai @YorkiePaul66 @HomesteadNZ All other vaccines have successfully passed clinical trials

No covid Vax has..

&amp; Vax manufacturing is fighting to HIDE some extremely negative Vax trial data"
10,@joshwaihi @WhiteHatNZ So it does prevent deaths and does prevent infections.  However with NZ present high rates due to co-operative society members the need for vaccine mandate has passed.  But you can still expect a long time of passes and capacity limits to slow infection rates
11,"‘Zero IQ’Events from the Anti-Vax convoy travelling NZ:
- Convoy got derailed when someone made a pit stop at their house for tea 
- Convoy wasn’t able to board the Inter-Island ferry as nobody had their vaccine pass #Dumbkirk"
12,"@MariaBickley1 @TheAlmightyGod8 @NewshubNZ Parachutes, condoms, seatbelts aren't 100% guarantees. Neither are vaccines.  Not the measles or mumps vaccine that you probably took, nor this one.  But they still do a bloody good job.

The vaccinated can catch it, and can pass it on.  But are LESS LIKELY than the unvaccinated."
13,@joshoconnorchen It's not straightforward when those business can still trade. The problem is not the vaccine pass.
14,@EerjkMcRaeOF I’d prefer @MarjaLubeck stopped telling porkies. National has not demanded that the vaccine pass be stopped yet.
15,@FoxyLustyGrover What are they eating? If the cafes are closed &amp; require a vaccine pass anyway? Maybe be they’ll move when they starve?
16,@MarjaLubeck Rubbish. The vaccinated people with the pass are the ones spreading the virus. All of the places of interest require vaccine passes!! Stop lying to the public.
17,@MarjaLubeck Except the Vaccine Pass does NOTHING to keep people safe because the vaccinated still spread the virus. As proven by the Vacinated only events
18,Should the current vaccine mandate and vaccine pass system evolve into the booster mandate and booster mandate? #nzpol #convoynz2022
19,@camrynpetebrown So you are saying they are not calling for the end of the vaccine pass? That would be reassuring.
20,@NototyrannyNOW friend’s dad passed away 24 hrs ago due to covid. I know many people who’ve been terribly ill due to covid. I know a number of people who recovered quickly from covid. I know nobody who’s died or become ill from the vaccine. My conclusion - glad I used my personal choice to vax
21,"Australia has passed 9 million COVID-19 vaccine boosters administered. Thank you to each and every person boosted.

To book your booster dose, or your first or second dose, visit https://t.co/UY7nCeG4vz https://t.co/DBKOkl7lQa"
22,@SamSachdevaNZ They should also be running the fun tweets at the bottom of the screen. Like the guys who got all the way to Picton before finding out they would need a vaccine pass. And that the ferry was expensive
23,@MDonofer @qldhealth 9 people have passed away due to the vaccine
24,"So 140 people had genuinely qualified for an exemption.
Within the range of 100-200 that was claimed early on. 
These ppl carry a vaccine pass indistinguishable from the standard one so they are not discriminated against, but have very good reasons why they can’t get vaccinated."
25,Me celebrating the abolition of the green pass (aka vaccine passport) in Israel. https://t.co/0xYuUTwWWw
26,@HoneyBeeGeek @NZStuff Minus the south islanders that couldn’t cross the straight without a vaccine pass? 😅
27,"Tell me it is an urban myth. Tell me it's not true. A whole lot of truckers/protesters turned up to catch the ferry to join their Northern ""cousins"", only to be told that they couldn't catch the ferry unless they had a vaccine pass. Someone checked, surely??? #ironic"
28,It has now come to pass if a hot MILF at the grocery asks about your vaccine status you have to see proof of hers? They're not making it as easy as it used to be and imagine turning down a solid eight or nine because she got injected but you have to! Say no to nines! 😬
29,Can't pin down the HIV angle with these vaccines but if that comes to pass no one even slightly connected to #BigPharma survives the hellscape they created for themselves! No one! Especially that #Fauci fella. 🤔
30,They’ve said this at every protest yet all the infection outbreaks have been vaccine pass only🤔🤡 https://t.co/RaqZrYMHqa
31,@simi_jendrix 100 with Vaccine pass. 25 without.
32,"So you’re saying you should have to put something you don’t want into your body that could give you severe adverse reactions or even kill you — to protect others?

Hard pass.

If you have the vaccine and you’re “protected” but are worried about me, your vaccine must not work… 🤡 https://t.co/UwCVPXU3Dm"
33,"It seems like truckers think, ""well I'm alone driving what's the big deal!!!"" but they're not. They can easily be a vector who takes something all across the country as they greet vendors, unload, pass by others at truck stops, even trying to be safe we don't live in bubbles."
34,"@Kiwi_Paul_B @mrJeffHowell You have to wear a mask at Countdown and show a vaccine pass to get in the gym. You know, like Nazi Germany. But with less deaths."
35,"It's taken three weeks longer than expected, but Queensland has finally passed the 90% vaccine double dose milestone. Despite the achievement, it comes with no rewards, with the Government standing firm on remaining COVID restrictions. https://t.co/PGv1eH2CK9 @JoelDry7 #7NEWS https://t.co/KCEJMiTGSP"
36,"@ShakingStick Virtually all of the support they've gotten has been individuals donating stuff on the fly, it's going to get messy when these folks try to walk into a restaurant maskless with no vaccine pass."
37,"@NewshubPolitics The PMs address to the nation was a perfect example today. 
She didn't acknowledge them at all but expressed her heartfelt thanks to the 31,000 that got their vaccine today. 
""Today's events happening outside will pass""
#ChurArdern #Teamof5million"
38,"@Peter_Fitz Why not judge you, Ben?
It is not an experiment, no more than any other vaccine. See below. Secondly if you catch it, not only can you die but you could pass it on.
Ignorance is not  the best quality for a political candidate.
https://t.co/8FZgZJYCoB"
39,"@OrwellianNz84 Almost all to get the vaccine pass. 
A couple for protection, but won't be getting boosters cos they realized it was a ruse"
40,"@FoxyLustyGrover The PMs address to the nation was a perfect example today. She didn't acknowledge them at all but expressed her heartfelt thanks to the 31,000 that got their vaccine today.
Today's events happening outside will pass.
#ChurArdern #Teamof5million"
41,"At Today's Address, The PM was asked about her thoughts regarding the protest happening outside?
The PM: ""Another 31,000 New Zealanders got their vaccine today, I want to thank them for taking that step in keeping themselves safe. What's happening outside, will pass.
#ChurArdern https://t.co/Xhl1a5FDTl"
42,What happens to the date on your vaccine pass after the booster? #covid19nz
43,@_mjwills How did they get across the Straight? I thought you needed a vaccine pass for the ferries.
44,Do you renew your vaccine pass when it expires or after a booster?
45,"Anti-vaccine mandate protesters hand @SenatorRennick a list of demands, saying he'll pass them directly to @ScottMorrisonMP. Rennick tells the crowd he's working to ""make sure our children don't get vaccinated"" #auspol"
46,@axedeee @nzherald Are you alright? Because a vaccine pass is definitely the same as a drivers license🤦‍♂️🤦‍♂️you also don't need to show a drivers license anywhere to drive around so don't know which world your living in😂
47,"Un convoie pour la suppression du Pass Vaccinal/restrictions a démarré hier en Nouvelle-Zélande. 
NB : Tt comme au Canada il ne s'agit pas ici d'antivax (la vaccination y est obligatoire pr bosser dps plusieurs mois déjà dc les routiers sont ts vaccinés).
https://t.co/7TKpZgmBA4"
48,"@SuzanneDWallace @fmacskasy We choose to avoid anywhere there are a lot of people so a restaurant needs to have spacious well ventilated areas, check vaccine pass or we go elsewhere. Why don’t they understand that many of us who while vaccinated don’t want to risk getting sick from something we can avoid."
49,"@maffygirl @ketaminh @BLUEfingers2021 Interesting! Here it is an exemption (but has to be assessed by @AshBloomfield)- my workplace wouldn’t accept an exemption though so I got pfizered. 
So yeah people claiming it.  Because an exemption gives you the same vaccine pass as being vaxxed"
50,Had a sudden weird moment of panic waiting in line for my booster because I could clearly remember my first dose but had absolutely no recollection of my second.  Had to check my vaccine pass to reassure myself lol.
51,@d283bdd81e9e467 @Farq_Doff Why should you need a vaccine pass to play sport? You can still have covid with a vaccine/pass you know. do you?
52,"@DrTinaPeers There is even evidence of shedding,  through relationships.  I see it in the first reply I read.  Shedding is the passing on of this vaccine information through connection with other people and members of the family.  Especially between partners who kiss and pass body fluids."
53,@Tikorangi And how many from the SI got stuck in Picton because they had no vaccine pass?
54,"#mRNA #vaccines for #COVID is a vaccine that has not passed strict clinical trials and was authorized for emergency use. It breaks a list of “unprecedented” records in human history. As billions get vaccinated, the damage it causes is growing. 2/2 https://t.co/jvg19iAv4M"
55,"#mRNA #vaccines for #COVID is a vaccine that has not passed strict clinical trials and was authorized for emergency use. It breaks a list of “unprecedented” records in human history. As billions get vaccinated, the damage it causes is growing. https://t.co/fVg4SKgkTF"
56,"@StephGunther @thekiwicanary Medically exempt people get a vaccine pass that works just like any other vaccine pass.
That's if they are genuinely exempt, of course...."
57,@honestyandhumor @bangtanmum @discoball2000 @JamesMerlinoMP @VictorianCHO @DanielAndrewsMP This is the same thing with the vaccines. Being ‘double jabbed’ with a pass to prove it shows compliance. You are a compliant citizen if you get the jab and wear a mask.
58,@1NewsNZ Do the South island idiots know that to get to parliament they have to get across Cook Straight and they can't get on the Interislander or the Bluebridge without a vaccine pass.
59,"@babymammoth_0 @64 @tigertimothy @StrayDogNZ I think my tweet said, ""Not if they need a vaccine pass.""  It was in response to a cafe comment. There was no glee or smiley emoji.  I was simply stating a fact."
