,Text
0,"@fordnation you turned a blind eye to the finance ministers trip, you had known about it for 2 weeks before he took it this was not esential travel and by failing to act you have given permission for prople to ignore your lockdown order, you need to step down #FordfailedOntario"
1,This image better be from before the lockdown started... #onpoli https://t.co/1XbRPLkyFL
2,"@Manda251 @taff_tro69 @PandaScottish @JamesMelville 30k excess deaths are not more than covid. Also, current covid deaths came from lockdown periods. Greatly increased if we open up."
3,@dvargha They had ACES  up their sleeves it was deadly long before the lockdown.
4,@kinsellawarren I haven’t left the house since the lockdown except to walk the dog. Is there something wrong with me?
5,"Hey everyone, my pal DJ Rammy is doing a 24 hour live DJ session of OLD SCHOOL tunes to get us through this lockdown New Year’s Eve! We are also trying to raise $10,000 for Sick Kids.  

See the link below to his livestream &amp; if you are able, kindly donate to help out. https://t.co/V0pvccUH5J"
6,"@Manda251 @taff_tro69 @PandaScottish @JamesMelville Lockdowns don't cause more deaths than the virus itself!! Very dangerous thing to say.  Of course lockdown will take it's toll, but the least damage will be done by keeping the case numbers down. Hospitals are bursting at the seams right now with 50k+ new cases a day."
7,"Dear @mcuban , 
Thank you for all your inspiring words this year. Your insight on the @APompliano podcast in the start of the lockdown was worth it’s weight in gold. Something to the extent of “If your a business right now and your going put the pedal to the metal.” We did and 📈"
8,@fordnation @PBethlenfalvy Will Rod Phillips be fined like others for not following the Covid lockdown restrictions @CTVLondon @fordnation @celliottability
9,"Lockdown Jail Island Salmon, Shutdown Braised Shortrib #newyearseve @ Ott's Good Earth Garden https://t.co/qHhRnwTfd7"
10,@Breaking911 So lockdown don't work! https://t.co/ahREmcNzjm
11,"#ThoughtForTheDay  
The #badnews is #timeflies. The #goodnews is you’re the pilot. #Focus on your #progress, not your #goals.Even though we are under a #lockdown, enjoy your #NewYearsEve ! See you in #2021-✌🏾#DatKingShh  https://t.co/yJ6Oq5mJ9m https://t.co/gxMlxTivN3"
12,How did California get the new #COVID strain if they are under lockdown?
13,"@Hadesr66 @NeilClark66 In that story, the revellers had barricaded themselves inside the palace for months to separate from the outside world where a pandemic was raging. Nonetheless, the Red Death cut them down as well. Demonstrates the idiocy and futility of attempting to avoid contagion via lockdown"
14,That’s ok Same bull from them Rumours that Ford delayed this last lockdown by a day or two so his wife could have a party. https://t.co/bNRJ6D4R6t
15,@SeanArmand_ @raxcity Aren’t ya on lockdown? Lmao
16,@GordManzer This sounds like an infringement on the new lockdown requirements. Are they all masked???
17,I understand that to many of you this is mundane but I reiterate that except for doctor and post office I have essentially been in total lockdown since March
18,We must lock down until no one dies anymore. Enough is enough.
19,"2020 is ten einde, en dat betekent dat we kunnen terugkijken naar de vele nieuwe series die we tijdens de lockdown hebben kunnen bingen mijn tien, persoonlijke favoriete reeksen van het jaar  https://t.co/3vd0f1LKhy"
20,"@SkyNewsBreak Yesterday in Florida.  13,871 new cases and 134 deaths.  That equates to about 41,300 cases and 400 deaths if set against the UK.  Remember we have no lock down and almost zero restrictions."
