,Text
0,"@RadioFreeTom So let us guess, you must therefore be opposed to those socialist subsidies handed out to farmers, and the socialist Paycheck Protection Program handed out to business owners, and the socialist subsidies given to the gas and oil industry right?"
1,"@5_2blue @GregAbbott_TX Thx.  I was 18 weeks and had been hiding the bleeding from my boss bc I needed the paycheck.  Today, children can be saved at that age.  She was perfectly healthy.  People that don’t want babies can and should use protection.  There are people that can’t have kids."
2,"@SimpleJack206 @gimurtha @CamBlurn @DerenicByrd @Brendakwawa111 Maybe we could give them a paycheck protection program with all of the stimulus checks that can be used to pay for employees wages. Oh wait
..."
3,"he helped businesses access $325 million in Paycheck Protection Program funding during the pandemic. Magic is also leading with his own businesses, 👏👏👏 https://t.co/Wmlqu6bT5a"
4,New York Paycheck Protection Program (PPP) Loans | https://t.co/U0dgq9waWb https://t.co/M1wGxVPNwi
5,"Let’s ask @POTUS to continue the Paycheck Protection Program so struggling small biz owners can continue to survive (and thrive) in 2021. I gave Womply 5-🌟, when others were NO help after a year of trying. Support women + minority biz owners! @Trustpilot https://t.co/5CHhDsi1NR"
6,Important update about the Paycheck Protection Program  https://t.co/Xi3OjUDRlW
7,"@BrightForTh3Win It stands for #PoorPeopleProtection but the rich apply and often squander the money.  

Actually it’s real name is Paycheck Protection Program and it’s meant to keep businesses from going under. Not buying Jets and Lamborghinis"
8,"Marjorie Taylor Greene's company 
Taylor Commercial, a residential renovation and siding contractor, received, during the 2020 pandemic, Paycheck Protection Program funding from the Small Business Administration in the amount of $182,300."
9,#PaycheckProtection @SBAgov The SBA should allow other lenders to accept the approved SBA #'s NOT funded by @blueacornco. Been approved since 4/8. Was told I would be funded 2 weeks ago. Can't reach anyone. Chat is the same canned reply. This is life &amp; death guys. Save us!!
