,Text
0,"@SimpleJack206 @gimurtha @CamBlurn @DerenicByrd @Brendakwawa111 Maybe we could give them a paycheck protection program with all of the stimulus checks that can be used to pay for employees wages. Oh wait
..."
1,"he helped businesses access $325 million in Paycheck Protection Program funding during the pandemic. Magic is also leading with his own businesses, 👏👏👏 https://t.co/Wmlqu6bT5a"
2,New York Paycheck Protection Program (PPP) Loans | https://t.co/U0dgq9waWb https://t.co/M1wGxVPNwi
3,Important update about the Paycheck Protection Program  https://t.co/Xi3OjUDRlW
4,"Marjorie Taylor Greene's company 
Taylor Commercial, a residential renovation and siding contractor, received, during the 2020 pandemic, Paycheck Protection Program funding from the Small Business Administration in the amount of $182,300."
5,"Predictions For Future PPP Fraud Prosecution By DOJ, by David Bouchard, Esq. https://t.co/9duzgNtUaw

This article is one of the most thorough &amp; incisive I have read about the potential scale of SBA Paycheck Protection Program loan fraud prosecutions over the next few years. https://t.co/tik7bzZoSP"
6,"Predictions For Future PPP Fraud Prosecution By DOJ, by David Bouchard, Esq. https://t.co/dlFQ7E63TR

This article is one of the most thorough &amp; incisive I have read about the potential scale of SBA Paycheck Protection Program loan fraud prosecutions over the next few years. https://t.co/IzsbHnlNqI"
7,"For example, landlords have received Paycheck Protection Program (PPP) loans from the Small Business Administration (SBA), even though “passive businesses” which are “owned by developers and landlords that do not actively use or occupy the assets acquired or...."
8,"""The Paycheck Protection Program turned out to be a multibillion-dollar bonanza for nonpublic and religious schools, at a time when most public schools lacked the funding to pay for social distancing, health measures, and personal protective equipment for students and staff."" https://t.co/LRf99YBTvt"
9,"""...and then providing an additional 30-day period for the SBA to process applications that are still pending..."" [PR] Paycheck Protection Program Extended to May 31  https://t.co/0VQXOr0KFX"
10,"Enjoyed being in the studio this morning with Altus’ @kwhwradio’s @CameronDole.

We discussed a variety of topics like the Paycheck Protection Program, @HealthyOklahoma’s COVID vaccine distribution plan, the importance of rural healthcare and the crisis at the Southern Border. https://t.co/qGei8ca7MW"
11,"U.S. @senatorcarper (D-Del.), joined Logan Herring, CEO of Reach Riverside, to discuss the Paycheck Protection Program Extension Act and tour renovations happening at Kingswood Community Center Monday, March. 29, 2021, in Wilmington, DE.

📸 @monsterphotoiso https://t.co/ylRyHQfhK8"
12,"“Among the top targets by prosecutors are fraudsters trying to steal from the Paycheck Protection Program, with people running schemes ranging from exaggerating their business expenses to concocting fake companies to get funding. So far... it has charged 120 people with crimes” https://t.co/oynMW5y24F"
13,NRF Says Extension of Paycheck Protection Program Vital to Small Businesses    https://t.co/Da0xaJfIS0
14,"With less than 40% of Paycheck Protection Program funding still available and two weeks left for the loans to be approved, lenders are encouraging small businesses and nonprofits to apply now. #stimulus #PPP #covid19
https://t.co/CI79HXALiW"
15,"It’s very important and crucial for our communities to get the paycheck protection program up and running. To be honest NH people can’t effort to live with $7.25 per hour when rent for two bedrooms apartment is $1600 per month, this doesn’t not include utilities. @SenSchumer https://t.co/Zv8O8ojtQR"
16,Very proud to pass this comprehensive COVID-19 relief bill in the @MA_Senate which will help keep our workers safe with Emergency Paid Sick Leave. Bill also includes: •Unemployment Insurance Updates. •Delay State Tax Filing. •Paycheck Protection Program Loan forgiveness. https://t.co/TAkhj9uWKm
17,"Worse, two amendments have been added to the bill: One is TABOR - which would limit government spending. Another is Paycheck Protection that would decimate public unions."
18,"GREAT NEWS!

Tonight, the House passed a bipartisan measure to extend the @SBAgov’s PPP until June 30th. The Paycheck Protection Program has and will continue to play a critical role in keeping Oklahoma’s small businesses afloat as we safely and responsibly reopen Main Street. https://t.co/oGsKsq319v"
19,The House passes the Small Business Administration's Paycheck Protection Program for another 2 months till June 30. The legislation will now head to the Senate. Will it pass? Wait and see! @EWTNNewsNightly https://t.co/84YSJUHYaZ
20,@HouseGOP @HouseGOP @SenateGOP provided #COVID19 funding for #theotherguy ‘Businesses at properties owned by Trump Organization &amp; son-in-law Jared Kushner's family reportedly received more than two dozen Paycheck Protection Program (PPP) loans worth more than $3.65 million.’ #GOPHypocrisy
21,@WackyCathy1 @rbokanyi @JoshMandelOhio @GovMikeDeWine No actually its true. Under the loser more then half paycheck protection went to big businesses
22,"REMINDER: There's still time to apply for the federal Paycheck Protection Program. The program can help protect your business and employees as we reopen and recover from the pandemic. Apply before March 31st.
More info on eligibility and how to apply here: https://t.co/8GYCiC10SJ https://t.co/YH9ZxO3hp1"
23,Sen @RandPaul shares how he blocked a provision in the latest spending bill that would’ve allowed Planned Parenthood to receive money through the Paycheck Protection Program: https://t.co/Hy37KxKwKA
24,"@RambleOnNate @TalbertSwan After winning his seventh Super Bowl, Tom Brady should be magnanimous and return the $960,855 Paycheck Protection Program loan his sports performance and nutrition company received to survive the COVID-19 pandemic, says a new https://t.co/PA0SZyH4ZC petition.Feb 16, 2021"
25,Biden visits D.C.’s oldest hardware store to highlight Paycheck Protection Program https://t.co/9TeWvfRUD7
26,"President of the United States Joe Biden departs The White House en-route to a small business that has benefited from a Paycheck Protection Program loan in Washington, DC on March 9, 2021 https://t.co/WGpZcmtbC0"
27,"Pres Biden just arrived at @wsjenks Hardware in NE DC to promote the Paycheck Protection Program. 

DC’s oldest hardware store-opened in 1866! (h/t @laurahayesDC)

WH says owners applied for loan during 2-week window Biden announced Feb 22nd for biz with fewer than 20 employees"
28,Businesses with fewer than 20 employees who apply to the Paycheck Protection Program (PPP) by 5 p.m. Tuesday get early consideration.  Application takes 8 minutes. Final deadline is 3/31. Remember the documentation. Visit 👉 https://t.co/1r6552ulWZ. #PomptonLakesNJ
29,"Sole proprietors, freelancers and businesses with fewer than 20 employees who apply to the Paycheck Protection Program (PPP) by 5 p.m. Tuesday get early consideration.  Application takes 8 minutes. Final deadline is 3/31. Remember the documentation. Visit https://t.co/n9dh4GqoQa."
30,"Oh and hey restaurants and small businesses, you’re in this too. You too, Virginia nonprofits. 

The ARP:

🎉 gives $7.25 billion to expand the 
Paycheck Protection Program for nonprofits and other orgs

🎉 it establishes a $25 billion Restaurant Revitalization Fund grant plan."
31,"Sign up today! This 60 minute webinar covers the loan programs the Small Business Administration(SBA) has to offer to help you get SBA Paycheck Protection Program and Economic Injury Disaster Loans.

https://t.co/1cQYHfVdbb"
32,"The Paycheck Protection Program (PPP) Loan Workshop is set for 3 to 5 pm Monday, March 8. The program provides small businesses w/ resources to maintain payroll, hire back employees who may have been laid off, and cover applicable overhead.
➡️ Register at https://t.co/487yrj9Ovj https://t.co/ymf4hQt6fK"
33,Paycheck Protection Program (PPP) recently announced changes establishing a two-week window for applicants with fewer than 20 employees. Businesses with less than 20 employees account for more than 90% of all private-sector employers on Long Island. #ppp #economicrecovery https://t.co/Ms97R0b6aS
34,"Applications for the second round of Paycheck Protection Program loans are being accepted through March 31st. Want more information or ready to get started on your application? Contact us, or head to https://t.co/kl1J9HorUT https://t.co/CDXz6wHzzu"
35,"The Biden administration announced changes to the Paycheck Protection Program.  Starting Wednesday, small businesses with less than 20 employees will have a 2 wk exclusive window to apply for funding. Bigger businesses will be blocked.  Contact your bank to apply.  #covid19relief https://t.co/BoNwA0SmBi"
36,.@POTUS pays tribute to 500K lives lost from COVID-19 in U.S. and makes adjustments to the Paycheck Protection Program. Stories on First Light and America in the Morning @WestwoodOne https://t.co/xAfDEI7Kdl
37,POTUS outlines changes to paycheck protection program (https://t.co/pxkkQHAEpQ)
38,@RepBenCline The original Paycheck Protection Plan gave many loans to Fortune 500 company's and ignored small businesses. Ben Cline only mouths concern for small businesses now. Stand out of the way Ben.
39,"DC has provided💲1️⃣5️⃣5️⃣ million in direct assistance to our businesses

Meanwhile, DC businesses drew💲2️⃣•2️⃣ billion in Paycheck Protection Program in 2020

With PPP open again, we need to make sure we get our fair share so apply today https://t.co/FQjwSTco6k 

#DCHOPE https://t.co/JyUswJ1Chb"
40,"Paycheck Protection Program loans are intended to help businesses keep their workers employed during the COVID-19 emergency.

To apply visit https://t.co/PhhXAzrNXa or for assistance in completing the application, including language assistance, visit https://t.co/29woKHB6RS https://t.co/oOEtvLAEMH"
41,As many as one in three jobs in @cityofdayton supported by Paycheck Protection Program  https://t.co/0Zc56iLITX
42,"DC businesses — are you applying for the Paycheck Protection Program?

We have to get our fair share

So @MayorBowser @DMPEDDC &amp; @SmallBizDC have resources to help you get PPP READY &amp; apply for this federal program

💻 https://t.co/N3BY5eigz0 ❤️

#PPP #PaycheckProtectionProgram https://t.co/JQtPtdCGY0"
43,"We are now accepting applications for the Paycheck Protection Program (PPP)! ⠀⠀⠀⠀⠀⠀⠀⠀⠀
To request an application,✅ Contact us Now! ⁣⁣
WhatsApp via +1 (202) 963-1145
✉️ Maill via Lawsonpeter008@gmail.com https://t.co/qgCDMXj1yz"
44,@HottmannEvan @PJ_Matlock Paycheck protection program
45,Tom Brady should give the money back. No hand outs. No Paycheck Protection Money for people who don’t need it. #TomBrady #PaycheckProtectionProgram
46,"@Krys_is_back NFL quarterback Tom Brady's sports performance and nutrition company received a Paycheck Protection Program loan of $960,855 from the federal government, according to data released by the U.S. Small Business Administration. Brady agreed to a two-year $50 million deal with Tampa"
47,"FYI, for those waiting for some financial relief from our Government: scores of Roman Catholic Dioceses received $1.5 Billion from the Emergency Relief Program (Paycheck Protection Program), despite having $10 Billion in cash and other readily available funds available to them."
48,"We are accepting Paycheck Protection Program applications from current FNB commercial customers!

Learn more or inquire about becoming a commercial customer here: https://t.co/BZrSNQwkuY

Member FDIC #ppp #paycheckprotectionprogram https://t.co/GqNluHlt2K"
49,"“As the pandemic began to unfold, scores of Catholic dioceses across the U.S. received aid through the Paycheck Protection Program while sitting on well over $10 billion in cash, short-term investments or other available funds, an Associated Press investigation has found.”"
50,"American families deserve protection from this every happening! This is unacceptable. I live by the mindset that I am one paycheck away from being homeless, with two kids and three dogs. We won’t all fit in the Hyundai. It’s terrifying! https://t.co/kzQGWmKTAH"
51,This is usually a cinder block fire hallway from the many I have been in.  The code could be different for Houston but I am not going to research an old standard...... Paycheck Protection Prison Process Proceeds Provide the Stock Options on On/Off Site Final Destination Delivery! https://t.co/10Rm9n4S2G
52,"@NebraskaMegan Yes, about that @nebraskarestaur testimony stating that Nebraska received the lion's share of the Paycheck Protection Program loans.

https://t.co/yYqZQroGJG @LJSdon @WestinMiller #neleg #LB122 @NebraskaPPC"
53,"Small Business Administration Paycheck Protection Program #PPP 

Funds Are Limited.  #SmallBiz #SmallBusiness

👆Link in Bio👆 @ Knoxville, Tennessee https://t.co/iokauqLyC9"
54,"If you are self employed and experienced a 25% or more decrease in revenue during 2020 you may be eligible for the Paycheck Protection Program. Review the 🧵, I’m happy to answer your questions! https://t.co/t9hmK8PyIA"
55,"@latinfinancial En esta edición de ""Hablemos de Negocios"", nuestra Presidenta Electa habla con Sonia Alvelo, CEO de Latin Financial Puerto Rico, sobre el ""Paycheck Protection Program"" y cómo solicitarlo. 📲 ¡Este próximo martes conéctate a nuestro Facebook Live! https://t.co/s4njsUzept"
56,"The second round of Paycheck Protection Program loans are 100% forgivable! 
•Second draw request must show 25% reduction in revenue comparing to any one quarter from 2020 vs. 2019. 
• The PPP helps small businesses keep their workforce employed &amp; communities strong. https://t.co/kbBV9ez5xC"
57,"#ICYMI: The Paycheck Protection Program is BACK! ⁣

Learn more about #PPPRound2 by visiting https://t.co/2GjvZtjfDO. 

First-time applicants: https://t.co/fkdRL48DFm 
Previous applicants: https://t.co/Z53b5HExlA
⁣
#SupportSmallBiz⁣ https://t.co/zORuEaYMur"
58,"Paycheck Protection Program (PPP) Prep Kansas City is a partnership effort with the City of Kansas City, The KC BizCare Office, Prospect Business Association KC of KC, Heartland Black Chamber of Commerce to help black and minority owned businesses prepare the PPP applications. https://t.co/MOnXqdsV1z"
59,".@HeritageOhio will hold the webinar, PPP Round 2, January 26 at 1 pm. Join the SBA Columbus District Office to learn more about the second round of the Paycheck Protection Program. Learn more and register at https://t.co/1iliSOvtxa. https://t.co/HkRegfUieK"
60,@ChaseSupport I have been attempting to submit an application for round 2 of the paycheck protection program on your portal @ChaseSupport  The PPP portal has been inaccessible for 36+ hours! How is that possible???
61,"@latinfinancial From Connecticut, Chicago, Florida, California and Puerto Rico we have provided our help with the 2nd round of the PPP (Paycheck Protection Program)

Visit our website and click on the PPP link for financial help.
https://t.co/T2xu61iirw https://t.co/WKVif9A1yx"
62,"#SIEDC Paycheck Protection Program #Webinar Part IV

January 27, 2021
3:00 p.m.

To RSVP for this webinar and to receive the access link email jaclyn@siedc.org. https://t.co/h986Lsbe0Y"
63,"Excellent, informative story by @AshleySharpWJHL: The goal of the federal Paycheck Protection Program is to keep small businesses staffed and open during these challenging times.

What small businesses need to know about second round PPP loans:

 https://t.co/2KeoFw200f"
64,"#SIEDC Paycheck Protection Program #Webinar Part IV

January 27, 2021
3:00 p.m.

Panelists include James R. Grimaldi of Citrin Cooperman. 

To RSVP for this webinar and to receive the access link email jaclyn@siedc.org. https://t.co/gZ1b4Lhkhv"
65,"How many businesses getting paycheck protection, will ever reopen? We’re paying 👻s. Billions gone. @catturd2 @tonykatz @theREALbenORR @hammerandnigel"
66,"❇Live Now ❇ Learn about: the Paycheck Protection Program (PPP), the Economic Injury Disaster Loan (EIDL), the Shuttered Operations Grant Program, and Tax Benefits for Small Businesses

https://t.co/eIedcRhAAR"
67,"❇HAPPENING AT 9AM TODAY❇

Come learn about: the Paycheck Protection Program (PPP), the Economic Injury Disaster Loan (EIDL), the Shuttered Operations Grant Program, and Tax Benefits for Small Businesses

https://t.co/Sqdr1q4yvS https://t.co/WVS29Mx4ty"
68,"What?

Five prominent anti-vaccine organizations that have been known to spread misleading information about the coronavirus received more than $850,000 in loans from the federal Paycheck Protection Program.

https://t.co/FMVLwX5Dy6"
69,"Check out today’s article “Paycheck Protection Program loans are back, covering more businesses, expenses”  🙌@virginianpilot @pierceall 📸@k_zeis Featuring co-owners @LauraWoodHabr &amp; Kal Habr @CROCSVaBeach @ViBe_District @VisitVaBch 

#SupportLocalRestaurants
#RestaurantsAct https://t.co/GF49cGCOtn"
70,"Attention business owners/management: a new round of Paycheck Protection Program funding is now available. This round of the PPP continues to prioritize millions of Americans employed by small businesses  toward job retention and certain other losses ...

https://t.co/J28wgWbptL"
71,If you and your business needs a Paycheck Protection Program (PPP) loan to keep your business going let First Security Bank help. Call today at 405-424-4341.  @BigOsBBQOKC https://t.co/zjbT9Yrn8b
72,"💰TODAY💰&gt;&gt; The Paycheck Protection Program reopens for MORE businesses looking for help in the pandemic. 

- That means financial institutions here in Maine with 1 billion $$ or less in assets can begin submitting PPP applications this am. 

(1/2)

@WGME @FOX23Maine"
73,At 5 on @41actionnews: Unemployment woes spark the need for the second wave of Paycheck Protection Program loans. We speak with a small business owner weighing her options as she wants to keep all her employees but admits businesses is slow. https://t.co/lHyFQWv5AR
