,Text
0,"@GOP Republicans are financing the Canadian trucker anti-vaxxers blocking consumer goods into America so they can blame President Joe Biden for the inflation that they are paying billions to create. #OttawaConvoy #antivaxxer 
https://t.co/xizB6IHRhz"
1,I’ll wear a mask until the last antivaxxer has his or her literal  come to Jesus moment
2,Imagine how far Brooklyn could have gone if Kyrie wasn't a fucking antivaxxer 🙄 https://t.co/2V0UQeVV1G
3,"@JeyFNRow All I wanna know of hes an antivaxxer, and if he is WHY is that ok now that hes Elite??

I mean you cant asks the fans to vaccinate and the talent doesnt 

Also if he didnt and he was working in the ring on a possible program with someone immunocompromised then hes an asshole"
4,Scratch an antivaxxer &amp; y’all always find a bigot. https://t.co/rIpY0UKaQG
5,@misandryalex @beghira @BrandyLJensen @offbeatorbit Just read her Wikipedia bio. Aggressively wrong about everything. Even an antivaxxer and a climate change denier!
6,@denise_dewald These Governors have no scientific basis for precipitously ending mask mandates at this time. It is a purely political calculation designed to placate the antivaxxer antimasker voters.
7,I feel like any antivaxxer who tries to push the magical abilities of “natural immunity” should have to spend a day in a COVID ward with no PPE so they can have the chance to prove their theory. https://t.co/hsTpQjGdXd
8,@marvel_n3ws Antivaxxer character dies of an easily-preventable death?
9,AntiVaxxer MAGATS. https://t.co/bfx1s2bDSJ
10,They're using reverse psychology by no longer doing mandates because I think putting mandates brings too much attention to the antivaxxer movement so by leaving it up to individual public/private business to enforce it might help keep that noise down a little bit.
11,@SeanWRobinson3 @Brandi545 @thatsmrsbraxton @chevrolet I'm not an antivaxxer.
12,@modelbuilder That is so true. I have a batshit crazy sister who is a antivaxxer Trumpy
13,"@Djocuntvic @NancyMAGAmonkey According to Sorry Antivaxxer, Lady Monkey said @QTWIQ1 was getting better, but I don’t believe it. I mean, I hope QT does, so she can admit how wrong she was about covid, and has to live with the physical and monetary consequences of her stupidity. https://t.co/plSUlYrmy4"
14,"@RepJimBanks Never forget what antivaxxer politicians cost us, either. https://t.co/XguZpU04px"
15,Mä en ole Sanna Ukkola fani. Mut kuppi meni nurin kun luin tän yhden Convoy huuhaalääkärin ja antivaxxer wannabe toimittajan häneen kohdistuvaa pilkkaa. Osansa sai myös Kiuru. Ja tää mun yks entinen ystävä hurraa ja jakaa näiden juttuja. Mulla on oksennus tuloillaan.
16,"@Guy85One @WhoFartedDamnit @LouisJMarinelli @Timcast I only asked what rights exactly are being taken away. No one that makes that claim has answered, Other than a low information antivaxxer who really should not be raising children."
17,@MattyShow thanks for clarifying Matt Lights statement On We the People maga BS antivaxxer nonsense !Doesn’t he realize town governments are made up of regular citizens?I always loved Matt Light too  ! 🤦🏼‍♀️ Love you guys !!!! 🤗
18,@DJRichieTee @devisridhar That again is just your opinion - with no evidence to support it.  There are many billionaires throughout the world who are supporting causes for various reason - some to build influence.  But you choose to undermine a public health professional! Are you an antivaxxer?
19,"@Cultaholic If the guy is an antivaxxer, how do you get past demanding attendees by vaccinated but not the talent 

We're not talking about that though right...."
20,@ibeastIess Isnt he an antivaxxer? You can't demand your fans and attendees by vaccinated and not the talent 😂
21,"@dankellyvo @brendashenda65 @VerifyThis Antivaxxer is not a word, Dan."
22,"@SeanGus @Momloveswine1 @JoJoMaxwell1 @MartinKulldorff @Stefokali @Harvard @miltimore79 Have a look here in detail, not some antivaxxer website spewing lies.

https://t.co/ZoPY3A6LQu"
23,"@tedcruz Let's be honest. There's no way you can find an unbiased source to regulate fox. Either you take an uneducated antivaxxer who loves Fox unquestionably, or you get someone with a GED or higher that despise Fox. There's literally no middle ground."
24,"@adeptstack @rash9000 @VerifyThis No matter what you tell an antivaxxer looney toon, they're 100% locked into their nutty beliefs. Nothing changes their minds."
25,"@RightOnTerry1 @geordieonline @Rebecca__Knott @mordorhippie @AbbyKadebby @TunneyTun They’ve literally changed the definition of antivax in order to falsely label even vaccinated people as it. Ever read 1984? 

By this definition, even Trudeau was an antivaxxer just a year ago. https://t.co/G7mMfcYPfD"
26,@GarbageBitchMan @Jaimeesue ARE NT U GOING 2 FACT CHEK YERSELF AND GO ON SORRY ANTIVAXXER AND UPDATE AND ADMIT YOU GOT TROLLED? OH WAIT NO YOU WONT DO THAT OOLOLOLOLOLOLOL
27,Hur extremt tidstypiskt I-landsproblem har du på en skala från 0 till Min frisör har blivit crypto bro och antivaxxer så nu vet jag inte vem jag ska gå till längre
28,"I see the @Telegraph have another tame professor claiming nonsense to try and prevent vaccination of kids. 

The JCVI need to allow vaccination of all kids down to 5, regardless of antivaxxer newspapers.

@mrjamesob 

#VaccinateTheKids"
29,Oh come tf on. Whether you are trans or you are an antivaxxer dad you have like a 0.0001% chance of dying. Get over it https://t.co/nwwoJ9U0Bx
30,"My boss, a millionaire many, many times over, is being ""honored"" and asked to speak in front of minority owned business owners.  She's an antivaxxer, covid conspiracy spewer and all around garbage mouth.  I think some of crowd will be quite eye opened when they hear such nonsense"
31,"DON'T EVER INVOKE BATMAN'S NAME FOX NEWS! Also, pretty sure he wouldn't be an antivaxxer, as his company would likely create the first vaccine. https://t.co/L8VbMYzA3H"
32,@RabbiJill Absolutely! Triple vaxxed &amp; N95 masked! Because knowing my luck I'd wind up in the hospital with a antivaxxer RWNJ as a room mate! That's enough to keep me masked!
33,@cfischerwp @hairjedi @MikeCraigMC @zei_squirrel Antivaxxer. https://t.co/QwAkDAJZhl
34,"@digitaldiggo @denise_dewald @kprather88 You know a year ago when I tried to explain the limitations of the vaccines and the risk associated with that... I got called an antivaxxer

When I said brain invasion was an issue a year ago, the same

when I said we had to keep masking

Or the antibodies absent from upper tract"
35,"@PatrickJamiso17 I am right there with you. I’m over it, if they don’t get vaccinated and get sick or hospitalized I don’t give a damn anymore. I have done every I can with every single person I know or am around and if antivaxxer, I’m done trying. It’s on them now."
36,"@darthskeptic A ""skeptic"" defending an antivaxxer who once was a moon-landing hoaxer is sort of a weird flex."
37,"That’s another 60,000 #antivaxxer medical professionals to add to the list! https://t.co/ArgtUo79LO"
38,"The only thing worse than arguing with an ignorant asshole, is arguing with an ignorant #antivaxxer asshole. https://t.co/oCg1oOaLVn"
39,@HLFrisbie @HectorRossete @HLFrisbie  Otro que también difunde ignorancia #antivaxxer en los medios de comunicación (@laoctavadigital) es @rubengluengas
40,"If you're not aware, Lancet is directly responsible for the ableist birth of the modern antivaxxer movement by publishing fake research claiming vaccines caused autism in children, and has since published spurious research about hydroxychloroquine and COVID."
