,Text
0,@DailySignal @RandPaul By my calculations mid term elections appear to be almost 300% more effective than the vaccines and masks at stopping Covid.
1,"@SenatorLankford Why are you pushing natural immunity? It's not as effective as vaccine, not even close."
2,"@IgorForHire @RepThomasMassie Sure. But then you have to admit you were wrong, and cannot mandate a single thing until there is actually data. No one is against effective vaccines. Everyone should be against letting any government ultimatum. #fauciliedpeopledied #EndTheMandatesNow"
3,"i’m pro vaxx and double vaxxed myself, but to say this is some outstanding vaccine is untruthful. it’s done a great job it keeping people out of the hospitals, but it is not as effective as we thought in the beginning. no use in lying to ourselves."
4,"@frozen_Tundra12 @michaelkramerSB @kuhnj30 No one has ever said vaccines were 100% effective against infection, but they significantly reduce one’s chances of severe illness. Also, no has ever said that cloth masks don’t work, they absolutely do, but respirators are more effective.  https://t.co/PnW70hhfJh"
5,"Only a complete idiot would try to compensate for low participation in a highly effective intervention (vaccines/boosters) with a minimally effective one (masks). 

Particularly when the minimally effective intervention may create unnecessary stress for kids."
6,"People have suffered under COVID-19 restrictions for 2 years without a respite, losing homes, businesses, education, health &amp; sanity.

We have effective pharmaceutical interventions in the form of vaccines &amp; anti virals. 

It’s time to make NPI optional &amp; focus on vax outreach."
7,@cliffordlevy @nhannahjones @emmagf Good.  Stop endangering the public.  The vaccines are free &amp; effective.
8,@tottwriter @patrushkaz @chrischirp @ashishkjha I get what your saying but the virus has mutated how many times since 3/20?  Vaccines are still effective and just like the flu vaccines have to be updated so can these vaccines in my opinion so we never go back to square 1.
9,"Novavax announced that its COVID-19 vaccine proved safe and effective in a study of 12- to 17-year-olds

-82% efficacy against Delta variant
-Immune responses were about 2 to 3-fold higher than in adults against all variants studied
-No safety signals

https://t.co/vMFjC78dl9"
10,"We had a talk about his masks, how effective they are, plus his vaccine making it less likely he catches it. He’s told me he’s going to keep it on until he’s home and at lunch he eats at the outside benches.

It’s all I can do to reassure him."
11,"CDC changed its definition of ""vaccinated"" to mean ""limiting severity of symptoms"" rather than ""eliminating Covid"". They claim there was never a statement about the vaccine being ""100% effective at stopping Covid"". Surreal to watch history rewritten before your very eyes 👀"
12,"@triagegirl @TheTimFurey @Polit_eurOpines @khuey_ There is nothing ""centrist"" about acknowledging that NPIs like masking are largely ineffective with extremely infectious and common illnesses like EBV, Omicrom and measles. Vaccines are effective. Rogan is against the vaccine, pressing for it is not accommodating him."
13,"As my @CAP_Health colleague @Rosenthal1Jill has written, vaccine mandates are widely supported, effective, and good for the economy https://t.co/LlQKYkyBQ6"
14,@cjsienna55 That's primarily why I kept my distance. The same people that say it is good and effective largely don't know what is in the vaccine either.
15,"Quite the statement when in fact Vaccine Injuries 
are on the rise and easily documented
""Vaccines for COVID-19 continue to be safe and effective, according to public health and medical experts""  
Fuck the fact-checkers and fuck the experts
Where have they been during the lying?"
16,"Novavax announced Thursday that its COVID-19 vaccine proved safe and effective in a study of 12- to 17-year-olds.
https://t.co/8727Muw63p"
17,"@NSWHealth 
Why do you not explain / inform NSW People, the Statistics representing COVID-19 = Case Numbers per Variant type of COVID-19 ? 
Numbers still contracting - Delta 
Numbers contracting - Omicron 1 
Numbers contracting - Omicron 2 
Which Vaccine is most effective .. ?"
18,"@straps0n @Deficit_Hawk @BrianDeCesare @danistheword_ @wsbgnl @melaniesdavis cool, but i am

cases matter far less now that many people are vaccinated + those vaccines are highly effective at preventing severe illness"
19,@PhinsTweets2 @RollingStone So you're pro-vaccine but against the thing that makes vaccines effective? Cognitive dissonance is a hell of a drug
20,@NicholasNCE HRIG is a very thick yoghurt-like substance so you will feel that vaccination and can clearly tell it apart from the normal rabies jab.. when I got bitten they forgot to administer that - but it's a must really for the rabies vaccine to be effective post-trauma.
21,"Novavax says its COVID-19 vaccine is proving safe and effective for kids as young as 12.
https://t.co/tRIFUckRDp"
22,@mouse_vince @NickRankin10 @OmegaJak @sethharpesq You mean like COVID or the fact that the vaccine is safe and effective?
23,@RadarOps @hubeihammer @APFactCheck When did those people and groups say 100%? If they did then yes they lied since it’s scientifically impossible for any vaccine to be 100% effective. At max is 99% or a bit more
24,"@JeanneNoble18 @GavinNewsom There is no way you can look at the numbers and conclude the vaccines have been effective. Couple that with VAERS data, and the leaked DOD data, there are serious safety concerns."
25,"The BC-CfE mourns the passing of Luc Montagnier, co-discoverer of #HIV alongside Françoise Barré-Sinoussi. Their discovery was foundational to the development of effective treatment &amp; prevention strategies, and cure &amp; vaccine research currently underway.

https://t.co/HDs5Y23Dg1"
26,"@Craig_A_Spencer Staat talking to the powers that be in your area and spread the word. There is an effective, low cost unpatended vaccine available. 
https://t.co/XUm4XBf7m3"
27,"@SandleDavid @MehdiHasanShow @MSNBC @mehdirhasan No, I've been awake during that time and I saw the development of effective vaccines, which 75% of U.S. adults have received. I'm aware of better therapeutics to treat Covid and the immunity protection previously infected people have.

Did you miss all that?"
28,"@trayjay1 @silentscooter @benshapiro People wouldn't trust Trumps' word that the vaccines were safe and effective alone. Once Fauci and other experts publicly backed the vaccines and their safety, Democrats got in line to get vaccinated -- Republican's didn't. You should be asking ""why"".

https://t.co/t8YVdSP8rc"
29,"Copping says to be very clear - vaccines have assisted greatly through the omicron wave, especially when it comes to severe outcomes. But the purpose of REP was to reduce transmission but given that 2 doses aren't very effective that's why they're removing it."
30,"Novavax announced Thursday that its COVID-19 vaccine proved safe and effective in a study of 12- to 17-year-olds.

https://t.co/4tTpEBdRpU"
31,@SMM_lumani @madcaplaughs67 @ClayTravis @CNN We told her and all the others nearly 2 years ago that masks don’t work and over a year ago that the covid so called “vaccines” aren’t safe and effective. Now they finally get it and admit it. 🤔 Next time maybe believe ConSpiRacY tHeorIsTs
32,"Unvaccinated individuals are 19x more likely to be hospitalized and 64x more likely to die of COVID-19. Don't risk your health when safe, free, and highly effective vaccines are available. Find convenient places to get vaccinated at https://t.co/wfauQnk3Cu https://t.co/8ih39kXJJb"
33,"@JamesRobertBla3 @MsPhilIiE @brendashenda65 @VerifyThis It's both James. It's to mitigate spread and to prepare your immune system for the real virus. Unfortunately, variants and waning immunity have led to the vaccines becoming less effective at stopping spread over time. So damn complicated - I hate this."
34,"@NewYawkGiant @WhistleSports @KyrieIrving The mandate is not ridiculous, Kyrie is ridiculous for not taking a safe and effective vaccine. His teammates are playing right?"
35,"Novavax announced Thursday that its COVID-19 vaccine proved safe and effective in a study of 12- to 17-year-olds.
https://t.co/5Mpd77tKKG"
36,"#Ableg 

Reporter:  What data do you have to open up?

Copping:  vaccines have helped protect against severe outcome…and…vaccines aren’t effective…and…it creates divisiveness…but also hospitalizations!

WTAF …They’re making this up, aren’t they!
#Abpoli https://t.co/rOD6wDWUbs"
37,"Next q:
What data do you have that the cities don't? You said that's why you won't let them keep doing REP.

Copping says REP used to be effective but now Omicron means vaccines are useless except to keep people out of hospitals which aren't too full so really whatever blah blah"
38,Copping says that vaccines have been crucial to reduce hospitalizations but they aren't as effective in reducing transmission now. The REP also created divisiveness and we need to start moving forward.
39,"@DELFINASHOUSE Because no vaccine is 100% effective. 

Who ties your shoes for you? Serious question. https://t.co/7khtqVwqC7"
40,@jordanbpeterson I can’t read further when an article starts with saying the vaccines are highly effective.
41,@joncoopertweets Yes. My family and I now wear well fitting N95s and will continue to do so to protect ourselves and others for whom vaccines are not available or are not effective.
42,"Cuba vaccinates all their citizens. 

""The results were very effective since the Abdala and Sovereign Plus vaccines proved to have an efficacy rate of over 90 percent in clinical trials conducted in Cuba and Venezuela,” recalled Amilcar Perez, a Brazil-based Cuban virologist. https://t.co/7b3gQ7NRVa"
43,"@NoToHateMongers Haven't you noticed there's no vaccine? 
The low rate of deaths due to C19 does not support the pandemic theory.
The virus was manageable right from the start, but our authorities decided not to treat people with the flu, SARS or C19. We have very effective drugs. Wake up."
44,"Thomas Pendergrass misstating that the vaccine was not originally designed to prevent the disease, yet it was lauded as 100% effective for many months before reduced efficacy was finally acknowledged. https://t.co/zDf8vwkF9X"
45,Vaccine-or-test mandate lift effective immediately. https://t.co/gN4BP4F1Yi
