,Text
0,"“Not everyone is equally burdened by the pandemic, and low-income populations, immunocompromised people and others are at greater risk…Making decisions based on the healthiest and most advantaged is not going to protect those who are most vulnerable.” @jonlevyBU https://t.co/Qh2EROkF7u"
1,"@soopajx it's the idea that catching the virus will create immune response at least as good or even better than being vaccinated. however like you're saying, this (1) ignores vulnerable immunocompromised folks, and (2) has been shown false with Covid as people are getting re-infected."
2,"Wear you masks, live your life. If you are immunocompromised find things you love to do that don't require socializing amongst the idiots. They will weed themselves out eventually.  And for the love of GOD, VOTE!"
3,With everyone going madkless. I have to say I'm still have a #kidneytransplant. #immunocompromised https://t.co/PiqlibXW61
4,"@joncoopertweets Yes. 
I never wore a mask to obey a mandate.

I wear my mask to stay healthy for myself and to not catch COVID then unintentionally infect others, some of whom might be immunocompromised and therefore unable to develop a safe level of immunity even after vaccinations."
5,"@joncoopertweets Yes, im immunocompromised and also care about others"
6,"For our #immunocompromised pts h/t @VPrasadMDMPH-- there is no one size fits all re- VAX dosing/time/holding meds-Evusheld-level of precautions etc"" These discussions require a personal physician whom you trust"" Cant agree more!! @AWIRGROUP @CreakyJoints @AutoimmuneList"
7,@WiShBoNeZ @TorontoStar Except that's not how this works. The expectation of safety is then solely put on immunocompromised people. Are you really that selfish? Is there absolutely no one in your life worth protecting? No one immunocompromised in your family or friend group? Not willing to protect them?
8,"I've got immunocompromised family, I've got unvaccinated kids in my life, and I, a vaccinated and boosted adult, ALSO do not want to get covid! Imagine that! I thought I was close to trying indoor dining again, but now there's no way."
9,"Today at the Mansion, I hosted children with disabilities who live in foster care settings for an arts &amp; crafts event ahead of Valentine’s Day. These children are newly eligible for special grant funding. 

Because some of the children are immunocompromised, we masked up. https://t.co/xaA05LhHkt"
10,"@DelloJak The truth coming out after 2 yrs is the virus is not as serious as they made it out to be dear man. Comparable to the flu and it's level of severity for the vulnerable, elderly, immunocompromised etc. I am very sorry to hear of your health challenges &amp; hope you recover soon."
11,"I refuse to live in a country where we leave immunocompromised Americans behind because some people are clamoring to ""get back to normal.""

There is no building back better that doesn't involve ALL OF US. We need federal policy that reflects that.

https://t.co/SItssH2jGZ"
12,@djrothkopf Maybe poll the disabled and immunocompromised to see how they feel about the great unmasking for midterm elections.
13,@margaretcrandle Different people are affected differently.  Can’t predict who will get it badly and who won’t. 🤷🏻‍♂️ I’m immunocompromised by a kidney transplant.
14,"I can’t give my money to a company that blatantly supports and participates in the marginalization of me and the people I love. I can’t do that to myself, my disabled best friend, my Arab immigrant boyfriend, or my immunocompromised father.

#ByeSpotify"
15,"@super64isdown @PHealthGnome A lot of folks…elderly, immunocompromised…get everything delivered because we have been told to be careful.  Neither the drugstore, nor Walmart, are allowed to deliver these.  No thought given to those most at risk"
16,"Very nice study h/t @philipcrobinson on #breakthrough #COVID19 - sorely needed in #immunocompromised pts!-  Abs count! @alhkim 
Postvaccination antibody titres predict protection against COVID-19 in patients with autoimmune diseases:https://t.co/zUPV33W8yF"
17,"@joncoopertweets Yes, because I am immunocompromised. I don’t produce enough antibodies to keep me safe from upper respiratory infections. I do receive IVIG but my numbers are still low."
18,"@DrLeanaWen So…kids can just mask up when their parents don’t approve? Elderly patients in long term care can choose their masks with certainty?  Teachers including those who are immunocompromised can make the kids breathing on them mask up?
Masks do no harm. Stop this harmful nonsense."
19,I’m 10lbs overweight (according to BMI) with high cholesterol and immunocompromised due to arthritis meds (3 Covid co-morbidities). If I die of Covid I’m one of those griefless statistics who had it coming. I’m 35. https://t.co/q18fJtUii6
20,"As someone who’s both ND and physically disabled/immunocompromised, I’m sick of seeing non-high risk ND weaponize their disability against those of us who are high risk bc they don’t want to wear a mask. These disabilities aren’t the same thing when it comes to COVID risk."
21,70% of Canadians aren't okay with sacrificing the vulnerable. Nearly 30% don't give a shit about killing immunocompromised Canadians. There I fixed your headline https://t.co/vmN3m1AkGe
22,@CP24 70% of Canadians aren't okay with sacrificing the vulnerable. Nearly 30% don't give a shit about killing immunocompromised Canadians. There I fixed your headline
23,"@joncoopertweets Yes because I'm not a selfish a**hole

I'm medically vulnerable myself &amp; hate that others don't care if they infect &amp; possibly kill me

I mask not only to protect myself but to protect others

I wish everyone would think of us immunocompromised folks

Masking isn't that difficult"
24,"The meaninglessness, disingenuousness and emptiness of @CDCDirector Walensky’s response is an affront to all Americans, and particularly to all who are immunocompromised, disabled and living with chronic illnesses. It’s indefensible. https://t.co/UV7uT6U7xq https://t.co/DTxhHw28Yq"
25,@J15Emerson @GovSisolak I will wear a mask for him and anyone else immunocompromised.
26,"Ontario considering saying ""fuck you"" to everyone who is immunocompromised. There I fixed the headline for you https://t.co/uSpSx2O4Dc"
27,"@TorontoStar Ontario considering saying ""fuck you"" to everyone who is immunocompromised. There I fixed the headline for you"
28,"@leighbeadon @cardassianv0le @Thesixler @drvolts There’s no highly uncertain future. A lot more idiots will continue to die because they didn’t get vaxxed. And just like with the flu the immunocompromised will be more susceptible which sucks bad but it is what it is. It’s never going away, and society won’t conform much longer."
29,"@Wzbad22 @RKSAlberta @SteveRickettsSP Now you're just being obtuse, and I'm saying that from a home dealing with a breakthrough delta case.

So basically what you're saying is screw everyone who's immunocompromised or predisposed to serious illness, despite being vaccinated, because the plague rats need to play."
