,Text
0,"@DGam98 @JonnyC24401853 I'm not anti Vax, anti government mandated vaccines....don't assume things because you've been led to group people into stereotyped views"
1,"@DelanoSquires But we all were mandated to be vaccinated b4 we could attend school 

And members of the military must be vaccinated

So please tell me what's different about the Covid vaccine? https://t.co/qoWqIe8IqZ"
2,"@ShannonSkalos Literally no other developed country in the world has mandated masks for children under 12. It's stunting childrens' ability to understand verbal cues and it's an absolute nightmare for teachers to enforce. Most importantly, covid is not going to kill your kid."
3,"@jeff_nidiffer @MSNBC @AliVelshi Vaccines have been mandated for decades for good reason 
When are You going to get it"
4,@gavin1581 @koinosuke @PremierScottMoe Sure it can start without vaccine passports and mandated masking. Zero segragation is step number 1.
5,"@DebMcD007 @HerschelWalker Read the bill,  pipes are in it.  The soon is on and nobody should be mandated to get a vaccine from a drug not even out of Phase 1 trials.  😂😂😂"
6,"@GovMurphy @AtlanticHealth So, nurses are not mandated to get the Covid vaccine. Who cares if they have reasons not to?"
7,"@mercurialskept1 @mike87570298 @RonHebensperger @RealJamesWoods Vaccines prevent transmission in some people, and they prevent hospitalization and death for most people (90%). That’s why there are mandates, so that the hospitals aren’t overflowing with COVID patients. Whether or not truckers should be mandated is a different argument"
8,"So that NO to a mandated vaccine, but YES to mandated DAILY tests with inconsistent reliability at high cost. 

This just proves it ain’t about mandates. It’s about swallowing all the vaccine misinformation VFF/FARC/NZHF/NZDSOS can spew out. https://t.co/K6JNMH2Vol"
9,"@DuaneBratt So is this now to become our new reality TV in Canada?  We all just watch as our capital and our borders are under an occupation by people of dubious intelligence, while our governments and police do little to nothing to stop it? End mandated vaccines. Also end illegal protests."
10,@TheDomTron @warren_jam @TelegraphWorld Let me guess. You think Trudeau broke the law by having vaccine mandates because no-one has ever been mandated to have a vaccine ever in the history of the world before COVID.
11,@pbiemans100 @probheardright @TelegraphWorld That's only because the COVID vaccine hasn't existed for that long. But if they've participated in civilization on planet earth they've had plenty of mandated vaccines before now.
12,"@The_Guy_in_237 @ezralevant That’s kind of like saying 90% of America isn’t black so why would they support BLM? The protest isn’t about vaccines, it’s about govt mandated medical procedures! You don’t have to be unvaxxed to resist govt overreach and tyranny."
13,"@LWMcquade4 @Auntkoala @Kevin37884134 @Politic86832382 @gran2496 Vaccines are already mandated as part of society and have been for years. Want to send your kids to school, prove they're vaccinated. We have health mandates for reason, and currently several thousands reasons occupy Ottawa."
14,"@GrahamNeary I'm reading Duesberg's book ""Inventing the AIDS Virus"" now and they tried pushing the whole mandated vaccines and lockdowns back then but it was too authoritarian. Look where we are today. People give up their freedoms so easily. Genocide for profit."
15,@whittakertp @C_Mulroney How is any provincial government going to left a federally mandated vaccine pass to re enter the country of Canada? This is federal jurisdiction.
16,"@Baileyfairy @vintage831 Most of the people took vaccines when it was mandated on them. Let us not judge anyone on their vaccine choices and stay united for freedom. United we stand, divided we fall."
17,"@djrogowski @FunkyDrummer8 @adrienneelrod And yeah, if we take it a step further…most of the taxes they take from you go to places you might not agree with. So thus, it’s mandated and effects you financially. Except in the vaccines case, it’s free, it’s safe and it literally doesn’t effect your well being"
18,"@drmikehart Other than international travel, that's all provincial.

Plus the US has mandated requirement for vaccines so...."
19,@iforottawa @RickChiarelli @OttawaPolice Nope they aren’t… they are just getting started actually. You have it wrong. They aren’t giving health advice they are saying that everyone has to be able to make their own health decisions about this vaccine . With their Dr. It should not be govt mandated Trudeau is not a dr
20,"@hughjassdevice Restaurants - no mask at table but mask otherwise 
Planes - early on they said they had air filters that took care of it and that was correct as no covid was ever traced to air travel - then they mandated masks because why? 
Vaccine story changed so fast it was crazy"
21,"@CandiceBergenMP Listening to you Honorable Candice, I feel revived in my hope that at least there is one healthy conservative leader who speaks for the grass root. I left the country in despair to look for life in Florida after this communist Justin Trudeau dictator mandated vaccine passports"
22,"@ms_polly12 @Osmungw @wxyzdetroit There's a lot to unpack in this comment so I'll start with one. They aren't mandated to get the vaccine. They can opt out, but they have to test. You still have a CHOICE. Also, why the hell wouldn't you get a vaccine when you've been subjected to a dozen in your lifetime?"
23,@CTVVancouver Mandated vaccines may make some sense at the beginning of a pandemic. They make no sense at the end of the pandemic. And yes - it is ending!
24,"@EdMorrissey We can hope and pray that COVID morphs into something non-lethal.

For now, masks and vaccine and caution are the only rational course, whether mandated or not.

We should be concerned for anyone unvaccinated, family, and contacts.

COVID is an extraordinarily brutal way to die."
25,The progressives mandated vaccines but won't mandate treatment for things like crack.
26,@RobSchneider This country is screwed if a slightly stronger micro pathogen causes a pandemic. We have hundreds of thousands dead now and people act inconvenienced. Mandates and public health have literally been part of the American story since Washington mandated “vaccines.”
27,"@DrugPolicyOrg When the country has been mandated to take an injection called a vaccine, it's pretty clear that injection is a great way to protect your health.  Injections are safe and effective, that's what they tell me anyways."
28,"I'm not 100% against the concept of vaccines. I'm against the concept of liability free vaccines mandated by criminal drug companies with a long history of bribing scientists, falsifying data &amp; funding the media such that they can profit while harming the innocent with no choice."
29,Facts https://t.co/y8ow9EfPYZ
30,"@charliekirk11 1. Most celebrities are already vaccinated... most ruling class people are, they just want poor people to die off.

2. Everyone should be mandated to take the vaccine. Military members have been required to be vaxxed since the 70's...

Hope that helps your little brain understand"
31,"@AmberCadabra Unbelievable. We’ve been navigating the past 2.5 yrs w/an elderly loved one in our home. COPD is 1 of their issues. In/out of hospitals, rehab, and then the home health care. They haven’t been vaccine mandated here either"
32,"@matthewdmarsden What is this , another scare tactic or did they administer HIV in the mandated dreaded covid19 vaccine?"
33,"@AlisonHarriso16 @Sandeshgulhane @ScotTories Since that awfulnGuardian, let's see how the Germans did with their mandated N95 minimum masking, and France with their vaccine passports did. 

Oh dear, its like the virus does what a virus does. https://t.co/2UAVSXzZTr"
34,OPTIONAL PROTECTION. Vaccines aren’t mandated in free countries. https://t.co/w0KpJNK2IY
35,"@SusiecatInMN @paledave @BKopernikus The first polio vaccine was only 60-70% effective at stopping symptoms, and 0% effective at stopping transmission, but was still widely mandated"
36,"No one should ever be mandated to take a dangerous &amp; ineffective experimental vaccine, just to be able to provide for their family, where one of the possible side effects is death. 

Pass HB28 &amp; BAN the mandates! #ChooseFreedom #TeamKentucky #KentuckyFirst🏇 #kyga22 https://t.co/nfrHZrXR12"
37,@fior_jennifer @justjax66 @helger1946 @someone3487 @WikiDocJames Not to mention I never heard a peep when they mandated all the other vaccines we have to get as health care workers. Grow up and stop being selfish or get a different career.
38,"@RobinJerilea Robin, what happened to “my body, my choice?” 

Mandated vaccines thwarted the dem defense of abortion. I’m vaxxed but who cares. 

I’m not rooting for either side on this. Stop throwing the other side at me. 

Rep and Dem politicians have lost all credibility."
39,@sandkiz Truckers aren’t specifically mandated to get the vaccine. They just no longer get an exemption to cross the border without quarantine.
40,"Today, @GovSisolak made an important announcement. Masks are no longer mandated. Our arsenal of tools to prevent and fight Covid is robust and... VACCINES!  Masks may still be worn by some folks and we must be kind and considerate. We move forward together! https://t.co/7SuajlAlP0"
41,"Autopsy Confirms 24-Year-Old NY College Student Died From School-Mandated Vaccine – enVolve https://t.co/Sc6BZvYhsu 
Another Aylen victim bites the dust."
42,"Why aren't flu vaccines mandated? Maybe because flu doesn't kill 800,000+ people a year"
43,"@JafSupO @KarenInIllinois @wil_da_beast630 Who is mandated?  Who is harmed?

Large scale covid vax testing began in March 2020--when COVID hit.  So, we have just as much data about the vaccines as we do COVID.  And so far, the vaxxes have far fewer long-term effects than COVID.

Also, mRNA has been around for decades."
44,"the moment they mandated the vaccines for the nba players the nets were fucked. because kyrie's ""free thought"" process"
