,Text
0,"@ChrisSchloemer @drewmckevitt And you injected yourself with the covid poison vaccine, tired of the #lies !!!"
1,"And so what?!?  

That 20% of the population will NEVER get the vaccine, so I don’t want to be held hostage by those folks anymore

Most folks got the two shots and the booster and they are over COVID and want to get back to some semblance of normalcy https://t.co/wu4fhbmGr6"
2,@tottwriter @patrushkaz @chrischirp @ashishkjha I get what your saying but the virus has mutated how many times since 3/20?  Vaccines are still effective and just like the flu vaccines have to be updated so can these vaccines in my opinion so we never go back to square 1.
3,"@QueenoftheUnde6 @bim_pure @GRHutchinson @CamMargue @jonnyhodl My understanding is the spike was never “supposed” to go into the body and just stay at the injection site, however, they’re finding the spike in organs, testes, ovaries etc for all the vaccines 🤷🏻‍♀️"
4,@6to12elbow The pro masks forever. The pro vaccine mandates to never end. The pro inject using kids with experimental shot that does nothing to prevent or stop the spread of the virus. The pro sheeple flag. The pro group think and label everyone who disagrees with you is racist flag.
5,@Keith70519776 @AvaryScott @itsJayAllen85 @MarcLobliner The fact that this shot didn’t have long term studies like polio vaccine?  The fact that polio wasn’t given under EUA?  The fact that polio vax isn’t an mRNA (never delivered in humans) shot? The fact that Robert Malone knows more than you about it?  Which fact?
6,"CDC changed its definition of ""vaccinated"" to mean ""limiting severity of symptoms"" rather than ""eliminating Covid"". They claim there was never a statement about the vaccine being ""100% effective at stopping Covid"". Surreal to watch history rewritten before your very eyes 👀"
7,@crankyallAnimal @Carol105Baker Never had to think of any of this till these wretched Covid vaccines.
8,@TVMoJoe @KZLasVegas @RadicallyCurly @LasVegasLocally Maybe she did. As a Latina myself I’m not surprised. Still a lot of hesitation within the https://t.co/N7Bquxywmf mom is 84 and a retired nurse. She never had a Flu shot 🤦🏽‍♀️but I wasn’t playing around about the Covid vaccine.She knew she had to get it in order to come visit us.
9,"Where has Canada gone wrong?????

Gov't is easing VACCINE mandates, removing the passports, PUTTING OUR ELDERLY AND VULNERABLE AT FURTHER RISK.

WE'LL NEVER GET OUT OF THIS AS LONG AS THE 10% HOLDOUTS AREN'T COMPELLED TO COMPLY.

#COVID19 #stopthehate"
10,@Lawrenc35616764 @unscriptedmike Forcing ppl to get a vaccine should never have happened to begin with. It should be a choice. And what school allows an AR on campus legally?
