,Text
0,"@Vincentvega56 @rainglock @JForma @DefiantLs @ThatGuyBry31 Are you having a debate in your own head? As you keep saying things I am not saying, and never said :) 
#VaccineSavesLives
#MaskSavesLives
#ScienceOverOpinions"
1,No me refería a este positivo 😅😅#Positivo #CovidTesting #vaccinesaveslives https://t.co/GDRvjqqpuP
2,#MaskUp #vaccinesaveslives https://t.co/BRsY3J69KJ
3,"Still wearing a mask. Still testing regularly. Boosted. Am I tired? Yes. But until we all work together, COVID-19 will continue to mutate. #vaccinesaveslives https://t.co/1cQwtIhv0T"
4,"This note from the analysis is important to many. #vaccinesaveslives don’t delay protection for you, your loved ones and your community. https://t.co/4pO71ORw2l"
5,#VaccineMandates #VaccinEquity #vaccineinjured #VaccineEquity #VaccineRolloutSA #vaccinesaveslives #vaccinedamage #vaccinepass https://t.co/LXbtiwwGAl
6,#bravekids #vaccinesaveslives https://t.co/ea5EBoZZKw
7,"Fun fact: the ""generally useless as a measurement for health BMI measurement "" helped me qualify for a booster shot! Overweight, for the win! #vaccinesaveslives"
8,90%!!!!!! Keep getting vaxed #vaccinesaveslives https://t.co/CvIDmZruep
9,Keep going Rhody!! We’ve got this!! #VaccineSavesLives #GetVaccinatedNow #vaccinate401 https://t.co/Dybfmoz1qi
10,#vaccinesaveslives https://t.co/pO3Dx1jhNs
11,Your daily reminder to get your fucking vaccination!!! #COVID19 #vaccinesaveslives #vaccinate #vaccinated https://t.co/5fBgeMXlLu
12,Thank you @drcynthiagyamfi ! #VaccineSavesLives  on a side note: my old stomping ground!!! https://t.co/zB1o6zOqAK
13,"@TimHannan And we ALL want that mental giant to  reproduce!

#VaccinesWork 
#VaccineSavesLives"
14,@AvrahamCooperMD Horrible. Seeing it so many times in so many patients. We all thought it was gone but unfortunately #COVID is coming back in the non vaccinated. #VaccinesWork #vaccinesaveslives
15,Acute #stroke #covid pneumonia #novax #coronavirus Patient was NOT VACCINATED #vaccinesaveslives #VACCINE #DeltaVariant @RobertoBurioni @danielebanfi83 @DanielVelaMD @almuftifawaz @PascalJabbourMD @dliebesk @VladoKZg @DoctorGaldamez @MadameA02 @doctorjanardhan https://t.co/aXAUnYBBld
16,#Vacúnense #CovidIsNotOver #GetVaccinatedNow #vaccinesaveslives https://t.co/UMZAckjnAh
17,I was curious so I did. Six months post vaccination. #VaccinesWork #vaccinesaveslives https://t.co/nEIhC0cqln
18,Sperm Parameters Before and After COVID-19 mRNA Vaccination https://t.co/CEcBON9OAj via @JAMA_current part of @JAMANetwork “These results showed statistically significant increases in all sperm parameters.” #VaccinesWork #vaccinesaveslives @NFL @NFLPA
19,@knit1_purl2 @RawStory Ayep. #vaccinesaveslives
20,"Leggo ... ? 
Let Go
 Let Go 
Leg it out 😌❤
Leg Out !
#RebuildTheWorld 
3rd Degree Burns Heal 
HIV/AIDS Heal
Ebola #vaccinesaveslives 
Terminal Cancers  Tbd 
Cancers Remissions Heal 
#MedicareForAll 👌
It's all not too much to believe in &amp; for As what we see in 2021 is real. 💖 https://t.co/638iBGiH1h"
21,"Lastly, get vaccinated. Even tho vacccines efficacy against this new variant reduced by significant numbers only way to stop new variants to emerge that are vaccine resistant is getting vaccinated. #vaccinesaveslives #covid"
22,"Continue to wear your mask(preferably double), get your Covid Vaccine, Continue to avoid big crowds and practice social distancing. #pandemicisntover #WearAMask #vaccinesaveslives  let’s continue to work together and save lives."
23,"Contrary to American belief, vaccine is not a personal choice. When you don't do it, you put other people at risk. It is like driving while intoxicated: sure you may not die, but you can kill someone else. 

#vaxxed #vaccines #vaccinesaveslives

 DO YOUR PART, GOD DAMNIT!"
24,Pretty remarkable achievement. Thank you to all the volunteers who made this possible. #shotsshotsshots #FauciOuchie #vaccinesaveslives https://t.co/1wncdKXzPn
25,#vaccinated #vaccinesaveslives 💉🦠 https://t.co/7VA1QfQYDH
26,#vaccine #MaskUp #vaccinesaveslives #vaccineSideEffects https://t.co/JSRR4S9G8t
27,Oh that explains the similar - seemingly out of nowhere BS message as a screenshot on a pink background that someone has FWDed to me recently. Some folks are seriously out of their mind. #vaccinesaveslives https://t.co/ockoXChU99
28,"If you are eligible, please pre- register for a COVID-19 vaccination appointment here:

https://t.co/2jvk57LKFd

#VaccineSavesLives"
29,VACCINATED!! #Pfizer #PfizerVaccine #vaccinated #vaccinesaveslives https://t.co/Cgs9VAWHFX
30,Do it for others.... 💪🎉💉🤙 #vaccinesaveslives https://t.co/334OCwGvRw
31,"Got my first Pfizer shot today. Feeling well!
Getting Vaccinated will save lives! #vaccinated #PfizerVaccine #vaccinesaveslives"
32,#FauciOuchie #2 #vaccinated #vaccinesaveslives #getyourshot https://t.co/ScGh63JJvV
33,@RyanBJackson1 Yay! 🙌🏻 Congrats Dr. J! Being fully vaccinated is the best feeling! #SafetyFirst #vaccinesaveslives
34,"We all have to do our part to end this pandemic— get the #vaccine and try to help others to get the vaccine. Today, I am privileged to serve as the Physician Monitor at the Penn State Health Mass Vaccination Site at Hershey. #VaccineSavesLives 
@PennStateHealth
@PennStHershey https://t.co/MWu0CctxJF"
