,Text
0,@JeanneNoble18 @GavinNewsom Great point. How much is Pfizer paying the @CAgovernor ?
1,"Japan approves Pfizer oral COVID-19 pill

https://t.co/KvmwfW1svM @kyodo_english"
2,"Need your first shot?  A booster?  Come to Ruby Tucker (322 Tancil Court) Tomorrow, February 11th from 5:30 to 7:00pm **Walk-ins Welcome** or register here:
Pfizer 12+ https://t.co/IgMng58F8u
Moderna https://t.co/VWe3mBTqKV
Pfizer 5-11 y/o https://t.co/AUVQf8x1el https://t.co/WbEKd5SS4T"
3,"Senior Scientist--Analytical Assay Development, Vaccines - Pearl River, New York - Pfizer #ScienceJobs https://t.co/EXVxROoAPr"
4,$OCGN Pfizer should buy this stock and bntx and then we all can make money ☑
5,"@TPostMillennial The teacher unions are worse than Pfizer. With PFIZER your know they are ready to kill you over money, but the teachers, seems they do it just for evilness... Pure evil. Shame on the teachers who support this, vocally or by staying complicit. Children commit suicide..."
6,"@Dirt_Trailz @UIsSoDum @Chamanit1 @VP @pfizer The vaccine is free how come they sell it ? And one more thing, all the people I know are very good and very well taking it . I nearly lost my wife when she was pregnant and Covid-19 hit her . Now we are all fully vaccinated. Please don’t do it if you don’t trust it"
7,@ayasi_labib @UIsSoDum @Chamanit1 @VP Even @pfizer themselves claim a 3% death rate and you know they are low balling us since they are profiting billions off of the vaccines they are selling. Selling vaccines is all they are doing. https://t.co/pSiOWkO6aY
8,"Just noticed @NateRHanson left his Pfizer-affiliated corporate media gig for a PR position at weapons manufacturer Boeing.

The Big Pharma/Military-Industrial complex is real. https://t.co/wPOxXOyvTD"
9,"It's all about your health in New Zealand, says the Pfizer Police. https://t.co/RW8bP3OBn1"
10,"New video: @NateRHanson of Pfizer-Affiliated Fact Checker @VerifyThis Fails, Promotes COVID Misinformation

Full video here: https://t.co/vcJgFZXzF5

Via @BTHeadline
https://t.co/vcJgFZXzF5 https://t.co/4rsCQMEMSJ"
11,#VaxXed #vaccine #Pfizer https://t.co/abLsMPkcmI
12,"Senior Scientist--Analytical Assay Development, Vaccines - Pearl River, New York - Pfizer #ScienceJobs https://t.co/TCIomIFS0P"
13,@czech_trader_ @Novavax Or hire the Pfizer CEO!
14,Number of Women Reporting Side-Effects after Pfizer Vaccination Almost Double that of Men https://t.co/RLHSqUMTDA
15,"@tuxlemons @DoodlesTrks Doubt it… they don’t actually care about those individuals, and they’re sponsored by Pfizer."
