,Text
0,“이제 접촉자 추적을 하지 않는데 백화점이나 마트에서 또는 다중이용시설에서 QR 코드를 써야 하는 이유는 무엇일까”
1,@Sophia_1979 큐알코드 찍는 목적이 확진자 발생 시 동선 추적용으로 쓰이는데 걸리는 사람들이 하도 많으니까 감당도 안되고 밀접접촉자 개념도 바껴서요. 60대 이상만 추적한다고 하더라구요..
2,"정부, QR 등 출입명부 중단 검토...＂접촉자 추적 필요성 약화＂ (출처 : YTN | 네이버 뉴스) https://t.co/sB6KzNVjDq"
3,"'정부, QR 등 출입명부 중단 검토…""접촉자 추적 필요성 약화""' https://t.co/XChYsrEgAA https://t.co/c80o2PPRGH"
4,"“밀접접촉자 추적 의미 없어졌다”… 정부, 전자출입명부 폐지 검토 (출처 : 조선비즈 | 네이버 뉴스) https://t.co/tiU95JgrFQ

폐지하자"
5,"정부, QR 등 출입명부 중단 검토…＂접촉자 추적 필요성 약화＂ (출처 : 연합뉴스 | 네이버 뉴스) https://t.co/90iMFG8zBT"
6,QR 등 출입명부 중단 검토한다…＂접촉자 추적 필요성 약화＂ (출처 : JTBC | 네이버 뉴스) https://t.co/muAny0tcit 정부가 QR 등 출입명부 중단을 검토합니다
7,"정부, QR 등 #출입명부 중단 검토...＂접촉자 추적 필요성 약화＂ (출처 : YTN | 네이버 뉴스) https://t.co/XAsONXn48R"
8,＂QR 체크 폐지 검토…접촉자 추적 필요성 약화＂ (출처 : 한국경제TV | 네이버 뉴스) https://t.co/k639OPdKQ1
9,"“밀접접촉자 추적 의미 없어졌다”… 정부, #전자출입명부 폐지 검토 (출처 : 조선비즈 | 네이버 뉴스) https://t.co/5UfkNemOXp"
10,"[속보] 정부 “전자출입명부 폐지 검토…접촉자 추적기능 약화”
https://t.co/eXEpf2dn1g"
11,"중국, 코로나 확진자 5명에 8만2천명 검사 받아라... 
웨이보의 한 댓글은 ""너와 닿은 산들바람이 나와도 닿았는데 그게 포옹인가 접촉인가?... 빅데이터의 감시아래 모든 움직임이 추적당한다""
#시공동반자
#빅데이터 
#빅브라더
https://t.co/UmKWONaRk7"
12,"카메라 가져가서 멀리서 사진찍은거면 모르겠는데 사인받으려고 밀접접촉 한데다 사진으로 본인들이 증거까지 남겨서 공항간 사람들중 확진자 한명이라도 나오면 구단 전체 2주격리임;

PCR 음성떠서 비행기 탑승하는거니 아이슬란드 입국은 문제없는데 동선추적하면서 걸리면 느그선수 경기못뛰어요;"
13,"당국은 
이 선수들의 치료경과 잘 지켜봐야.

자국민은 양성이 나와도 제 때 치료 못하고,안하고 또한
가족이라도 접촉자 추적,격리 조치 없는 곳이 일본 아닌가?

https://t.co/kKF7G8bjNm"
14,"유럽 언론,  ""한국  방역, 세계적 성공 사례"" 한국 모델 집중 조명. 
높은 투명성, 빅데이터 활용한 접촉자 추적, 검사 노력 등 평가
다시 K-방역 주목하는 유럽.. ""오만함 버리고 한국 배워야""
https://t.co/HwFnH0nR4O"
15,[긴급]파주병원 입원 중이던 평택시 177번 확진자 탈출 18일새벽 파주병원에 입원 중이던 평택시 177번 확진자(50대 남성) 탈출 18일 오전 경찰 신고 후 지명수배 및 추적 중 해당 확진자는 사랑제일교회 관련 확진자 접촉 후 감염 시민 여러분은 외출을 삼가시기 바랍니다. 경찰은 인물사진 공개해라!
16,"이것은 새로운 '사회계약'이 쓰여지는 의미도 있습니다. 코로나 바이러스뿐만 아니라 지진, 대화재 등 인류앞에 놓인 재해 재난 앞에 디지털 및 물리적 영역에서 접촉 추적을 허용할 수 있다는 것입니다"
17,"당국의 지침이나 권고 어기고..
유증상자..확진자들은..격리 치료 후에..
의료진에 자원봉사인원으로 투입했으면..
동선 추적이나 접촉 자원봉사 업무..
자신이 얼마나 주위에 피해를 끼쳤나..그 위험을 차단하려 얼마나 고생을 하는지..
직접 체험하게 해야..
물론..발생된 비용은 청구해야 되고.."
18,"기재부 개발금융국, 한국방역의 우수성을  알리는 34페이지 분량 영문자료 하루만에 만들어 각국에 배포.한국의  코로나19 대응 핵심은 신속성과 3T
(광범위한 조사,접촉자 추적조사,엄격한 치료조치,
민간협력과 시민의식) 뉴욕타임스,ABC방송 소개. https://t.co/j3URHu7j7m"
19,"뉴욕타임스 ""경제 포기하지 않고 바이러스 막은 것은 한국뿐""  
https://t.co/4fqIvqNXiW 

●발빠른 대응으로 진단키트 확보
●대규모 진단검사·확진자 접촉 경로 추적
●“의연한 한국인, 미국·유럽 사재기와 달라”

이땅의 기더기들이 마스크 타령만 할 때 외신은 대한민국을 찬양하고 있음."
20,"세 번째는 확진자에 대한 끈질긴 추적이다. 한국의 보건 당국이 확진자의 신용카드, 휴대폰, 자동차 사용기록까지 활용해 누구와 접촉했는지 추적했으며 확진자가 나올 때마다 해당 지역에 비상 문자로 알린다고 소개했다."
21,"바이러스 확산 속도를 조금이라도 늦추려면 감염자를 접촉한 이를 정밀하게 추적해 바이러스 검사를 하고 양성이 나오면 즉각 격리하는 한국 방식이 유일한 해법이라는 판단이다.

이탈리아, 한국 대응 모델 연구팀 가동..""한국 따를 준비돼""
 https://t.co/m7dmYOlyqd"
22,"투명한 정보 공개와 시민들의 협조로 감염 확산을 저지한 성공적인 사례로는 한국과 대만, 싱가포르를 들었다. ""이들 국가는 일부 접촉자 추적시스템을 이용하긴 했지만, 광범위한 검사와 투명한 보고, 정보를 잘 습득한 대중의 자발적인 협조에 훨씬 더 많이 의존했다""
https://t.co/L6f71d7sbN"
23,"현지 유명 대학 교수 ""한국, 새로운 전략 실행..바이러스 억제 성공"" 
투명한 정보 공개·방대한 접촉자 추적 시스템 구축·대규모 검사 언급

이탈리아도 '한국식 대응 모델' 주목..""우리도 배워야"" 찬사
 https://t.co/xr7GgLMiQJ"
24,"6번 확진자가 그래서 최초에 일반 접촉자로 분류

3. 질본이 역학적으로 3번 확인자의 동선을 추적해보니 진술했던 7시보다 이른 시간에 해열제를 산것이 밝혀짐

4. 질본이 사실을 밝혀내자 3번 확진자가 오후 1시부터 증상이 나타났다고 실토하고 진술을 번복"
