,Text,Translated
0,"성남시 재난안전대책본부에서 알려드립니다.
 
12월 27일 0시 기준 전일대비 67명 발생하였습니다.
 
자세한 사항은 일일상황 12월 27일 성남시 코로나바이러스감염증-19 상황알림을 참고하여 주시기 바랍니다.

https://t.co/u13ic3T8CD","We will inform you of Seongnam City Disaster Safety Measures Headquarters.

On December 27, 67 were 67 for the previous day.

For more information, please refer to the Senate Non-Corona Viral Determination of Seongnam City on December 27, on December 27.

https://t.co/U13IC3T8CD"
1,"今日は夫の仕事が休みになったので、
二人で3回目の
ワクチン💉を接種しに
行きます💉

コロナ、いい加減終わってくれ～～💦
コロナ禍になって
もうすぐ2年になる😨
#백신 #ワクチン
#コロナウイルス
#코로나바이러스","今 今 夫 仕 仕 仕 仕 仕 仕 仕 仕,
3 times in two people
ワ ワ ワ ワ ワ 💉 ワ
The

COONA, Ⅰ 終 終 わ 終 終 終 終 終 💦 💦 💦 💦
Koko Na
😨 😨 😨 😨 😨 😨 😨
# Vaccine # ワ ワ
# Corona ウ ス
#covid"
2,#어제보다더 #행복하세요 #오늘하루도화이팅 #당신의오늘을응원합니다 #코로나바이러스 #오미크론변이바이러스조심😷 #감기조심하세요 https://t.co/BCwti15NJH,# Happy more than yesterday # Today's Huh Hwading # Corona Virus # Omicron Virus Careful # Ombron Virus Be careful #
3,"@Repent_Repent2 @jesus140800 #CountDownToMenengai4
#메넹가이4카운트다운 
코로나바이러스는 하나님의 심판이기 때문입니다.","@ Repent_repent2 @ jesus140800 # Countdowntomenengai4
# Memo Gaga 4 Countdown
Corona Virus is the judgment of God."
4,"코로나바이러스를 보낸것은 하나님이 엄청난 사랑입니다.
#CountDownToMenengai4","God sent corona virus is God's tremendous love.
# Countdowntomenengai4"
5,"2015년 12월 1일에 코로나바이러스를 예언하고, 황폐하게 하는 메뚜기떼 재앙을 예언한 선지자
지저스 이즈 로드 라디오 생방송

#MenengaiHealingCrusade
https://t.co/w8COyfxO7g https://t.co/4jdt2pqp8s","On December 1, 2015, the prophet who prophesied the Corona Virus,
Jesus Iz Road Radio Live

#Menengaihealingcrusade
https://t.co/w8CoyFXO7G https://t.co/4jdt2pqp8s"
6,"세상은 아직도 코로나바이러스의 이유를 알지 못합니다.
#HealingCrusadeMenengai","The world still does not know why Corona Virus.
#HealingCrusademenengai"
7,"주님꼐서는 코로나바이러스로 환난 때 심판을 맛보게 하십니다. 
#HealingCrusadeMenengai","The Lord takes the referee when trouble with corona viruses.
#HealingCrusademenengai"
8,"코로나바이러스를 보고 주 님께 달려 오십시오. 
#HealingCrusadeMenengai","Restore the corona virus to the Lord.
#HealingCrusademenengai"
9,"추운날 건강유의하시고, 코로나바이러스도 조심하시고.
마음만은 따뜻하고 포근한 크리스마스,
연말연시. 가 되시길 기도할게요~
올해도 감사합니다.🙏🏻☺️

#저스트빈티지 #겨울방학 #당신과나의시간 #빈티지는타이밍","Cold on the cold day, and be careful of corona viruses.
The heart is warm and warm Christmas,
New Year holidays. I'll pray that you'll be.
Thank you this year. 🙏🙏☺️

# Just vintage # Winter Vacation # You and my time # Vintage timing"
