,Text
0,"성남시 재난안전대책본부에서 알려드립니다.
 
12월 27일 0시 기준 전일대비 67명 발생하였습니다.
 
자세한 사항은 일일상황 12월 27일 성남시 코로나바이러스감염증-19 상황알림을 참고하여 주시기 바랍니다.

https://t.co/u13ic3T8CD"
1,"今日は夫の仕事が休みになったので、
二人で3回目の
ワクチン💉を接種しに
行きます💉

コロナ、いい加減終わってくれ～～💦
コロナ禍になって
もうすぐ2年になる😨
#백신 #ワクチン
#コロナウイルス
#코로나바이러스"
2,#어제보다더 #행복하세요 #오늘하루도화이팅 #당신의오늘을응원합니다 #코로나바이러스 #오미크론변이바이러스조심😷 #감기조심하세요 https://t.co/BCwti15NJH
3,"@Repent_Repent2 @jesus140800 #CountDownToMenengai4
#메넹가이4카운트다운 
코로나바이러스는 하나님의 심판이기 때문입니다."
4,"코로나바이러스를 보낸것은 하나님이 엄청난 사랑입니다.
#CountDownToMenengai4"
5,"2015년 12월 1일에 코로나바이러스를 예언하고, 황폐하게 하는 메뚜기떼 재앙을 예언한 선지자
지저스 이즈 로드 라디오 생방송

#MenengaiHealingCrusade
https://t.co/w8COyfxO7g https://t.co/4jdt2pqp8s"
6,"세상은 아직도 코로나바이러스의 이유를 알지 못합니다.
#HealingCrusadeMenengai"
7,"주님꼐서는 코로나바이러스로 환난 때 심판을 맛보게 하십니다. 
#HealingCrusadeMenengai"
8,"코로나바이러스를 보고 주 님께 달려 오십시오. 
#HealingCrusadeMenengai"
9,"추운날 건강유의하시고, 코로나바이러스도 조심하시고.
마음만은 따뜻하고 포근한 크리스마스,
연말연시. 가 되시길 기도할게요~
올해도 감사합니다.🙏🏻☺️

#저스트빈티지 #겨울방학 #당신과나의시간 #빈티지는타이밍"
10,"코로나바이러스 메세지는 끔찍한 환난이 시작을 알리는 것입니다  

#AmGoingToMenengai
#나는_메넹가이로_갑니다
#메넹가이_12월30일_31일"
11,"코로나바이러스가 지구를 쳤고 전세계를 보면 메시아께서 오신다는 것을 알 수 있습니다.
#AmGoingToMenengai
#나는_메넹가이로_갑니다
#메넹가이_12월30일_31일"
12,"""신종 코로나바이러스 감염증(코로나19) 위기 장기화에 물가 상승까지 겹쳐 금융당국은 이번에도 보험료 인상에 부정적인 시각을 보이고 있다.""
 https://t.co/LgfhJ992kL"
13,"코로나바이러스가 악하게 변종하는 것은 더 많은 영혼을 천국에 데려가시기위해서입니다. 
#Menengai4Nakuru"
14,"어휴 날씨가 많이 추워졌다.
좀전에 약국에 가느라 잠깐 나갔다왔는데
바람소리도 요란하고 어찌나 세게불어대던지
추워 죽는줄알았다.
내일은 더 추워진다니 걱정된다.ㅜ
이럴때일수록 감기조심
코로나바이러스 조심하자."
15,"오는 13일부터 신종 코로나바이러스 감염증(코로나19) 백신 접종을 완료하지 않거나, 48시간 이내 유전자 증폭(PCR) 검사 음성확인서 없이 식당·카페 등 주요 다중이용시설을 이용할 수 없다. 기본접종(1·2차접종) 완료자에게 발급하는 방역패스 유효기관은 6개월이다.
https://t.co/VFfYxXUAXT"
16,"@J_infinitegrace @jyKsfmhnUMA1A6w 코로나바이러스는 환란 때 비하면 맛보기입니다.

#JourneyToMenengai4
https://t.co/YM0vbPtwZ2"
17,"#JourneyToMenengai4
두선지자는 코로나바이러스로 인간의 삶을 완전히 변화시켰습니다
환난에서 피신하여야 합니다"
18,"@HYOSUK3 @ArthurPark60 #LetsGoToMenengai
코로나바이러스가 의미하는 바를 이 세대는 깨달아야 합니다."
19,"@nhk_news 회개와 거룩함 사역회 BUSAN                                  

코로나바이러스 보다 더 심각한
상황들이 환난때 옵니다
천국을 준비할 때입니다
지구는 심판에  처할 것입니다 
#OurWayToMenengai4

https://t.co/DlKlQW7zt1"
20,"@MSNBC 회개와 거룩함 사역회 BUSAN                                  

코로나바이러스는
주님의 심판인데 회개하지
않는 사람들로 없애주지
않으십니다
#OurWayToMenengai4

https://t.co/DlKlQW7zt1"
21,"@FinancialTimes 회개와 거룩함 사역회 BUSAN                                    

백신은 코로나바이러스의
해결책이 아닙니다
주님을 영접하십시오
#RoadToMenengai4
#메넹가이4_가는_길

https://t.co/JlYSshdDAq"
22,"@didwocjsdptj 코로나,변종바이러스,생화학전,초 미세먼지 제거,방사능가루등 해결가능하여 향후 미래 먹거리로 손색이 없습니다.
본인은 10년간 인하공전 디지탈전자공학과
겸임교수 경력과, 코로나바이러스 사멸2종
과 4종류의 다른 전자기기 발명특허도 보유
하고 있습니다.경력오픈은 제 의도가 후보께 전해지길~ https://t.co/cBsaoTpdIX"
23,"@ABC 회개와 거룩함 사역회 BUSAN                                  

코로나바이러스가 이렇게 우리 삶을 바꾸어 놓을 때
전능자 하나님을 찾아야 합니다
#SuperGrandRevival
 https://t.co/I9JScxRbyG"
24,"회개와 거룩함 사역회 BUSAN
#SuperGrandRevival

https://t.co/KgQWPS45vQ

https://t.co/GewcSQZ9da

주님께서는 마지막 휴거의
준비방법으로 그랜드 메가
부흥집회 &lt;메넹가이4집회&gt;를
코로나바이러스 가운데
허락하셨습니다 https://t.co/nSmVJd0Mth"
25,"@cheolsoo0919 근데 안박사님은PC바이러스잡는 박사쟎아요? 저는 코로나바이러스잡는
코로나사멸 공기청정기를 완벽하게발명
한 사람, 우리 둘이 콜라보레이션해서코로나
팬더믹종식하는것이 종전선언보다 중요
하지요? 세계인을위해~대통령꿈,일장추몽 한국,어린시절 한반90%는 대통령이 꿈이랬는데~한다는사람~ㅋㅋ https://t.co/kIvR1IxP31"
26,"@Song_Younghoon @akak1822 위드코로나?사멸기예방없이? 
허니확진자3천명넘는대기록 세우죠 Without COVID-19가 정답 입니다.! 
사멸기로  사전방역 했어야 합니다. 안후보는PC바이러스잡는 박사쟎아요? 저는코로나바이러스잡는사멸기를 완벽하
게발명,협력해코로나종식하는것, 종전선언
보다중요하지 않을까요? 세계인을
위해~ https://t.co/safRiLCZO9"
27,"@dalcho 다정씨,근데 안박사님은PC바이러스잡는 박사쟎아요? 저는 코로나바이러스잡는
코로나사멸 공기청정기를 완벽하게발명
한 사람, 둘이 콜라보레이션해서코로나
팬더믹종식하는것이 종전선언보다 중요
하지요? 세계인을위해~대통령꿈,
일장추몽 한국,어린시절 한 반 의 90%는 대통령이 꿈이랬는데~~ㅋㅋㅋ https://t.co/5aR99oRqKw"
28,"루마니아, 사망자 급증에 시신 방치까지..그런데도 ""백신 거부"" | 다음 뉴스 https://t.co/HyVpamJEtx 구마니아의 비극도 결국은 기레기들이 주도적으로 만든 것이거나 적어도 공범인 범죄행각 때문이다 기레기들은 지구상에서 박멸해야 될 코로나바이러스같은 존재들이다"
29,"@thehill 회개와 거룩함 사역회 BUSAN                                           

지금은 다시 코로나바이러스가
사람들을 많이 죽이고 있습니다
이것은 하나님의 심판입니다
#VergeOfRapture
https://t.co/p8wjjRYIcq"
30,"@nytimes 회개와 거룩함 사역회 BUSAN                                     

코로나바이러스는 사라지지
않습니다
주님의 심판입니다
#HisComingIsNigh
#메시아의_오심이_가깝습니다

https://t.co/Q9stco7OUu"
31,코로나바이러스랑 17대 1로 싸워 이길 자신 있었나보지. https://t.co/CHWV15eXTk
32,"@jyKsfmhnUMA1A6w 회개와 거룩함 사역회 BUSAN                                     

심각한 코로나바이러스는
계속 주님의 심판으로 작용하고
있습니다
#HisComingIsNigh
#메시아의_오심이_가깝습니다

https://t.co/Q9stco7OUu"
