,Text
0,"@LesserMegadeath @southernscoop @NZStuff It is like saying ""how bad it is in Denmark when they have had over 3,000 deaths with Covid-19"", but that is just real scaremongering, because their excess mortality is virtually zero: https://t.co/jBRfWVmPrM"
1,"@rontkim 
all you are is a useless loudmouth.  Until you mention what Trump did to hurt NY during Covid; I have zero respect for you"
2,Bloomberg; China needs to keep going with its hardline Covid-zero policy to stamp out the disease because it is keeping the world’s supply chains flowing. https://t.co/x35BfCKDI6
3,"The thing that is surprising to me about the thread (subtweets are v compelling) is it suggests the Twitter folk supporting zero covid have been failing to represent Danish situation. Because I’ve been a fan of elimination, it’s a caution to check my own biases before retweeting."
4,when you get basically zero side effects from all 3 covid shots: https://t.co/yayIC6ZCxE
5,its such an honour to be art scene COVID patient Zero
6,"@BarryPCotter @WillManidis But I mean, if the standard is ""you have endemic covid"" then we were doing very well for a very long time. Much better than anywhere else in the developed world except for Western Australia. We dropped the ball recently, but I think NZ public is keen to move beyond zero-covid."
7,"@davidhaynz @MattNippert I was actually comparing the probability of the Rwandan genocide occurring in NZ (zero, the clue is in the word ""Rwandan"") to the probability of NZ experiencing Covid death rates equal to WW1 or WW2 under different plausible policy settings (damn near zero)."
8,They all say they're following the science but Zero Covid is impossible to achieve. Never been done #COVID19 #Science
9,"While the world was suffering- we even held the largest music festival in the world in 2021- over 100,000 people gathered with ZERO covid in the country.. we were living a weird utopian normal"
10,"@liamvincent26 people like being paid to do nothing, and, people still want zero covid"
11,"How Long Will Taiwan Stick to Its Zero-COVID Approach? 

Community cases 2, 46 imported
More prescient then to ask what might make Taiwan change when other zero covid nations have changed their approach? Taiwan restrictions are not cruel.

@Diplomat_APAC https://t.co/0Scjedo6fU https://t.co/PbKdiAO5A8"
12,"@Justafa37890476 @vheeringa Nothing to do with belief. Vaccines are science, backed by a century of research. I’ve had around 50 flu vaccinations in my life. 4 MMR vaccinations. 3 COVID vaccinations. 3 Tetanus vaccinations. Small pox. Polio. Pneumonia. HPV. And a shingles vaccination. Zero side effects."
13,"@shaneparr_ @vheeringa You kind of need to identify the cancers to which you are comparing it. As a male, I have zero chance of getting cervical or ovarian cancer, so COVID is definitely the higher risk for me!"
14,"@pointoforder I did not support Oz’s last approach or even it’s current one although I understand it’s decision to follow the test if the world now. 
What’s the risk of fully vaccinate zero Covid pre tested people coming into NZ and self isolating now that MIQ isn’t used even domestically"
15,@RealityEstateNZ Yes but that last tense. MIQ is no longer being used and we risk as more from within NZ than if fully vaccinated zero Covid pre tested people were allowed home and self isolated.
16,@DouglasSt66 What are you scared of if NZ opened its border to fully vaccinated pre zero tested coming from overseas and self isolating that we don’t face from kiwis here( vaccinated or not) who get Covid here and no longer go into MI Q?
17,"@hornbybrown Cautious, conservative, restrictive. Served us well. But what can allowing vaccinated zero Covid pre-tested people back to NZ do to us now that omicron is in our community &amp; we are no longer putting people into MIQ. Those coming would be no more/less risk than we r to each other"
18,China rules out abandoning its zero Covid-19 policy - Prensa Latina https://t.co/U4R1YTBSVd
19,To keep a double vaccinated person who has tested negative three times away and has also previously had Covid from his dying dad is cruel when the public health impact of letting him out is basically zero.https://t.co/cw9g6a9a8s via @TheBFD_nz
20,Covid-19 news: Chinese study predicts impact of ending zero covid | New Scientist https://t.co/ARZ3JrXREk
21,@karol Zero Covid was a popular policy in Australia and New Zealand. The Chinese figures are right.
22,"@Darwinchatter1 @BreezieLT Aha the long covid bogey man, the last unprovable bastion of bullshit desperately clung onto by every true covid zero numpty. 

Otherwise known as ‘post viral syndrome’ a bog standard phenomenon that has been around for donkeys years that nobody ever cared one jot about before."
23,"Quelqu'un pour expliquer à chichi que discuter de l'utilité des NPIs et des chiffres d'un pays c'est pas faire de la politique? Visiblement il a du mal! Il veut absolument que tout soit politique pour pouvoir placer ""vous les zéro-covid"" et il devient frustré qu'on le soit pas. https://t.co/p7dm7slEmM"
24,"@philw1982 @LoSiento76 @LADM1998 @9NewsAUS Things have changed now, but bringing covid into a covid zero community would have killed tens of thousands of people, which tragically is exactly what did happen in the UK. I could be dead. I'm not. Protecting the population didn't used to be considered unhinged."
25,"@Lilac_Shark @Zero__Identity For flip side context my father has COPD and while he hasn't had covid, pneumonia from the flu very nearly took him out a couple years ago. His COPD is quite severe from years of smoking though. So I would put more emphasis on how good or bad the COPD is."
26,@PaulWhi70455586 The zero covid types were holding up Japan and South Korea as examples of places that had managed to avoid Omicron through strong NPIs rather than Giving Up
27,Or ever. Who the f^^^ is suggesting that Covid zero is possible? https://t.co/1LxHTAOqBv https://t.co/LSFx4kAvyl
28,"@jamurquin @Rigels_Child @OccupyMyGov The reality is, the only reason anyone in Australia suffered extended lockdowns was because of the arrogance and rampant incompetence of the LNP, both federally and in NSW. QLD’s lockdowns were short and sharp and we enjoyed covid-zero and an unimpeded domestic economy. WA too."
29,"Easing curbs in 'Covid-zero regions' could result in 2 million deaths a year: China study
https://t.co/n9W9kuvnZx"
30,"@cfhinor @Locuste_ Je ne cherche pas le zéro covid depuis que nous avons des vaccins donc raté! En revanche, l’application de mesures simples qui pensent à son prochain: masques (je le fais depuis 2014 quand je suis malade en public), pas aller travailler quand malade (de quoi que ce soit) etc."
31,"@ajmckenna @TarragonKath We were 2 options. We go zero covid or forevercovid.

Seems we already made our choice as a country."
32,"@cheomitII @zzrwood @Thoracicus When the virus is as transmissible as omicron people become infected quicker than any measures can make a meaningful difference. This isn’t even a question now, there are so many cases that have proven this. You are one of those zero covid dreamers aren’t you?"
33,"@KarinMary1 @Suzyiam They’ve managed the pandemic masterfully. Zero complaints- but that’s not the only thing they’re governing. Life exists outside of COVID. Being concerned about people having homes is a fair position. 

I don’t need you to be bothered with me …you replied to me?"
34,@peterke60628957 @varietygarage The only thing not zero is covid
35,"@Tat_Loo @ClintVSmith If vaccinated deaths are proportionate to vaccination percentages, what has been achieved? Was supposed to be significantly lower, some claimed almost zero. Maybe old/vulnerable will die whatever the virus, vaccinated or not. Same with long Covid"
36,@FinancialTimes Xi Jinping is a great leader. Zero Covid policy is the only way to end the pandemic since people still get sick with variant even after vaccination.
37,"@aus_forum Yeah very true, Whilst they are chasing Covid zero that won’t happen"
