,Text
0,@AndreAlessi So when you have CAPS LOCK DOWN you have been pepper sprayed?
1,"@caffeine_addict To be clear: the downturn isn’t because of the vaccine mandates, it’s because Level Red has created a faux lockdown and so there are less people in the city. It’s misleading to use my Tweet to claim that it’s due to the mandates."
2,@SamuelHillNZ My Dad died during Level 4 lockdown after being unable to see his specialist. Ended up in Auckland Hospital for five weeks with only one family member allowed to visit. I had to pretend to be my sister so I could sneak in to see him the day before he died. Fucking cruel.
3,@viewspotnz I hope someone has made him retract his false claims about current red level in NZ its not a lockdown in fact I went out again to a restaurant for a meal today just have to sign in with vaccine pass that took 30mins to get online suggest you shouldn't comment on what you don't kn
4,@puansongket basically nz dah takde level 1-4 dah. Skrg main sistem trafic light. Red paling dangerous la. Ada 9 kes omicron harini spread katanya potensi ke whole negara. So satu negara red la. Takde lockdown tapi diperketatkan sosial .
5,"Are we upset about going into the red light tonight? Of course we are. 
But imagine if it was the good old Level 4 lockdown instead, huh? Naahh mate 😂 
Thank you for keeping our businesses open 👏"
6,"Tripple red and level 5 lockdown after the royal wedding. 

https://t.co/xyFFg1Ja2k"
7,"@nyactor Context:shopper for 3 kaumātua in lockdown 1. Tested fortnightly, just in case. Continued till end of level 3.
Have asthma and hayfever... tested when sniffly.
March lockdown, tested again.
Aug '21. Shopper again for kaumātua. Tested weekly when school started. All tests -ve"
8,The people who spent October and November calling for a longer lockdown for Auckland and a return to Level 4 popping back in to say that self-isolation is BAD and people CAN'T BE TRUSTED! https://t.co/xlQicygpXB
9,"@EpiEllie Lockdown (or Alert Level 4) in NZ was stay at home unless doing essential business (basically food or medical) - while fully masked, hands sanitised, distanced &amp; scanning in. And essential services had occupancy limits"
10,"@joedamage92 @cjsbishop NB research in NZ showed no increase in suicides during the lockdown. If we hadn't had lockdowns we would have had thousands of deaths, so lockdowns pass the utility test. Plus they gave us 18 months at Level 1."
11,@CMRLee In our new lockdown level - I enjoyed a chilled glass of rosé in a restaurant yesterday. The joy! Congrats on the book!
12,"Level 3 Day 55, on the 80th day of lock down my true love gave to me…
#roses

#clampdown
#ineverpromisedyouarosegarden @ Northcote, New Zealand https://t.co/LwnG5Dn83j"
13,"#TEAUPŌURI Maahia Nathan states the decision was made while under Level 3 lockdown, but with the change, supports a move to an in-person AGM - https://t.co/vJQrmpnoIx"
14,@jshmcguigan Not today ay. On level 6 lockdown for astro atm 😂😂
15,"Why didn’t the skeletons go to the party? Because it was Level 3 lockdown and indoor gatherings aren’t allowed but they could still meet up outside providing they wore masks and were practicing social distancing.
#covid19nz https://t.co/knHZ6XJqci"
16,"I've been lockdown caring for my disabled mum &amp; trying to keep her safe from covid. During level 4 I cared for my mum on my own &amp; extended our bubble to my fully vaxxed support worker once levels dropped. My job is 24/7, I'm not entitled to respite until we get rid of Delta 💤"
