,Text
0,I would like to speak to the manager of whoever is in charge of the shitty ass programmed traffic lights in Tampa.
1,"I remember complaining an awful lot about the timing of traffic lights on Tucker Blvd. in St. Louis.

2nd Street in Springfield is worse. This is a fact do not @ me!"
2,"@BoynamedBort @MayorWu @greatrgrovehall Congestion is caused by everyone cramming into a small city. Traffic lights that are not timed correctly. There's a lot of little things. And this might shock you. The exhaust stream that come from a modern diesel. In major cities, that exhaust is cleaner than the air going in."
3,@RogersSian I know! This must have been right when the balance of traffic was tipping. The traffic policemen at junctions instead of traffic lights tickled me.
4,19 Tyler Intersections Will Have Their Traffic Lights Retimed This Year https://t.co/hsjTGMFeVO
5,"Traffic lights working incorrectly, caution in #Stonecrest on Rea Rd at I-485 #traffic https://t.co/FWT2jwReVT"
6,"@nilocobau I think the busstitution argument make sense.  

Also, in milwaukee, the streetcar has signal priority at several traffic lights.  You could make the argument of running buses on run on your streetcar corridor using the same tech."
7,@LoveNLunchmeat @_Jizzabelle I thought it was a cautionary tale about the need for traffic lights.
8,5G masts may soon be strapped to lampposts and traffic lights https://t.co/Dg3QELEBEL
9,"@Bruxistential @bader_diedrich @HeatherThomasAF @HamillHimself @DrewFromTV @RoArquette @KirinArnold @GBSWGirl75 @popculturequest @Matt_5972 @LitaNeumann @Benbarber1980 That is true. However, here on Earth the Force Powers are limited to traffic lights and grocery store doors. 😉"
10,"@Goldensmile071 @BradleyRBloom @carterforva If you don't want to obey traffic lights, don't drive. If you don't want to take simple precautions protect others from communicable diseases, don't go to places where others are and where they want you to."
11,"@TedBlades @mmburton @doylejw @goody709 Well... removing the traffic lights people are rushing to catch would be a start. But as people driving through the Queen's Road bumpouts complain, they have to slow down when doing so. If drivers encounter narrower roads filled with pedestrians, they just can't roar through."
12,"@BillLeeTN @MarshaBlackburn @BillHagertyTN 
Have you done anything to get assistance to Memphis?  We have been without power for &gt; a week.  People dying in house fires, trying to stay warm. The busy streets that don't have traffic lights.  Can we get representation?"
13,first time I drove out DC I thought they ain’t have no traffic lights 😭
14,"@moidem Thanks for sharing, those are real concerns. We ride at a pretty leisurely pace, and while we often end up splitting into a few groups because of traffic lights/etc, no one gets dropped or rides alone at the back."
15,Ok right in the middle of making coffee the power went out here at my house.  Just got off the phone with Alliant Energy and they are aware of the outage in my area. Fortunately it had brewed just enough.  Be careful by traffic lights as they may not be functioning! https://t.co/0Zrlucul6d
