,Text
0,"Day 6 of my sabbatical and I had a mini freakout this morning about loss of steady income. Had to remind myself of some wins this week, including my return to freelance writing (and locking in my first gig!)."
1,"As token holder, you can provide LP to the pool to earn passive income. And guess what? No expose to impermanent loss 😻😻

Now I can sleep smiling with my $PRQ bag being stake in #IQProtocol. Gain both $PRQ and $IQT as reward https://t.co/WXLJWzBXis"
2,"FORD

American carmaker Ford Motor reported Q4 #earnings on Thursday with #revenues of $37.7bn, up 5% YoY and net #income of $12.3bn vs. a net loss of $2.8bn in Q4 2020. Read more here: https://t.co/jbzNsKeo8I

#bondalerts #bonds #Markets #fordmotors #Ford"
3,"@scottwww Not an $AMZN holder, but i think it may be the strong performance in AWS (which takes up the bulk of Amazon’s valuation).

AWS grew revenue 40% and op income 50% yoy, generating an op income of 5.3B in the quarter.

Without AWS amazon would be making loss this quarter (ex RIVN)."
4,"@danialhakimiii Loss of income pun yer. Berapa lama akak tu kena cuti tak boleh kerja. 

Kalau bos baik nak sabar okaylah. Kena dia terminate akak tu kan kesian."
5,"In politics, it’s my way or highway. Pity!!

#APMC is probably the best farming reform ever. Anybody opposing it is simply worried about their loss of income around Mandi fees. If there is one man that cares genuinely about farmers it’s @narendramodi https://t.co/cM8ZgqFtFZ"
6,"@ofmeowandbake @tanhuiyi @furryphotos For SIRS (self employed), TRF (loss of income or reduced income) and Covid Support Grant, must apply on your own with income documents.

SIRS if he auto qualify, he would have gotten first tranche payment on 22 May I think."
7,"Loss your income during this Coronavirus period? Heres a great income solution  https://t.co/Y7w8PQbJju
#coronavirusincome https://t.co/MNr4t3txzA"
8,All the countries that are afffected by COVID 19 should knock ate the DOOR of Wuhan n seek compensation. Either for loss of jobs n income n DEATH. Gary Lim
9,"TL;DR: basically this guy who is a doc is saying due to the pressure of the public that caused Govt to U-turn, his favourite barber has suffered loss of income. Doc, newsflash - everybody is going thru the same problem. Like it or not, there’s no shortcut. Brace it or die. https://t.co/VLWxHikuxO"
10,"Govt: Hey there’s a game we can all play, it’s simple, just stay at home. 

Govt: Also we will be reimbursing for your loss of income &amp; give out additional $$$ 

People: https://t.co/xE50qEXbEz"
