,Text
0,Better up be employed than unemployed and crime https://t.co/p0mwYY9UkM
1,@NIIVEHHH alrdy 2 month since im unemployed
2,i just realised instead of explaining to people why im unemployed i can literally just say im an artist https://t.co/k7Ve7cyqX3
3,"@amitdubey1236 @PoliticalUpdat8 @BJP4UP @myogioffice When will UP BJP election manifesto be released? It should be immediate. We BJP supporters must get chance to include imp points in our elec promise. Please consider Rs. 1000/m for unemployed youth, Rs. 500/m for BPL women, free electricity up to 100 unit/m"
4,Just got an email on SUNDAY from a government agency asking me to prove I am currently and have been unemployed. What the actual flaming fu-
5,I ain’t never type this. I’m unemployed af so idk why my phone thinks I’m working
6,So vele people graduate to be unemployed. This world we live in😞
7,"🇩🇪 The German #labourmarket remains stable even during the #Omicron wave. 

Although the number of unemployed rose compared to December, it remained well below the comparable figures for January 2021.

You can find the numbers here 👇 (tb) #NewsDE https://t.co/r56ZOT4xDR"
8,Those 4rein teachers just replaced those unemployed SAn teachers. Anc government will never win the fight against unemployment in SA. 💔 https://t.co/0fs8KdNCGM
9,I had 9 months off (or unemployed lol) and I still think I need more xd https://t.co/s0EbcGUdBs
10,Unemployed teachers here's a plug https://t.co/tNSNSQCFb1
11,"Changi Prison inmates fear being broke &amp; unemployed, only to reoffend &amp; get more jail time https://t.co/2OBkiQeRNp"
12,"Changi Prison inmates fear being broke &amp; unemployed, only to reoffend &amp; get more jail time https://t.co/bctW6AJJ3r https://t.co/DDa70DIz4r"
13,"Reality: Unemployed

LinkedIn: #blockchain enthusiast | Influencer | Inspirer | Chief Visionary | Serial #entrepreneur (i.e. every #business I started has failed) | Empowering (something) | Trendsetter | Top 1% of #linkedin Profiles (According to me) | Speaker | TEDx (attendee) https://t.co/Ow48dD7qQh"
14,mfs playin wordle but don’t wanna get WORD out that they unempLoyEd 🗣
15,unemployed people are a problem. why would you eat my chocolate? you could've taken a piece but you decide to eat the whole thing. a whole slab. a big slab. why?😔
16,@ANI Nobody do can anything if he's unemployed since 2014.
17,"I wondered about this recently when I read the depressing news of independent outlets in Hong Kong shuttering, leaving many journalists unemployed. It occurred to me that Hong Kong, or Myanmar, would be places where…"
18,@jahrioz theyre all portraying raw unemployed behavior frfr
19,"Hats down to the pro writers. When I'm writing topics like this, I'd need a week or 2 b4 I can write travel blog posts.

#lifvelifelove #jobsearch #jobseeker #SSG #WSG #unemployed #pandemic #vaccination #CareerDevelopment #sg #singapore #training #linkedin
https://t.co/pXzHZhl4rx"
20,"Unemployed, Dover lost playoffs, Chesterfield promoted, Hull promoted then mid table, Spurs 2nd, lost FA cup final https://t.co/4Cp8DPGuSK"
21,fuck this place. still so crowded on a weekday afternoon. is everyone unemployed??? (@ IKEA Restaurant in Singapore) https://t.co/fq4qYPLUPs
22,"@Houlton11 I’ve got a cracking save going atm, started unemployed, Dover, Chesterfield, Hull and just got the Spurs job although I finished above Spurs with Hull last season 11th v 15th and the spurs fans laughed off my interest 😂"
23,"@SamLee Started unemployed, went to Dover and then Chesterfield. Loving the new one. And I just managed to sign Junior Stanislas in league 2. What a world we live in"
24,@MaffRoyal @milesSI The new version is superb even in BETA. Feels clean and fast and some of the new features like data hub and better team talks. Started unemployed so currently at Dover.
25,Officially unemployed......... for a week
26,£20T spent….. £0 by me as I started unemployed and got hired by Dover https://t.co/brsMYJtLFi
27,"I’ve got my documents back and signed all the papers. Boat will arrive in 2 hours to pick me up from the ship 🚤 

Guys! I’m officially unemployed 🤣"
28,@shxncy so many fresh grads unemployed…. you should sell vagina paintings
29,From being unemployed to the best UCL goalkeeper🤘🏻💙 well deserved edouuu🥳👏🏻💙
30,"Last call SPECIAL TRAINING FOR UNEMPLOYED 

Registration untuk 11:59pm today ye. https://t.co/PHntFjwgAj"
31,🚨🚨last call SPECIAL TRAINING FOR UNEMPLOYED 🚨🚨 https://t.co/UIi0IkO0n9
32,Nak join? Terbuka untuk unemployed sahaja ye. PM Kak Ming 🤗 https://t.co/6mDKTqDLjm
33,"@syahredzan Jauh lgi boss.

DAP 42. The newly unemployed?

PRU indeed the best way OUT.

AKUJANJI PRU14 also nil

What do I think? Put more younger candidates for voters to choose."
34,"It's the first day if the new month, and I'm not even unemployed yet, and I'm already stressing over money. 😞😂"
35,YCP betrayed unemployed youth https://t.co/TDYLwgFCeB
36,"7 Simple Reasons Why Malaysian Fresh Graduates Are Unemployed
https://t.co/N9qMu47u08
BE DIFFERENCE ! CHOOSE THE RIGHT COURSE !
DM us for free Education Consultation ! #maritimeinfo #maritimescholarships #sepintake2021
Credit Source : JobMajestic https://t.co/bMKPkRv6e9"
37,"Special Training for Unemployed 
Edisi 28-30 June 2021

Boleh check email inbox atau spam ye 

See you tonight"
38,"Boleh PM nanti Kak Ming reply satu per satu. Kita buat #twittercombo 

Ni berbeza ya dengan Special Training for Unemployed tu."
39,First day at work after 5 months being unemployed. Awkward level 1000 🥶
40,"We announced Special Training for Unemployed last night. 

Come along, let's future-proof our career. Syaratnya,
 
Ada laptop / desktop
Ada internet connection
Ada minat dan azam yang tinggi
 
On top of all, beradab. 
 ""Dengan adab, kau akan memahami ilmu"" Yusuf Al Hussin https://t.co/wGK3NrU1GD"
41,"Kak Ming ada di FB Live Ming Ihsan Ultra Training 9:30pm nanti bersama apprentice Kak Ming 🤗

Juga, kami akan buat pengumuman khas terutama untuk unemployed. 

See you 😉"
