,Text
0,we aint never gna move forward into the endemic if the govt still worries abt the number of cases 🤥
1,"#FishEponym: Hemibagrus sabanus, endemic to the Malaysian state of Sabah in Borneo. It has been recorded from the Kalabakan, Kinabatangan &amp; Segama river drainages.

📷: Ng Heok Hee https://t.co/ODF196XqPN"
2,Wtf FB &amp; IG story filled with positive ART results!!?? Road to endemic!!!!
3,@TODAYonline No. Its irrelevant in an endemic.
4,no endemic maybe pandemic sudahhhh..
5,@JatIkhwan endemic pun di tangguh atas sbb Kes meningkat nampak x
6,@avalanchelynn Endemic!!
7,"So, are we endemic or not? 🙄"
8,@avalanchelynn So are we endemic or not? 😂
9,@avalanchelynn Some ministries are still asking for MC and meno in order to return to school and work. How….. to endemic
10,"Genetic and morphological studies of species status for poorly known endemic Trochulus phorochaetius (Bourguignat, 1864) (Gastropoda: Pulmonata: Hygromiidae), and its comparison with closely related t https://t.co/h6KT1zClPt"
11,"@Bitcoin__Banks Yup, there are a few global events that can trigger big volatility in the markets, such as:

1. Fed rate hikes
2. Russia invading or pulling out their forces
3. Covid-19 new variant(s) or endemic status
-just to name a few.

Looking forward to navigate these waters!"
12,"#FishEponym: Hemibagrus baramensis, named after the Baram River in Sarawak. This catfish is endemic to northern Borneo, and is known from several river basins in parts of Malaysia (Sarawak &amp; Sabah), Brunei &amp; Indonesia (North Kalimantan).

📷: Zaheer Afie, Keith Martin-Smith https://t.co/AHlrlhWJ11"
13,"@meowmeni I get that we're trying to shift to the endemic mentality lah, but some things are better safe than sorry which alot of people dont get 🥲"
14,@avalanchelynn How to endemic like that?
15,Academician: Malaysia should not rush to declare endemic phase under pressure | New Straits Times https://t.co/Dm6XJPEwmH
16,Since endemic already all open up n no need wear mask lo
17,A new genus of large hydrothermal vent-endemic gastropod (Neomphalina: Peltospiridae) https://t.co/obxAD1koNe
18,"Yikes - am a bit concerned about my flu symptoms so wanted to do something about it. First SASH clinic call went to their fax machine, second clinic (high SES one) acted like I had no money to pay for my own PCR if I wanted it, also “no appointments”. Guess we really endemic now."
19,Molecular phylogeny and the underestimated species diversity of the endemic white-bellied rat (Rodentia: Muridae: Niviventer ) in Southeast Asia and China https://t.co/BzbwEWUWfI
20,"i think it depends on what ""endemic"" means for you. we've more or less treated regular flu as ""flu lor liddat"" but we estimated ~600 annual local deaths from it so that's probably a good number to keep in mind when we say ""we treat covid as normal and it will be normal"""
21,"@grubbypea true! i think it depends on what ""endemic"" means for you. we've more or less treated regular flu as ""flu lor liddat"" but we estimated ~600 annual local deaths from it so that's probably a good number to keep in mind when we say ""we treat covid as normal and it will be normal"""
22,"did anyone actually think cases were gonna go down? just move into endemic lah, accept that we gotta live with covid.. it’s not gonna go away in years to come also, how long wanna live with masks, vtl, 10:30pm dine-in closure, 5-pax all??"
23,"Molecular phylogeny and taxonomic revision of the genera Baudinella Thiele, 1931, Retroterra Solem, 1985 and Molema Khler, 2011 endemic to the coastal Kimberley, Western Australia (Gastropoda, Camaeni https://t.co/nviIRTJiJL"
24,"It's time to ""move on"" from the pandemic, says Harvard medical professor  
@cohen_cyrille @Stefokali #Covid #travel #traveling #endemic 
https://t.co/PuXhfPXFXe"
25,I hate dead prostitute jokes. It's so horrible because murder of sex workers is actually so common and endemic. They're not any less human just because of their work. It's just a grotesque topic.
26,@avalanchelynn Endemic!!
27,The endemic Patagonian vespertilionid assemblage is a depauperate ecomorphological vicariant of species-rich neotropical assemblages https://t.co/DL66qP0tVD
28,"A new endemic lineage of the Andean frog genus Telmatobius (Anura, Telmatobiidae) from the western slopes of the central Andes https://t.co/qUoW0podUr"
29,A New Genus of Ototretine Firefly Endemic to Indian Subcontinent (Coleoptera: Lampyridae) https://t.co/qEefhBB1vM
30,"#FishEponym: Eutropiichthys salweenensis, a catfish described in 2007 after the Salween River that flows through Myanmar and western Thailand. It appears to be endemic to that drainage. 

https://t.co/GC3wIry3P8

📷: Nonn Panitvong, Ekkapan Ubonrach https://t.co/dgStKG9FY5"
31,#GroceryDelivery is getting bigger as we enter the #endemic years: https://t.co/ZUmkVf3uaM
32,"#Covid will always be an epidemic virus — not an endemic one, scientist warns https://t.co/jD4QaZGXt6"
33,The endemic Sardinian newt Euproctus platycephalus: Local threats and population decline https://t.co/m9BRjRcctQ
34,@yokey017 Ya. What endemic.
35,"@giosakti Iya sejak awal pandemi begitu, yang mana masuk akal ketika strategi SG masih Zero Covid dan kasus ditahan mendekati nol. Tapi sekarang strateginya sudah Endemic Covid (hidup bersama covid) sementara kasus sedang tinggi &amp; anak-anak baru mulai proses vaksinasi."
36,"This endemic period is more activities than precious heightened alert in Singapore..

Not so lockdown ..

Quite amazing that we still can do that while wave is ongoing for some time.."
37,"Learning to live with Covid doesn't mean throwing it all away and living like there's no tomorrow, but accept that some degrees of prevention are part of our lives now. Endemic means part of our day routine but doesn’t assess whether something is mild or severe. 

It is not over."
38,To talk about harder issues and to live in endemic world where harder issues will also be resolved and accepted by almost all parties
39,@spwells Time for the world to abandon zero Covid and prepare our systems for endemic.
40,"Could Germany show Singapore the way to endemic-COVID life? Big events, a return of nightlife, and regular self-tests  

 https://t.co/GatyHk18mg"
41,What’s an effective and empathetic way to explain the need for an endemic Covid-19 approach to someone who is not moved by data but also at higher risk of severe C19 complications?
42,Some of y'all out here actively pushing for the endemic situation even if the numbers go out but also liking tweets highlighting the front-line worker struggle. I see you 👀
43,"@mongabay @hans_nich Sad… Lake Kutube is home to many endemic fishes, including a favorite of mine the Lake Kutubu rainbowfish (Melanotaenia lacustris) 😔 https://t.co/yAfNspoVns"
44,"Medical staff alerts the community where the psychological impact amid and after the pandemic could not underestimate. I would add the general apathy among the populace is quite serious, as they don’t know when the pandemic/endemic will end."
45,People are no longer talking about the “working poor” amid the pandemic/endemic. People are thinking about how their future will change after the virus is gone.
46,endemic 101. really good explanation 🙏🏻  https://t.co/zDOQKg5rPR
47,Asymptomatic cases not tested soon… tsk tsk… what is happening here.. #Endemic living haist..
48,Proof of life… a bit of downtime with the twins #singapore sporadic #moment outside my bubble during this pandemic turned endemic… @ Singapore https://t.co/oxHi88PAaN
