,Text
0,"@Ramika30898 I gotta admit, I enjoy gathering materials more in Worldborne/Rise due to how fast we gathered the materials in those games."
1,"Is me unpacking tings with Magic The Gathering cards, Part 1 🙏🏽

https://t.co/rkom3S80FN

#mtg #mtgcards #magicthegathering #supportsmallstreamers #sgtiktok #tribalcast #tribalcasttv #singapore #singaporean #mtgunpacking #midnighthunt"
2,Avoid project failure with this 6-step requirements gathering process for agencies https://t.co/j8Su8DiF5C
3,Sorg2 dlm fam terdekat kene covid ni bahaya ni ... bru lps gathering dkt KL laktu hahahaha
4,#FourClansBARM gathered again in 2022 after missing our CNY 4 families celebration in 2021. We have missed our family camerdriship which we have been gathering for close to 20 years. https://t.co/Ud2OoVdwQo
5,@RDRRated there’s this filament spool that’s just gathering dust since my uni days 😂 wondering if i can just burn it and make miniatures haha
6,@aziesin Magic The Gathering
7,"Thanks for the recap of all the awesome memories we had during those days. Life is about all those moments. 💙🤗❤️
#oldfriends #Gathering #CNY https://t.co/KZ7SpH7pme"
8,"Kouta apa?. Sejak covid19 melanda dunia.. Kita Ada some limitations untuk sambut perayaan besar besaran. Ini kerana perayaan semua sama je perihalnya.. beratus ribu gathering family &amp; friend, ibadah dlm kelompok dll.."
9,[BHE 506] Overdrive Finds https://t.co/zfbw3ln80F
10,"On page 451 of 864 of The Eye of the World, by Robert Jordan https://t.co/YBOxplME9H"
11,"初五，🐯🧧

Relative Gathering💮

#OOTD 

#happychinesenewyear2022🐯 #新年快乐2022🐯 @ Singapore, City. Asia. https://t.co/pUbIpxKgyA"
12,"@mimozawamama Yo, the way that nice gathering was dismantled upon her arrival. Bengizokhala if I was her 😂🙉"
13,@eunasgfs always feel like we intruding a private gathering haha
14,"Penat nya harini, gi majlis kawin kawan ayah. Sekali dia buat gathering dengan kawan lama tempat keje dia dlu😭 bayangkan dari kul 1 sampai kul 6 ptg baru balik🥲"
15,4 of 5 stars to My Name Is Bana by Bana Alabed https://t.co/lvnd0foL1O
16,@hellowillfan @SoulZ_NFT Gathering for Chinese Lunar New Year with my families
17,@SoulZ_NFT Discord and vibe only!! Also busy gathering some orbs!
18,@NFTAsiaOfficial Family gathering. More info can be found on my pinned tweet :) https://t.co/Tujolhs22f
19,More eggs benedict this brunch now I've lost count how many this CNY series of gathering have I consumed. Helppp https://t.co/gQoT0SjSUb
20,"Spent too much time reading and writing stories this week, so I had to leave a Friday night gathering to code a music streaming server.

Do I wish I could've continued hanging out? Yeah, of course.

Is network programming fun though? Hell yeah, this is dope."
21,"@LiszsWorld @BindyLoon @phyllischicu @MiniOrchid1 @agikun @ieatwhitecats @Karenkk_axel You wonderful people entertained and made me laughed so hard my sad day was cured within 10s, almost died too 😂😂😂
I can picture a group of beautiful ppl gathering together straight-face discussing this... hole... And my face cramped.... 
Good way to start and end the day~😚"
22,"An international virtual gathering of neurologists, neurosurgeons, psychiatrists, and neurological experts at the “Webinar on Neurology ""  on February 23, 2022, in London, UK.  
We request all innovative and energetic researchers to take part and make this event a huge success https://t.co/QNXVBHgPH5"
23,"ANG MOH HAVING ILLEGAL LARGE GATHERING PARTY, SHOWS OFF ONLINE
#Singapore #umbrage #spore #uncensored
https://t.co/Xtf4kKMwG8"
24,"#Neurologicalprofessionals, #Neurologists, #Neuroscientists, #Neurosurgeons and the #Experts in the field of neurology and neurosurgery are gathering at the ""2nd International Conference on Neurology and Neurosurgery"" on May 23-24, 2022 in Rome, Italy. https://t.co/5HyrJMzbn3"
25,[Poetry Friday] Another found poem – this time on “second departures” https://t.co/XdRywDJbZU
26,Start the morning by thinking aloud via @BrokersTiger while gathering 💰💰 to buy more $PLTR https://t.co/1coowg65bJ
27,This will go down as worst season of BBM... No drama.. No tlof tlof..no mjolo... No fighting.. No alcohol...ngathi yi family gathering. Sesmane sibukele nje!!! #BBMzansi
28,"3 of 5 stars to In Other Rooms, Other Wonders by Daniyal Mueenuddin https://t.co/d15P98vH9H"
29,Family gathering is the best thing to have and im thankful for it hehe
30,CNY Day 3 初三 great family gathering session #cny2022 #day3 https://t.co/uD5UWqv8ti
31,"@ANoorTM I never react, so am just gathering rust."
