,Text
0,"Finally finished my day of marathon CNY gatherings with friends. We've drifted in the last 2 years thanks to Covid-19 and this year, despite the omicron raging wave, we decided we had enough and to brave it, meet up, live with the virus instead of the usual fear."
1,"“You should go for more social gatherings and go out more with people, you’ll have fun!”

Me: https://t.co/2LoDJj4mfr"
2,awkward me at social gatherings 🤢🥴
3,@food_blogger I have no sympathy for them. I told them this is why I wanted nothing to do with their gatherings and they’d better not try emotional blackmail or to guilt-trip me because I have no more respect for them. *inserts swear words In between
4,@tinashe4k i’m sure you make the salads at family gatherings
5,"@ChannelNewsAsia It is expected, no surprise.
Moreover, seeing peoples coughing and sneezing loudly in coffee shops, buses, trains, and many places, and gatherings in F&amp;B...and self isolation 72 hours is without MC cert, many also went to doctors..."
6,"@MothershipSG It is expected, no surprise.
Moreover, seeing peoples coughing and sneezing loudly in coffee shops, buses, trains, and many places, and gatherings in F&amp;B...and self isolation 72 hours is without MC cert, many also went to doctors..."
7,"So many many stories like these. 
1. Family gatherings
2. Ppl who refuse to test on HRW https://t.co/8LVqvWN3Ys"
8,"Tired of cooking? Why not try doing takeaway for your CNY gatherings?
https://t.co/UL9SOoC2Nd"
9,"For more CNY gatherings or Valentine's Day dates, here's a list of fresh faces in Singapore's food scene to check out. https://t.co/56OFmC3ZmF"
10,"Four aides quit amid tumult in UK PM Boris Johnson's premiership

February 04, 2022 4:53 AMThree are directly linked to Downing Street gatherings held during coronavirus lockdowns.

https://t.co/iGZS5MPsZ4 https://t.co/xv93pCdMai"
11,"🤵🏻👰🏻‍♀️ Love is in the air… 2 invites in a day from the same group, can’t wait for the upcoming gatherings!!! https://t.co/2h03XDucDh"
12,"@_soyan98 I think plus covid the gatherings are getting smaller, then within covid years I had 2 grandparents pass away, so since then it has been really zero mood? Most of us are adults and children fewer than one hand."
13,"It doesn't feel like CNY. No yusheng, not many snacks, not many gatherings, i spent 2 whole afternoons playing games. 

My grandfather's passing has made it clear that there's just nothing much to tie us back together"
14,"Large gatherings must ‘wait a little longer’ as Omicron forces strict measures: PM Lee 

 https://t.co/bdqskkmYf0"
15,Ligo ligo sila pool bah..I'm happy seeing my pamangkins and siblings have gatherings..get together next year a
16,My mood when the announcement on 5 pax dining out was made yesterday. Whose making plans for Christmas gatherings already? @ Singapore https://t.co/HgjlGb89pB
17,"94% of those medically eligible have already gotten their jabs.

Dining in and social gatherings to resume in groups of up to 5 from Monday https://t.co/tsYEfMkNP5"
18,"My body my choice!

OK, that’s fine.. but it’s the consensus choice to pull you from frontline exposure and deny you entry to social gatherings. 

Seems fair to me.

#covid #MyBodyMyChoice #vaccine"
19,@ZephyriusJackal Please go play with your new phone like the kids at family gatherings thanks
20,"Open to invites!!

* Private 1:1 swim coaching at your private pool 

* Holistic health workshops via zoom meet for private gatherings and corporate events

* Aromatherapy Fitness - A holistic approach to seeking wellness as a whole in life; physically, mentally, emotionally. https://t.co/CtJ7Iy2CHc"
21,social gatherings って家族と外食も含まれる？
22,New advisory ⚠️ - No social gatherings from 8 Sep at workplaces in #singapore. We might need to cover up like this to minimise talking to peers. #datafam #covid19 https://t.co/o1vAHJDCXL
23,impeding lockdown because singaporeans are unable to adhere to mere advisories to limit gatherings
24,But no changes to makan and social gatherings. Still five in a group for vaccinated individuals. Probably can wait till September before we might expect further reopening. Hopefully no other major clusters like KTV and Jurong fishery port 🤞🏼
25,"Health Ministry unveils new caps on gatherings, mask mandate | The Times of Israel https://t.co/3VZGO9sI8R"
26,Close Up Magic Show suitable for Wedding and Gatherings!! WhatsApp or Call 96413170!!  https://t.co/ZDKTVy9ugQ on #carousell
27,"@songboh Wah, like that now all schools are illegal gatherings?"
28,"6.13から無事ソーシャルギャザリングは5人に戻るけど、外食とジム解禁日は6.21まで延期…😭
Cap of 5 people for social gatherings from Jun 14 as COVID-19 cases fall; dining-in may resume on Jun 21 
https://t.co/dQNz7PYII4"
29,"@DTrain Friendly nudge to marketers that not everyone are going through summer of hugs, gatherings and other activities safe and vaccinated. https://t.co/AwEhRJKqhv"
30,"It's heartbreaking seeing a lot of old couples getting COVID, ended up in ICU care and some didn't even make it.

How many more death and tears do you need to actually have the brains and insight that COVID is real? 

There will be no gatherings if your family is not even alive."
31,"A very culturally specific reference, for those not familiar with Chinese folklore and current Covid restrictions in Singapore – for group size gatherings, we’ve gone from the 8 Immortals to the 5 Sojourners to the West to Laofuzi and whoever else that bald short fat stooge is. https://t.co/pseAMD7DIW"
32,"FLASH NEWS: Mula May 16 hanggang June 13, 2021, ibababa sa dalawang katao na lamang ang social gathering at hanggang dalawang katao na lamang ang maaaring bumisita sa bahay. Hanggang dalawang social gatherings pa rin ang maaaring puntahan sa isang araw sa pampublikong lugar. https://t.co/ZsETz8NpQT"
33,"⛔ No dining in, social gatherings capped at 2 people from May 16 as S'pore tightens Covid-19 rules 😱
https://t.co/SPvNc2WFJY"
34,"We cannot afford circuit breaker.

As said. Govt is not stopping business now. Let's do our part!!

No dining in, social gatherings capped at 2 people from May 16 as S'pore tightens Covid-19 rules
https://t.co/5Rz5lFXVHL"
35,"ついに来たか…
日曜から6/13まで外食禁止、外出は2人まで、自宅招待は2人まで

No dining in, social gatherings capped at 2 people from May 16 as S'pore tightens Covid-19 rules https://t.co/Dzf2ksJSIR"
36,"Kembali lagi aturan hanya boleh berkumpul 5 orang .
Cap of 5 people for social gatherings, household visits to return as Singapore tightens COVID-19 measures https://t.co/do9RQibnBR"
37,due to recent news of gatherings being cutdown from 8 ppl to 5ppl i will be increasing my booking fees. pm tepi for rates.
38,"@SidraFSheikh Oh no. I am glad to know your parents are alright now and terrified that large gatherings are still permitted. This mess in India, it's a combination of poor vaccine management by the government and people flouting rules. Hearing this makes me so sad. So much needless suffering."
39,lying to avoid social gatherings 🤥
40,@AnukulS31938361 @elmihiro That's not the core issue my friend.  We shouldn't be participating in large scale public gatherings. It creates a huge risk of large scale infection and once numbers get too large it's impossible to contain and trace. We are already overwhelming our medical infra in many states.
41,@Taiko554 @KirifudaRed I was 15 or 16 when I joined a community where the # of toys in your collection determined your clout. One of the guys had a roomful of Ultraman figures and the group loved to hold gatherings there to play UFE3.
42,"@KeyurKs0475 @mauna_adiga Good,prayer to any God gods  creation or any religion or doctrine is within self and in communities gatherings solemnly"
43,"The military government in Myanmar has increasingly used nighttime arrests, legal threats, a curfew and a ban on large gatherings to tame weeklong anti-coup protests that have spread from the cities to the countryside.

STOP NIGHT ARRESTS
#Feb13Coup
#WhatsHappeningInMyanmar https://t.co/c4At02IiBt"
44,"@GuruCupcake @like_argue @kenklippenstein Also, just rewinding here, America should have stopped having any events or gatherings from Feb 2020 onwards. Imagine if they locked down properly like the rest of Asia did. Maybe covid would have been gone by now."
45,"A red checkered shirt; perfect for the CNY visits!

#ethanmen #yourpersonaltailor
#cny2021 #red #cny #gatherings @ ethan men https://t.co/ucwmQoIEEc"
46,I’m pretty sure lots of people had Christmas gatherings exceeding 5 persons... just by looking at the copious amounts of food prepared and shared on social media 🤣
47,cb i wnt cry 😭😭 always look forward to fam gatherings but cnt make it this fri cs of work 😭😭 hAISSSS
48,"Fadil was a regular sight at religious events like mawlid in SG. He may not normal like us, but his devotion and certainty is nothing short of extraordinary. Blessed is he whose accountability in hereafter is uplifted but chose to present in blessed gatherings. Al Fatihah. https://t.co/20nUNtJoWl"
49,"If gatherings are limited to 8 people, who is buying 12 person cakes? 😳 🎂 https://t.co/wBw4Tnab4P"
50,You know you old when your gatherings are house warming parties and you be bringing wine and shit
