,Text
0,"Dr. Kai Hong Phua, Adjunct Senior Research Fellow, @IPS_sg along with 3 other experts shared their views in a panel ""Recalibrating Inclusive Health and Economic Recovery in Southeast Asia: From Zero-COVID-19 to Living with COVID-19"" last January. https://t.co/pP39IhAWFb"
1,1 child with Covid but the rest of us testing negative for 3 days now. To make some memories we turn our living room into a fort instead. Wife was the structural engineer (we’ve had to rebuild 3 times) and the kids were in charge of naming. This is Fort Cuddlefun. https://t.co/qBfx2saBMD
2,"'Living with Covid-19' in Singapore: 6 days of home isolation, multiple ARTs and a care package from MP https://t.co/X9t2BqPXhJ https://t.co/lHGkM1dqmt"
3,"@MiddleRad But it's okay your own government is not accountable for their own actions. LOL! Sure, have fun with COVID, gun violence and homeless people living in the streets."
4,"Budget 2022: Singaporeans to get help with cost of living, more Covid-19 support https://t.co/3yYzBqSHES https://t.co/fJbV57aDI9"
5,"Singapore has been positioning to reopen, but it has resisted ""big bang"" reopenings. But likewise, ""Covid Zero"" is done as well.

The omicron wave won't last forever. Singapore now has a chance to define for itself what ""living with Covid"" will really mean."
6,"Singapore's definition of ""living with covid"" is actually just ""working with covid"" lah. Hahaha your social life still suspended until further notice ok guys"
7,"This is the new norm. There’s no zero covid agenda here, this is living with covid and moving forward. Takes some getting use to but I get it. Almost 99% with no or mild symptoms. 85% fully vaccinated population. https://t.co/xNi6o2vjjL"
8,"From zero tolerance to living with the Covid-19 virus, which has gone through a process called “a common agreement for the acceptance of fair risks.” If you can’t beat them, join them!"
9,Singapore is shifting from zero covid to living with covid strategy...
10,"@geledraak @koryoinleiden Singapore preparing road map for living with Covid-19 – The Straits Times
https://t.co/KDE30L4SrO"
11,Singapore’s return to tighter rules raises the question: what does living with Covid-19 really mean? – SCMP https://t.co/ioexF3EbFz
12,Singapore’s ‘living with Covid-19’ road map suffers setback as restrictions return – SCMP https://t.co/yZ7JEgnNvJ
13,Honestly not bothered with this second CB. Comparing covid lockdowns to always living in fear that you can be literally be bombed anytime because your neighbours think you don’t belong there and need to move out. #freepalastine #PrayForPalestine #IStandWithPalestine 🇵🇸
14,"@DecentralisedS @TheCraael He asked for a place with good living standard and supportive of Bitcoin, with a better handling of Covid.

Singapore is a good fit for that criteria.

Then you wanted to derail things with some lies that you can’t leave the country; and when proven wrong, shouted “dictatorship!”"
15,Back in office with a healthier self and all them maciks be like is it you got bf so you slim down? PLS THERES COVID OUT THERE IM JUST LIVING MY OTAKU BEST LIFE
16,"Bear with #LivingwithCovid measures: #Tahan, #tahan for Singapore https://t.co/oSOZPAMP0k"
17,@Clear_Liqueur The truth is we should be more worried of catching covid in our very home if we r living with others who have to work outside or are out most of the time.
18,"National Development Minister Lawrence Wong‘s speech highlights that Singapore has to prepare to live with COVID-19 for the long term. A need for the society to be open-minded to finding new ways of living and working, including changes to how companies deliver their products."
19,"Living with COVID-19 for the long haul... https://t.co/EIiCgvVsAL via @YouTube

🇸🇬"
20,everyone needs to learn how to live with covid-19 and needs to move on. new norm is the new way of living now. Stay safe ✨
