,Text
0,"@stickeater Damn, Vaccine Valley's gonna put the scientists at Pfizer, Moderna, etc., etc., out of a job."
1,Moderna Inc (MRNA) CEO Stephane Bancel Sold $5.4 million of Shares https://t.co/AHXB9P0JcD
2,@more_unicorns_g AIDS isn’t everyone’s cup of tea. There’s bound to be many people who get upset with Moderna.
3,"[News] 💉#Singapore study finds mixing for #COVID19 booster jab more effective in fending off infection, severe disease. The study also found that Moderna-Moderna-Pfizer combo gives 86 per cent more protection than two doses of Moderna  https://t.co/hU4yqi1KL9 @todayonlinesg"
4,phew nasib baik booster amek moderna https://t.co/dgwphvFYMa
5,Moderna's Coronavirus Vaccine Just Started Its Phase 3 Trial. Here's How It Will Work. #Entrepreneur #business https://t.co/B1hc7rkv3S
6,"⚠️The CEO of Moderna deleted his Twitter account 

Dumped $400M worth of MRNA stock! 

A former Blackrock hedge fund manager started digging into death statistics from insurance companies and funeral homes

Also accusing Pfizer and Moderna of fraud in the vaccine clinical trials"
7,"Moderna launches clinical trial for HIV vaccine that uses mRNA technology⚠️

https://t.co/yMArUkOMEh"
8,@DKIJakarta : Min tolong info lokasi vaksin booster moderna di Jakarta ding
9,@RealCarlVernon The bad news is that everyone has AIDS but the good news is that Moderna has lots of needles to keep you alive. For a while anyway.
10,just took the covid 19 moderna booster jab... i think the needle they used was less than an inch long... rlly shows how just a bit can do the job... imagine if they used a 6 inch needle that would be too long and unnecessary... i think anything longer than 2 inch here is too much
11,@Chayada_0306 ooo moderna or pfizer?
12,@sir_cyr @papouille999 Ah ben j’étais pas loin c’est moderna https://t.co/6wwDkF4lZB
13,@ShortSkwiz Didn’t Pfizer and Moderna CEOs come from FDA?
14,@vwamru Vaksin 2x pfizer + booster moderna
15,"Brasil 2022: Arte Moderna, Independência, Refundação e Identidade Cultural https://t.co/N3E7WZhJeC"
16,@tenoq Moderna not in bro
17,"The study was conducted in the US, after pharmaceutical company @moderna_tx started trials for an Omicron-specific booster. https://t.co/exNMdSI81S"
18,booster done. sinovac and now phizer. next time moderna naman 🤣 #boosted #phizer #sinovac https://t.co/gjMsXzM9dB
19,Bachata Moderna Dance @ Singapore / Singapura / 新加坡 / சிங்கப்பூர் https://t.co/SLhrHQrB4m
20,@Daeng_ruwet @yunartowijaya Saya Moderna Vaksin ke dua demam .. booster Pfizer juga demam hari pertama .
21,Booster time 💉  first dengan second moderna. Booster dpt pfizer 🥵 jadi zombie tak tahu la hm https://t.co/LREgbYRgsz
22,"Also, got the Moderna Shot at Woodlands. I got my shot 5 mins of stepping into the premises. Well done, Raffles Hospital!"
23,"To Kaki Bukit unload them all
Next drive to TOA Payoh Jackson building deliver new year gift
Which is 2 carton beer and 
Snacks bought last time but place in car
Next drive to Radin Mas CC
At telok blangah crescent
Walk in to Moderna 
But the staff is unsure 
In end one"
24,"Aparentemente, a Moderna é a mais eficaz entre as vacinas contra o Covid19

https://t.co/90dqIFoElX"
25,"I am 2 months 7 days old , in terms of long covid.

That shall be new age. 

I cannot tell how much inside me is damaged as I only have two shot Moderna.

Symptoms of improved but from what studies show. The damage is real and permanent.

So I am sucking my thumb now! Damn."
26,"COVID-flu joint booster jab possible late 2023: Moderna 

 https://t.co/Ivv7lSiZEL"
27,"🙏Biasakan membaca 
Info Vaksin Batam 

______

NB :
• Bawah Foto Copy KTP / KK
• Pena Hitam

_______
#infokotabatam #infobatam #batamnews #vaksin #AstraZeneca #sinovac #moderna
#vaksinbatam #batam #Booster https://t.co/F9uDJrX3a0"
28,"🙏Biasakan membaca 
Info Vaksin Batam 
Silakan datang ke lokasi
______

NB :
• Bawah Foto Copy KTP / KK
• Pena Hitam

_______
#infokotabatam #infobatam #batamnews #vaksin #AstraZeneca #sinovac #moderna
#vaksinbatam #batam https://t.co/xMpYQL3DMl"
29,I had my Booster (Moderna) this morning on a #Pinkwednesday #kakampinkwednesday #kakampinkSg #IGotMyBooster #vaccinated Thank you 🇸🇬..💗💗💗 https://t.co/gQtFN5ws3Y
30,"Moderna, a mais eficaz em Singapura

https://t.co/daYrX0CVaI"
31,Coming for Moderna booster shot. 전에 모더나는 한가했는데 부스터샷은 엄청 사람 많네… 근데 사람들 훅 빠지는거 보면 역시 관리의 싱가폴. ㅋㅋ 별일없이 지나가길 ..  #TampinesEastCC #boostershot #Singapore #moderna @ Tampines East C C https://t.co/8phzns7v2w
32,Actually korang kena bersyukur Malaysia tak suruh ambik vaccine Moderna tu.
33,"Booster dose? Check. 3 doses of Moderna #Covid19 vaccine.

After 2 initial doses of Moderna CoV vaccine, it was the time for a booster dose. Also the same candidate. I'm protected! Get yours now
#igotmyshot https://t.co/Ew56mBJXTM"
34,"Received my booster jab yesterday, and this time, I’d decided to take the Pfizer-BioNTech COMIRNATY vaccine instead, after having some unpleasant reactions previously with the Moderna jab.
.
So far, aside from a slight pain at the injection point, I’m feeling fine.

#Booster https://t.co/Hcrdt8iZdF"
35,@anarubyjane Moderna for the 2 doses and for the booster. I think its just my body’s reaction to vaccines.
36,Why so many Pfizer tho ? I need Moderna
37,Got my booster appointment mid this month. Opted for Moderna for cross vaxxing with my previous Pfizer. https://t.co/9oCr7Fjhis
38,What if Moderna 3x? https://t.co/UKixqPcq4h
39,"I took Moderna this time, 2 earlier ones was Pfizer. What i feel the difference based on my opinion. It kinda stronger lioa. After the vaccine i feel hot sensation on jabs area. I have this annoying instinct of wanting the vaccine to be removed.."
40,"Maaari nang mag-walk-in para sa third jab sa mga vaccination center na nagbibigay ng Moderna vaccine. Para ito sa mga edad 18 hanggang 59 na taon, at nakatapos na ng kanilang second shot limabg buwan na ang nakakaraan.

Infographics: MOH Facebook page.

#RatedJ https://t.co/6UKRQXDbdq"
41,"Booster C19: check!

2x Moderna, 1x Pfizer"
42,"Post vaccine, dolok steady jak 2 shot pfizer. Moderna tok nang demam"
