,Text
0,Pfizer drops India vaccine application after regulator seeks local trial | Article [AMP] | Reuters https://t.co/8oLhBX87v8
1,"@stickeater Damn, Vaccine Valley's gonna put the scientists at Pfizer, Moderna, etc., etc., out of a job."
2,"@GVDBossche wow...the pfizer CEO says ""We didn't study the REAL virus, but a virus that we BUILT IN THE LAB."" I guess the real virus was never isolated after all. https://t.co/EJ4aqDvvyy"
3,"S'PORE RECEIVES FIRST BATCH OF PFIZER'S ""PAXLOVID"" COVID-19 PILLS
#Singapore #umbrage #spore #uncensored
https://t.co/Tq1WmrnI4J"
4,"சிங்கப்பூர் வந்தடைந்த Paxlovid மாத்திரைகள்!

#SingaporeTamilNews | #Pfizer | #Paxlovid | #Singapore https://t.co/toZ182bGcC"
5,First batch of Pfizer's antiviral pill to treat Covid-19 arrives in S'pore: Ong Ye Kung https://t.co/FiALi9a0Iq https://t.co/qYoPjghzkk
6,"[News] 💉#Singapore study finds mixing for #COVID19 booster jab more effective in fending off infection, severe disease. The study also found that Moderna-Moderna-Pfizer combo gives 86 per cent more protection than two doses of Moderna  https://t.co/hU4yqi1KL9 @todayonlinesg"
7,First batch of Pfizer's Paxlovid pill for Covid-19 treatment arrives in Singapore https://t.co/aNtADmUV82
8,"Pfizer's Paxlovid pill arrives in Singapore, will be prioritised for Covid-19 patients at higher risk of severe illness https://t.co/kHZ7CdFqcR https://t.co/jBbe54tp3b"
9,First batch of Pfizer's Paxlovid pill for Covid-19 treatment arrives in S'pore - The Straits Times https://t.co/0Oga49cs1f
10,Singapore receives its first batch of Pfizer’s Paxlovid pill for COVID-19 treatment - CNA https://t.co/Z3iRpY7dzh
11,Singapore receives its first batch of Pfizer’s Paxlovid pill for COVID-19 treatment https://t.co/XwUjvLvkF7
12,First batch of Pfizer's Paxlovid pill for Covid-19 treatment arrives in S'pore https://t.co/owZE98K7JI
13,Singapore receives its first batch of Pfizer’s Paxlovid pill for COVID-19 treatment https://t.co/EIxN8RzKhS https://t.co/ig5QkUWF1u
14,"China approves use of Pfizer's COVID-19 drug Paxlovid 

 https://t.co/GVGGN9X3gC"
15,"⚠️The CEO of Moderna deleted his Twitter account 

Dumped $400M worth of MRNA stock! 

A former Blackrock hedge fund manager started digging into death statistics from insurance companies and funeral homes

Also accusing Pfizer and Moderna of fraud in the vaccine clinical trials"
16,#China hat eine von Pfizer hergestellte Pille gegen Corona zugelassen - das erste ausländische Medikament im Kampf gegen COViD-19 im von der Außenwelt abgeschotteten Land https://t.co/w2SXxM4EPP
17,China approves use of Pfizer's COVID-19 drug Paxlovid  https://t.co/cJ3qJNivjw  null https://t.co/D0YU6WnBFw
18,JUST IN: China granted emergency approval for Pfizer’s Covid-19 pill in a promising sign the country could open up further to foreign vaccines and treatments for the virus. #china #COVID19
19,China grants approval for Pfizer's antiviral Covid-19 pill https://t.co/dJ2VYWXyCO
20,China approves use of Pfizer's COVID-19 drug Paxlovid https://t.co/QuRtCJrqeM https://t.co/2t2Fcwb7gC
21,@nndzy_ Tiga tiga ada naa tapi kalau dtg petang biasa pfizer habis dlu… huhuhu
22,I am az-az-pfizer recipient anw🥶
23,Kemain sejuk lepas dapat booster ni. Angin kipas pun tak boleh kena. Laki sis pun tewas. Haritu dapat az okay lagi. Ni dia amik pfizer tidur jela 1-2 hari ni
24,@Lynnlaloy @ckindollah Pfizer. Sama je dgn vaccine
25,"So i got my booster jab today by walk in. Act i missed my appt last week as i didnt received any noti for that. 
AZ + pfizer + jjajang 😋 

Here is my english tweet after being corrected by wife few times. #kiasu 🤣 #lol https://t.co/HsLCf2rqvW"
26,Got pfizer for 3rd shot. After this nk jenama apa plak ea ? Mix and match
27,"📍PPV Persada📍
Siapa belum dapat vaccine appointment atau yang pernah postpone.. Boleh walk in je.. They have pfizer, sinovac &amp; Az!! Cepat siap🎉 https://t.co/s291G9cR5h"
28,@fanafoat Power ae takde sakit apa hahahah Aku sinovac.. pilih pfizer la gitu.. mak aku sinovac gak. Dia takut gak nk cucuk. Dos 3. Hahah mula2 ckp tak wajib jp g si kj ckp yg sinovac kena amek gak ..😒
29,@fanafoat Booster kau ape brand?😂 tmpat kerja aku majority sinovac.. so mmg majority pun dh amek booster. Aku ngndung aritu tak amek lagi.. ni skrg aku tgh nk pilih az ke pfizer hahaha takut la nk amek.. dh kena panggil smlm aku reject dulu ckp sakit. Hahah
30,By the way tiga-tiga dalam gambar ni clan pfizer dari awal sampai akhir. 😌
