,Text
0,Vietnam is planning a full-scale reopening of its borders to vaccinated international tourists on 31st March 2022. https://t.co/zVcFrweiFf
1,"Ben &amp; Jerry are right:
-The US should withdraw all of its T-14 Армата tanks, Искандер rocket batteries, and Sukhoi Сухой Су-35 fighter-jets from American territory near the borders of #Ukraine. https://t.co/KJu8fb2hpM"
2,Australian PM Scott Morrison signals reopening borders to tourists 'not far away' https://t.co/fLz4vUCqVT https://t.co/0ar1dqxTPF
3,Australia's PM signals reopening borders to tourists 'not far away' https://t.co/IKxMDBfRXQ
4,"This one represents a big win for women and it's *especially* a big win for creepy blind women who live in caves who frequently cross the borders between the worlds. Can I get an amen? 🙌

https://t.co/43F9sziyK6
#books #fantasy #ninja"
5,"@Jizzle9011 @RooterDouglas @Ken36143959 @Shaunak2105 @WaitingForPerot No it doesn’t. If you stop the virus from coming into your borders, then maybe you could argue that you don’t need vaccines. But that obviously didn’t happen throughout the world and lots of people caught covid and died."
6,Japan’s closed borders stall business plans for Bosch and Siemens https://t.co/tiWBH5An41
7,"Happy to read about Changi Airport Group (CAG)’s new initiatives to support passengers with invisible disabilities, such as autism spectrum disorder, Down syndrome, and dementia. As we gradually reopen borders, many of us may have to re-familiarise ourselves with the processes.🇸🇬 https://t.co/IR3OHUr5qr"
8,China’s ongoing fear+closed borders and Russia’s death rate show the tangible consequence of vaccine nationalism.
9,Borders reopen gradually in 'Fortress Australia' but travellers remain wary https://t.co/Vinp8OXVVZ
10,"M'SIA'S MOH TO RECOMMEND LIFTING COVID RESTRICTIONS &amp; OPEN BORDERS
#Singapore #umbrage #spore #uncensored
https://t.co/VTJDnJxpSh"
11,M'sia's health ministry close to recommending opening borders &amp; lifting other Covid restrictions https://t.co/y946h3YSnZ https://t.co/a3nUrcHJMK
12,"@StrandedOutJPN @konotarogomame @emlies16 @swiftrocky Hopefully no new Covid variant before March. Otherwise, JP will permanently close it's borders to the rest of the world."
13,"When New Zealand's borders open | Unite against COVID-19 https://t.co/mGnjbhPi9F 

#dreamer #goals #GoalSetting #NewZealand"
14,why do countries have borders anyway?
15,"When i was 15, i did a calligraphy piece on William Blake’s “The Tyger” for school. The teacher looked at it and proceeded to rip my work in half in front of the class. Something about doing the borders all wrong. 🤷🏽‍♂️

Blake is still sublime, though. https://t.co/7AiUe13ntf"
16,"@joeyat23 @thenewslens That’s precisely the point. Lots of things aren’t in the ASEAN charter. So what happens when refugees &amp; fighting spill over borders, when crime &amp; drugs spillover borders? What happens when financial transactions enable weapons purchases that escalate the situation further?"
17,Somedays I wish I was a bird. No control. No borders. Just fly 🕊 https://t.co/JfYxI7D1ig
18,Interesting visualization of international trade relationships undercut by database erasure of major trading power Taiwan. Yet another example of how the PRC's irredentist campaigns performatively bend the code-space of borders. For a theory of this see  https://t.co/YyMjWHUBpl https://t.co/sC4Ir3fC8c
19,General : MOH to recommend reopening of borders when booster vaccination rate improves - Khairy https://t.co/DbHduXtDld
20,"Learnt something new w this story! Spoke to a couple of Ukrainians living in Singapore on their thoughts on the Russian military troop build-up on their borders. While many are anxious about a possible invasion, they’re hopeful that a war can be averted.  https://t.co/rgFKmiEVTs"
21,@veezyvangogh @projectPXN The Watchers are catching up watching the Guardians turn to washers. the Guardians attacks the borders like a couple of rats easily shot down by Watchers archers eating grenades from the bombers.  Guardians will never be the champions. Watchers W Guardians L @Feiderella  @hxence
22,"Now that borders have reopened and travel restrictions are slowly lifted, more and more people can look forward to travelling to Singapore be it for work, travel or studies. Find out what it means for Work Pass holders when you tap on the link below! ⏬
https://t.co/sOA7MhCkRx"
23,New Zealand to ease Covid borders controls in phases from late February https://t.co/hAD5Ip98eW https://t.co/bylY0nCA5F
24,"#China Fortifies Its Borders With a ‘Southern Great Wall,’ Citing Covid-19 https://t.co/waSWMQLoNm"
25,New Zealand to reopen borders in phases from end-Feb https://t.co/8mIbsDbJfn
26,"@JesperKjaer1 @rok3shox @NotTimothyMeske @MichaelPSenger As was discussed in a separate thread, I think the claim was different (i.e closed borders have limited utility, but are very costly for the economy)."
27,"@veezyvangogh @projectPXN @snowdrop_cy @hybycb @SheronUwU 

On the borders of the realm
The watchers lie in the dark
Within our walls
We are safe playing in the park 
But when the watchers come close
Guardians stand strong
Let's defend our lands
Till the end of dawn"
28,"@joeyat23 @thenewslens So this is where the conundrum lies: should internal affairs spill across borders, whose problem is it then?"
29,"PM Lee ‘cautiously optimistic’ about 2022 as Singapore progressively reopens borders, resumes travel 

 https://t.co/iU3IVyp9GS"
30,Tak sabarnyaaa nak tunggu borders bukak ni! https://t.co/xC3M0GWR99
31,Retweet je. Mane tau borders da bukak lagi. 🥱🥱🥱 https://t.co/rKbWvIh07a
32,Just posted a photo @ Books Beyond Borders https://t.co/7phuUhq4C2
33,It's funny the misconception that foreign influence is necessary to radicalisation... You need only look at what occurs within borders to see how people have ended up frustrated...
34,"Hawker! Hawker! bring rich approaches &amp; diverse intercultural perspectives from across international borders &amp; disciplines to delve into then &amp; now of Singapore’s multifaceted hawker culture, imagine future of this cherished “Intangible Cultural Heritage of Humanity.”

#SGArtWeek https://t.co/H5uFSqYApT"
35,"@atticusfoo Hahaha. Visiting twice in Japan for 2019 is worth. 

Since we don't know when borders are gonna open up properly man. I don't see that vision in 2022 😂"
36,they didn’t close our borders from african region??? https://t.co/M8Pgb95Fqb
37,"Indeed we live in a weird world. I’m also double vaccinated, in a country where over 85% of population is vaccinated… but the government doesn’t allow to open borders … and on top I have to be tested every time I go to work …🤦🏻‍♂️ https://t.co/BNXzq8doQw"
