,Text
0,"@ChannelNewsAsia If daily cases up thousands or 10K+, become community immunity to this common flu, maybe time to consider relax more measures, masks up to individuals, no need social distance, no need 50% work in office, and others."
1,"@xdoubleq I would say the word community been misused in this space. Spamming “LFG” or “wagmi” seems like the case for most proj now. the chat might be wilding, but there’s no substance. Learning from each other, having meaningful conversations, that’s what I’m in for! @LaidBackLlamas https://t.co/k1q1e5tE0g"
2,@sandhyaravishan We are talking BIG about one school girl involved in forcible conversion. The village is 20+ Km from Thanjavur town. I take a case of not one but group of Harijan community who got converted to Christianity some 4-5 decades ago and the place is not even 2 Km from Old bus Stnd(1/
3,"@JacobNdelaRosa @cryptodramz 1/n
There seems to be a lot of misconception in the community who thinks multsig smart contracts will make a DAO more trust worthy. Let me explain why it doesn't change a thing. Here's the flow in case you're unaware
1. An unsigned transaction is sent out to X number of approvals"
4,Done. Wonderful to see wide ranging support from people generously giving whatever they can. With community support this could become a defining case for the future. My heart goes out to those who have been unsuccessful due to financial means. https://t.co/GFceY8Y7aH
5,"🔼 4,322 Omicron (9/01). 
      - (308 are seniors)
🔼 288,125 total cases.
🔼 882; new cases.
      - (+36, 11/01)
🔼 486 community cases.
🔽 396 imported cases.
🔼 51.1% ICU utilisation
🔼 839 deaths.(1)
🔼 3rd 💉, 48%.
🔼 R0 1.60.

https://t.co/M1FB0l3zJF"
6,"🔼 4,322 Omicron (9/01). 
      - (308 are seniors)
🔼 287,243 total cases.
🔼 846; new cases.
      - (+96, 9/01)
🔼 446 community cases.
🔽 400 imported cases.
🔼 51.1% ICU utilisation
🔼 838 deaths.(-)
🔼 3rd 💉, 48%.
🔼 R0 1.71.

https://t.co/BFycn0cnQR"
7,"🔼 2,252 Omicron (5/01). 
      - (18% - all cases)
🔼 285,647 total cases.
🔼 845 new cases.
      - (+34, 8/01)
🔼 242 community cases.
🔼 16 migrant workers.
🔼 587 imported cases.
🔽 46.3% ICU utilisation
🔼 838 deaths.(+1)
🔼 3rd 💉, 46%.
🔼 R0 1.80.

https://t.co/2xAsqaTYgS"
8,"🔼 2,252 Omicron (5/01). 
      - (18% of all cases)
🔼 284,802 total cases.
🔼 811 new cases.
      - (+34, 7/01)
🔼 253 community cases.
🔼 14 migrant workers.
🔼 544 imported cases.
🔽 43.4% ICU utilisation
⏺️ 837 deaths.(-)
🔼 3rd 💉, 45%.
🔼 R0 1.73.

https://t.co/1mBlshqkDh"
9,"Singapore covid cases is finally ready to go up. Should have seen this coming as it has been simmering all these while.

The only thing is how big will this wave be ?? 

Omicron Doubling is finally showing as it jumps from about 20 to 90 now for local community Omicron spread"
10,"🔼 546 Omicron (25/12). 
      - (103 locals, 443 imports)
🔼 278,409 total cases.
🔼 365 new cases.
      - (+85, 27/12)
🔼 191 community cases.
🔽 1 migrant workers.
🔼 173 imported cases.
🔽 49.1% ICU 
⏹️ 825 deaths.(-)
🔼 3rd 💉, 38%.
🔼 R0 0.67.

https://t.co/ZvnZhAczbP"
11,"🔼 546 Omicron (25/12). 
      - (103 locals, 443 imports)
🔼 278,044 total cases.
🔼 280 new cases.
      - (+71, 26/12)
🔼 141 community cases.
🔼 5 migrant workers.
🔼 134 imported cases.
🔼 49.3% ICU 
🔼 825 deaths. (+3)
🔼 3rd 💉, 37%.
🔼 R0 0.62.

https://t.co/Cl6lyXRyQ0"
12,"Omicron cases to recover at home, community facilities as Singapore eases approach to managing COVID-19 variant 

 https://t.co/UgPYJy0v7s"
13,"🔼 546 Omicron (25/12). 
      - (103 locals, 443 imports)
🔼 277,764 total cases.
🔽 209 new cases.
      - (-39, 25/12)
🔽 105 community cases.
🔽 4 migrant workers.
🔼 100 imported cases.
🔼 50.1% ICU 
🔽 822 deaths. (+1)
🔼 3rd 💉, 36%.
🔼 R0 0.58.

https://t.co/WB0YogUqr1"
14,"Omicron cases to recover at home, community facilities as Singapore eases approach to managing COVID-19 variant 

 https://t.co/fsiB4hmpzB"
15,"Jialat. Omicron has come up, as expected, Liao in Singapore. 79 cases local dunno is to date or today.

Plus import dunno is got Released into community or not.

Import is 300 plus Omicron, dunno is to date or today."
16,"🔼 71 Omicron (20/12). 
      - (6 locals, 65 import)
🔼 277,042 total cases.
🔽 322 new cases.
      - (-13, 22/12)
🔽 226 community cases.
🔽 7 migrant workers.
🔼 89 imported cases.
🔽 50% ICU Use.
🔼 820 deaths. (+2)
🔼 3rd 💉, 34%.
🔽 R0 0.57.

https://t.co/ZeP7O5J7re"
17,"🔼 71 Omicron (20/12). 
      - (6 locals, 65 import)
🔼 276,105 total cases.
🔽 195 new cases.
      - (-60, 19/12)
🔽 141 community cases.
🔽 5 migrant workers.
🔼 49 imported cases.
🔽 52.8% ICU Use.
🔼 815 deaths. (+2)
🔼 3rd 💉, 34%.
🔽 R0 0.56.

https://t.co/WIFT6ymSRo"
18,"🔼 24 Omicron (16/12). 
🔼 274,972 total cases.
🔽 355 new cases.
      - (-119, 16/12)
🔽 315 community cases.
🔼 9 migrant workers.
🔽 31 imported cases.
🔽 45.7% ICU Utilistn
🔼 808 deaths. (+1)
🔼 96% pops fully vac.
🔼 3rd 💉, 32%.
🔽 R0 - 0.60.

https://t.co/II5kPWkCmD"
19,"🔼 16 Omicron (14/12). 
🔼 274,617 total cases.
🔼 474 new cases.
      - (+32, 14/12)
🔼 442 community cases.
🔼 10 migrant workers.
🔽 22 imported cases.
🔽 49.9% ICU Utilistn  
🔽 807 deaths. (+3)
🔼 87% pop s fully vac.
🔼 3rd 💉, 31%.
🔽 R0 - 0.62.

https://t.co/FQN3btQU0e"
20,"🔼 16 Omicron (14/12). 
🔼 274,143 total cases.
🔼 442 new cases.
      - (+103, 13/12)
🔼 401 community cases.
🔼 8 migrant workers.
🔼 33 imported cases.
🔼 50.8% ICU Utilistn
🔼 804 deaths. (+6)
🔼 87% pop s fully vac.
🔼 3rd 💉, 31%.
🔽 R0 - 0.60.

https://t.co/giN1ryPp4O"
21,"🔼 16 Omicron (14/12). 
🔼 273,701 total cases.
🔽 339 new cases.
      - (-31, 12/12)
🔽 318 community cases.
🔼 6 migrant workers.
🔼 15 imported cases.
🔽 46.9% ICU Utilistn
🔽 798 deaths. (+4)
🔼 87% pop s fully vac.
🔼 3rd 💉, 31%.
🔽 R0 - 0.60.

https://t.co/GYyx64nKgQ"
22,"🔼 5 Omicron (+3, 10/12). 
🔼 273,701 total cases.
🔽 339 new cases.
      - (-31, 12/12)
🔽 318 community cases.
🔼 6 migrant workers.
🔼 15 imported cases.
🔽 46.9% ICU Utilistn
🔽 798 deaths. (+4)
🔼 87% pop s fully vac.
🔼 3rd 💉, 31%.
🔽 R0 - 0.60.

https://t.co/GYyx64nKgQ"
23,"🔼 5 Omicron (+3, 10/12). 
🔼 273,362 total cases.
🔽 370 new cases.
      - (-189, 11/12)
🔽 355 community cases.
🔽 4 migrant workers.
🔽 11 imported cases.
🔽 46.9% ICU Utilistn
🔽 794 deaths. (+5)
🔼 87% pop s fully vac.
🔼 3rd 💉, 30%.
🔽 R0 - 0.61.

https://t.co/jbGfZUi70x"
