,Text
0,Tf bodo ni auntie tk kasi aku naik lift pasal dia tknk contact tracing
1,"@tasha_en And that’s polite “who the fuck are you” interaction.

The common BS is complete fucking strangers trying to interrogate your family lineage when you’re just trying to register Contact Tracing with loved one going to doc appt."
2,"""German police under fire for misuse of COVID Contact Tracing App""

https://t.co/FRD9pI5l0r"
3,"Malaysia’s COVID-19 app MySejahtera introduces Bluetooth contact tracing feature  

 https://t.co/ayiaTDXL4e"
4,"Will be done when Omicron first appear

But if it gets out of hand, contact tracing becomes less and less motivating"
5,"19-21 went to NYC anime festival 
22th has symptom
Vaccinated , mild symptom , have recovered
I wonder how infectious is Omicron 3 days before symptom
Anyway , cannot really look at severity issue cos it's one data
It's more at seeing soon how infectious is he 
Contact tracing https://t.co/TLfgh4x4eL"
6,"Couple appeal against conviction, jail sentence for obstructing Covid-19 contact tracing efforts https://t.co/xJh7lEKWEV via @TODAYonline"
7,"@lovelyheiferdev @Your_Pal_Billy Yes, otters are very popular and of plenty here, to a point where people loved spotting otters bathing or swimming around variois parks and rivers.

It's gotten to a point where they also featured in our contact tracing app recently: https://t.co/5TtXnuCJfT"
8,"Developer of Malaysia’s COVID-19 contact tracing app apologises for wrongly giving some users quarantine status  

 https://t.co/SyJGLOaIhG"
9,"Hong Kong's Covid-19 contact tracing app not the most important tool, say experts https://t.co/KYek237ClV"
10,"Couple from China convicted of obstructing COVID-19 contact tracing in Singapore 

 https://t.co/1O5EjswRQl"
11,"@Khairykj @plustrafik Vaccine+Vacations-Virus=Victory.

Brilliant but containment is; 1. Contact tracing, Isolation. 2. Early detection, prevention 3. Vaccine, Booster Jab. 4. Early Treatment eg; Merck Anti-Viral, Regeneron."
12,@imokman Technology of contact tracing system able to warn user the moment he/she came into contact of index case. @Khairykj @KKMPutrajaya ??
13,"@Khairykj @MKNJPM 1. Kerajaan Malaysia perlu menaiktaraf @my_sejahtera untuk berfungsi sebgi contact-tracing apps sepenuhnye supaya sistem check-in/out boleh di laksanakan.

2. Token perlu di sediakan secara percuma sekiranya pengguna tidak menggunakan telefon bimbit. https://t.co/BS1hbPqzMd"
14,Checking-out and walking toward Bugis MRT Station. #contacttracing https://t.co/Bw5oGwQ4gu
15,"The covid will attack some how somewhere.

U look at Taiwan. They cannot open up much. They do contact tracing aggressive .

Currently the number they manage to suppress it.

But they are exception. They have had hundred before too before the close economy few months ago."
16,"Awalnya 2 siswa (kakak beradik), hasil contact tracing keluarga. Lalu 8 siswa hasil contact tracing interaksi di sekolah dari 2 siswa itu.

Kalau contact tracingnya tidak secepat ini, entah bisa menyebar ke berapa orang tuh.

Pas libur seminggu, minggu depan sekolah online dulu. https://t.co/gMVB7CeniL"
17,"Meski sekitar 90% populasi usia &gt;12 tahun di Singapura sudah divaksinasi, dan di mana-mana termasuk di sekolah disiplin protokol kesehatan, resiko penularan tetap ada.

Di sekolah anak saya baru diumumkan ada 8 siswa yang positif, terdeteksi dan diisolasi dengan contact tracing. https://t.co/CdJfEuSfSX"
18,"In Singapore we are required to scan for Safe Entry for contact tracing into any premises. So is Hoopa, to make Pokerdex entry🤣 https://t.co/g6SUy5ldME"
19,@khirariffin @Khairykj @my_sejahtera @Selangkah_my Kadar kematian di Singapura gagal di bendung tanpa penggunaan contact-tracing apps yg sgt efektif. Ia memerlukan jumlah kakitgn yg ramai sekiranya ia mahu di lakukan di Malaysia dan hanya teknologi mampu mengekang keganasan wabak Covid-19. https://t.co/TLBcnktN9l
20,"@khirariffin @Khairykj Secara jujur, dia perlu lbh dari apa yg boleh di lihat dari mata kasar. Tambahan bajet utk menaiktaraf @my_sejahtera sepatutnya ADA utk membolehkan ia berfungsi sebgi contact-tracing apps yg berkesan dan boleh dipadankan dgn @Selangkah_my. CTA adalah industri yg luas fungsinya."
21,"Astro - Our friendly guide at @Salesforce Singapore, keeping everyone safe with the #SafeEntry (National check-in system to facilitate Covid-19 contact tracing) https://t.co/qUXCt56jD0"
22,"@malaysiakini Unless @KKMPutrajaya can contact-tracing data on participants + post-demo PCR Test.

Otherwise, do not speculate. @DGHisham 

How @SyedSaddiq show us post demo PCR Test result?

#RM59"
23,"@yeobeeyin @Hasni_Johor @KKMPutrajaya @DGHisham #FTTIS?

The use of TraceTogether apps is mandatory in Singapore. #checkin #checkout #contacttracing https://t.co/Pcf12f9zfs"
24,"Good Morning Everyone. 
#contacttracing #Singapore https://t.co/bqJydKfEe8"
25,"@Haziq_Escobar 10% of total pop sehingga herd immunity di capai. Cuba kira.

Ia krn negara tidak mempunyai Quarantine Facilities yg cukup.

Ia krn @my_sejahtera @ @Selangkah_my bukan contact tracing apps yg blh mengesan pengguna dan info pengguna sekiranya mrk close-contact."
26,"@Peter_Fitz No, this was a great idea, Australia used Singapore’s source code to build the app, at huge expense, but then stopped development.

Up here the app has evolved to include a national contact tracing service, integration with identity cards and now used to show vaccination status."
27,suspected dorm cases…. Busy with contact tracing again. 😓😓
28,"@khairulabuzaman SG Buloh Hospital fungsi khas. Rawatan Covid perlu fasiliti spt MAEPS.

To reduce hospitalisation, prevention must be in place. SOP. CMO. No cross-border travel etc. Unfortunately contact-tracing which is important tool to monitor close contact infection never put to use."
29,"@luqmannyamiin @SyedSaddiq @KKMPutrajaya He has a role as MP! Let's see his options.

1. Contact-tracing. Prolly not. Huge investment to upgrade both @my_sejahtera &amp; @Selangkah_my +  gateway system for https://t.co/stVMC6p8pS.

2. Rapid Test kit. He could works with NGO s to provide regular testing for his constituency. https://t.co/YSq34ogEUf"
30,Is It Safe To Enter? #contacttracing #safeentry #creativeart #creativephotography #conceptualart #qrcode https://t.co/wOhPWHGXgN
31,@fakewaz It’s a mandatory contact tracing app you need to go anywhere on this island (Check in to locations and tracks all Bluetooth signals around you). It’s linked to your government record and therefore also to your vaccination details…
32,"The amazing thing about Singapore contact tracing is that it is fast! 

What we want is a ringfence that works. That managed to fish out the positive cases..

Closing individual places fast people are shocked.

Then close whole country all cannot dine in is not even more blunt?!"
33,"Whether govt keep covid patient cases as more confidential or less is an obvious pros and cons issue.

If u are reasoning Nazi who said that

Confidential information is right.

Or

Share all contact tracing info to public is right.

You are too simpleton.
It's a weighing issue"
34,"Today cases got dropped.

Really a result of fast testing and contact tracing despite patron high chance of evading govt ..

Once we capture bulk of KTV people through cajoling them and telling them it's confidential.

Then rest of fires of cluster resulted from KTV we can do"
