,Text
0,Checking-out and walking toward Bugis MRT Station. #contacttracing https://t.co/Bw5oGwQ4gu
1,"@yeobeeyin @Hasni_Johor @KKMPutrajaya @DGHisham #FTTIS?

The use of TraceTogether apps is mandatory in Singapore. #checkin #checkout #contacttracing https://t.co/Pcf12f9zfs"
2,"Good Morning Everyone. 
#contacttracing #Singapore https://t.co/bqJydKfEe8"
3,Is It Safe To Enter? #contacttracing #safeentry #creativeart #creativephotography #conceptualart #qrcode https://t.co/wOhPWHGXgN
4,Thank God for TraceTogether App and Token 😬 #ContactTracing the Singaporean Style https://t.co/g3djIz29Sd
5,"#TraceTogether: How Singapore lost trust on #ContactTracing Privacy

https://t.co/DYaAb8biUI"
6,"Got my #tracetogethertoken today.
 get yours as soon as possible 
#covid19 #contacttracing #tracetogether #pandemic #singapore #covid_19 @ Singapore https://t.co/vD6SHm44w6"
7,"#ContactTracing apps promised big and didn’t deliver

https://t.co/TXVET00TAf"
8,"German #ContactTracing #FOSS app works without Google services

https://t.co/TO2Xg5YrMw"
9,"Why Aren't #ContactTracing Apps Working in US?

https://t.co/iQD6d69I19"
10,"Inside #TraceTogether Token for #ContactTracing

https://t.co/Kv9AEDa5mX"
11,"Norwegian #ContactTracing app is banned by the Data Protection Authority ... ""the government has decided to base a new app on the Google Apple Exposure Notification (GAEN) System""

https://t.co/zEVP1hEC7V"
12,"First SafeEntry, TraceTogether sold as voluntary. Now, supposedly 🇸🇬’Smart Nation’ supplements mandatory check-in data w/widespread, compulsory proximity data, to improves its #ContactTracing process. Wait until vaccine ready, it’ll surely be forced too. https://t.co/2UbyLjndok https://t.co/pQRtptUzim"
13,"""We describe the data transmitted to backend servers bythe #ContactTracing apps now deployed in Germany, Italy, Switzerland, Austria, Denmark, Spain, Poland, Latvia andIreland with a view to evaluating user privacy""...

https://t.co/YSV770384l"
14,"#ContactTracing gadget with #nRF52820...

https://t.co/m3I1Niz2dF"
15,"#ContactTracing and Social Distancing Wrist Band for $15... Based on #nRF52...

https://t.co/V799kbPkMd"
16,"Hello, Phase 2 of openings in #Singapore. 1st #pedicure in #Covid times — I had to check in with the #Singapore government #SafeEntry #contacttracing app, fill out a Declaration of Health, get temp checked+hands sanitized before they let me in. All very thorough &amp; efficient. 💪🇸🇬 https://t.co/yMAVPw7A25"
17,"Can't somebody plant a gadget with GPS + Bluetooth Beacon that will turn this #ContactTracing device into a Location Tracker? 🤔

https://t.co/fkwV74NU2h"
18,"Demo of Apple+Google #ContactTracing API on iPhone...

https://t.co/Yb6i12nwLD"
19,"Good explainer for Apple+Google #ContactTracing...

https://t.co/uTf9Ji4KTM"
