,Text
0,i dont knoe how many times do i have to go to campus forgetting it was hbl FML
1,"bile ade skolah, mls nk gi skolah. bila hbl, kau membuta. apelah naseb aku"
2,no cause how is it already the 5th week of school on this coming Monday????? it felt so fast… maybe it’s hbl that kills time but i hate hbl so much
3,am not looking forward to nxt week hbl bcs boring laaa
4,teepee so funny...... everything became hbl again bc after cny so the risk of getting covid is there but they want us to go back to school for a test on 初四... make it make sense
5,"waking up in the morning for hbl is not it bro, it just makes you want to sleep in."
6,"MOEから転校先のお知らせ来たので、明日は午後有給とって学校のハシゴタイム😇😇
息子氏通学45分が5分になります😂
あと2年小学校生活楽しんで欲しいからHBLとかもうならないでー"
7,"はよ！今週末遂に発表‼️
子供達がホリデーの間にワクチン済ませて、来年からHBLはしないでください🥺
小学生にオンラインレッスンは足りないです🥺学校も習い事も
感染恐れて通学させて無い親もいるし教育の場が危うい😖 https://t.co/YCW7JOwPAG"
8,spent the whole of my hbl school day doing my nails nd killing ants
9,1st day back to hbl and cikgu just cmi😭
10,"HBL extended until Oct 7.

https://t.co/9b9YInGPzz"
11,"息子氏、学校でLOA宣告を受けたので超絶楽しみのしてたホムパ延期😭
コロナ恨むしかないよね。しかも今から急いで息子氏のHBL用の宿題取りに行かんとならないし。子供たちが学校に行けないのが何よりも残酷すぎる😩😩😩
ローカルだけではなく、クレ校も昨日から通学停止らしい☹️"
12,HBL嫌だいやﾌﾙ(((  ･᷄ὢ･᷅ ｏ≡ｏ･᷄ὢ･᷅  )))ﾌﾙ
13,as much as i dont want the covid situation to worsen anymore in sg im not complaining if we go back to hbl... jst maybe do it after exams so i have a reason to NOT show up to sch
14,cb rabak sia all hbl i late knn
15,"da hbl, hbl je tkya nk kene patah balik sklh"
16,hbl making me more stupid
17,fuck hbl
18,hbl is horrible omg i just finished an entire sleeve of jaffa cakes
19,"@tayoyato_sg @rC7WrF4VSTSyg8G あれれっ？アプリのどこかに眠ってる？？

もーっ、何か受信するたびにドキドキしちゃう😣一歳のHBLってなんなんなんだーーーっ💦💦💦"
20,"昨日来た保育園からのメッセージ

私達はHBLの準備をしています。さらに規制が強化された際には対応よろしくお願いします。

的な内容…🥲ですよねーですです。そろそろなんですね。"
21,"I like how parents ask we all to focus during HBL, but when asked about their TV dramas , they don’t understand shit👀🥱 https://t.co/2erlzoucJl"
22,Son writing on chrome book for HBL instead of paper is the sign of changes in time.
23,NO HBL PLS missing sch a little bit 😫
24,@nsyafx bukan ke bfr hbl mmg da suke mandi lambat ? HAHAHAHAH
25,Layan hbl sambil kerja 😴😴
26,i like hbl but my phone no storage download shit
27,I HATE HBL! https://t.co/uDT8kKpTh0
28,cb hbl just tkle function sia legit...
29,hbl = rip my mental health 🤩
30,lol hbl then june hols?? my minds gna b fcked by thn 😄
31,whats worse than the fact we cant raya? HBL. fucking hBL .
32,"I hope people can put yourself in shoe of Tuition tutor and realize anyone, if u are not vigilant and aware enough of virus,

 Could be contributing to 18 cases cluster cutting across many schools and converting to HBL since u were detected around 10 May and now is 17 May."
33,need to restock my canvas before hbl 🤠
34,N’S HOW I CNNT DO HBL https://t.co/U28SEukr8R
35,tf HBL fr all pri &amp; sec schl frm 19 may
36,"学校の子どもを預かる役割の重要性と、HBL(在宅学習)の大変さを改めて感じるシンガポールの発表でした。日本も学校を閉めるってのはなるべく避けてるし。でも、これ以上拡がったら閉めるだろうな。

https://t.co/2K8dkJOcXo"
37,bruh i cant with hbl pls i wanna go to school
38,NO DW HBL PLS TKNK FAIL 😭😭 https://t.co/6Ft4JIIP9F
39,Cb lah hbl pulak
40,HBL timetable are such long hours man..🙃
41,"back to hbl pls,, need my online diploma"
42,"i got a feeling we gon go back HBL,, the south african, british and indian covid mutations are mad,, plus the rise in comm cases"
43,This week is going terrible for me 😔 can’t wait for HBL
44,"Stepping on campus for the 1st day is super awkward, must say a lot changes was made during HBL!!"
45,eh have HBL la sial
46,NO MORE HBL??? HELPPPP
47,Why do I eat so much during hbl Hais
48,Doing a trial hbl mock test is a really a bad idea when I have a mother who talks on the phone so freaking loud and a sister who switches on her Netflix show for the whole block to hear🙄
49,Hmm this week need go sch for thurs MLDV lesson? i knw swqa got hbl.. Hmm. Hopefully got consultation these wk??? thn cn do in sch btr...
50,Bonus! Its my working saturday of HBL session lagi..... ugh why ☹️
51,Wah i overslept and missed my hbl lesson
52,@NurfarisyaNadia HBL BORING LAAA
53,"Rising HBL Stars 🏀🇹🇼⭐️

Rookies making a name for themselves early

➡️ https://t.co/sEhyP0uIua https://t.co/bcklwIyplV"
54,"It's sad that I need to go to school tmrw when it's supposed to be hbl 🙂 thank you ""project"""
55,Supposed to have hbl on Monday but I need to go to school for project 🙂 The funny part is 3 of them year 2 and I'm the only one from year 1 how 🥴
56,my god do i wish it was hbl
57,Hbl is sucha god blessing lah❤️
58,"18/01/21
Theres alot to say in my mind but sokay I have my ranting account. Today is somewhat productive but disappointed in myself cause I fell asleep after hbl. At least i did my workout after that and didn't give in to my laziness. I shall not give up, never again!"
