,Text
0,"donated 100% of my Jan's salary to pay it forward to the frontline healthcare workers at @AlexHospSG - with cny snacks. ""it's nice to be important, but more important to be nice."" thank you dad for teaching me to put others before self ❤️. #gratitude https://t.co/KNMzRqVxaD"
1,"@MothershipSG As a healthcare worker, I have felt like an ant for years."
2,@Solehanc Just done it. I have 2 cats. Good luck on your journey to providing wholesome healthcare to the animals.
3,"@markcheongwl ‘Cancel culture’ is making it harder to have conversations about different views too.

When my peers told me they felt like I would surely belittle them and their fears because I’m working in healthcare, I felt like I could have done better as a friend la 🥲"
4,"The next phase of the global pandemic and what it means for Singapore. Dr Walter Lim, Deputy Country MD of FULLERTON HEALTHCARE, INC. to discuss the importance of balancing both economy and public health and further analysis of the…https://t.co/9Em1L3xINU https://t.co/Gcoq3sH0Ts"
5,"1/2 Artist @lukejerram contracted #Covid19 in 2020 shortly after he was commissioned to make a glass sculpture of the #Coronavirus. When he recovered, he went on to create a sculpture of the Oxford-AstraZeneca vaccine as a tribute to the work of scientists and healthcare workers https://t.co/43CIQuqZHY"
6,"@avalanchelynn human rights
healthcare access
work life balance
freedom"
7,May 🇸🇬 healthcare never get to this stage https://t.co/qenkuOrAD9
8,"Want to stay updated on the healthcare industry's innovative responses to the pandemic?  🩺 Subscribe to our newsletter for the latest news, sent to your inbox daily! 📧  https://t.co/8MSuy5JFAO https://t.co/fpEf0RUASn"
9,"@Jizzle9011 @RooterDouglas @Ken36143959 @Shaunak2105 @WaitingForPerot Covid impact in Africa was mitigated by several factors including a healthcare system that already was familiar in dealing with epidemics and were quick to enact safety measures, younger population with fewer comorbities, and people spend more time outside"
10,@yokey017 Heh. No such thing as precautionary leave in healthcare. We work and die like real men
11,@nads_tweets There’s a huge system issue in both public &amp; private sector health care facilities in SL as well as an attitude issue by certain healthcare workers and the public. This however doesn’t mean that all healthcare workers should be undervalued for the faults of a few.
12,"$FATE presents on upcoming investor conference

4th Annual Guggenheim Oncology Day available on demand on Wednesday, February 9, 2022 at 11:00 AM ET

SVB Leerink 2022 Global Healthcare Conference on demand on Wednesday, February 16, 2022 at 3:00 PM ET

https://t.co/6WiB2BPGl4"
