,Text
0,"@hellowillfan @Project_Ririsu @Yarieos Death Note. Intriguing story, measures a person’s moral compass, and it made me question a lot of what’s right and wrong in the world as a kid! Sounds deep, but it was!"
1,"SINGAPORE - Singapore's high vaccination and booster rates give the country a window of opportunity to ease some Covid-19 measures, especially as the Omicron variant causes a less severe form of the disease, suggest several experts. ... https://t.co/1XBuHVZ28T"
2,@alancolquhoun1 @zhuyunming @agent_of_change @chenweihua Do you truly believe that there’s no democracy and freedom in China?and don’t you think it is reasonable for Chinese government to take some strict measures to control the access “speaking out” when dozens of western countries are against China they are even making fake stories
3,"My two cents on #BoycottHyundai . Boycott is not an answer, rather we should ask @HMOIndia to summon @HyundaiIndia  @Hyundai_Global to clarify their position publicly, course of action on @PakistanHyundai and measures to avoid such issues."
4,Are you travelling to the UK to study? Watch TJ as he shares his journey to the UK. 🇬🇧 UK universities have plenty of measures in place to support students at all stages – reach out to your university for the latest info &amp; support. https://t.co/dj5evTuuke #ReadyForYou https://t.co/bbNWaXPhcX
5,"Nagsimula nang ipinatupad noong Huwebes, February 1, ang vaccination-differentiated safe management measures sa hotels, hostels, at serviced apartments, mga institute of learning, at indoor sports facilities.

#RatedJ https://t.co/fyYpB6lpxp"
6,"Biggest misconception, me keeping up actively with all the precautionary measures does not guaranteed that we will not get covid positive! The important understanding is if we get it we should be able to minus alot of unnecessary pains &amp; recover better without all after effects. https://t.co/113CyXoCDR"
7,"[MUSIC PERFORMANCES @ Festive Plaza]

Enjoy LIVE music from your favourite Local performers as they bring you songs from the big screens with the theme ""Camera, Action""! Happening from 7 PM - 8 PM, everyday at the Festive Plaza! 

Safe distancing measures apply! https://t.co/Vek7jdrGtF"
8,"@joshrogin @LiuXininBeijing @pscrosby She is not a journalist which she admitted herself, and she is just being a nuisance to the public by disrupting COVID measures and destroying public property. So yeah, she committed a felony."
9,"#Drawmetrics is a 10 symbol drawing based psychometrics that measures very accurately suitability for remote, hybrid or office based work.
Come talk to us @Younnikly.com https://t.co/PMFsNQgyiA"
10,"@ChannelNewsAsia If daily cases up thousands or 10K+, become community immunity to this common flu, maybe time to consider relax more measures, masks up to individuals, no need social distance, no need 50% work in office, and others."
11,"@oncustodian @kucoincom
 Acct Hacked.100% Funds stolen.All security measures (2FA, Google Auth, SMS, Trading PW) in place.
@kucoincom telegram many suffered same hack but 
@kucoincom distancing. Is @oncustodian aware? Does this partnership protect users or a marketing veil?"
12,@DCSG_Dulwich Thankful to everyone who supported to ensure that the event could go ahead in accordance with all COVID safety measures
13,More protesters against COVID-19 measures enter Canada capital https://t.co/PSb3gc8eWM https://t.co/LfLX6FVSUz
14,"@Jizzle9011 @RooterDouglas @Ken36143959 @Shaunak2105 @WaitingForPerot Yes, they enacted safety measures early on before the virus made it African countries. They didn’t need masks or isolation because of their quick actions. https://t.co/0d6uEashID"
15,@X22_SG @DrFlung @DrewPavlou And... she openly admitted in her videos that she is not a journalist. She's only there to destroy and disrupt COVID rules and measures. Much like how people are protesting against wearing masks in public.
16,"@Jizzle9011 @RooterDouglas @Ken36143959 @Shaunak2105 @WaitingForPerot Covid impact in Africa was mitigated by several factors including a healthcare system that already was familiar in dealing with epidemics and were quick to enact safety measures, younger population with fewer comorbities, and people spend more time outside"
17,"@tumblingkitty ah yes, this part is indeed unusual but i think this shows that the vaccination-differentiated safe management measures (VDS) works to reduce the risk for the unvaccinated from being infected. so the vaccinated is being protected by the vaccine while the unvaccinated by VDS."
18,Desperate times call for desperate measures. Featuring my bed and shower area the next few days 😅 Please get well soon @b_denisec https://t.co/XGQaZBq2JV
19,@Reuters You and your reporters are the ones whining and bitching about politics and the inconvenience of China’s strict Covid measures instead of reporting on the games and the glory of the athletes! Hilarious.
20,"@TheDEWLine Considering yesterday's spike, let's hope measures don't get stricter"
21,"@nee_el Until safe okay, if anything wrong become issue !!

Education think safety measures follow up.."
22,"hot take may delete later but maybe instead of focusing on how the virus measures in chugoku are ""dystopian"", talk about how chugoku and this entire event in general are already pretty dystopian???"
23,💕🥰Happy Chinese New Year!! Everybody was in tip top spirits as we celebrated the Tiger year together. Who knew CNY movies can bring in so much money! Hope the safety measures didnt dampen your plans - just be safe! #aphasia #CNY2022 #huatah https://t.co/QKwGRP37Uz
24,"""There would also be pricing implications and second-round effects on the poorest countries. The EU would thus need to resort to demand-side measures, which would prove painful for different countries/constituencies...""

https://t.co/s1ZOKW9Yot"
25,Sometimes I wonder what’s the reasoning behind these measures https://t.co/meLYrhvlqU
26,"@snowwhite102004 @ChannelNewsAsia These measures don’t materially reduce overall case numbers, they just flatten the curve and draw out the pain to reduce the pressure on healthcare system temporarily. There is no overwhelming pressure now, so no justification for tougher rules. Vaccination reduces bad outcomes."
27,@johnmariomag @lenirobredo @kikopangilinan True. Desperate times calls for desperate measures. I wouldn’t wonder if the children will follow suit. Family effort baga.🤣🤣🤣
28,Include Measures of Innovation #Edtech #GlobalEd #elearning #edutech https://t.co/SfecvbWYXU
29,"“The only clear statement by Putin of the consequences of NATO’s failure to comply with Russian demands is that Moscow will resort to ‘military-technical measures’. That may not mean invasion.
IISS - Russia’s ‘military-technical solution’ for Ukraine https://t.co/KCV3ALWNGT"
30,"personally, i think the government was hoping for a 100% vaccination rate before they could comfortably relaxing measures. but they messed up when they said said it was voluntary and effectively ensured against the 100% they were looking for."
31,Node Impurity Measures https://t.co/PawSDcYALJ
32,@Micylaaa Start a pornhub like they all do.  Seems to be the in thing to do on twitter.  Desperate times calling for desperate measures 🤣🤣
33,"🤔 How will the planned GST increase keep Singapore's finances sound and stable? What measures are available to help Singaporeans cope? Here are some key questions about the GST, explained. Find out more https://t.co/jY0itZ08EY https://t.co/SypICc5WLk"
34,@tribalcast Desperate times call for desperate measures
35,General : JPBP agrees to eight strategic measures to improve national disaster management https://t.co/41w5fOqwHm
36,"As a WordPress site owner, what concerns you the most about running your site? Don’t forget that without proper security measures, your website can be at risk at all times. 

Article Link- https://t.co/gqvynfJKTv
#WordPress #security #appsero"
37,Getting very irritated at journo takes on making china's Olympic covid bubble sound like an evil behemoth. You're a guest in a country with stringent covid prevention measures in place. Respect that not everyone has laissez attitudes to the pandemic.
38,Banks in Singapore have 'substantially implemented' additional measures to bolster security of digital banking: MAS https://t.co/ciXmJkTvLk https://t.co/HvRlhvfyyR
39,Banks in Singapore have 'substantially implemented' additional measures to bolster security of digital banking: MAS https://t.co/yTqb6g7kt3 https://t.co/tWgOEk5Hit
40,"@Damien_Marquez @alasdairmulhern Also, I understand Japan hasn’t opened up to tourists yet. Not sure if they will by then. I guess traveling is never going to be the same again, especially to countries with continued covid measures in place. I spent SGD500 in tests for just a 2 week trip to malaysia."
41,"Advantage 2: Increases Defence

Indicating the attacker's goal allows the security team to take timely measures.

By charting the attacker's journey,  you can mitigate future similar threats."
42,"""Even though the Omicron peak is probably not upon us, I think we can roll back many of the measures in place. Especially the silly ones like blocking off half the washbasins in public toilets."" https://t.co/CQxZOyBEyQ"
43,"The problem with dumb takes like this is that it attempts to make you think that China is dystopian bc of its “extreme” covid measures but at the same time there’s always an effort to convince ppl that China is “lying” abt it’s numbers. You just can’t hv it both, it’s illogical."
44,"@ReiMurasame @drdickspalding @0nemorecomma @CJforeveryoung @tomjohnstone02 @saitomri Unfortunately, a US mission just killed 13 Syrian civilians, including 6 children. While people are trying to be safe from COVID, US is killing people, through war, and through the lack of COVID measures."
45,"@amyyqin Do you secretly wish for the Chinese and the athletes and officials in the games to get infected? So you can then cover how bad they were with the measures to prevent outbreaks? Nothing China does is bad, you should quit your job and find another happier job."
46,"ECB's Lagarde:

- Higher energy costs could be a drag on consumption and investment

- Inflation measures based on surveys are about 2%"
47,"ECB's Lagarde:

- Containment measures are hurting travel and tourism

- Economic activity will remain subdued in the first half of 2022"
48,"A thread on how words matter when communicating with patients and their families. How individual experiences can go beyond statistical measures.  

Way to go Dan @fleshlerd https://t.co/yEytfCjc1X"
49,Why are some countries relaxing their measures on covid already?
50,Singapore woman who flouted Covid-19 measures during circuit breaker gets 10 weeks' jail https://t.co/OjWAWiuPjI
51,Singaporean woman who flouted measures during circuit breaker gets 10 weeks' jail https://t.co/wecjXCTFJm
52,"With strict #pandemic measures in place, young #Chinese have the perfect excuse not to return to their hometowns during the #SpringFestival.
https://t.co/ZdqkHuDlva"
53,"COOLING MEASURES; Opportunity or Crisis? 🧐 #linkinbio 

Still clueless about the real estate market after the latest cooling measures introduced in Dec 2021? Sit in with us in this consumer seminar by our Executive Director Kelvin Fong to learn more!
.
.
.
.
.
#singapore #sg… https://t.co/Gowu67nVok"
54,"Czech government plans to end COVID-19 passes, easing measures for unvaccinated https://t.co/Lc4Av8w4CQ https://t.co/pQ2oSbOZvK"
