,Text
0,@SalsaTekila Win Liao lor I always tot u Chao Ang moh give me alpha
1,@yasuisg @sgsgsssggg うちも子供が塾かワクチン接種会場で妖精さんのお近づきになったらしく3日前にMOHからもう何度目かわからないご連絡をいただきましたよ？
2,@ChannelNewsAsia Isn’t it the MOH core duty to render a professional service to anyone? So during a “disaster” we will be shortchanged?
3,"High number of patients at hospital emergency departments, most did not require emergency care: MOH https://t.co/PHwVeHAvsP null https://t.co/nr4aprli66"
4,"@MothershipSG Why are we in this situation MOH?
Vaccine not working
2nd Dose not working
Booster not working
Child vaccine not working
Mask not working
VDS not working
Safe Distancing not working
Hospital crowded
Clinics crowded
Still listening to the same EXPERTS?
May ALLAH forgive us."
5,"High number of patients at hospitals' emergency departments, most did not need urgent care: MOH https://t.co/vAnMbbtcYr"
6,"@straits_times Already expected when Booster and vaccination for children are imposed. What do you expect already warn that vaccination will result in many issues/injuries/adverse effects. If not now, it will be later. Be prepared MOH. FACE IT DONT COMPLAIN."
7,@MOH_Abrar1818 @Itz_UNLucky Neenga tha fb pannanum 😁
8,"My qn to MOH: why don't you just open the dang polyclinics 24/7, that'll ease your A&amp;E workload with some basic primary care."
9,"GPs now hardly ever do swabs for &lt;6yo, MOH policy require PCR swab for diagnosis of small children, now you gotta bring your kid to gp then to paediatric swab centre, then MOH will arrange for consult by paed. What is this roundabout merry go round."
10,"High number of patients at hospital emergency departments, most did not need urgent care: MOH https://t.co/1jzgyLSdmA"
11,"MOH asks mild Covid-19 cases to recover at home, hospital A&amp;Es seeing 'long queues &amp; waiting times' https://t.co/F9mDaDXVPl"
12,"High number of patients at hospitals' emergency departments, most did not need urgent care: MOH https://t.co/qvMv2f2tSn"
13,"High number of patients at hospitals' emergency departments, most did not need urgent care: MOH https://t.co/XD1Dr7k9nR"
14,"High number of patients at hospital emergency departments, most did not require emergency care: MOH 

 https://t.co/KsUTs6NVKx"
15,Hospitals' A&amp;E departments seeing high number of patients who do not need emergency care: MOH https://t.co/NdRHVvBu10 https://t.co/5G1tl77Onj
16,"MOH asks mild Covid-19 cases to recover at home, hospital A&amp;Es seeing 'long queues &amp; waiting times' https://t.co/BICUwL9OsC https://t.co/v6vgSmWSxs"
17,Unnecessary hospital emergency department visits risk compromising standard of care for other patients: MOH https://t.co/wvpQ2KZge4
18,Unnecessary hospital emergency department visits risk compromising standard of care for other patients: MOH https://t.co/qnUeedOm0Q https://t.co/JmGETVuhoN
19,@B_hundred_Hyun We Are One ☝️ EXO !! 사랑하자 !!!♥️ ㅋㅋ
20,"More than 10,000 new COVID-19 cases in Malaysia amid Omicron wave https://t.co/9zqZaOYYOE

Look at that. Better public sharing than the reclusive Singapore MOH and MTF. https://t.co/VL4sXdtNOA"
21,@azhareewahid @pentas_io Thanks bro beri ruang!! Moh lerrr tengok cicak2 say ni ya guys! https://t.co/rlMqxiTFYS
22,@ngalamfess moh males
23,"கோவிட்-19 தொற்றிலிருந்து குணமடைந்துள்ள ஊழியர்கள், மாணவர்களின் கவனத்திற்கு…இனி இது தேவையில்லை – MOH அறிவிப்பு.!

#SingaporeTamilNews | #COVID19 | #recovery
https://t.co/tdTdTh1DcM"
24,"FAIRPRICE CHICKEN LABELED ""224 GRAMS"", ANG MOH WEIGHED IT - 165 GRAMS""
#Singapore #umbrage #spore #uncensored
https://t.co/zGIosXaqcP"
25,"Good luck Dong. Galingan moh mamaya. 

STILL WithU MAYWARD

#MayWard
@Barber_Edward_ @maymayentrata07 

 https://t.co/yBAWR8hT1r"
26,#GambarProfilBaharu https://t.co/pB3mOoYTgM
27,"MOH REPORTS GP CLINICS HAVE SEEN A SURGE IN THE NUMBER OF PATIENTS
#Singapore #umbrage #spore #uncensored
https://t.co/C8WHDPx7OC"
28,@yokey017 dafaq moh keep on telling them to allow the staff to auto adjust the MC. but its not put in law so the HR have the right to be dicks. of course many will exercise that right
