,Text
0,harini kena buat pcr lg 🥲🥲 once opismate positif je semua kena buat pcr. masalahnya smggu lepas bru buat tuu
1,@j1006x @yjh_219_ I got fever but doctor never give me HL is normal mc. And now no pcr test i think. Is only art
2,"GPs now hardly ever do swabs for &lt;6yo, MOH policy require PCR swab for diagnosis of small children, now you gotta bring your kid to gp then to paediatric swab centre, then MOH will arrange for consult by paed. What is this roundabout merry go round."
3,"!!!!百色市德保县截至2月6日16:00 共43例確診 德保县37 右江区2 田阳区1
隆林县1 靖西市2 共計43例 另PS
2月6日第一轮PCR 207506人 207321人阴性 阳性98人+87人(待复核）=185阳性 。爆發了 德保县 到處可見支援的救护車 搭帳篷 靜空房間 給支援人員住處
2022年2月6日 #Baise City #Omicron https://t.co/vDHWKkXMUB"
4,"RTK test nak murah, tapi baca instructions pun tak. 

Nak senang boleh buat PCR orang lain buatkan kau tadah hidung je."
5,"@georgiedons @crazythainame @BomberJoLou @mitchell0216 If I had I’d know…I’ve been PCR tested every couple of weeks since November for travel. Somehow I’ve managed to avoid it so far 

ps felt like crap yesterday and was convinced I had it…tested negative and apparently it’s hay fever"
6,Ok I'm going to complain about how I'm still trapped at home waiting for my PCR test result after 5 hours
7,"ok so the testing protocol for me after the on-arrival PCR is to do an ART every day for 6 more days before leaving my house, IF I am leaving the house. No need for supervised ART, very good #balikkampung"
8,"たまにはどのメディアも強い批判をするべき誤った政策はあると思っていて、直近で言えば日本の外国人原則入国禁止の水際対策。

PCR陰性でも隔離しても外国人だけを入国させないという政策は当たり前ですが海外から差別的だと批判されている。

科学的理由なく人権侵害をしているのだから当然。"
9,My baby nephew has to do a pcr n my entire family is freaking out omg😭😭😭😮‍💨😮‍💨 my anxiety abt to sky rocket rn
10,"Pumalo sa 10,390 na bagong kaso ng COVID-19 infections kahapon sa Singapore. Nagmula ang karamihan dito sa ART o Antigen Rapid Test na nagpositibo mula sa local community. Nasa 2,734 naman ang nagmula sa PCR Test."
11,"@Meagain10411919 Please look up Antibody Dependent Enhancement, Immune escape, the difference between Binding and neutralising antibodies. Look up PCR CT’s ."
12,This PCR results is taking longer than expected.
13,Get ready pcr dkt klia😂😂😂
