,Text
0,Phase2-HA...OMG...your farting smell  terrible!!!!Durian Smell..💯🤭shock the myna.😅😅🤣JurongEcoGarden Singapore  4.8.2021 @ Ntu Yunnan Garden https://t.co/Aex5clHV3e
1,好きだったtanglin mallの1/3程のお店が、今回のphase2(セミロックダウン)でついに体力の限界で閉店してしまった。賃料が東京の比ではないシンガポール。もう限界に達し、バタバタお店は閉店しています。
2,"Thursday, 29 July 2021 🍛 The brown sugar fresh milk tea actually goes well with chicken katsu curry! Yummylicious! 😋❤ #Phase2 #Takeout #Takeaways #Dinner #Food #Foodie #AsianFood #Bubbletea #JapaneseFood #StayHome #Singapore https://t.co/JbqX8epcCs"
3,Received this e-poster from @wenDdd ❤ It is a good reminder for all. #Phase2 #SgUnited #Singapore https://t.co/juxoVhc0iU
4,Phase2-HA.....Life now defies reason—quirky but https://t.co/tPnzWomuBZ 🎨 Artwork..will resume....August 2021 @ Ntu Yunnan Garden https://t.co/ZJ0yjIUurL
5,"Start of another lockdown… 

Haircut first 😶‍🌫️

•

#SgHits #Phase2 #SnipSnap #RedBlue #StyledbyWooi #70thMonth #July2021 @ Bugis Junction x Bugis+ https://t.co/d2UC8cvL7z"
6,"@gossipgal_sin 同じ症状なんですね😭マンゴー好きなだけに辛いですよね💧
唇に付かないように食べたら大丈夫なのか？ストローで飲んだジュースで出来るくらいなので、口に含んだだけで🆖なのか？お友達と外食できないphase2の間に、アレルギー検査と共に試したいと思っています🥭何としてもマンゴー食べる気満々ですw"
7,坡县又回到phase2，周末出来逛公园没人倒是可以摘掉口罩透透气。 https://t.co/DgzbbANVPW
8,@sgtinkerbelle なんとお得な情報‼️ありがとうございます‼️Phase２生活の癒し🤤
9,"結局開会式が始まったら、やっぱ日本カッコいいわ。ってなると信じてるぞ！！
MISIAの君が代は楽しみだなー。
（楽しめる事を探すことがPHASE2）"
10,"飲食店同士のコラボメニューってかなりいいアイディアだなあ。
Phase2の楽しみ増えた‼️"
11,The New Revelation morning sky light Phase2-HA July 22 7.2021 @ Sungei Buloh Wetland Reserve https://t.co/h55QcJ776C
