,Text
0,@sbyfess untung ga physical distancing
1,"Mask wearing is a form of vaccination
Physical distancing is a form of vaccination.
They help reduce infection in first place.
If u dun fuck, then babies will not occur. 
That is the mentality. https://t.co/AkQZBzZDAq"
2,"Also, I don't understand why AmazonSG adopt the six feet physical distancing into their working community here. 🤷🏽‍♂️🤷🏽‍♂️"
3,Masks? Face shields? Hand sanitisers? Surface sanitisation? PHYSICAL DISTANCING. Oh god I can’t even with this
4,We’re not the ones who failed to pull together to protect our communities and economies by following rather simple and clear guidelines such as PHYSICAL DISTANCING and masking and no travel. https://t.co/gd0MGG222a
5,"@elisa_jkt Wah ga physical distancing ya? Apa ga takut distop satpol PP

Itu nangkep laskar yg katanya bawa senpi dan abis baku tembak ga diborgol? Gila humanis banget udah sama ky perlakukan maling kelas kakap 👍"
6,"Oh iya, masih bisa physical distancing juga lho. Karena di flight @IndonesiaGaruda ga semua seat dijual. Cuma di aisle sama window doang yang diisi. Kursi di bagian tengah tetep dikosongin

#TerbangAman  #DiIndonesiaAja
#BecauseYouMater
@Kemenparekraf https://t.co/V4F2dBBI1o"
7,Practice physical distancing #EBHappyMaineDay #MaineMendoza
8,"WHO Merubah frasa Social Distancing Menjadi Physical Distancing

Jaga Jarak Fisik satu antara dengan yang lain

Physical Distancing
Bisa dilakukan dengan cara : 
- Jaga Jarak minimal 1,5 meter dengan orang lain
- jangan Berkumpul lebih dari 5 orang
- Hindari kerumunan orang https://t.co/Cyxk2N530X"
9,"Perlu diingat, yang diminta itu adalah  physical distancing, bukannya Ghosting. @ Di Bawah Kolong Langit https://t.co/loONFK3mRk"
10,"Salam #eiduladha2020 to all Muslims around the world. As y’all can see, I’m tryin’a squeeze my tight body into this #fly Raya outfit. Stay safe &amp; don’t forget your social &amp; physical distancing! &amp; to the rest, happy… https://t.co/TX3nGAwjth"
11,"Good work Bengaluru Airport, highly commendable efforts to keep physical distancing. Thank you for keeping us safe 🙏🏼 

@BLRAirport 

@airindiain is another story... flight is too full to be physically distanced. But thank you for bringing us home 😌 https://t.co/xbNmIYS7iz"
12,@thomasbridge Definitely fogs up if you don’t secure the nose bridge area properly. Perception is often 99% of the battle and if the only interim solution is actual physical distancing with no outside-household contact + track and trace… well then.
