,Text
0,"Denmark Lifts All COVID-19 Travel Restrictions, Becoming First EU Country to Do So

#CryptoTourism #CryptoTravel #Coinmarketcap #BitcoinValue #Bitcoinnews #Cryptocurrency #BSC #altcoin https://t.co/2Ne9eJSx6J"
1,"@elonmusk @peterktodd @nypost Take this a step further:
Pro vaccine, anti mandate, anti restrictions! Let anyone take their own decisions if they wanna stay home, wear a mask, etc."
2,"@SoybeanTrader88 India: restrictions on trader stocks and Turkey: much lower seed imports and  China: lower US purchase. Lastly stronger $ and lower biodiesel mandates in Brazil, Thailand and Indonesia. Very poor margins for EU and US biodiesel."
3,"@PunkboyParadise Cool 👍

Still, I give myself restrictions like not having occult symbols or dealing with rituals"
4,Why S’pore Might Be Easing COVID-19 Restrictions Soon (With Paxlovid?) https://t.co/EqBWEeYR1l
5,"Mr @elonmusk and @Chrysto 

Travel restrictions easing because Omicron &amp; Singapore Teslas can drive to Malaysia 

EV community is pumped but the big question is ""when Tesla and superchargers will come to Malaysia"" 

https://t.co/6pmPxLBuYQ"
6,"Russia eases Covid-19 restrictions as daily cases hit record

February 06, 2022 1:38 AMOmicron is spreading across the country, but the variant has not led to a significant increase in deaths.

https://t.co/XziIPIcBAq https://t.co/wPRJMpAdCp"
7,"@ohjimme I guess so. Too cold might be a hassle too. Yup Malaysia for road trips are fun but ever since Covid restrictions, the border are closed for entering. But will be better soon!!"
8,Russia eases Covid-19 restrictions as daily cases hit record https://t.co/ruaXfxEWvu
9,Russia eases COVID-19 restrictions as daily cases hit record https://t.co/rjHIvmif4K https://t.co/6aGZQ7poKJ
10,Freestyle skiing-Wallberg thanks Sweden's PM for easing virus restrictions https://t.co/oA1m2XG2La https://t.co/kQoeHsgAMU
11,"Experts say Covid-19 surge in S'pore is hangover of CNY, no need for further restrictions https://t.co/IrvajFhgnC"
12,"Doctors say Covid-19 surge in S'pore is hangover of CNY, no need for further restrictions https://t.co/c3ISKgjSSX"
13,"@michael16232450 @amyyqin I got stuck overseas for 3 years, not being able to see my family in China due to the covid restrictions. But If that keeps my family safe, I have no problem."
14,"Doctors say Covid-19 surge in Singapore is CNY backlog, no need for further restrictions https://t.co/2SZHFBVJmo #readOnTNP via @thenewpaper,"
15,"Doctors say Covid-19 surge in Singapore is CNY backlog, no need for further restrictions https://t.co/7yhd4ucc7k"
