,Text
0,"@MothershipSG Why are we in this situation MOH?
Vaccine not working
2nd Dose not working
Booster not working
Child vaccine not working
Mask not working
VDS not working
Safe Distancing not working
Hospital crowded
Clinics crowded
Still listening to the same EXPERTS?
May ALLAH forgive us."
1,"[MUSIC PERFORMANCES @ Festive Plaza]

Enjoy LIVE music from your favourite Local performers as they bring you songs from the big screens with the theme ""Camera, Action""! Happening from 7 PM - 8 PM, everyday at the Festive Plaza! 

Safe distancing measures apply! https://t.co/Vek7jdrGtF"
2,"Singapore’s viral #HuntTheMouse cash hunt by Sqkii is back as #HuntTheMouse — Safe Distancing Edition (HTMSD).
#esportsg #gaming
https://t.co/envjY7JC6P"
3,"We held the first #OurIstana Open House (IOH) of the year today, in celebration of Lunar New Year. Only ticket holders were able to enter, to ensure sufficient space for safe distancing.

We had clear skies in the morning, but unfortunately it started pouring in the afternoon. https://t.co/hkM1J6hZI4"
4,@pauriahcarey maybe safe distancing ambassador’s shift ends at 10.30pm
5,"It’s always nice to see the fans all ready to give them support on spot. Please note safe distancing, stay safe #ทำบุญขึ้นห้อง609 https://t.co/wDyw4CnNpT"
6,"Chinatown on a weekend!
Super crowded... no safe distancing officers in slight!! https://t.co/r9sE6x6rEv"
7,@Aathiraj8586 Safe distancing அ
8,Never mind the Toes 🦶 just maintain safe distancing #MaiTravels #Staysafe @ Tampines Mall https://t.co/rfIggzJx71
9,今日乗ったタクシーの運転手さんはSafe Distancing Ambassadorの仕事もしてるらしいんだけど(ライセンスカード見せてもらった)、都会、特に白人が多い所での勤務が最悪！って言ってた。何注意しても中指立てられて無視されるんやと。
10,"とある超人気日系グループのラーメン屋、Sefe Distancing ガン無視でビックリ。テーブル間の距離50cmくらい。
「これは近過ぎるよね、Safe Distancing マズくない？」と言ってみたけどバイトスタッフは全然気にしてない様子。ボスはこの現状知ってるのかね、と余計なお世話だろうけど心配だわ😅"
11,being a safe distancing ambassador aint easy 🥲
12,"Instead of using cheap beacons to track people’s walking in/out of places automatically, @GovTechSG uses SafeEntry and builds this gantry for us… and people couldn’t exit until crowd built up and no one could go anywhere… how to safe-distancing? 不可能! https://t.co/McJvrGxN51"
13,"Cooperate with govt and safe distancing officer.

They are help to help. 

If you are rich, you can afford to stay at home, dun work at office, dun work and thus dun spread Omicron

Good luck Singaporean 

And stay alive at least till 2022"
14,The amount of ppl is horrendous on the weekend and 0 fks given on safe distancing (@ Tampines Mall in Singapore) https://t.co/Lb2p4phZLQ
15,Called Kolkata Airport. They said PCR test on arrival. 5-6 hrs of wait for the results! We were to fly with an 11-month-old infant! Now rethinking the whole trip. How does a 5-6hr wait make sense over home quarantine? Are safe-distancing measures even good enough to do this? https://t.co/YeM5kACdsO
16,@MoHFW_INDIA  Why can’t we have Rapid PCR test at Delhi Airport on Arrival? How will airport manage 2000+ passengers and apply safe distancing for 10 hours??? @ArvindKejriwal  please help enable rapid testing so we all can be safe! https://t.co/m8LKYrRux2
17,@DelhiAirport @Manish786D Hi… so we need to estimate a wait of 8 hours at the airport for the result? How will Delhi airport ensure safe distancing is maintained?
18,"How is Singapore on India's list of 12 high-risk countries for #Omicron? There are no known cases here, the country is widely vaccinated and has strict safe-distancing measures @AAI_Official @IndiainSingapor @sporeMOH https://t.co/YeM5kACdsO https://t.co/HFSqdNnera"
19,"@Eurasian68 @Ettore31791256 There is no sure thing. Covid 190
Has mutated , same story. Get
JABS, don a mask keep safe
DISTANCING listen to Anthony
Fauci."
