,Text
0,"Last weekend of the no dine in restrictions. Recently we had to find spaces like these to sit and eat.
#covidrestrictions #eatingout #safedistancing #maskonwhennoteating #sgunited #sgsafe #holidayweekend #singapore https://t.co/TmJn9RILhv"
1,"Best summary of the new/latest
@gov.sg n @moh_singapore directives for #safedistancing measures in Singapore ! 
As seen on WhatsApp! 
#irenespired ! @ Singapore https://t.co/rV7JEHg6R7"
2,"At 1043 on 26 Mar 2021

The art of social distancing

#socialdistancing #social #safedistancing @ Singapore https://t.co/pdJybzUSeL"
3,#HolyCommunion #Service #SafeDistancing #Max50 https://t.co/GJG7qNa5Nv
4,Some people are either just plain dumb or don't care a feck about #SafeDistancing Selfish bastard 🤬
5,"My quiet moments (safe distancing measures do have it’s benefits when one needs that space). 我也可以文青的 （不一定假掰喔）。
.
.
.
.
.
#tgif #friday #fridayvibes #safedistancing #singapore #igsingapore #instasingapore #starbucks… https://t.co/OcYBesO91D"
6,"After 5months, makakakain na ulet kita 🤤😘😍 @jollibee 

#Jollibee #Burgersteak #Chickenjoy #BeeHappy #safedistancing #HappyKid @ Jollibee Singapore at Lucky Plaza, Orchard https://t.co/GEMHDhd1rI"
7,"The lights are much brighter there 
You can forget all your troubles, forget all your cares
So go to mcdsg 

#covid19 #phase2 #day35
#mcdonalds #safedistancing #isabelmarant @ McDonald's https://t.co/6PIABU80bG"
8,SafeEntry Tips and Tricks - How to Create Shortcuts and Use the SingPass App Like a Pro in Singapore  https://t.co/sJpg4FOGNq  #singapore #news #sgnews #safeentry #guide #tips #safedistancing #socialdistancing
9,I practiced #safedistancing the moment I was born. https://t.co/9pnW95Yhd8
10,"PHYSIO IN SESSION NOW!

Featuring more signages around Rehab &amp; Beyond (@gobeyondrehab), here at corecollectivesg Dempsey

#GoBeyondRehab #CoreCollectiveSG #physiotherapy #safedistancing #safeentry #rehab… https://t.co/qilJw0Jc87"
11,"happy - for my sister Christina

oil on canvas

#crcheers #quircsingapore #ownselfoilpainting #safedistancing #covid19 #sisterlove #socialdistancing #brittoart @ Evania https://t.co/2e0qwaKaff"
12,"Dear #safedistancing officers ,
I want to report ,this visitor came to my house uninvited , and never wear mask ! 
Lucky got observe safe distance ... mmmm... #workfromhome singaporezoologicalgardens want to come n… https://t.co/qKgYMzvdQQ"
13,"This evening, the Multi-Ministry taskforce has announced Singapore’s next phase of recovery will start from 19 June.

#sgunited #covid19 #safedistancing #phase2 #singapore 

https://t.co/G9OXWVTf1f"
