,Text
0,yo watch me make all the wrong decisions again
1,"@travelfish It’s a bit more than merely queueing up. Thanks to social distancing rules, it’s next to impossible for guests to walk in and expect a table in many hotel restaurants. In my last two staycations, was told I’d have to book even slots for breakfast days in advance."
2,"@sarahpooh74 Thank sis. I will certainly be extra careful, and observe that personal social distancing, and hygiene. With God's protection. 💚🙏🏽"
3,@uwma_lovelies yes even the original proof already feel so wild LOL what have they done to us? Getting us scream just from this social distancing photo 😂
4,"MASSIVE, MASSIVE CROWDS AT MUSTAFA, NO SOCIAL DISTANCING
#Singapore #umbrage #spore #uncensored
https://t.co/jRRyLuke4I"
5,"Just a reminder for everyone, please do not expecting a social distancing in a flight when u traveling to somewhere. 

There is no such. Beat to avoid from traveling anywhere. https://t.co/3HEPCeTxSh"
6,"Lol chill. Like literally they have different walks of life. Some are healthcare workers, police, military, social distancing people, etc etc. We don't judge. All is fair"
7,@simontay78 Ya. Social distancing. Keep washing hands. Take good care.
8,channeled my inner @FaZeFuzzface and wiped a squad w a shotgun today
9,face shield... face mask... social distancing... theres still covid.... having booster or injection does not mean we csnt get covid....
10,South Korea extends social distancing rules as Omicron cases spike https://t.co/fjKmG05cOh https://t.co/5r1711buIc
11,@Dinoselalubenar Social distancing hey wkwk
12,South Korea extends social distancing rules as Omicron Covid-19 cases spike https://t.co/WOqeEZeDiv
13,South Korea extends social distancing rules as Omicron cases spike https://t.co/3MtwPUHuJv https://t.co/R9nweVGlpo
14,South Korea extends social distancing rules as Omicron Covid-19 cases spike https://t.co/OldCsUY45P
15,INSANE https://t.co/nppcuyG3XN
16,"@Ken36143959 @RooterDouglas @Shaunak2105 @Jizzle9011 @WaitingForPerot Yes, people need to practice proper mask wearing, hand washing, social distancing. All of those things combined will help reduce the transmission of a virus."
17,I must commented that this is a very interesting photo. Social distancing only exist between DewMint but not MumDew 🤣🤣🤣 #ทำบุญขึ้นห้อง609 https://t.co/UgClBh9YWz
18,killing eve trailer HOLYY
19,Pota ning US karamatay kamo da tanan..di lang kamo mang damay. They act normal na didto yah..no social distancing no mask na sila. Then nag laton2 na..
20,Yay yay yay 😁 yaaaaate ala social distancing rules. #Singapore #singapuraWay #followrules #selftest https://t.co/Pt5LTdRTnO
21,"Hello guys! Reminder, always wear mask properly and wash your hands and observe social distancing  pag nasa labas tas pag kumain wag po ilagay yung mask sa chin or neck instead use mask holder or tangalin niyo sya fully at ipatong sa mesa na may tissue.

#Bazinga_SB19"
22,"""The designation came as a surprise in Singapore, which maintains far stricter testing and social distancing measures than in the U.S., and where the city-state’s Ministry of Health posts detailed virus statistics, in English, on its website every day. ""  https://t.co/9j4G8PvIjj"
23,"1) I have never travelled on the MRT with another stranger with a folding bike or kick scooter. 🤔

2) Accidentally whacking someone on his arm because he stood so close to me is called social distancing.

3) Yay, I can fit into my smallest pants again. https://t.co/YHO8qqaCzY"
24,"white chocolate latte and sweet salty popcorn acquired!!

I also have the whole row to myself cause I'm watching it alone and ~social distancing~"
25,"Went to tapau dinner at a food court and discovered the best place to dine in during this time:
✅ social distancing
✅ no crowds
✅ good ventilation 
✅ divine protection 

Char kueh tiao was good too 🤤 both halal and non-halal stalls available! https://t.co/1T1SqfU9QD"
26,Urmm whrs the social distancing?? https://t.co/H8XZ6E7uOE
27,Feeling so surreal that we managed to catch JJ live again!!! It’s actually very comforting to see no social distancing required in the theatre - just like pre-COVID days🥰 https://t.co/kpfWAEkL9Z
28,@Note0075 Social distancing 😍
29,Social Distancing at the Beach for a Birthday. Much needed half day break. https://t.co/RuXb4BxBBX
30,"Watching Eternal with my girls, however social distancing in play, at least the MBN Merch is looking good @pinkdynamite6969  nice hat x @ Golden Village Suntec City https://t.co/vPJOoNSnVT"
31,"It may be raining, it may be social distancing but we keep Halloween strong! 🎃 👻 🧙‍♀️🐈‍⬛💀 https://t.co/92YHn77i7P"
32,"#sinseh in #singapore

#healthcare #tcm #traditionalchinesemedicine #socialdistancing #igers #streetphotography #xperia #xperia1ii #streetdreamsmag #singaporeunseen #weekendinsg #covid19 https://t.co/J1y0TyZbh0"
33,@MorganinAsia thanks. what’s amazing is that we are over 87% fully vaccinated with strict mask and social distancing mandates. I don’t understand how the rate of transmission is still so high. It’s so odd.
34,these 2 years of pandemic and practicing social distancing I must have lost 40% of my charisma.
35,"@rachel_reviews The last time I was in a very packed theatre was for Weathering with You in September 2019. I'm feeling that with social distancing measures in place, it's going to be much harder to secure good seats for the opening week...

Still hyped though!"
36,Yoooo JJ's having a live show in SG?! Better have chosen a big af venue lol cuz venue capacities are cut by half bc of social distancing measures https://t.co/IEAnzLhIOl
37,#SocialDistancing #monkeys in #Singapore https://t.co/zGtk5t6fYt
38,Social distancing gone crazy https://t.co/CFJlI9kH7G
39,still have light smm?????? social distancing until 2065 sg100
40,"Social distancing remain.
Mask remain.
Travel is patchy. Not that I travel.

I believe enough data has collected for Hsien Loong to come out with a affirmative decision. 

It's appears we are not removing as much restriction as countries like Denmark. https://t.co/q4Qmu8COgr"
41,Assume the position #mauijimsunglasses #stb #myfavouriteplace #socialdistancing #chukka #friday @ Singapore Polo Club (Official) https://t.co/iQBTgeldET
42,"Alhamdulillah, last week wedding event went very smoothly for the couple &amp; us! Likewise we do follow protocols for the event by wearing mask &amp; 1m social distancing between guests,couple &amp; performers. 😊❤️🤲🏻🙏🏻 https://t.co/nFTz2z5sJj"
43,“The secret of getting ahead is getting started” Mark Twain #exploring #tiongbahru #briskwalk #2todine #staysafe #wfh #mask #socialdistancing #wecandoit #sgtogether #staystrong @ Tiong Bahru Singapore https://t.co/1K0yvNntW7
44,"Singapore Covid cases on the rise.

To give some perspective :
800 Covid cases in singapore is same as 208,000 in India or 56,000 in USA based on the population size overall as in percentage.

Stay safe, Practice Social distancing.
#singapore #COVID19  #Covidtimes #perspective"
45,"@cheryl_kernot @margaretthrosby @RonniSalt The 3rd most densely settled city in the world. Extensive reliance on public transport (buses &amp; rail), lots of enclosed air conditioned spaces, high levels of mask wearing, social distancing compliance, wide use of tracing app &amp; tokens, increasing use of ‘vaccine passports’"
46,@ps92264 Those bottles are social distancing lol
47,@sweatyboi For a moment I actually thought they were singing side by side (because of social distancing ) gosh that was me fooled this morning
48,"REDEEM YOUR FREE MEALS ON AIRASIA FOOD – JOHOR BAHRU &amp; MELAKA

#airasiafood
#fooddelivery 
#freemeals 
#makanmakan
#community
#kitajagakita
#Covid19
#wearamask
#SocialDistancing 
#DeltaVariant
#StayHome
#MyJohorOnline
#MJO

https://t.co/Ua6nKBMPhn

@airasia"
49,@thespursweb shouldn’t this be the way… social distancing that is…
50,"After more than 1.5 years. Finally got to attend my 1st live concert! With small audience due to social distancing measures.

Candlelight: A Tribute to “Queen” at the old Parliament House’s Chamber.

#Candlelight https://t.co/6ZOdLdRbsA"
51,double masking in Singapore 2020 had 2 levels of protection. first was prevention of exhaling any virus second was it was odd enough to keep people away.  instant social distancing. https://t.co/gpiCDeumh4
