,Text
0,"GPs now hardly ever do swabs for &lt;6yo, MOH policy require PCR swab for diagnosis of small children, now you gotta bring your kid to gp then to paediatric swab centre, then MOH will arrange for consult by paed. What is this roundabout merry go round."
1,Fuckkkk I just got blood all over my nose swab thingie… 😱😱😱😱😱 I don’t have extra swabbbbbb!!! HOOWWWWWW!!?!?! https://t.co/aUkXMzmuyf
2,@sonflaweh bertabah laa ting. sekarang swab senang tak cucuk hidung lagi da kan
3,kang 14hb kena swab lagi.insyaallah allah mudahkan...tgh tune mood nk start kerja and ready for umrah insyaallah
4,Boarding kul-jhb....fuhhhh jauh betul rasa perjalanan.sakit jgk kena swab td😂😂😂
5,"Anal swab test reappears, Omicron may cause brain fog, shrinkage of genitals https://t.co/weL99wMqnh"
6,Si ded juga demam tapi ga swab dia wkwk
7,"more visiting today zzz

enjoy last round of red packets but am reluctant to go back to work tmr.

especially work make me swab again yesterday night."
8,"@ProfesorZubairi Entah bgaimana ya, sya saat ini msih serumah dan menjaga istri dan anak sya yg katanya Covid..dan sya sdh swab Negativ..apa karna sya selalu mkn bergizi sprti dging B2 ya ?"
9,@MieraMaira @ina_zahirah02 Huhuhuhu…. Kwn kite tgh tguu result swab… huhuhu
10,Why are you telling me people are tired of the pandemic so they should travel? If people can afford to go &amp; travel then they should? Abeh kene covid? Siapa yang nak gi swab kan? Kau? Cases makin naik? Omicron datang dari mana? Geylang?!!!
11,"How many times they want to do swab on me, my nose hurts so badddd"
12,"TT luar is off for a while. Memang fuckup gila, bila korang yg join TT aku. Takda amik vaksin. Dan mohon juga kalian buat swab test segera."
13,My family positive covid bukan sebab mmy ddy bawak rayyan berjalan keluar merayap. But terkene sebab ddy bawak balik dari office dia. Hmm elak macam mana pon kalau nak kene tu kene jugak. Ct scan mmy pon 31 macam tu. So masa swab tau positive tu virus tu da tak boleh merebak.
14,"PCR swab test ที่ไทยเจ็บมาก 
ลึกเหมือนตรวจยันลิ้นไก่"
15,Anyways I’m going to do another ART today and consider a house call doctor to get more powerful meds - don’t want to be sitting in a waiting room catching Omicron cos I have to wait with other swab hopefuls.
16,I ENDED UP PAYING FOR THE SWAB FKANOFHAOS MY DOC SKEM ME
17,"Akak ipar aku, anak dah nak keluar dah tu. Si nurse ni bising bising swab test swab test dulu. Cilaka. Aku baru lepas nervous drive manual bawak orang nak bersalin. Nasib baik doktor lincah buat kerja."
18,Kesiannya baby aunty kena buat swab test 😢😢😢
19,"Jumat 4feb, dahlah antigen. Ketika liat hasilnya udah ga surprise lagi rasanya.
Tinggal nunggu hasil PCR swab besok pagi."
20,"Aduh asking enaknya makan rawon, sampe nasi masuk ke idung… gak enak banget kaya Lagi di swab."
21,"btw i got swab earlier today with the officemate and the result just came out, again... it's positive!"
22,Rapid nose swab tests for Covid-19 may not detect Omicron quickly enough: Expert https://t.co/AICYNbrRXe
23,"🍀 please, can some of those multiple holders of CloneX sell me  🍀1 of your CloneXs @ 7 ETH. As we all know #CloneX🍀 will 🍀100 ETH in a matter of time . I’ve a couple of #Womenandweapons🍀 #Womenrise if you in for a swab. @clonexbot 🍀@takashipom @garyvee @SnoopDogg @Zaptio 🍀"
24,This AM on arrival in Singapore the COVID test was 2 parts - swabbed my throat (gag) then the same swab up my nostrils.
25,another day another swab test 😂
26,"right away after hbs swab test😂 

lepas 666 hari baru jumpa blk smlm. 

nngis ke? org gila je tak nngis 🤣

kbye 😂 https://t.co/rPKpYuo0k9"
27,自宅隔離Day 6はswabテストでした。5日振りに外に出ることができ、シンガポールの暑さに少し圧倒されつつも、やっぱり外は最高だなと再認識。隔離も残すところあと1日！待ってろ、外界！ https://t.co/eqqxAkrBzn
28,7 hari berturut2 kena swab ART lepas masuk SG. Nasib belum robek
29,Well this is impressive: Miss 15 had her fit to fly swab at 3.05pm yesterday at QML Murrarie drive thru &amp; results were at emailed by 9.50pm. Singapore requires negative test within 48 hours of departure time. Booked through Healius. Though now I’ve discovered cheaper at airport.
30,"Tampines S$200
Braddle S1$128

Swab test. But Braddle too far for me"
31,"Done rebook VTP untuk VTL ke KL
Done booked swab test Tuesday

Banyak kerja tahu Tak nak balik !"
32,I forgot to do swab test. Mati manager aku marah hahaha
33,"Check list:

VTP pass ✅
Ticket flight ✅
Swab X"
34,Risau eh beberapa hari bdan lemah lemah mcm demam and tibe harini bngun pagi sakit tekak. Nak buat swab takut positive
35,Malasnya nak buat swab
36,"Aneh yg masih belain strategi covid negara ini, PCR aja 2 juta per swab hehehe https://t.co/cKgUEcwxGm"
37,@glengyron @RanTLaw We did family ART testing this morning (compulsory for MOE schools) &amp; I needed one for work tomorrow. The sneezing that occurs when we’re all shoving the swab stick up our noses simultaneously 🤧
38,Swab test (@ Synthomer NBR PG Plant) https://t.co/w6f4iZN2kQ
39,Needed to do an ART for my reservist and I scare myself by using the positive control swab...
40,Tonight got swab test
41,Fuck la sial dtg utk swab test tpi its lunch time so i have to come back after 1 cb i at amk do what sial 1hr
42,"23:10 - Landed, collected bags
23:44 - Did PCR swab, got onto taxi
00:00 - Arrived home, went to bed
10:30 - Vaxxed status validated, free to roam https://t.co/ts5owr3KSb"
43,I woke up and looked at phone. Oh son  I need to do swab test
44,I forgot do the swab test fuck
45,"Wtf siak pagi2 aku rasa nak carut je MOH sini. Ahh aritu masa aku pegu swab pastu tanya berapa bill. No need to pay. Then semalam bill sampai dekat rumah. Apatuu siak. Aku dh tanya that day berapa. Dahlaa kau tiba2 nak xray aku , tahan aku ward lagi. Then ahh sumpah scam"
46,"No Murukku &amp; No Briyani
Only Swab-Test And Hand Sanitiser 🙃 https://t.co/AzKCGS7mXi"
47,Swab test (@ Synthomer NBR PG Plant) https://t.co/DGqtBehrzl
48,Tomorrow need to swab test again. I got feeling la positive.
49,"araw araw ART Swab , yung ilong ko di na yata ilong 🤣"
50,"JB thaan poga mudiyala..
Vanthutu poravangala swab pannuvom!"
51,Ade tu smpi seminggu 3 kli swab kte nya..ptut la ugut nk bunuh diri.. https://t.co/OTdOAdDMZ4
52,Swab test lagi (@ Synthomer NBR PG Plant) https://t.co/J0YrCHsTSD
53,"Both family in law aku tested positive hari ini after dah kuarantin 10 hari sebab close contact bil aku.
Anak ajd wife aku dah swab test. Tunggu result esok. Am i ok? Really not ok this time."
54,swab pcr pertama lanjut karantina
55,This Covid-19 has made me kena go thru swab so many times and made me swap career for the 3rd time!
56,Swab test (@ Synthomer NBR PG Plant) https://t.co/noM8jYrbU9
57,"anyways, the swab test dude, major big dick energy. felt the vibes. looked cute. 👀"
58,swab test je pun . 😭😭😭 https://t.co/gzAHFDxPjw
59,Seksa betul swab test ni. Sampai sekarang hidung aku sakit lagi 🤕
60,"2020-2021 tahun dimana uang kita habis untuk beli vitamin ,masker dan swab test ..aku sebulan biaya masker 300rb 🙃 biasa emang ga suka pakai masker cuma Krn kondisi pandemi mau ga mau harus mengeluarkan biaya masker tiap bulan"
61,Ah bagus swab test kul 9.30 skrg baru aku bgn just penat gila la pls need a long breakkk
62,2nd swab. Lesgo! (@ School Hall | Bedok North Secondary School in Singapore) https://t.co/tleCUGqJJD
63,vaccinate AND regular testing??? i need to stick a swab in my nose every week….
64,"Kenna poke till bleed.... that guy damn lousy 😅
Oh btw, i am referring to the swabber that did the swab for me 😝"
65,Mau PTM tapi kenapa hanya guru yang di swab antigen ya? Kalau dipikir2 yang masih bodo amat sama prokes itu malah siswa kan ya daripada guru :”)
66,mahalnya gila pcr swab test kat sini.
67,Swab test (@ Synthomer NBR PG Plant) https://t.co/eq6PFTpHJu
68,Alhamdulillah. Swab rtk negative.
69,Esok swab test lagi 🙂
70,Wah shag esok off day still need to layan swab test at amk 🥴 give me a break bro
71,"So swabbing has been a trending thing. 

It used to be like flu like even sinus will also need to swab. Staff told me I can't get it and need to pay. 

Er? 

End up doc said must swab and need to swab. 

So I got to swab. 

I am doing my dilligence ok. Who likes to swab anyway."
72,Nak pegi swab test je pon. Excited macam nak pegi airport.
73,4th and last swab! SANA NAMAN LAST NA TALAGA 😣
74,Kali ke berapa swab test entah kalau seminggu dua kali swab. https://t.co/alIj93WOHd
75,Swab test (@ Synthomer NBR PG Plant) https://t.co/rUgDU0X712
76,First time to do a Self-Swab Antigen Rapid Test! This will be a weekly routine starting 1st of October! 😱 https://t.co/kKRMdVNXnA
77,Naloka ako dun sa mag-ART swab sa place ng kas-sex bago umpisahan yung session. Very good. 🤣
