,Text
0,"@pony_hk Flying into oz, you just need to do a clinic administered ART. Which is less invasive and less expensive. You'll need to get your vaccinations notarised on
https://t.co/DM4HXqQY57

My suggestion is to print them all out with the qr code."
1,"🇺🇸
Long-Haul COVID Cases Could Spike after Latest Wave

The huge number of Omicron infections could add a lot more people with disabling long-term symptoms. Vaccinations could blunt the impact

 https://t.co/Di2hfUPDlj"
2,"the low death rate can be attributed to either vaacination or restrictions working, but i highly doubt the gahmen's gonna ""stress test"" the vaccinations by relaxing restrictions. especially since vaxxed ppl can catch it, and as mentioned. long covid after recovery is a problem."
3,"@grubbypea the low death rate can be attributed to either vaacination or restrictions working, but i highly doubt the gahmen's gonna ""stress test"" the vaccinations by relaxing restrictions. especially since vaxxed ppl can catch it, and as mentioned. long covid after recovery is a problem."
4,"Yelps, tears as Malaysia starts vaccinations for young children https://t.co/iRWurfTuSe https://t.co/RJ3JybWbmd"
5,"Yelps, tears as Malaysia starts vaccinations for young children
https://t.co/DKB58IWEJM https://t.co/R2vsH2TG2X"
6,"Yelps, tears as Malaysia starts COVID-19 vaccinations for young children https://t.co/hn4twl3sRt https://t.co/8hPuMDVFuP"
7,"@Ken36143959 @RooterDouglas @Shaunak2105 @Jizzle9011 @WaitingForPerot What?! You definitely take a vaccine to protect yourself and others. If someone is vaccinated and they are less likely to become infected or develop symptoms, then they are less likely to spread the disease to others. That’s why vaccinations work."
8,"I understand it’s an evolving situation, but governments can’t promise that vaccinations will lead to fewer/no restrictions, only to break this promise https://t.co/QNnE19Iuar"
9,"Pro vaccine is not a ideology position.

If data says now further vaccine is bad , then we will go to where the data shows.

Right now data is showing that vaccinations and further vaccination helps . 

Until data says otherwise, we continue this current pro vaccination policy"
10,"Catching up with @HimalayanMutts team in Nepal. It's hard to balance human safety while trying to look out for wildlife safety. With mass vaccinations in good speed, we are optimistic about hitting the #Himalayas in 2022! If you are a very or vet tech and want to join us, hit me! https://t.co/9Ys75DLE6I"
11,"@Murugesankart16 Meaning of this pitcher 2nd wave 10years till year 2031, 3rd wave till year 2041 &amp; vaccinations if the wave no end 😂"
12,"How might an Omicron wave develop in Singapore? Vaccinations, safety measures may 'wear impact' 

 https://t.co/b2ApgzgWen"
13,"@spursfandom @JoWolffBSG Hello sorry to chime in but I thought @AlbertGiubilini ‘s Ethics of Vaccination was really good, particularly liked the chapter on compulsory vaccinations- link: https://t.co/zlBzs3Bofk"
14,"Austria reimposes full COVID-19 lockdown, to make vaccinations compulsory  

 https://t.co/RvAWelGKDj"
15,"Sydney eases more COVID-19 restrictions as vaccinations pass key milestone  

 https://t.co/VVZ6Fo40Pg"
16,"It’s either you take the approved vaccines, or you don’t. 
Don’t risk your lives taking advices from non-medical people. The government isn’t dumb to be providing vaccinations for thousands just to watch people die. https://t.co/VZfrc3NmSS"
17,"22.6mil vaccinations on Friday, September 17, 3x daily average. A birthday gift for 71yo Modi.

https://t.co/4aVRIPV1cF"
18,Imagine being so oppressed by your own little made up narratives that you think mandated vaccinations are a slippery slope to Nazism. https://t.co/nbuH4JxTBV
19,"@deepfriedchips @margaretthrosby @RonniSalt Once high levels of vaccinations begin to provide a level of herd immunity, that’s broadly true, but certainly not yet true of Australia. Also comorbidities can still leave people at risk, so numbers remain relevant, as does ring fencing of outbreaks in reducing icu &amp; deaths."
20,3 vaccinations later at one go. 😩
21,"@IanM1871 They fucked up on vaccinations, for sure."
22,"Lockdowns, Vaccinations, Lockdowns &amp; the New Normal https://t.co/nfQHVU1IBy"
23,"Having some arguments re: vaccinations on Facebook and I still see people saying that covid is a mass manipulation coordinated event / pandemic is a hoax. 

A) Singapore is at least 9 months late to the conspiracies and,
B) We overestimate human ability to coordinate anything"
24,"8️⃣0️⃣ -- Singapore's magic percentage for full vaccinations in order to ease travel restrictions.

I can now say, firmly: that number is in sight.

🚨As of today we are at 81% first doses🚨 (and 72% fully vaxxed) https://t.co/kVblNwVxqo"
25,"😷💉🦠More Nonsense! @GregoryJBarber, you should have stoped at, “IT DIDN’T NEED to be this way…” If you follow actual “science” as I stated in 2020, it’s the ineffective masking, distancing, lockdowns &amp; now forced vaccinations causing more harm than good.https://t.co/r4EY8FXCsb"
26,@MoHFW_INDIA Honourable Minister my sister is working as a physiotherapy doctor Mumbai. As a frontline worker we are trying to get her vaccinated but unfortunately we are unable to book her slot for vaccinations. Kindly help.
27,Canada's Virus Hot Zone Adopts Lottery to Boost Vaccinations https://t.co/9W17EYwd1X
28,"How important, significant and interesting must your life be to not trust vaccinations and have this belief the government wants to spy on you? Go get vaccinated. Cases are on the rise again. Keep yourself, your family and the people around you safe."
29,@tweetingnav Yep. This is the Singapore position. Keep transmission low until vaccinations are done. Then live with it like the flu.
30,"Australia is gonna try to get to Singapore's planned virus shift -- figuring out a way to live with it, not eradication -- but with just 1/3rd of the vaccinations per capita, they've got a long way to go to even begin.  https://t.co/2gC5goUiJN"
31,"SAF has achieved ‘herd immunity’ through COVID-19 vaccinations; IPPT, in-camp training resume: Ng Eng Hen

https://t.co/X5OdJoUmzp"
32,Speed up vaccinations or get left behind: Singapore Airlines boss https://t.co/hfc5BZD4Sd
33,@kaikaikaikaien What a time to have ur best career game. I just hope he gets the confidence he needs to bloom into a better player and doesnt falter under all the hype. AND NO MORE PG SLANDER LETS GO PFIZER P GIVING OUT VACCINATIONS
34,"""Expats may depart in the next six months if vaccinations and travel re-opening don’t go as planned -- a danger she believes the government fully recognizes."" https://t.co/gDCpg9zPP8"
35,"Hello KJ , make vaccinations easy for rakyat and please stop your flip flops . https://t.co/IpTVOQs3JH"
36,"No Way , have to vaccinations easy for rakyat . https://t.co/CrYGnxkoxN"
37,u can opt for vaccinations via vape instead of jabs if u ask for it
38,"COVID-19 vaccinations for Singapore students aged 12 and above begin

https://t.co/8ybqb182Vj"
39,"Tun , vaccinations is going to be part of our life for the next 1 1/2 years , which means we need to be vaccinated 2-3 times before we can be back to normal . Simple &amp; Easy for rakyat to vaccinate is the key to normal life. https://t.co/nmXzdJUJWG"
40,"More than 26,000 students sign up for COVID-19 vaccinations on first day of registration

https://t.co/c1ppsxQTLv"
41,Vaccinations https://t.co/fGZeSuRo7t
42,"Got your Covid-19 vaccinations yet? Be a man like us, register here (https://t.co/OveJRsPlsA) if you are eligible Today!!

#staysafe #stayhome #GetVaccinated #covid19vaccineregistration #ministryofhealthsg https://t.co/eAkKMr0WQJ"
43,I would add vaccinations to this https://t.co/TawOy2hPkj
44,Singapore will you please significantly ramp up your sluggish vaccination programme. @govsingapore. The number of people getting COVID isn’t as worrying as the Low turnout for vaccinations.  #Singapore #COVID19
45,Just sharing some charts. Info can be found on google's covid-19 statistics. The correlation between vaccinations and the number of cases is clear no? NMA. Do your own research. 😂 https://t.co/GKODE4qqEc
