,Text
0,"A1 is double vaccinated now and I'm hoping that the vaccine will be available for the under 5s soon.

My son is the only one left unvaccinated and we are taking all precautions necessary to reduce his chances of exposure."
1,"@elonmusk @peterktodd @nypost Take this a step further:
Pro vaccine, anti mandate, anti restrictions! Let anyone take their own decisions if they wanna stay home, wear a mask, etc."
2,India approves one-shot Sputnik Light COVID-19 vaccine: Russia https://t.co/xPw8lnD3Mj https://t.co/B9zRrlyDTm
3,"Ottawa mayor declares state of emergency to deal with anti-vaccine trucking blockade

February 07, 2022 5:49 AMThe 10-day occupation has shut down much of the core of the Canadian capital.

https://t.co/TpeFPks0Xt https://t.co/3bA3BaSV4m"
4,"@cen9_11251 @Nantes_Revoltee tu es au courant qu utiliser le mot islamophobe c est faire le jeu des islamistes et retablir le delit de blaspheme ? 
sinon pk jamais hindouphobe, boudhistophobe, jainophobe (meme si je suis sur que tu n as jamais rencontre ni d hindou ni de jain)"
5,"#EndEmergency stops the vaccines, because they are EUA (emergency use authorization) only https://t.co/zP0CfWYb3r"
6,"@Fleury5440 nothing is illegal under martial law, if they remove the emergency order (that's been in place and continued month-over-month for a year) we win anyways, because the vaccines are not able to be used (emergency use authorization - EUA only)"
7,"@MarkSlapinski hasn't Ontario been in a state of martial law (emergency) for more than a year? meaning, there are ""no laws"" to give people fines for bringing jerrycans of diesel to fill up the trucks... if they remove the emergency order, the vaccines become illegal/unlawful (EUA-only) gotcha!!"
8,Ottawa mayor declares state of emergency to deal with anti-vaccine trucking blockade https://t.co/3trWuAZBOb
9,Russia says India approves one-shot Sputnik Light COVID-19 vaccine https://t.co/1c0F4k953U https://t.co/gfSf6Szadx
10,"COVID Vaccines in Singapore are absolutely safe. 

No Death related to vaccines are recorded in every single hospital.

😉 https://t.co/zW59kZDmZC"
11,"Protests against COVID-19 vaccine mandates paralysing Canada capital, mayor says https://t.co/H79g3He74e https://t.co/9B3aSZHj8J"
12,"@Mysterions13 @michaelmollerdk @ImmunoPrecise it depends on the situation, vaccine is good if you haven encounter the virus+ normal immunity. Antibodies is more for vaccine breakthrough variants+ immunocompromised patients+severe symptoms of covid. Its a direct way of revealing SARS-cov2 virus to your immunity"
13,@sladecrypto @Scottky23399520 @sirbullycrypto Pathology reports that trace an adverse event to a vaccine taken years prior? I’d like to see that
14,@FlatXrp @XRPcryptowolf @JoelKatz @sirbullycrypto It’s not experimental. Common sense is knowing that vaccines are beneficial
15,"@EatElephant_S @XRPcryptowolf @JoelKatz @sirbullycrypto They were tested. Phase 3 clinical trials concluded in Nov 2020

And to be fair, mRNA tech has been in development for decades. It was fast tracked and got all of the funding required to develop because of the pandemic, but it completed all of the steps other vaccines go through"
16,@nrlhudafir Shockingly…some of our friends (yg kau kenal jugak) refuse to  get the Jab…Katanya dh vaccine pun x semestinya x boleh kena covid…I can’t believe how narrow minded they were…vaccine was not meant to be making us covid proof…it’s just to minimise the symptoms 🤦🏻‍♂️
17,Eating cake at 12:15am on a Monday because I finally have appetite 🥲 the past 5 days have been rough and I finally feel better today. I was having bad cramps and heavy flows and i googled that its a side effect of vaccine. Does anyone suffered from unusual period after vaccine? https://t.co/FBOTufC9Lr
18,"Keyboard warriors always know best.
Done their ""research"", already an expert 🥴
Tbh very funny seeing how many people still stuck thinking about the virus circulating as the ancestral strain.
""Govt lied! The vaccines don't stop transmission, what 95% protection, all BS""
🤷 https://t.co/cR863fBb3M"
19,"@MothershipSG Why are we in this situation MOH?
Vaccine not working
2nd Dose not working
Booster not working
Child vaccine not working
Mask not working
VDS not working
Safe Distancing not working
Hospital crowded
Clinics crowded
Still listening to the same EXPERTS?
May ALLAH forgive us."
20,"@fall_fritt @Scottky23399520 @sirbullycrypto You should definitely trust scientists over me. All I’m saying is that increased narcolepsy was found in countries that experienced the swine flu epidemic but didn’t vaccinate. So it could mean that the vaccines were not the cause, but the flu itself."
21,"Of course, my sis already had her Covid vaccines, and she also recovered from a minor bout of Covid a month or so ago. So she should be safe from any potential infection from me herself."
22,"Tak payah booster, first vaccine je effect pada laki dengan mil aku sampai sekarang datang-datang balik 😌 https://t.co/syGSlO6QME"
23,"I’m exaggerating for sarcastic effect, but one of the worst things about this damn pandemic is sitting down expecting a simple haircut &amp; instead getting a 40 minute anti-mask, anti-vaccine diatribe. Never have so many people been so well-informed having read the scientific detail"
24,"@Lan5213 @aliahdiah_28 @Irham_HakimiMH kwn saye baru ambek vaccine ke dua side effect dh mcm2…my kwn punye mk cik pulak asek pengsan2…sblm tu alright jer…pegi dkt doc yg cucuk die,blk2 die kena mrh…ape kes…
🙃🙃🙃"
25,"@fall_fritt @Scottky23399520 @sirbullycrypto No, you gave results that show a correlation. I am questioning the results, which is part of the scientific process. The excerpt below explains why I am skeptical that the vaccine caused the narcolepsy. To date, there hasn’t been a vaccine that causes side effects years later https://t.co/a2XaTAy5YY"
26,"@fall_fritt @Scottky23399520 @sirbullycrypto Literally every vaccine has exhibited adverse reactions within 2-3 months. This one claims 8, if it even was the result of the vaccine (which I doubt)"
27,"@fall_fritt @Scottky23399520 @sirbullycrypto First, the link isn’t conclusive. There were countries that didn’t vaccinate and had increased cases of narcolepsy, which can be triggered by influenza itself.

Second, even if the vaccine did cause it, the average was 8 months, so still less than years."
28,Some people think that vaccine = you will never get Covid-19. Omg.
29,@Opmonthetrack @MackAttackXRP @sirbullycrypto You sound like a conspiracy theorist. There is nothing dangerous in the vaccines
30,"First vaccine and second vaccine
No fever

Booster vaccine (yesterday).
Fever, migraine"
31,"@Scottky23399520 @sirbullycrypto Answer will be the same. Vaccine side effects occur within 2-3 months, not years."
32,I did not realise how effective India’s vaccine program was until my mom sent me this pic of her getting the 3rd dose from a special camp set up just outside a street corner temple and next to a flower shop 😅. The details uploaded to registry using mobile device #iwasnotreadyda https://t.co/PgbwPCIL9N
33,"Had multiple conversations about vaccinating kids with my peers who are boosted but have yet to register for their little ones for the vaccine.

Acknowledging parents’ worries and supporting them in deciding, helps;
Saying they don’t love their kids by not vaccinating, doesn’t. https://t.co/KmcfchrXhO"
34,World : Vietnamese gov't to buy 21.9 million COVID-19 vaccine doses for children aged 5-12 https://t.co/QHj8cgBRAG
35,"Has anyone been able to find free vaccine’s slot for 2nd dose in Delhi?

Looks like 1st dose can be free but 2nd dose needs to be paid.

It’s been 5 days trying to find free vaccine slot with no success

@ArvindKejriwal @SatyendarJain"
